main_id,ids,ra,dec,sp_type,plx_value,plx_err,V,G
HD  10436,"HD  10436, GJ    69",25.9196823939791,63.8233980740082,K5Vbe,73.9913,0.0353,8.40999984741211,7.9253997802734375
HD  22496,"HD  22496, GJ   146",53.7539159412185,-48.4191407642097,K5/M0V,73.5244,0.0387,8.569999694824219,8.019499778747559
HD 145417,"HD 145417, GJ   615",243.4523269658986,-57.5705121968851,K3VFe-1.7,73.4265,0.0374,7.539999961853027,7.2546000480651855
HD 154577,"HD 154577, GJ   656",257.5431289900873,-60.728771769936,K2.5Vk:,72.7317,0.0467,7.409999847412109,7.102200031280518
*  47 UMa,"HD  95128, GJ   407",164.86655776870498,40.430256219143885,G1-VFe-0.5,72.4528,0.1507,5.039999961853027,4.830599784851074
HD 281621,"HD 281621, GJ   162",62.1558290007145,33.6370368353611,K7V,71.813,0.0431,10.213000297546387,9.364999771118164
HD  23356,HD  23356,55.98059557661,-19.1108981395438,K2V,71.6588,0.0364,7.080999851226807,6.804699897766113
*  10 Tau,"GJ   147, HD  22484",54.217270009390006,0.3995935882605555,F9IV-V,71.62,0.54,4.300000190734863,4.074999809265137
HD   5133,"GJ    42, HD   5133",13.2547298273308,-30.3569148492065,K2.5Vk:,71.5472,0.0573,7.171000003814697,6.870800018310547
HD 120467,"GJ   529, HD 120467",207.4366933249343,-22.1110927323432,K6Va,71.1199,0.0843,8.166000366210938,7.68310022354126
HD 110315,"HD 110315, GJ   481",190.277019039061,15.3766675273692,K4.5V,70.8894,0.1099,7.900000095367432,7.4994001388549805
HD 150689,HD 150689,251.0625653216823,-38.9436357956149,K3V,70.3716,0.0468,7.513999938964844,7.178299903869629
HD 234078,"GJ   532, HD 234078",208.0000229116778,49.9509097673892,K7V,70.1809,0.0353,9.093999862670898,8.251199722290039
HD 173818,"GJ   726, HD 173818",281.8635439465056,-3.6398334230301,K5V,70.1428,0.0609,8.765999794006348,8.259400367736816
V* pi.01 UMa,"GJ   311, HD  72905",129.7987680272112,65.020907853664,G0.5V,69.2004,0.0652,5.639999866485596,5.479599952697754
BD-08  2582,GJ   334,136.6889570122471,-8.8068365959072,K7V,68.8876,0.0386,9.477999687194824,8.782999992370605
BD+30  2512,GJ   546,215.4884010248992,29.6296158774174,K6V,68.8608,0.0398,8.609999656677246,8.015899658203125
HD  52698,"GJ   259, HD  52698",105.3071854159818,-25.948740845306,K1V,68.1526,0.0746,6.688000202178955,6.4532999992370605
HD 196761,"HD 196761, GJ   796",310.0489776404055,-23.7738679651309,G7.5IV-V,68.1348,0.0682,6.369999885559082,6.163599967956543
* psi Cap,"HD 197692, GJ   805",311.52388594375,-25.270897543055554,F5V,68.13,0.27,4.122000217437744,3.969599962234497
* nu.02 Lup,"GJ   582, HD 136352",230.45062965463,-48.317628467770284,G3/5V,68.0818,0.0915,5.650000095367432,5.4618000984191895
BD+40    45,GJ    14,4.2765577931941,40.9482969960645,K7,68.0351,0.0566,9.0,8.370100021362305
HD 142709,"HD 142709, GJ   604",239.4197657350689,-42.6242339703312,K4V,67.8795,0.0466,8.055000305175781,7.650100231170654
BD+33   529,GJ   116,43.0297387351705,34.3893519352817,K4,67.7365,0.038,9.550000190734863,9.021599769592285
HD 205390,"HD 205390, GJ   833",324.1718474342873,-50.8453856672401,K1V,67.5029,0.0299,7.1570000648498535,6.8831000328063965
HD  84117,"HD  84117, GJ   364",145.560068855975,-23.9155705775205,F9V,67.4693,0.1921,4.940000057220459,4.723899841308594
HD 144628,"HD 144628, GJ   613",242.4283101006176,-56.4451511529935,K2V,67.4096,0.0486,7.124000072479248,6.851500034332275
HD 218511,"GJ  1279, HD 218511",347.4206289628172,-67.7328226114255,K6V,67.396,0.0382,8.390000343322754,7.82480001449585
* eta Lep,"HD  40136, GJ   225",89.10122085083334,-14.16769969,F2V,67.21,0.25,3.7200000286102295,3.5511999130249023
* alf Crv,"HD 105452, GJ  9389, GJ   455.3",182.10340218374998,-24.728875098333333,F1V,66.95,0.15,4.0,3.851900100708008
BD+63   137,GJ    52,16.7841584992869,63.9413268220948,K7V,66.3671,0.0375,8.979999542236328,8.411299705505371
HD 118926,"HD 118926, GJ  9456, GJ   521.1",205.029715441366,-4.1861067629986,K5V,66.3269,0.098,9.58899974822998,8.939200401306152
* nu. Phe,"GJ    55, HD   7570",18.7963441219758,-45.5316687864624,F9VFe+0.4,65.8894,0.1803,4.960000038146973,4.763800144195557
HD  38858,"HD  38858, GJ  1085",87.14558393882166,-4.094644313723888,G2V,65.5534,0.0621,5.96999979019165,5.792300224304199
HD  21197,"GJ   141, HD  21197",51.248877484508,-5.3637555461085,K4V,65.1422,0.0502,7.841000080108643,7.458399772644043
*  51 Peg,"WDS J22575+2046AB, GJ   882, HD 217014",344.36658506978085,20.76882840019833,G2IV,64.6488,0.1232,5.460000038146973,5.25600004196167
HD 139763,HD 139763,235.1440418413839,-18.04902664622,K6Vk,64.2263,0.074,8.90999984741211,8.359399795532227
* mu. Ara,"HD 160691, GJ   691",266.03626514261543,-51.834053069200834,G3IV-V,64.0817,0.1202,5.150000095367432,4.904600143432617
HD 190404,"HD 190404, GJ   778",300.9671961806371,23.3406851207477,K1V,64.0307,0.03,7.269999980926514,7.020199775695801
* tau Boo,"HD 120136, WDS J13473+1727AB, GJ   527",206.81559750230946,17.456904217850756,F7IV-V,64.03,0.19,4.489999771118164,
HD 152705,HD 152705,254.1778015737648,-39.1368770313455,K3/4V,63.7411,0.0564,8.59000015258789,8.062199592590332
HD 213042,"HD 213042, GJ   862",337.313484793786,-30.0184062754796,K4V,63.7236,0.0857,7.644999980926514,7.289000034332275
HD 118972,"HD 118972, GJ  1175",205.2673788586062,-34.4641581506564,K0V,63.7208,0.0573,6.920000076293945,6.6803998947143555
BD-07   699,GJ   156,58.6477755897279,-6.8260147641867,K5V,63.7059,0.0468,9.015000343322754,8.42039966583252
V* V1386 Ori,"HD  41593, GJ   227",91.6686582205681,15.5421053385108,K0V,63.3684,0.0551,6.739999771118164,6.524199962615967
HD 203040,"GJ  9736, GJ   826.1, HD 203040",320.0575881304057,-19.8522851852201,K6.5Vk,63.3493,0.0899,9.086000442504883,8.494799613952637
BD+41  2695,GJ   619,245.2197490574503,40.9614499626743,K5V,63.3463,0.0281,9.0,8.437600135803223
HD 191391,"GJ   782, HD 191391",302.5815460436206,-20.4934359561692,K6Vk,63.2814,0.0714,8.901000022888184,8.369799613952637
HD 135599,HD 135599,228.9965289360014,0.7963614233157,K0V,63.2318,0.0407,6.90500020980835,6.686600208282471
* chi Her,"GJ   602, HD 142373",238.1689214050488,42.4515141958648,F8VFe-2Hdel-1,63.1627,0.149,4.619999885559082,4.365499973297119
* phi02 Cet,"HD   4813, GJ    37",12.5316191217328,-10.6443291141835,F7V,62.9723,0.1614,5.190000057220459,4.996099948883057
HD  17230,"GJ   112.1, GJ  9100, HD  17230",41.5719867098561,11.7752391919043,K6V,61.9128,0.0461,8.574000358581543,8.106800079345703
HD 202575,"GJ   824, HD 202575",319.1352794618367,9.3938262954429,K3V,61.8699,0.0441,7.877999782562256,7.569200038909912
HD  23484,"HD  23484, GJ   152",56.0382214697508,-38.2817700105762,K2V,61.8451,0.0219,6.995999813079834,6.734899997711182
HD 109200,"HD 109200, GJ   472",188.3807582857515,-68.7558087982804,K1V,61.7191,0.0279,7.139999866485596,6.889400005340576
* I Car,"GJ   391, HD  90589",156.09877488083333,-74.031612105,F3V,61.64,0.12,4.010000228881836,3.825700044631958
HD  24451,"GJ  9139, HD  24451, GJ   156.2",60.3317679575844,76.1593738496639,K4,61.6177,0.0262,8.25,7.799900054931641
HD 113538,"HD 113538, GJ   496.1, GJ  9425",196.23948519312958,-52.442924568013055,K9Vk:,61.3899,0.0523,9.057000160217285,8.44279956817627
HD 128311,"HD 128311, GJ  3860",219.00233639301123,9.746514900968053,K3V,61.2111,0.074,7.446000099182129,7.167200088500977
HD     55,"GJ     3, HD     55",1.3237030248377,-67.8325904533938,K4.5V,61.0313,0.0325,8.484999656677246,8.084099769592285
BD+66   582,GJ   322,133.0014498407487,66.1314969083332,K5,60.5523,0.0303,9.279999732971191,8.678600311279297
L  266-166,GJ  3961,248.7299167246665,-53.5773164887212,K7,59.9648,0.0802,12.0,11.074799537658691
HD 229590,"GJ   728, HD 229590",282.2161318942468,17.4389471414656,K7,59.9538,0.0428,9.154999732971191,8.604999542236328
HD 130992,"HD 130992, GJ   565",222.9186044599766,-24.3041323841181,K3.5V,59.6682,0.0443,7.804999828338623,7.476900100708008
HD 152391,"GJ   641, HD 152391",253.2450105947343,-0.0264211943524,G8.5Vk:,59.5382,0.0328,6.639999866485596,6.427000045776367
HD 193202,"HD 193202, GJ   786",302.7184074892676,77.2389720454709,K7V,59.4428,0.026,8.880000114440918,8.313300132751465
HD  76151,"HD  76151, GJ   327",133.5747790870404,-5.4344573577189,G2V,59.3469,0.0447,6.0,5.831500053405762
HD  55575,"GJ  1095, HD  55575",108.9589133975783,47.2399655022431,F9V,59.287,0.1222,5.579999923706055,5.367800235748291
HD 174080,"WDS J18485+1045A, GJ   727, HD 174080",282.1217718755889,10.7454508517027,K0,59.2621,0.0481,7.9120001792907715,7.597599983215332
HD 221354,"HD 221354, GJ   895.4",352.8425363273528,59.1655184681585,K0V,59.2528,0.031,6.739999771118164,6.521399974822998
HD  48948,"GJ   247, HD  48948",102.4876078077536,60.335545083342,K5,59.1275,0.0659,8.579999923706055,8.113100051879883
HD 177565,"HD 177565, GJ   744",286.7186013078458,-37.81065911146166,G6V,59.0802,0.0667,6.159999847412109,5.964700222015381
HD   7924,"GJ  9054, HD   7924, GJ    56.5",20.49630508765708,76.71028814467778,K0.5V,58.8216,0.0249,7.166999816894531,6.92519998550415
HD 111395,"GJ   486.1, HD 111395",192.1960343572391,24.840227848043,G5V,58.4809,0.0501,6.289999961853027,6.098299980163574
HD  65583,"GJ   295, HD  65583",120.1338738122514,29.2123546225954,K0V_Fe-1.3,58.4791,0.045,7.0,6.763899803161621
BD+45  4378,GJ   913,359.6812006710607,46.7290936826221,K7V,58.4067,0.8984,9.619999885559082,8.87279987335205
HD  62613,"HD  62613, GJ   290",119.0717836869487,80.2655429470217,G9,58.3088,0.0244,6.559999942779541,6.360300064086914
HD 124642,"GJ  3833, HD 124642",213.4878265148564,30.2171872985343,K3.5V,58.1145,0.0472,8.0600004196167,7.666600227355957
HD  47752,"GJ   241, HD  47752",100.3154630298131,23.9577162078236,K3.5V,57.8889,0.0499,8.055999755859375,7.73330020904541
HD  67199,"GJ  3476, HD  67199",120.6299466805382,-66.0209388431651,K2Vk:,57.8823,0.0356,7.165999889373779,6.921500205993652
HD  94765,"GJ  3633, HD  94765",164.1283305183821,7.3884746641671,K0V,57.7619,0.0343,7.379000186920166,7.099100112915039
* iot Hor,"GJ   108, HD  17051",40.639443682844174,-50.80029339504166,F8V,57.7143,0.0537,5.400000095367432,5.2241997718811035
* q01 Eri,"GJ  3109, HD  10647",25.622145342716248,-53.74083087924167,F9V,57.6556,0.0737,5.519999980926514,5.354899883270264
* g Lup,"HD 139664, GJ   594",235.29740413375,-44.661206336944446,F3/5V,57.35,0.16,4.639999866485596,4.489099979400635
HD 193664,"HD 193664, GJ   788",304.3805345030912,66.853689331402,G3V,57.2564,0.0371,5.929999828338623,5.7519001960754395
*  37 Gem,"GJ   252, HD  50692",103.8277779386131,25.3756955006603,G0V,57.2425,0.1005,5.748000144958496,5.584000110626221
* rho CrB,"GJ  9537, HD 143761, WDS J16010+3318A, GJ   606.2",240.26108668845416,33.30351173487027,G0+VaFe-1,57.2216,0.0782,5.409999847412109,5.209400177001953
HD  35650,HD  35650,81.1257071391423,-38.9696517534358,K6V,57.2104,0.0281,9.053999900817871,8.526300430297852
HD 148467,"GJ   626, HD 148467",246.9871134875884,7.305443665335,K6V,57.0479,0.0414,8.850000381469727,8.3326997756958
* e Vir,"HD 115383, WDS J13168+0925A, GJ   504",199.19381732999628,9.424157557205,G0V,57.0186,0.2524,5.21999979019165,5.000999927520752
*  10 CVn,"HD 110897, GJ   484",191.2475211138082,39.2789161990675,F9V_Fe-0.3,56.9309,0.073,5.949999809265137,5.785299777984619
HD  25004,"HD  25004, GJ  1066",59.1515848907585,-41.3435694353512,K6Vk:,56.9195,0.0257,8.847000122070312,8.370400428771973
CD-46    76,"GJ    17.1, GJ  9010",5.3317491193017,-45.7464190295317,K7.0,56.8562,0.0315,10.394000053405762,9.628600120544434
* tau06 Eri,"GJ   155, HD  23754",56.71203412958333,-23.249723495833337,F5IV-V,56.73,0.19,4.199999809265137,4.044000148773193
*  58 Oph,"GJ   692, HD 160915",265.85747375499994,-21.683193876111115,F5V,56.65,0.24,4.861000061035156,4.692699909210205
