main_id,ids,ra,dec,sp_type,plx_value,plx_err,V,G
* alf Cha,"GJ   305, HD  71243",124.63147162083337,-76.91972123111111,F5VFe-0.8,51.12,0.12,4.046999931335449,3.8856000900268555
HD 216520,HD 216520,341.8828187617006,83.697027580338,K0V,51.1167,0.0292,7.52400016784668,7.2789998054504395
HD 188474,"HD 188474, GJ  1246",299.1542755533875,-31.3353177000478,K3.5Vk:,51.0671,0.0976,8.4399995803833,8.065899848937988
HD  56533,"HD  56533, GJ   268.2, GJ  9226",108.2795366351067,-63.3449481421887,K6Vk:,50.9662,0.0306,9.079000473022461,8.566699981689453
CD-34   239,GJ  1016,10.3769758749132,-33.6255645562669,K9V,50.9542,0.0453,10.524999618530273,9.835000038146973
G 188-49,GJ   851.5,333.6308896078147,27.8551924988027,K7.5Ve,50.9308,0.0741,10.314000129699707,9.655599594116211
HD 192263,"HD 192263, WDS J20140-0052A",303.49935631177834,-0.8668810181375001,K1/2V,50.8982,0.0561,7.767000198364258,7.49560022354126
HD 157347,HD 157347,260.7136987897198,-2.3881777294933,G3V,50.8591,0.0544,6.2779998779296875,6.103700160980225
HD 136923,HD 136923,230.6951412671229,18.9189608381123,G9V,50.6409,0.0342,7.123000144958496,6.942999839782715
HD 219764,"GJ  1283, HD 219764",349.772496265934,-60.520663463809,K5Vk:,50.5944,0.0359,8.930000305175781,8.478400230407715
HD 189733,"HD 189733, GJ  4130",300.1821376595367,22.710853280906388,K0V+M4V,50.5685,0.0323,7.6479997634887695,7.414299964904785
HD 110810,HD 110810,191.3100547424869,-57.3580010678286,K4V,50.4855,0.045,7.8429999351501465,7.5279998779296875
G 130-9,GJ   906,356.4562544479869,36.2550490639808,K4V,50.4494,0.0522,9.932000160217285,9.301600456237793
BD+40  4631,"GJ   836.8, GJ  9752",326.1248403916435,41.5974618233972,K8V,50.4206,0.0281,9.673999786376953,9.038900375366211
HD  97214,"HD  97214, GJ   415",167.7945870186577,-10.9508863569284,K5V,50.334,0.0478,9.218999862670898,8.78909969329834
HD 181321,"HD 181321, GJ   755",290.3738657179381,-34.9834323141701,G2V,50.2864,0.3959,6.480000019073486,6.312099933624268
