HIP,Age,Age_lolim,Age_hilim
40674,8.67,3.9,3.01
41526,5.47,2.67,1.43
38769,10.88,1.06,1.55
32673,6.61,3.8,1.06
32916,4.65,1.16,3.72
32955,5.93,0.49,0.64
32480,2.74,0.86,1.4
30860,10.52,2.1,0.93
30057,3.14,0.55,0.25
28767,1.41,0.44,1.23
35989,13.14,8.11,0.11
35136,7.63,0.22,3.01
36439,2.8,0.25,0.86
38325,1.8,0.06,0.92
34642,12.3,2.23,0.7
31965,7.3,1.65,1.33
30247,1.1,0.14,0.14
30990,11.48,1.14,1.04
44324,6.22,2.9,2.24
46853,2.77,0.03,0.27
45983,5.39,3.45,1.63
45982,6.43,3.95,2.61
43981,6.68,0.64,0.66
42575,4.56,2.3,2.09
45333,6.29,1.4,0.29
49130,,,
49246,4.65,0.52,0.48
56423,7.5,0.53,1.08
53535,5.88,1.44,0.3
56948,7.06,1.85,1.6
47791,1.43,0.19,0.12
48209,13.14,6.8,0.34
46066,6.43,2.95,2.84
54952,,,
57532,8.67,2.65,2.61
40687,1.39,0.69,1.32
42438,0.2,0.1,0.1
39616,5.39,2.01,0.84
35599,8.4,1.12,0.86
39822,8.75,2.12,2.21
40848,8.67,4.78,3.17
33932,2.52,1.47,1.99
32439,1.25,0.11,1.63
29269,12.69,1.58,1.51
73815,8.42,1.32,0.98
76543,7.85,0.49,0.67
76114,7.69,2.57,1.31
74033,12.11,1.39,1.48
75281,12.11,1.5,1.32
71395,0.3,0.1,0.1
71819,9.32,1.48,0.77
76899,9.19,0.73,1.02
78072,4.25,0.81,0.31
79720,9.86,1.83,1.38
74432,10.81,1.66,0.68
74434,10.16,1.89,2.16
77152,0.3,0.1,0.1
68030,5.84,1.33,0.63
72848,9.41,4.6,2.21
72659,0.2,0.1,0.1
70324,13.14,6.21,0.17
71076,6.71,1.05,0.61
70520,11.52,0.75,0.6
71115,1.43,0.16,0.14
67275,0.4,0.1,0.1
67927,2.46,0.34,0.45
70310,0.49,0.25,0.09
69226,2.02,0.26,0.25
74341,5.42,2.48,1.94
73768,6.41,0.96,0.26
72604,11.52,1.13,1.49
72567,0.6,0.1,0.1
74933,8.42,0.89,1.02
76911,10.16,4.15,1.81
74442,7.29,0.58,0.93
71284,1.7,0.62,0.18
71243,2.85,0.55,0.15
73941,1.5,0.24,0.99
72199,5.18,0.8,1.1
72469,2.55,0.04,1.07
81312,5.94,1.07,1.03
81693,3.2,0.13,0.14
79837,12.63,1.16,1.24
78459,2.5,0.4,0.4
78680,2.58,1.35,2.23
81210,5.8,0.83,1.44
79862,5.76,2.15,1.71
80838,2.78,0.48,0.49
84862,12.96,1.51,1.35
83949,11.35,1.19,0.52
85810,3.24,1.36,1.48
86431,10.12,2.49,1.04
87382,2.81,1.02,0.49
85650,9.95,3.66,0.76
83389,,,
85400,9.25,0.52,1.39
85653,,,
84855,4.0,0.8,0.45
86173,6.97,0.38,0.86
78028,4.38,2.29,2.06
78012,1.41,0.06,0.0
79448,13.79,0.84,0.72
78775,,,
79186,11.09,1.53,1.01
78640,10.16,3.54,1.31
77760,6.85,0.5,0.42
79434,8.33,0.42,1.31
79248,2.53,1.11,3.64
75676,4.38,2.13,2.02
75093,1.35,0.19,0.1
77466,11.67,2.89,1.66
81512,7.14,3.64,1.14
81072,3.07,0.53,0.06
83069,5.43,1.19,0.52
80818,6.04,0.32,0.24
80264,7.02,0.89,0.41
85964,4.5,0.21,0.46
86036,3.88,1.4,1.71
66290,5.1,0.2,0.84
67422,,,
68593,1.9,0.94,0.89
64394,1.6,0.4,0.4
63405,3.17,0.46,0.45
63048,10.07,1.58,1.6
63636,1.79,0.94,1.55
66051,11.01,0.67,0.89
64747,6.43,2.45,2.78
65049,10.95,2.45,0.85
66514,10.99,0.94,1.2
71193,,,
71168,2.17,0.3,0.32
72835,4.89,0.77,0.77
70873,11.32,1.36,1.24
66464,6.16,1.65,0.86
69862,2.15,0.24,0.4
62077,11.67,2.18,0.91
62207,9.45,2.61,2.75
62816,2.19,0.87,2.79
61317,6.76,2.03,1.29
61264,6.4,0.32,0.91
65754,1.89,0.37,0.26
66192,5.05,0.54,0.47
62145,3.45,0.44,7.8
61044,4.01,1.29,0.89
60988,4.09,0.12,0.31
62175,6.25,2.47,0.92
62527,5.48,0.6,2.0
60588,9.66,0.89,0.87
60268,13.4,3.12,0.62
73637,1.33,0.24,0.32
73695,9.6,2.07,1.77
72487,1.79,0.15,0.14
73100,2.4,0.52,0.58
73146,8.78,1.53,1.09
70497,2.95,0.31,0.23
71181,,,
73005,,,
69535,5.11,0.99,0.52
72467,3.5,0.63,0.18
72407,13.15,3.93,0.56
78527,1.75,0.37,0.45
82750,9.38,0.78,0.5
86830,12.39,2.5,1.44
85235,8.67,3.24,4.13
86568,6.43,3.18,5.08
76556,5.1,1.25,0.24
