HIP,Age,Age_lolim,Age_hilim
95253,3.15,0.27,0.98
95447,5.02,0.34,2.87
95572,,,
96078,4.53,0.85,0.82
82369,2.18,0.41,0.32
83962,2.08,0.22,0.06
83181,2.91,1.25,2.5
79672,4.48,1.36,2.11
77883,9.95,2.91,1.06
79545,11.26,0.76,1.08
81608,3.06,0.39,0.43
81681,11.65,1.55,1.91
81461,11.68,1.13,1.06
81300,1.8,0.4,0.4
84803,7.44,1.54,3.11
85090,4.0,0.57,0.3
83906,6.01,1.66,0.1
83058,3.3,1.31,0.5
84696,5.29,1.39,0.43
85042,7.95,2.31,1.22
85757,9.09,1.32,1.37
85307,2.67,0.35,0.39
86400,3.2,0.6,0.6
82935,3.93,0.15,1.57
82629,3.65,0.18,1.19
84217,2.72,0.36,0.37
82588,0.6,0.1,0.1
83601,0.6,0.2,0.2
77749,,,
79304,2.41,1.06,2.22
74948,3.25,0.19,0.47
75923,7.08,3.86,1.6
74443,,,
74975,3.3,0.7,0.7
77052,4.6,1.63,2.58
76963,7.35,0.43,0.53
77159,8.85,1.37,1.06
78030,6.75,0.8,1.13
77257,4.2,1.1,1.1
81022,4.26,0.43,1.96
80837,11.33,0.67,0.99
80162,13.14,7.93,0.19
83204,8.24,1.15,0.82
81748,9.57,2.09,1.04
88601,1.3,0.3,0.3
88622,10.12,2.61,1.49
87089,,,
90593,5.2,0.08,2.33
86013,,,
86225,3.5,0.68,0.59
85940,5.4,0.59,0.52
84824,6.03,1.39,1.66
87732,4.4,0.47,0.57
88166,,,
93203,1.93,0.09,0.08
90864,4.94,2.36,3.2
94615,11.65,6.52,0.65
93975,1.08,0.28,0.36
90144,8.19,0.71,0.74
92043,2.46,0.18,0.14
92270,0.95,0.0,1.39
84506,6.31,0.92,0.66
86321,5.66,2.87,1.25
85912,3.29,0.44,0.4
83489,11.65,5.04,0.67
85007,5.25,0.97,1.87
88348,12.81,3.29,0.92
88194,8.09,1.07,2.27
89912,2.52,0.87,2.56
89408,6.58,0.28,0.29
88945,3.32,1.49,2.3
86974,7.88,0.23,0.24
86382,3.36,0.27,0.29
85378,12.95,1.42,0.59
88427,8.66,3.91,1.11
88972,5.4,1.2,1.2
22504,2.71,1.37,2.36
26394,3.0,0.73,1.89
8991,2.25,0.14,0.3
1292,,,
16115,1.94,0.8,1.33
26380,8.6,0.76,0.21
20677,13.02,1.44,1.07
20625,8.1,1.47,1.85
20277,,,
2021,6.15,0.22,0.1
5842,14.26,2.68,0.1
5529,8.67,2.95,3.64
3497,9.18,1.36,3.37
7599,5.14,1.19,1.96
15330,6.42,3.56,0.87
15371,6.22,2.73,0.83
14240,1.95,0.14,0.2
17096,4.15,1.36,2.1
12653,0.7,0.2,0.2
14964,1.74,0.5,1.61
27887,11.65,7.5,1.07
25544,0.5,0.1,0.1
23693,,,
27244,1.84,0.6,1.84
21850,6.18,1.96,2.64
28393,4.94,2.18,5.52
25963,5.12,1.23,0.2
15510,14.38,2.59,0.03
14857,3.56,0.96,0.43
16365,13.24,1.63,0.88
22451,10.16,6.31,2.34
18870,5.01,1.19,0.39
1599,7.16,2.36,0.27
3170,8.22,1.34,0.36
7751,3.45,1.08,7.14
7751,4.94,2.25,6.01
7978,1.29,0.33,1.52
1931,4.09,0.84,1.54
1954,4.79,2.28,2.14
2711,2.99,0.67,0.42
5862,3.34,1.2,0.32
10138,3.2,0.5,0.5
9381,12.88,1.91,0.71
8398,6.01,1.69,0.4
522,2.9,0.24,0.42
4959,2.99,0.9,0.66
5054,14.4,1.2,0.23
3391,8.37,2.15,1.15
7885,7.86,2.14,0.78
4148,7.23,3.3,5.15
6607,8.67,3.37,3.3
13473,1.65,0.15,0.14
14879,,,
15527,8.24,0.79,2.02
12186,7.05,0.49,0.29
14623,3.32,1.64,1.94
13769,,,
17420,5.75,2.06,6.39
15940,10.06,0.62,1.25
10798,6.43,2.81,5.08
11072,0.7,0.1,0.1
12843,3.57,1.27,1.19
11915,7.52,3.96,0.78
8770,2.66,0.7,0.51
8121,6.51,0.84,1.43
8507,6.35,3.63,1.99
7961,12.48,0.82,0.89
8674,13.14,7.0,0.15
11783,2.85,0.15,0.38
9349,5.56,2.69,1.33
14501,11.47,1.43,1.01
12381,3.81,0.13,1.3
13402,0.2,0.1,0.1
16537,0.4,0.1,0.1
16169,13.39,3.19,0.42
12390,2.75,0.15,0.95
12444,0.9,0.2,0.2
14241,10.16,3.83,2.6
45183,6.9,0.16,0.67
37284,4.94,1.91,7.02
56675,1.76,0.18,0.14
55280,2.33,0.26,0.3
46126,2.41,1.07,2.0
29271,4.9,0.7,0.7
43686,5.42,0.27,2.03
30037,8.44,2.68,1.79
38558,6.43,2.74,3.98
38908,5.99,2.45,1.39
38179,8.67,2.8,2.55
54102,3.81,1.93,1.88
57291,6.5,0.29,2.49
57172,4.94,2.29,5.55
51523,5.1,0.29,0.28
53837,5.13,2.16,2.38
57443,10.91,3.04,1.43
54287,6.71,1.34,2.08
52676,8.28,1.34,1.66
52472,7.49,0.81,0.57
55013,9.45,3.44,2.63
47048,3.04,0.87,0.88
47202,3.25,1.34,3.52
44713,7.79,0.74,1.74
49024,6.66,1.84,0.48
52521,10.16,6.23,2.28
53818,2.5,0.34,0.49
54400,9.81,1.96,0.41
52673,10.16,5.71,2.28
50075,3.04,0.79,2.6
51551,1.99,0.25,0.27
52325,13.14,4.53,0.67
51477,11.94,1.23,1.18
30480,5.96,1.54,0.75
33468,3.14,1.06,0.34
33324,,,
36210,8.07,2.03,2.2
30034,3.45,1.37,5.56
34834,1.92,0.21,0.14
43177,2.77,1.15,1.3
42291,2.9,0.93,1.57
42808,6.43,3.04,5.06
39061,1.62,0.16,0.16
40952,3.55,1.6,1.93
39748,7.4,3.04,1.63
30104,4.32,1.03,1.7
34065,9.6,1.81,1.71
28913,2.89,0.63,0.26
30502,8.09,2.36,1.66
30476,10.94,1.73,0.45
32970,3.57,0.48,1.13
31419,8.64,2.04,1.46
36515,,,
37853,,,
38072,5.56,2.92,1.68
35148,9.11,0.8,0.68
37171,6.85,2.74,2.02
37419,6.43,3.4,2.41
34879,4.22,1.59,0.79
36795,2.56,0.19,0.4
43190,6.29,2.22,1.62
46007,1.61,0.55,3.03
41926,8.67,4.66,3.33
42214,6.43,2.19,4.29
41317,6.35,1.52,2.92
48468,3.31,0.23,0.13
47592,3.78,0.43,1.13
49668,9.93,1.34,0.89
50013,2.1,0.41,0.51
49728,7.14,2.09,1.77
47007,2.02,0.47,1.35
42430,,,
40035,2.68,0.83,0.35
40693,7.4,4.23,1.99
44927,4.9,0.52,0.59
44075,12.24,0.88,1.0
44860,13.18,0.77,0.93
44896,9.7,0.81,0.44
42343,3.65,0.29,0.98
42333,0.3,0.1,0.1
44212,4.98,1.9,1.15
44890,4.45,2.16,2.21
43393,,,
43726,1.4,0.3,0.3
82853,13.33,3.61,0.39
79242,10.96,3.0,2.1
69090,7.07,1.14,0.2
74653,5.58,2.39,1.75
84988,,,
79143,6.43,2.97,3.48
80686,2.1,0.4,0.4
85272,13.14,5.6,0.39
80645,1.55,0.1,0.1
78169,1.68,0.62,2.47
76716,2.0,0.55,0.31
79190,12.39,7.42,0.59
65036,5.28,0.09,2.26
69796,6.05,1.41,1.06
66618,4.95,0.73,1.46
70459,4.73,1.66,1.77
69063,,,
62534,14.25,1.52,0.31
61291,,,
65479,1.79,0.14,0.14
69972,8.67,5.9,3.28
68162,5.0,1.25,1.7
75308,2.76,0.49,0.43
74273,4.66,0.74,2.44
71681,5.2,0.8,0.8
71683,4.2,0.6,0.6
72673,5.92,0.47,0.62
71735,,,
71184,1.5,0.17,0.16
73241,8.83,1.88,1.77
75181,14.11,1.31,0.36
83229,,,
85969,7.55,1.28,0.91
83431,1.74,0.25,0.31
79967,9.8,0.46,0.76
83707,3.66,1.81,1.82
81746,9.45,3.02,2.24
86796,7.55,2.21,0.03
84720,,,
87330,6.43,3.23,5.72
84489,3.28,0.31,1.11
84551,1.69,0.16,0.15
77517,10.16,6.07,2.46
78117,2.01,0.21,0.25
78747,2.69,0.32,1.15
77358,5.71,2.0,2.39
80337,0.6,0.1,0.1
82708,3.0,0.14,1.12
79578,2.58,0.97,2.54
78330,12.96,1.52,0.78
80736,5.0,0.41,0.91
60644,2.24,0.76,1.27
62229,10.16,5.97,2.56
64583,4.1,0.52,0.43
66047,6.8,1.45,1.42
64550,9.94,2.26,1.97
67742,8.67,5.12,3.5
71639,2.13,0.31,0.39
61328,1.58,0.19,0.12
60729,8.37,0.83,0.74
64408,5.6,0.8,0.8
63918,,,
61595,4.73,1.93,1.64
58803,,,
60370,2.9,1.35,1.46
66238,,,
67408,4.61,1.93,0.72
66765,8.67,4.37,3.74
65808,7.65,1.04,2.2
64295,6.43,3.11,5.72
66885,13.14,4.29,0.69
66563,1.63,0.2,0.16
66060,1.26,0.3,0.33
64459,9.6,0.81,0.11
64713,1.83,0.55,3.32
62661,6.32,1.46,0.44
65737,9.23,1.37,1.77
67620,10.26,3.54,1.9
74389,5.51,1.89,1.33
72772,3.35,0.05,1.29
74500,5.41,0.6,2.17
73385,13.24,1.91,0.83
73184,3.7,0.5,0.5
79524,8.75,0.45,0.39
77740,3.29,1.6,1.56
78400,2.35,0.31,0.84
78059,1.91,0.18,0.14
76976,,,
70681,6.43,3.2,5.3
67487,,,
70123,2.71,1.5,1.41
69232,13.14,6.18,0.57
75379,2.69,0.32,0.35
74067,12.5,3.7,0.95
73309,2.45,0.29,0.45
104436,4.94,1.55,4.58
116250,4.95,1.06,0.1
110852,0.55,0.03,1.44
110712,6.41,1.44,1.5
108158,8.38,1.81,1.66
102128,4.52,1.34,1.04
103654,6.95,1.28,0.9
116745,13.14,8.01,0.16
113137,6.69,1.63,0.65
109214,6.7,0.59,0.77
105858,6.36,1.18,1.16
106213,3.29,1.03,1.73
100396,3.15,0.2,1.22
98959,11.69,2.14,1.4
99240,7.42,1.67,1.97
89162,7.73,2.15,0.83
95467,8.67,4.69,3.83
101806,4.01,0.34,2.2
106696,7.18,3.87,4.8
101905,5.3,1.93,2.09
103458,14.41,2.21,0.04
118123,4.94,2.43,2.8
116084,2.24,0.95,1.09
114996,2.06,0.2,0.47
115577,10.22,1.17,1.15
110109,8.57,1.47,1.49
112414,7.75,0.47,0.33
113044,5.0,1.18,0.03
111143,5.81,1.44,0.37
110843,4.9,2.0,2.03
112117,3.5,0.8,1.43
117320,7.31,0.91,0.34
115054,2.11,0.23,0.2
108736,11.4,1.77,0.92
107649,3.32,1.22,2.14
107225,2.5,1.14,0.12
109821,10.41,1.56,0.76
108375,3.05,1.54,0.4
111978,6.43,3.02,3.29
111960,13.15,8.51,0.0
113238,6.43,2.9,3.33
109422,,,
89650,6.03,2.51,1.67
89042,5.33,1.14,1.5
94570,6.42,0.67,0.52
94858,2.9,0.15,0.95
100412,7.59,0.89,0.53
97546,2.15,0.57,1.26
99461,6.1,0.9,0.9
90223,8.16,1.72,1.0
93858,4.17,1.65,3.64
89269,6.99,1.35,0.93
97515,2.96,0.45,0.45
98066,3.0,0.62,0.12
95164,6.73,1.45,0.51
96124,10.16,3.48,2.12
94645,2.5,1.52,0.04
103882,1.98,0.11,0.12
103646,1.31,0.3,0.35
100925,6.43,2.25,4.18
102152,8.6,3.31,1.24
104504,1.95,0.41,3.72
102485,1.3,0.6,0.31
102018,4.9,0.83,1.96
108996,1.81,0.43,3.64
109509,2.57,0.36,0.36
108708,3.81,1.97,2.04
106006,5.71,1.87,2.29
106559,1.35,0.32,0.94
104903,3.59,1.67,1.26
105481,6.0,0.52,0.33
108468,7.81,1.26,1.54
107095,2.99,0.15,0.14
99825,,,
100233,8.02,1.03,1.5
101997,9.41,5.19,2.94
102762,6.25,1.21,1.39
100568,4.94,2.23,4.57
101027,1.74,0.14,0.15
98589,3.13,1.56,2.06
99224,10.79,1.03,0.76
99572,3.04,0.51,0.45
102664,1.94,0.71,3.23
106007,5.79,0.86,0.66
101507,5.45,1.15,0.25
102379,8.44,0.59,0.88
103682,6.34,1.11,1.23
103237,3.09,0.75,0.26
