Age,Name,SimbadName,RAJ2000,DEJ2000
5000,G179-7,G179-7,225.29941,35.4537
5000,LP859-11,LP859-11,227.09715,-23.86074
5000,LP222-65,LP222-65,229.16916,39.18009
15,OT Ser,OT Ser,230.47071,20.97801
5000,G224-65,G224-65,230.96365,58.46903
5000,LP176-55,LP176-55,233.41389,46.25113
5000,LHS3122,LHS3122,237.40814,34.81675
5000,G256-25,G256-25,237.47758,79.66461
5000,LHS3129,LHS3129,238.27654,34.75386
5000,LP916-45,LP916-45,238.90352,-32.0002
5000,LHS411,LHS411,240.71045,20.587
5000,GJ3942,GJ3942,242.26375,52.94399
5000,G180-42,G180-42,243.48382,33.77325
5000,Gl625,Gl625,246.35404,54.30377
5000,LP386-49,LP386-49,246.38438,26.02716
5000,G225-64,G225-64,247.76367,64.68455
5000,GJ3959,GJ3959,247.82792,40.86492
5000,GJ3966,GJ3966,248.86455,35.01575
5000,LTT14949,LTT14949,250.2034,36.31705
5000,LHS3240,LHS3240,251.55658,16.4771
5000,LHS3241,LHS3241,251.63054,34.58133
5000,G181-10,G181-10,252.35314,39.2757
5000,GJ3976,GJ3976,252.74154,22.45238
5000,GJ1207,GJ1207,254.27479,-4.34962
5000,GJ3981,GJ3981,254.60467,13.96969
5000,GJ3991,GJ3991,257.38233,43.68079
5000,LTT15087,LTT15087,257.8953,38.44267
5000,GJ3997,GJ3997,258.95853,19.00004
5000,LP447-38,LP447-38,259.59348,18.14858
5000,LHS3281,LHS3281,259.97038,41.71221
5000,GJ669A,GJ669A,259.97537,26.50155
5000,Gl678.1A,Gl678.1A,262.59475,5.54805
5000,Gl686,Gl686,264.47418,18.59363
5000,LHS3321,LHS3321,265.9832,43.37744
5000,NLTT45468,NLTT45468,266.54903,60.40669
5000,GJ693,GJ693,266.63859,-57.32167
5000,NLTT45598,NLTT45598,267.89799,37.82702
300,G227-22,G227-22,270.57009,64.26163
5000,G182-37,G182-37,271.07349,35.95665
5000,Gl701,Gl701,271.28269,-3.03197
5000,LP449-10,LP449-10,271.70238,17.34677
