recno,Date,n_Date,n_Star,Star,m_Star,B-V,Vmag,SpType,SAAT,e_SAAT,logR'HK,_RA,_DE
251,2453240.0,24," ",HD 219048," ",0.733,6.9,G5V,0.162,0.001,-5.01,348.53457,-70.05819
252,2453240.0,24," ",HD 222668," ",0.835,7.35,G8IV/V,0.16,0.001,-5.05,355.82082,-70.81814
253,2453240.0,24," ",HD 224619," ",0.741,7.47,G8V,0.192,0.001,-4.88,359.86846,-20.03471
254,2453537.0,," ",HD  56957," ",0.701,7.57,G3V,0.148,0.001,-5.09,109.32511,-40.65656
255,2453537.0,," ",HD  63685," ",0.758,7.38,G5V,0.157,0.001,-5.04,116.59701,-61.43015
256,2453537.0,," ",HD  67556," ",0.548,7.3,F8V,0.196,0.001,-4.77,121.78648,-36.38141
257,2453537.0,," ",HD  69655," ",0.579,6.63,G1V,0.176,0.001,-4.88,123.85506,-52.0603
258,2453537.0,,*,HD  70642," ",0.692,7.17,G8:III,0.175,0.001,-4.93,125.36723,-39.70541
259,2453537.0,," ",HD  72769," ",0.745,7.22,K1IV,0.161,0.001,-5.02,128.44044,-23.35555
260,2453537.0,,*,HD  73526," ",0.737,8.99,G6V,0.154,0.001,-5.05,129.31868,-41.3191
261,2453537.0,," ",HD  74868," ",0.567,6.56,G3IV,0.165,0.001,-4.93,131.21152,-44.5426
262,2453537.0,,*,HD  76700," ",0.745,8.16,G8V,0.16,0.001,-5.02,133.48131,-66.80099
263,2453537.0,," ",HD  80913," ",0.556,7.49,F6V,0.166,0.001,-4.93,138.10456,-81.76855
264,2453537.0,," ",HD  94340," ",0.645,7.02,G3/G5V,0.293,0.002,-4.53,163.26897,-20.62816
265,2453537.0,," ",HD  95456," ",0.527,6.06,F8V,0.168,0.001,-4.91,165.16993,-31.83937
266,2453537.0,," ",HD 142022," ",0.79,7.7,K0V,0.166,0.001,-5.01,242.5626,-84.23161
