Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
tau Cet,"10700  ",8102,3.7,11.49,,8.5,,2.99,9.99
109 Psc,"10697  ",8159,32.6,9.47,7.75,8.5,8.42,1.72,8.53
HD 10853,"10853  ",8275,24.0,1.54,1.19,4.64,3.23,3.45,2.65
HR 511,"10780  ",8362,10.1,,0.83,9.5,0.75,8.75,3.69
HD 11038,"11038  ",8383,102.9,3.71,3.43,6.05,6.21,2.77,4.85
HD 11007,"11007  ",8433,27.9,8.97,8.88,,7.17,1.8,8.34
HD 11507,"11507  ",8768,11.0,,9.5,3.73,5.29,5.77,6.17
HD 11373,"11373  ",8867,22.5,5.36,3.42,4.79,5.28,1.94,4.71
HD 12051,"12051  ",9269,25.0,,10.43,7.0,,3.43,8.71
112 Psc,"12235  ",9353,33.5,,3.25,4.0,2.88,1.13,3.38
HD 12661,"12661  ",9683,35.0,9.61,5.06,5.33,8.75,4.55,7.19
HD 12846,"12846  ",9829,22.8,10.99,3.03,7.8,9.68,7.96,7.87
HD 13043,"13043  ",9911,37.0,9.44,7.63,,11.0,3.38,9.35
BD+29 366,"       ",10140,54.2,6.34,10.0,9.0,10.0,3.66,8.83
66 Cet B,"13612B ",10303,47.9,5.76,4.62,4.7,6.39,1.77,5.37
66 Cet,"13612  ",10305,39.7,2.97,3.63,3.0,3.16,0.66,3.19
eta Ari,"13555  ",10306,28.9,3.98,5.63,,3.63,2.0,4.41
V* V450 And,"13507  ",10321,26.8,5.1,4.54,6.1,3.2,2.9,4.73
HD 13403,"13403  ",10322,41.0,,10.0,10.67,12.06,2.06,10.91
HD 13579,"13579  ",10531,18.6,7.61,4.63,3.66,9.96,6.3,6.46
del Tri,"13974  ",10644,10.8,6.31,5.75,10.0,,4.25,7.35
HR 672,"14214  ",10723,24.4,7.94,9.0,,7.5,1.5,8.15
HD 14412,"14412  ",10798,12.7,10.48,2.34,3.25,2.09,8.39,4.54
HD 14374,"14374  ",10818,38.8,6.08,1.18,4.74,5.36,4.9,4.34
HD 14348,"14348  ",10868,56.6,5.01,5.83,5.5,5.5,0.82,5.46
HD 14624,"14624  ",11053,74.3,10.73,11.25,9.75,11.21,1.5,10.73
kap For,"14802  ",11072,22.0,5.55,9.5,7.0,7.0,3.95,7.26
HD 15189,"15189  ",11367,89.5,5.36,3.94,2.48,3.25,2.88,3.76
HD 15069,"15069  ",11505,56.0,5.01,9.33,11.0,10.8,5.99,9.04
13 Tri,"15335  ",11548,31.4,3.98,9.83,7.0,6.5,5.85,6.83
HD 15632,"15632  ",11728,39.8,5.22,1.63,2.69,4.97,3.59,3.63
79 Cet,"16141  ",12048,39.0,8.81,11.0,10.0,9.63,2.19,9.86
HD 16160,"16160  ",12114,7.2,1.21,1.36,1.98,3.04,1.83,1.9
30 Ari B,"16232  ",12184,40.8,1.61,3.2,1.83,2.38,1.59,2.26
HR 761,"16220  ",12200,49.9,3.16,4.69,4.0,3.42,1.53,3.82
HD 16397,"16397  ",12306,34.3,5.66,5.15,9.0,,3.85,6.6
HR 784,"16673  ",12444,21.8,1.05,2.8,0.98,1.47,1.82,1.58
84 Cet,"16765  ",12530,22.6,2.51,4.58,4.0,3.75,2.07,3.71
tet Per,"16895  ",12777,11.1,3.5,1.85,1.8,1.75,1.75,2.23
tau01 Eri,"17206  ",12843,14.2,2.0,1.85,1.8,1.47,0.53,1.78
HD 17382,"17382  ",13081,24.6,4.83,9.78,4.68,11.5,6.82,7.7
BD+33 529,"       ",13375,14.6,,,3.04,,0.0,3.04
HR 857,"17925  ",13402,10.4,0.79,0.95,2.56,1.39,1.76,1.42
HD 18445,"18445  ",13769,26.1,,,,,,
HD 18455,"18455  ",13772,22.5,,,10.0,,0.0,10.0
V* BW Ari,"       ",13806,39.2,4.94,2.17,2.27,4.23,2.77,3.4
47 Ari,"18404  ",13834,33.2,,1.75,1.1,1.05,0.7,1.3
V* BZ Cet,"18632  ",13976,24.4,10.48,10.75,4.58,,6.17,8.6
eps For,"18907  ",14086,32.2,10.72,7.5,8.0,8.17,3.22,8.6
51 Ari,"18803  ",14150,20.6,2.17,5.35,3.05,6.76,4.59,4.34
HD 18768,"18768  ",14181,48.2,7.94,7.9,7.0,6.58,1.36,7.36
HD 19019,"19019  ",14258,31.0,4.94,1.39,2.3,5.1,3.71,3.43
HD 18757,"18757  ",14286,24.2,10.0,9.25,8.0,,2.0,9.08
HD 19383,"19383  ",14464,71.8,1.76,1.81,1.45,1.62,0.36,1.66
HD 19308,"19308  ",14532,41.9,,8.0,8.0,10.5,2.5,8.83
HD 19445,"19445  ",14594,40.1,,,11.5,,0.0,11.5
iot Per,"19373  ",14632,10.5,10.0,8.25,,7.25,2.75,8.5
HD 19617,"19617  ",14721,57.6,2.9,4.68,4.05,4.91,2.0,4.13
alf For A,"20010A ",14879,14.2,5.15,6.69,5.0,4.5,2.19,5.33
94 Cet,"19994  ",14954,22.6,,4.0,,4.13,0.13,4.06
HD 20165,"20165  ",15099,22.7,2.19,2.07,1.73,4.43,2.7,2.61
HD 20339,"20339  ",15199,48.7,0.92,7.67,1.74,8.3,7.38,4.66
HD 20367,"20367  ",15323,26.7,3.57,3.91,1.8,2.63,2.11,2.98
HD 20512,"20512  ",15394,82.0,3.39,4.65,3.1,2.6,2.04,3.43
HD 20039,"20039  ",15405,122.0,8.04,6.46,7.5,7.34,1.58,7.33
kap01 Cet,"20630  ",15457,9.1,2.77,1.2,2.43,4.66,3.46,2.76
HD 232781,"232781 ",15673,23.4,,3.23,3.99,2.09,1.9,3.1
HD 21019,"21019  ",15776,37.1,6.42,8.5,5.5,5.8,3.0,6.56
BD+43 699,"       ",15797,25.8,5.36,6.28,3.66,5.29,2.63,5.15
HD 21197,"21197  ",15919,15.4,,10.0,,,0.0,10.0
HD 21531,"21531  ",16134,12.5,5.97,1.27,,5.29,4.7,4.18
BD+23 465,"       ",16529,43.8,4.16,10.25,4.36,8.25,6.09,6.75
eps Eri,"22049  ",16537,3.2,12.02,,9.5,9.5,2.52,10.34
HD 22072,"22072  ",16641,40.4,3.16,4.25,8.0,11.0,7.84,6.6
HD 22455,"22455  ",16792,76.2,3.98,5.42,2.73,4.31,2.69,4.11
HD 22292,"22292  ",16806,78.2,1.05,1.78,1.44,1.63,0.73,1.48
HD 22468B,"22468B ",,,,,,,,
HD 22468A,"22468A ",16846,30.7,,,,,,
10 Tau,"22484  ",16852,14.0,7.94,9.0,3.0,7.75,6.0,6.92
21 Eri,"22713  ",17027,33.7,5.01,5.56,4.5,4.35,1.21,4.86
HD 22879,"22879  ",17147,25.6,10.24,11.0,,11.33,1.1,10.86
del Eri,"23249  ",17378,9.0,10.19,6.5,6.0,6.5,4.19,7.3
HD 23356,"23356  ",17420,13.9,,0.95,1.16,0.75,0.41,0.95
HD 23349,"23349  ",17603,87.1,2.47,6.44,2.22,4.67,4.22,3.95
HD 23453,"23453  ",17609,14.7,,,1.73,,0.0,1.73
HD 23439A,"23439A ",17666,21.9,5.36,5.19,3.43,5.52,2.09,4.87
HR 1179,"23856  ",17689,38.1,3.6,7.13,,6.0,3.52,5.58
HD 23596,"23596  ",17747,50.4,5.66,,,4.0,1.66,4.83
HD 23476,"23476  ",17790,48.1,2.57,3.64,3.39,,1.08,3.2
HD 24040,"24040  ",17960,46.6,,7.5,,10.5,3.0,9.0
HD 24213,"24213  ",18106,38.7,2.0,5.5,,8.5,6.5,5.33
HD 24552,"24552  ",18261,46.2,4.6,2.74,2.29,3.13,2.31,3.19
HD 24496,"24496  ",18267,20.4,4.5,11.5,5.7,11.25,7.0,8.24
HD 24238,"24238  ",18324,21.0,2.57,2.3,,,0.27,2.43
HD 24409,"24409  ",18413,22.0,,11.75,7.5,,4.25,9.63
HR 1232,"25069  ",18606,46.4,2.51,3.38,4.5,7.44,4.93,4.46
HD 24451,"24451  ",18774,16.2,5.36,2.85,4.03,5.65,2.8,4.47
HD 25457,"25457  ",18859,18.8,1.79,3.56,2.0,1.75,1.81,2.28
HD 25329,"25329  ",18915,18.3,3.02,9.5,,5.29,6.48,5.94
HD 25621,"25621  ",18993,35.4,2.37,3.81,,2.63,1.44,2.94
39 Tau,"25680  ",19076,16.9,5.42,1.88,3.46,3.92,3.54,3.67
HD 25825,"25825  ",19148,45.9,3.4,2.51,2.29,3.03,1.11,2.81
49 Per,"25975  ",19302,44.1,3.17,3.75,4.25,4.56,1.39,3.93
50 Per,"25998  ",19335,21.0,1.58,1.1,1.5,1.75,0.65,1.48
V* EI Eri,"26337  ",19431,50.8,9.53,8.45,7.17,7.42,2.36,8.14
