Name,HD,HIP,d,B1Age,DAge,YAge,B2Age,ARange,<Age>
HD 59090,"59090  ",36339,114.3,2.58,3.36,2.75,2.32,1.04,2.75
HR 2866,"59380  ",36399,27.2,1.71,6.5,1.69,2.6,4.81,3.13
22 Lyn,"58855  ",36439,20.2,1.02,1.5,1.25,1.29,0.48,1.26
HD 59984,"59984  ",36640,27.9,10.72,9.5,8.0,9.75,2.72,9.49
HD 59747,"59747  ",36704,19.8,,,10.5,11.25,0.75,10.88
BD-02 2198,"       ",36985,14.2,,,3.5,,0.0,3.5
alf CMi,"61421  ",37279,3.5,,4.38,,2.13,2.25,3.25
HD 61632,"61632  ",37327,73.5,10.99,10.92,11.2,11.71,0.79,11.2
HD 61606,"61606  ",37349,14.2,3.02,1.99,2.59,5.29,3.31,3.22
HD 62161,"62161  ",37584,74.2,3.03,4.33,1.61,2.21,2.72,2.8
HD 62323,"62323  ",37645,50.9,4.67,9.2,,4.45,4.75,6.11
HD 63598,"63598  ",38134,50.2,,,,,,
HD 63754,"63754  ",38216,50.6,3.57,4.25,,3.75,0.68,3.86
HD 63433,"63433  ",38228,22.0,11.24,0.88,7.0,7.04,10.35,6.54
HD 64021,"64021  ",38397,110.1,2.51,3.03,2.2,1.86,1.17,2.4
HD 64090,"64090  ",38541,29.2,,9.75,,12.5,2.75,11.13
HD 64606,"64606  ",38625,20.1,,,,,,
HD 64468,"64468  ",38657,20.7,,,8.5,,0.0,8.5
HD 64815,"64815  ",38750,77.1,8.05,9.0,6.8,6.96,2.2,7.7
HD 62613,"62613  ",38784,17.2,1.4,1.36,3.3,1.73,1.94,1.95
HD 65583,"65583  ",39157,16.8,6.63,12.25,,10.25,5.62,9.71
HD 65874,"65874  ",39212,77.4,3.83,4.88,4.0,4.46,1.05,4.3
HR 3144,"66011  ",39271,63.8,,2.6,1.95,1.75,0.85,2.1
mu.02 Cnc,"67228  ",39780,23.3,5.55,6.13,7.0,6.5,1.45,6.29
psi Cnc,"67767  ",40023,41.4,,5.7,2.5,1.58,4.12,3.26
HR 3193,"67827  ",40093,48.0,,5.2,,5.5,0.3,5.35
HD 68017,"68017  ",40118,21.8,9.47,7.5,,,1.97,8.49
HD 68168,"68168  ",40133,32.9,1.05,5.36,2.77,6.03,4.97,3.8
HD 68284,"68284  ",40136,76.1,6.42,8.64,7.0,6.68,2.21,7.18
HD 68380,"68380  ",40169,68.8,2.19,1.76,1.51,1.87,0.67,1.83
HD 68638,"68638  ",40497,32.2,,,,,,
HD 69611,"69611  ",40613,48.8,,7.5,,,0.0,7.5
HD 68988,"68988  ",40687,54.5,2.5,1.8,1.55,2.28,0.95,2.03
HD 69830,"69830  ",40693,12.5,3.02,3.64,2.68,3.81,1.13,3.29
BD+01 2063,"       ",40774,22.9,5.36,9.75,3.66,4.64,6.09,5.85
chi Cnc,"69897  ",40843,18.3,2.51,7.5,2.5,5.5,5.0,4.5
HR 3271,"70110  ",40858,39.5,2.51,5.33,3.0,5.25,2.82,4.02
HD 70088,"70088  ",40942,41.9,5.85,1.18,5.13,6.19,5.01,4.58
HD 70889,"70889  ",41134,33.2,2.2,2.3,1.56,2.68,1.12,2.19
HD 70516,"70516  ",41184,37.8,2.37,5.44,3.45,3.91,3.07,3.79
HD 70923,"70923  ",41209,42.3,2.0,4.25,,6.5,4.5,4.25
1 Hya,"70958  ",41211,26.6,5.01,8.0,,,2.99,6.51
HD 71431,"71431  ",41471,73.2,4.62,7.75,4.6,5.38,3.15,5.59
HD 71148,"71148  ",41484,22.3,2.0,6.0,2.57,4.81,4.0,3.85
HD 71595,"71595  ",41569,74.1,2.41,5.17,2.4,2.53,2.77,3.13
HD 71640,"71640  ",41573,44.7,5.55,4.71,3.83,5.17,1.72,4.82
HD 71881,"71881  ",41844,41.3,2.25,7.0,6.33,8.13,5.87,5.93
HD 72659,"72659  ",42030,49.8,9.59,11.75,9.0,9.83,2.75,10.04
HD 72760,"72760  ",42074,21.1,2.19,1.78,2.4,3.42,1.64,2.45
HR 3395,"72945  ",42172,25.1,2.51,2.25,1.55,1.73,0.96,2.01
HD 72946,"72946  ",42173,26.2,2.82,2.07,1.93,3.38,1.45,2.55
V* V401 Hya,"73350  ",42333,24.0,4.97,1.26,1.26,1.5,3.72,2.25
HD 73752,"73752  ",42430,19.4,,7.0,6.5,6.75,0.5,6.75
V* pi.01 UMa,"72905  ",42438,14.4,7.13,9.0,3.5,4.44,5.5,6.02
HD 73668,"73668  ",42488,36.3,3.89,4.73,2.13,4.62,2.6,3.84
HD 73596,"73596  ",42538,123.9,0.9,1.04,0.98,0.7,0.34,0.9
HD 73393,"73393  ",42575,39.9,2.57,2.33,2.84,3.21,0.89,2.74
HD 74156,"74156  ",42723,64.4,7.94,6.65,5.0,5.56,2.94,6.29
HD 74011,"74011  ",42734,46.5,,9.5,,12.5,3.0,11.0
V* KX Cnc,"74057  ",42753,50.3,5.01,11.0,5.0,5.1,6.0,6.53
HD 75318,"75318  ",43304,35.4,6.31,12.25,11.0,,5.94,9.85
54 Cnc,"75528  ",43454,38.3,,7.67,5.67,6.17,2.0,6.5
HD 75488,"75488  ",43543,65.4,10.47,8.25,11.0,11.0,2.75,10.18
HD 75767,"75767  ",43557,24.0,1.05,5.25,2.17,5.84,4.79,3.58
rho01 Cnc,"75732  ",43587,12.3,11.49,8.1,6.5,,4.99,8.7
HD 75935,"75935  ",43670,41.4,4.31,5.44,3.04,5.3,2.4,4.52
HD 76151,"76151  ",43726,17.4,5.66,3.5,6.5,2.59,3.91,4.56
HD 76932,"76932  ",44075,21.0,,,,12.5,0.0,12.5
HD 76752,"76752  ",44089,38.5,11.48,9.5,7.0,11.25,4.48,9.81
HD 76909,"76909  ",44137,52.1,11.75,11.83,6.5,11.5,5.33,10.4
HD 77407,"77407  ",44458,30.5,7.94,2.0,1.83,3.6,6.12,3.84
HD 78366,"78366  ",44897,19.2,1.77,1.82,2.55,3.34,1.57,2.37
c UMa,"79028  ",45333,19.6,5.66,9.5,3.0,6.5,6.5,6.17
HD 79210,"79210  ",45343,5.8,,7.68,,,0.0,7.68
HD 79211,"79211  ",120005,6.4,,,,,,
HD 80372,"80372  ",45685,67.4,5.93,4.15,1.94,3.12,3.99,3.79
HD 80606,"80606  ",45982,177.6,,,,,,
HD 80607,"80607  ",45983,234.2,,,,,,
HD 81040,"81040  ",46076,33.1,8.68,11.25,4.1,5.86,7.15,7.47
HD 81809,"81809  ",46404,30.4,5.01,5.65,4.0,3.83,1.82,4.62
ome Leo,"81858  ",46454,33.2,3.22,4.25,3.5,3.41,1.03,3.59
tau01 Hya,"81997  ",46509,17.3,1.31,5.38,1.3,1.45,4.08,2.36
HR 3762,"82074  ",46543,55.6,,4.58,2.25,2.85,2.33,3.23
HD 82106,"82106  ",46580,12.9,1.21,1.21,2.59,3.23,2.02,2.06
HD 82443,"82443  ",46843,17.8,,0.95,5.19,1.62,4.24,2.58
tet UMa,"82328  ",46853,13.5,,4.5,,2.83,1.67,3.67
HD 82943,"82943  ",47007,27.5,1.42,3.75,1.84,3.86,2.44,2.72
11 LMi,"82885  ",47080,11.4,4.5,4.36,4.5,9.27,4.91,5.66
HD 84117,"84117  ",47592,15.0,1.79,2.25,2.0,2.6,0.81,2.16
HD 84703,"84703  ",48000,73.3,4.01,5.0,1.97,3.67,3.03,3.66
15 LMi,"84737  ",48113,18.4,10.0,7.63,8.0,9.0,2.38,8.66
HD 84937,"84937  ",48152,72.8,,,,,,
HR 3901,"85380  ",48351,41.8,6.31,5.42,,4.08,2.23,5.27
HD 85725,"85725  ",48468,53.9,3.16,3.69,,2.75,0.94,3.2
20 LMi,"86728  ",49081,15.0,3.16,6.04,4.75,7.25,4.09,5.3
HD 87097,"87097  ",49196,62.0,3.78,3.05,3.24,4.82,1.77,3.72
HD 87883,"87883  ",49699,18.2,5.36,7.62,3.13,10.0,6.87,6.53
HD 88133,"88133  ",49813,81.4,5.08,5.44,5.25,4.78,0.66,5.14
HD 88230,"88230  ",49908,4.9,3.23,6.45,3.64,1.06,5.38,3.59
HD 88371,"88371  ",49942,59.3,11.22,10.75,9.0,,2.22,10.32
HD 88595,"88595  ",50013,41.3,,6.5,1.8,,4.7,4.15
HD 88725,"88725  ",50139,35.4,11.49,1.36,11.5,,10.14,8.12
HD 88737,"88737  ",50174,56.8,2.05,2.44,2.15,2.08,0.39,2.18
24 LMi,"88986  ",50316,33.2,8.81,11.0,10.0,9.63,2.19,9.86
35 Leo,"89010  ",50319,31.2,7.13,7.4,5.67,6.75,1.73,6.74
39 Leo,"89125  ",50384,22.8,6.31,4.56,2.5,,3.81,4.46
HD 89269,"89269  ",50505,20.2,4.2,3.88,4.9,4.56,1.03,4.38
HD 89319,"89319  ",50546,44.4,2.51,3.75,7.0,7.19,4.68,5.11
40 Leo,"89449  ",50564,21.4,3.57,,1.4,,2.17,2.49
HR 4051,"89389  ",50606,31.1,7.74,8.5,8.0,,0.76,8.08
HD 89744,"89744  ",50786,39.4,3.16,3.33,1.8,2.42,1.53,2.68
HD 90508,"90508  ",51248,22.9,7.94,7.75,7.0,9.75,2.75,8.11
36 UMa,"90839  ",51459,12.8,2.58,1.36,1.58,3.7,2.34,2.3
HD 90875,"90875  ",51468,23.4,,10.0,,,0.0,10.0
BD+46 1635,"       ",51525,15.7,5.36,4.01,,,1.35,4.69
38 LMi,"92168  ",52139,52.3,2.51,2.75,1.98,2.0,0.78,2.31
33 Sex,"92588  ",52316,36.8,3.98,4.5,4.0,3.7,0.8,4.05
HD 92788,"92788  ",52409,35.5,8.85,4.93,5.5,7.83,3.93,6.78
HD 93215,"93215  ",52667,48.2,1.21,1.58,1.25,3.65,2.44,1.92
HD 94132,"94132  ",53257,44.3,,2.75,2.0,2.38,0.75,2.38
HD 94765,"94765  ",53486,17.3,5.36,3.11,4.69,4.79,2.25,4.49
HD 94915,"94915  ",53549,67.4,2.49,3.22,3.28,8.22,5.73,4.3
BD-10 3166,"       ",,65.2,4.16,2.24,2.25,4.56,2.32,3.3
47 UMa,"95128  ",53721,14.1,1.74,4.38,2.96,4.13,2.64,3.3
HR 4285,"95241  ",53791,44.3,3.98,4.75,4.0,3.65,1.1,4.1
V* DS Leo,"95650  ",53985,11.8,,,,,,
HD 96276,"96276  ",54242,58.4,3.57,4.53,2.75,5.0,2.25,3.96
HD 97100,"97100  ",,,,,,,,
HD 97101,"97101  ",54646,11.9,5.36,2.57,,,2.79,3.96
HD 97334,"97334  ",54745,21.9,4.03,1.95,2.02,3.0,2.08,2.75
HD 97503,"97503  ",54810,18.3,5.36,2.53,9.0,5.79,6.47,5.67
HD 97658,"97658  ",54906,21.1,11.49,,10.0,9.75,1.74,10.41
HD 97584,"97584  ",54952,14.6,3.19,2.02,7.5,5.29,5.48,4.5
ksi UMa B,"98230  ",,8.8,5.81,4.98,6.69,,1.71,5.83
HD 98388,"98388  ",55262,44.0,1.28,1.02,1.15,1.67,0.65,1.28
HD 98630,"98630  ",55427,114.5,2.71,3.59,2.93,3.12,0.88,3.09
HD 98712,"98712  ",55454,13.2,0.63,1.28,4.44,5.09,4.46,2.86
HD 98618,"98618  ",55459,40.1,2.84,7.2,7.33,8.6,5.76,6.49
HD 98800,"98800  ",55505,44.9,,,,,,
HD 98823,"98823  ",55549,99.5,1.48,1.92,1.55,1.25,0.67,1.55
83 Leo,"99491  ",55846,17.7,7.94,6.17,5.75,12.5,6.75,8.09
83 Leo B,"99492  ",55848,18.0,6.3,2.03,4.21,4.44,4.27,4.24
HD 99747,"99747  ",56035,33.3,3.53,4.38,,3.25,1.13,3.72
88 Leo,"100180 ",56242,23.3,2.56,3.96,2.78,2.77,1.4,3.02
17 Crt B,"100286 ",,,3.67,8.31,2.0,2.25,6.31,4.06
17 Crt A,100286J,56280,26.3,3.95,4.44,2.0,2.5,2.44,3.22
89 Leo,"100563 ",56445,27.2,1.13,1.17,0.98,0.93,0.24,1.05
HD 101177,"101177 ",56809,23.3,1.21,3.32,2.39,3.67,2.46,2.65
V* MV UMa,"101206 ",56829,19.9,,,,,,
61 UMa,"101501 ",56997,9.6,1.62,1.65,3.37,2.37,1.75,2.25
HD 101563,"101563 ",57001,43.3,5.66,7.33,5.5,5.5,1.83,6.0
HD 101959,"101959 ",57217,32.6,0.92,1.66,2.36,3.43,2.51,2.09
HD 102158,"102158 ",57349,49.3,,7.5,11.0,,3.5,9.25
bet Vir,"102870 ",57757,10.9,3.82,5.33,,4.08,1.51,4.41
HD 103095,"103095 ",57939,9.1,5.36,5.18,,5.29,0.19,5.28
HD 103932,"103932 ",58345,10.2,10.48,9.75,12.0,,2.25,10.74
HD 104304,"104304 ",58576,12.8,9.16,3.94,3.74,8.27,5.42,6.28
alf Crv,"105452 ",59199,14.9,1.58,,1.2,1.25,0.38,1.34
HD 105631,"105631 ",59280,24.5,5.39,3.54,2.45,5.46,3.0,4.21
HD 238087,"238087 ",59496,28.0,,,,,,
V* GM Com,"106103 ",59527,85.0,1.23,1.27,1.28,1.25,0.05,1.26
HD 106116,"106116 ",59532,34.9,8.15,8.75,6.0,10.75,4.75,8.41
HD 106252,"106252 ",59610,37.7,0.71,5.08,2.28,7.38,6.66,3.86
HD 106516,"106516 ",59750,22.4,1.94,6.5,4.06,2.61,4.56,3.78
HD 106640,"106640 ",59806,89.9,10.31,4.46,9.0,10.21,5.86,8.5
HD 106691,"106691 ",59833,102.4,1.77,5.04,1.31,2.13,3.73,2.56
9 Com,"107213 ",60098,54.5,,2.5,2.5,2.45,0.05,2.48
HD 107611,"107611 ",60304,99.1,2.24,6.63,1.62,1.28,5.35,2.94
17 Vir,"107705 ",60353,29.9,3.16,3.75,1.3,2.32,2.45,2.63
HD 108799,"108799 ",60994,24.6,3.05,6.25,2.25,7.5,5.25,4.76
HD 108874,"108874 ",61028,62.6,,7.26,6.83,11.13,4.29,8.41
HD 108954,"108954 ",61053,21.8,2.2,2.53,1.56,3.62,2.05,2.48
HD 109057,"109057 ",61153,63.8,2.14,4.53,3.83,5.68,3.54,4.05
bet CVn,"109358 ",61317,8.4,5.01,4.5,3.5,7.25,3.75,5.07
HD 110315,"110315 ",61901,14.2,5.36,8.75,11.5,,6.14,8.54
gam Vir A,"110379 ",61941,11.8,0.71,0.84,1.1,0.65,0.45,0.83
HD 110463,"110463 ",61946,23.4,2.57,2.3,2.59,5.29,2.99,3.19
HD 110745,"110745 ",62129,96.0,1.94,2.09,1.51,2.46,0.96,2.0
HD 110833,"110833 ",62145,14.9,5.36,5.15,2.96,,2.4,4.49
HD 110869,"110869 ",62175,46.3,1.05,3.84,1.68,5.35,4.3,2.98
10 CVn,"110897 ",62207,17.4,6.31,8.0,5.42,7.12,2.58,6.71
HD 111069,"111069 ",62350,65.4,3.62,3.81,2.88,4.15,1.27,3.62
HR 4867,"111456 ",62512,24.0,1.75,3.67,1.85,2.16,1.91,2.36
HR 4864,"111395 ",62523,16.9,4.2,2.29,4.9,3.16,2.61,3.64
HD 111513,"111513 ",62527,38.1,2.25,5.0,3.0,7.17,4.91,4.36
HD 111540,"111540 ",62606,90.7,3.76,5.44,3.8,5.11,1.68,4.53
HD 111799,"111799 ",62800,56.2,2.32,5.44,3.19,4.7,3.11,3.91
HD 112068,"112068 ",62839,70.8,10.0,9.25,6.0,9.5,4.0,8.69
HD 112257,"112257 ",63048,42.8,10.09,10.25,7.0,10.0,3.25,9.34
HD 112758,"112758 ",63366,20.9,1.88,1.75,,,0.13,1.82
HD 113470,"113470 ",63778,70.9,4.54,7.75,5.0,8.2,3.66,6.37
HD 113713,"113713 ",63878,91.0,4.61,7.1,5.0,4.75,2.49,5.37
alf Com A,"114378 ",64241,19.6,4.86,7.15,3.25,5.0,3.9,5.06
bet Com,"114710 ",64394,9.1,2.03,1.79,2.55,3.47,1.68,2.46
HD 114762,"114762 ",64426,38.7,,8.0,11.0,,3.0,9.5
HD 114783,"114783 ",64457,20.5,7.54,3.52,6.0,5.51,4.02,5.64
55 Vir,"114946 ",64577,39.0,1.58,6.58,3.0,3.75,5.0,3.73
HD 115274,"115274 ",64733,125.0,2.97,4.33,3.17,3.19,1.35,3.41
e Vir,"115383 ",64792,17.6,10.0,,,8.0,2.0,9.0
HD 115404A,115404A,64797,11.1,11.75,,9.5,6.6,5.16,9.28
HD 115404B,115404B,,,,,,,,
61 Vir,"115617 ",64924,8.6,4.12,6.38,2.21,8.39,6.18,5.27
HD 115953,"115953 ",65026,10.7,,,,,,
HD 116442,"116442 ",65352,15.4,,4.78,8.0,1.05,6.95,4.61
HD 116956,"116956 ",65515,21.6,5.85,4.89,3.66,5.29,2.18,4.92
HD 117043,"117043 ",65530,21.2,,9.14,6.33,10.9,4.57,8.79
70 Vir,"117176 ",65721,18.0,9.47,9.5,9.0,8.5,1.0,9.12
HD 117845,"117845 ",65971,45.0,4.79,2.31,3.48,5.36,3.05,3.99
HD 117635,"117635 ",65982,30.7,,,,,,
HD 118203,"118203 ",66192,88.6,4.5,4.98,4.2,5.13,0.93,4.7
HD 118096,"118096 ",66193,22.4,,,1.07,,0.0,1.07
HD 119332,"119332 ",66781,24.6,8.69,6.02,6.0,5.47,3.21,6.54
BD+18 2776,"       ",67090,13.2,,,8.5,,0.0,8.5
HD 119802,"119802 ",67105,21.0,1.92,1.45,5.16,4.02,3.71,3.14
HD 120066,"120066 ",67246,31.7,10.24,4.25,,8.5,5.99,7.66
tau Boo,"120136 ",67275,15.6,2.0,0.88,0.6,0.94,1.4,1.1
GJ 528 A,120476A,67422,13.4,,,,,,
GJ 528 B,120476B,,,,11.25,,,0.0,11.25
HD 120467,"120467 ",67487,14.3,,9.25,,,0.0,9.25
HD 120690,"120690 ",67620,19.5,5.01,11.5,7.0,,6.49,7.84
HD 120730,"120730 ",67661,77.0,5.16,4.82,3.65,5.29,1.65,4.73
HD 234078,"234078 ",67691,14.2,5.36,1.75,,,3.61,3.56
eta Boo,"121370 ",67927,11.4,2.0,2.63,2.5,2.25,0.63,2.34
HD 122064,"122064 ",68184,10.1,5.36,5.33,3.91,11.5,7.59,6.52
HD 122120,"122120 ",68337,24.8,,,,,,
HR 5258,"122106 ",68380,77.5,1.75,2.08,2.0,1.63,0.46,1.86
HD 122303,"122303 ",68469,10.0,,,,,,
HD 122967,"122967 ",68623,116.7,1.02,2.37,0.99,0.76,1.61,1.28
HD 122742,"122742 ",68682,17.0,6.31,12.25,8.0,12.5,6.19,9.76
HR 5307,"124115 ",69340,44.4,,,1.03,,0.0,1.03
HD 124292,"124292 ",69414,22.1,5.81,5.28,6.0,8.0,2.72,6.27
HR 5317,"124425 ",69493,59.4,1.89,2.08,1.95,1.75,0.33,1.92
HD 124642,"124642 ",69526,17.4,5.36,6.89,4.54,5.29,2.35,5.52
14 Boo,"124570 ",69536,33.9,,4.0,,3.25,0.75,3.63
HD 124553,"124553 ",69564,42.9,,4.75,,3.5,1.25,4.13
HR 5335,"124755 ",69569,45.8,12.02,,,7.25,4.77,9.64
iot Vir,"124850 ",69701,22.2,2.25,3.5,2.15,2.38,1.35,2.57
HD 125040,"125040 ",69751,32.6,2.0,2.33,2.0,1.63,0.7,1.99
HD 125184,"125184 ",69881,32.5,,7.75,6.67,8.75,2.08,7.72
BD+30 2512,"       ",70218,14.3,1.72,0.65,5.8,4.49,5.15,3.16
HR 5387,"126141 ",70310,36.5,0.71,1.05,1.8,2.0,1.29,1.39
HD 126053,"126053 ",70319,17.2,11.24,1.72,9.0,10.56,9.52,8.13
tet Boo,"126660 ",70497,14.5,1.58,6.25,,3.67,4.67,3.83
phi Vir,"126868 ",70755,36.3,1.58,2.06,1.8,,0.48,1.82
HD 127334,"127334 ",70873,23.7,,9.67,10.0,,0.33,9.83
HD 128165,"128165 ",71181,13.2,5.36,5.72,5.08,5.99,0.9,5.54
sig Boo,"128167 ",71284,15.8,2.0,3.5,1.7,1.92,1.8,2.28
HD 128311,"128311 ",71395,16.5,6.35,4.81,6.03,5.97,1.54,5.79
HD 128429,"128429 ",71469,32.2,3.95,4.42,1.4,2.63,3.02,3.1
HD 129132,"129132 ",71729,116.3,1.0,1.08,1.03,0.75,0.33,0.96
HD 129290,"129290 ",71819,70.1,5.55,8.0,9.67,11.5,5.95,8.68
HD 129829,"129829 ",72134,57.4,2.69,2.28,2.28,3.81,1.54,2.76
HD 130087,"130087 ",72190,58.8,5.66,,5.0,4.05,1.61,4.9
HR 5504,"129980 ",72217,41.3,5.01,4.33,5.0,4.25,0.76,4.65
HD 130307,"130307 ",72312,19.4,,,10.0,9.25,0.75,9.63
HD 130322,"130322 ",72339,31.7,3.02,1.86,3.59,3.34,1.73,2.95
HD 130948,"130948 ",72567,18.2,1.21,3.33,1.73,2.83,2.12,2.28
HD 133002,"133002 ",72573,43.3,2.51,3.63,2.5,1.75,1.88,2.6
ksi Boo B,131156B,,6.7,,,,,,
ksi Boo B,131156B,,6.7,,,,,,
ksi Boo A,131156A,72659,6.7,5.01,5.83,5.0,11.25,6.25,6.77
ksi Boo A,131156A,72659,6.7,12.02,0.58,8.0,11.5,11.45,8.02
CCDM J14534+1542AB,"131473 ",72846,47.6,4.46,3.75,1.8,3.25,2.66,3.32
V* DE Boo,"131511 ",72848,11.5,6.71,5.29,3.95,5.44,2.76,5.35
HD 132142,"132142 ",73005,23.4,0.79,0.95,11.5,,10.71,4.41
HD 132254,"132254 ",73100,25.1,4.54,5.38,1.5,2.25,3.88,3.42
HD 131976,"131976 ",73182,5.9,,,,,,
HD 131977,"131977 ",73184,5.8,5.36,8.65,9.5,,4.14,7.84
HD 132375,"132375 ",73309,33.8,3.14,2.75,1.6,2.0,1.54,2.37
HD 133161,"133161 ",73593,36.8,2.0,4.25,1.7,4.56,2.86,3.13
i Boo A,133640A,73695,12.5,,,,,,
i Boo B,133640B,,,,,,,,
HR 5630,"134044 ",73941,29.8,3.16,2.5,1.66,2.55,1.5,2.47
c Boo,"134083 ",73996,19.6,1.58,1.69,1.3,1.38,0.39,1.49
HD 135101,"135101 ",74432,27.2,,11.0,,11.5,0.5,11.25
HD 135101B,135101B,74434,46.5,10.3,10.79,9.7,10.82,1.12,10.4
HD 135145,"135145 ",74442,79.8,9.0,10.08,10.0,9.79,1.08,9.72
23 Lib,"134987 ",74500,26.2,,6.25,,8.0,1.75,7.13
HD 135204,"135204 ",74537,17.7,5.41,7.25,3.04,5.67,4.21,5.34
HD 136064,"136064 ",74605,25.3,3.57,5.67,3.83,3.92,2.1,4.25
HD 135599,"135599 ",74702,15.8,,,9.0,10.75,1.75,9.88
HD 136231,"136231 ",74933,78.6,8.67,9.75,8.5,11.11,2.61,9.51
HD 136118,"136118 ",74948,46.6,,10.67,,4.44,6.23,7.55
5 Ser,"136202 ",74975,25.4,4.5,5.85,2.5,3.33,3.35,4.04
HR 5706,"136442 ",75101,35.1,10.0,8.2,12.0,11.5,3.8,10.43
eta CrB A,"137107 ",75312,17.9,3.02,3.12,1.69,2.65,1.43,2.62
eta CrB B,"137108 ",,,3.02,4.41,1.98,3.04,2.43,3.11
51 Boo Bn,"137392 ",75415,36.1,4.05,2.64,5.63,3.97,2.98,4.07
51 Boo Bs,"137392 ",,,1.86,4.06,1.7,3.8,2.36,2.86
HR 5740,"137510 ",75535,41.3,,4.5,2.75,4.0,1.75,3.75
HD 139777,"139777 ",75809,21.8,1.88,1.75,2.57,4.47,2.72,2.67
HD 139813,"139813 ",75829,21.5,,0.83,10.0,0.8,9.2,3.88
HD 139323,"139323 ",76375,22.4,,9.3,8.86,,0.44,9.08
HD 140283,"140283 ",76976,58.3,11.75,,,,0.0,11.75
psi Ser,"140538 ",77052,14.7,3.92,4.42,5.57,4.02,1.65,4.48
HD 140913,"140913 ",77152,44.9,7.13,5.26,3.63,4.19,3.5,5.05
lam Ser,"141004 ",77257,12.1,8.64,12.0,9.0,10.5,3.36,10.03
HD 141715,"141715 ",77584,63.6,5.55,7.75,7.0,8.75,3.2,7.26
kap CrB,"142091 ",77655,30.5,4.41,3.5,5.0,4.38,1.5,4.32
HD 141937,"141937 ",77740,32.3,3.82,2.47,2.31,3.61,1.51,3.05
chi Her,"142373 ",77760,15.9,9.44,11.0,,8.42,2.58,9.62
39 Ser,"142267 ",77801,17.3,5.02,2.28,7.67,10.71,8.43,6.42
gam Ser,"142860 ",78072,11.3,6.39,6.88,,6.0,0.88,6.42
49 Lib,"143333 ",78400,35.2,3.16,4.5,2.25,2.89,2.25,3.2
rho CrB,"143761 ",78459,17.2,,,12.0,12.5,0.5,12.25
tet Dra,"144284 ",78527,21.0,2.03,2.7,2.3,2.33,0.67,2.34
HD 144287,"144287 ",78709,22.2,10.73,,6.5,,4.23,8.61
HD 144579,"144579 ",78775,14.5,,,,,,
HD 144585,"144585 ",78955,27.1,5.55,8.0,,7.0,2.45,6.85
HD 145148,"145148 ",79137,28.3,6.31,6.8,6.0,7.4,1.4,6.63
HD 145435,"145435 ",79152,37.4,,9.5,,,0.0,9.5
14 Her,"145675 ",79248,17.6,,9.94,8.5,,1.44,9.22
HD 145729,"145729 ",79327,43.1,2.56,3.96,2.78,4.27,1.72,3.39
sig CrB B,"146362 ",,,4.05,7.25,1.93,1.97,5.32,3.8
sig CrB A,146361A,79607,21.1,9.25,9.25,10.0,10.5,1.25,9.75
18 Sco,"146233 ",79672,13.9,5.01,3.5,5.33,3.22,2.11,4.27
eta UMi,"148048 ",79822,29.7,2.05,4.75,1.0,2.25,3.75,2.51
HD 146946,"146946 ",79837,28.5,,8.5,,,0.0,8.5
HD 147044,"147044 ",79862,37.8,8.12,3.77,5.5,3.3,4.83,5.17
HD 147681,"147681 ",80355,73.1,2.91,3.46,1.73,2.53,1.73,2.66
HR 6105,"147722 ",80399,33.1,9.25,11.5,5.5,7.5,6.0,8.44
HR 6106,"147723 ",,,6.31,5.65,4.33,5.17,1.98,5.36
HD 149026,"149026 ",80838,79.4,5.66,3.92,4.0,4.46,1.74,4.51
HD 150706,"150706 ",80902,28.2,4.03,2.16,1.75,3.63,2.28,2.89
HD 149143,"149143 ",81022,62.0,8.69,10.0,9.0,10.21,1.52,9.48
w Her,"157214 ",84862,14.3,7.94,7.25,11.0,,3.75,8.73
12 Oph,"149661 ",81300,9.8,2.19,2.01,1.73,3.62,1.88,2.39
zet Her,"150680 ",81693,10.7,,3.56,,2.69,0.88,3.13
HD 150933,"150933 ",81880,44.1,1.28,3.25,1.38,3.25,1.97,2.29
HD 151426,"151426 ",81947,51.3,9.1,10.0,,9.25,0.9,9.45
HD 151288,"151288 ",82003,9.8,,,5.36,5.93,0.57,5.65
HD 151450,"151450 ",82233,42.1,1.67,4.11,1.86,3.12,2.44,2.69
HD 152391,"152391 ",82588,17.3,5.28,4.98,3.63,4.66,1.66,4.64
HR 6269,"152311 ",82621,26.9,9.47,7.75,9.0,8.42,1.72,8.66
HD 152792,"152792 ",82636,48.0,,8.6,7.0,6.75,1.85,7.45
HR 6301,"153226 ",82989,61.1,2.99,2.5,1.97,2.5,1.02,2.49
HD 153525,"153525 ",83006,17.8,1.21,1.45,2.59,3.42,2.21,2.17
HD 154160,"154160 ",83435,36.3,,6.67,6.0,6.67,0.67,6.44
HD 154578,"154578 ",83517,71.8,6.39,5.67,,,0.73,6.03
HD 154363,"154363 ",83591,10.7,5.36,2.42,,,2.94,3.89
V* V2213 Oph,"154417 ",83601,20.7,2.56,3.96,3.08,2.68,1.4,3.07
HD 154931,"154931 ",83863,55.9,5.81,9.93,6.5,6.7,4.12,7.23
HR 6372,"154962 ",83906,34.9,5.01,5.31,6.0,6.75,1.74,5.77
HD 155712,"155712 ",84195,21.0,5.36,6.2,8.0,5.97,2.64,6.38
BD+29 2963,"       ",84309,67.0,9.98,12.25,8.67,12.0,3.58,10.72
36 Oph A,"155886 ",84405,5.5,5.36,4.7,4.75,4.64,0.72,4.86
