recno,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,_RA,_DE
331,HD 158633,5203,46,0.789,0.014,4.54,0.04,-0.41,0.1,0.77,0.05,10.03,0.33,78.3,6.4,"E,1",1,261.25041,67.30671
332,HD 16160,4662,17,0.795,0.006,4.54,0.01,-0.08,0.1,0.77,0.01,10.16,0.04,138.7,5.8,"E,2",0,39.02039,6.88687
333,HD 161797,5502,55,1.745,0.035,3.99,0.03,0.23,0.1,1.08,0.05,9.93,0.07,119.0,3.4,"E,2",1,266.61469,27.72068
334,HD 164259,6454,113,1.961,0.071,4.01,0.04,-0.03,0.1,1.43,0.07,9.4,0.08,43.1,4.6,"E,2",0,270.12088,-3.69027
335,HD 166,5327,39,0.917,0.009,4.45,0.03,0.08,0.1,0.87,0.04,10.05,0.13,72.6,6.1,"E,1",1,1.65327,29.0215
336,HD 16765,6356,46,1.208,0.029,4.35,0.04,-0.15,0.1,1.17,0.06,9.32,0.25,46.2,5.7,"E,2",0,40.30832,-0.69566
337,HD 168151,6221,39,1.758,0.022,4.03,0.04,-0.28,0.1,1.19,0.1,9.6,0.11,42.6,5.0,"E,2",1,273.47431,64.39729
338,HD 16895,6153,25,1.319,0.011,4.26,0.02,0.0,0.1,1.16,0.05,9.59,0.09,89.0,4.1,"E,2",1,41.04995,49.22845
339,HD 173667,6296,19,2.064,0.017,3.96,0.01,-0.03,0.1,1.43,0.04,9.44,0.03,52.4,4.2,"E,2",1,281.41552,20.54631
340,HD 173701,5297,53,0.952,0.021,4.43,0.04,0.24,0.1,0.88,0.05,10.06,0.18,36.8,7.5,"E,1",2,281.14633,43.83327
341,HD 173739,3407,15,0.356,0.004,4.9,0.01,-0.49,0.1,0.36,0.01,9.83,0.48,283.5,8.9,"E,1",1,280.6946,59.63038
342,HD 173740,3104,28,0.323,0.006,4.92,0.01,-0.36,0.1,0.3,0.01,10.01,0.36,286.4,9.7,"E,1",1,280.6954,59.62688
343,HD 177153,5909,69,1.289,0.037,4.25,0.04,-0.06,0.1,1.06,0.05,9.8,0.1,24.1,7.2,"E,1",2,285.41533,41.49009
344,HD 181420,6283,106,1.73,0.084,4.09,0.06,-0.03,0.1,1.31,0.09,9.5,0.12,20.0,6.5,"E,1",0,290.1128,-1.30976
345,HD 182572,5643,84,1.379,0.042,4.19,0.05,0.34,0.1,1.06,0.09,9.92,0.17,66.0,5.2,"E,2",1,291.2425,11.94441
346,HD 182736,5239,37,2.703,0.071,3.57,0.08,-0.06,0.1,0.97,0.17,10.02,0.22,17.2,7.0,"E,1",2,291.01408,44.93354
347,HD 185144,5246,26,0.778,0.008,4.58,0.03,-0.19,0.1,0.84,0.05,9.51,0.43,173.6,4.7,"E,1",1,293.08996,69.66118
348,HD 186408,5760,57,1.255,0.026,4.25,0.03,0.05,0.1,1.02,0.05,9.92,0.1,47.0,6.0,"E,1",1,295.45397,50.52506
349,HD 186427,5678,66,1.169,0.027,4.3,0.04,0.04,0.1,0.97,0.05,9.97,0.11,47.1,6.2,"E,1",1,295.46655,50.51752
350,HD 187637,6155,85,1.306,0.047,4.27,0.06,-0.09,0.1,1.13,0.07,9.61,0.17,19.1,7.5,"E,1",3,297.32558,41.58246
