recno,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,_RA,_DE
58,HD 155712,4911,60,0.75,0.04,4.52,0.05,-0.07,0.05,0.77,0.04,9.91,0.49,48.7,8.0,"A,2",1,258.15676,18.3512
59,HD 156846,5999,60,1.88,0.23,4.01,0.05,0.24,0.05,1.35,0.12,9.56,0.11,21.1,6.5,"A,1",1,260.14296,-19.33375
60,HD 161479,5642,60,1.15,0.12,4.31,0.05,0.28,0.05,1.03,0.06,9.86,0.17,20.4,8.1,"A,1",1,266.2622,19.29046
61,HD 162232,5492,60,1.03,0.1,4.36,0.05,0.14,0.05,0.92,0.04,10.04,0.16,13.4,8.6,"A,2",1,267.48773,0.51203
62,HD 164922,5341,60,0.95,0.08,4.39,0.05,0.15,0.05,0.88,0.04,10.07,0.18,45.4,7.0,"A,1",1,270.62859,26.313
63,HD 168443,5551,60,1.48,0.18,4.07,0.05,0.04,0.05,0.98,0.06,10.05,0.1,26.4,6.9,"A,2",1,275.01638,-9.59572
64,HD 170657,5041,60,0.76,0.04,4.54,0.05,-0.12,0.05,0.79,0.04,9.81,0.5,76.2,6.8,"A,1",1,277.829,-18.90881
65,HD 17156,5970,60,1.51,0.18,4.15,0.05,0.22,0.05,1.19,0.09,9.67,0.11,30.3,8.2,"A,1",1,42.43536,71.75323
66,HD 172051,5636,60,0.83,0.04,4.58,0.05,-0.26,0.05,0.89,0.04,9.34,0.37,77.0,5.9,"A,2",1,279.7225,-21.05187
67,HD 175425,5773,60,1.27,0.13,4.23,0.05,0.12,0.05,1.03,0.05,9.9,0.11,13.2,7.9,"A,1",1,283.4088,37.98525
68,HD 17620,5159,60,3.04,0.4,3.46,0.05,-0.08,0.05,0.96,0.15,10.03,0.2,7.3,8.2,"A,1",1,42.23243,-24.6098
69,HD 179079,5646,60,1.7,0.22,4.02,0.05,0.23,0.05,1.12,0.11,9.87,0.15,14.1,8.0,"A,1",1,287.79095,-2.63838
70,HD 181234,5314,60,1.04,0.1,4.35,0.05,0.35,0.05,0.92,0.04,10.08,0.14,20.8,8.6,"A,1",1,290.00041,-9.3236
71,HD 18143,5101,60,0.88,0.06,4.43,0.05,0.27,0.05,0.86,0.04,10.06,0.29,44.3,7.6,"A,1",1,43.91274,26.87321
72,HD 18445,4838,60,0.76,0.03,4.44,0.05,-0.04,0.05,0.76,0.03,10.09,0.3,38.9,7.9,"A,2",1,44.30494,-24.97512
73,HD 18742,4941,60,5.05,0.81,3.09,0.05,-0.02,0.05,1.2,0.26,9.75,0.3,6.2,7.8,"A,1",1,45.0444,-20.8026
74,HD 189733,5024,60,0.79,0.04,4.51,0.05,0.07,0.05,0.82,0.04,9.89,0.49,50.4,7.6,"A,1",1,300.18214,22.71085
75,HD 190228,5238,60,2.15,0.23,3.72,0.05,-0.22,0.05,0.9,0.05,10.08,0.08,15.8,7.3,"A,1",1,300.75322,28.30686
76,HD 190571,4999,60,3.6,0.39,3.31,0.05,-0.22,0.05,0.92,0.05,10.08,0.1,9.8,7.5,"A,1",1,301.0982,33.55049
77,HD 193690,5542,60,0.98,0.09,4.41,0.05,0.2,0.05,0.96,0.05,9.83,0.37,14.3,9.4,"A,1",1,305.6306,-26.15989
78,HD 195034,5810,60,0.96,0.06,4.48,0.05,0.0,0.05,1.02,0.04,9.39,0.35,35.7,7.1,"A,1",1,307.04923,22.12899
79,HD 196124,4833,60,0.74,0.03,4.5,0.05,-0.06,0.05,0.76,0.04,9.98,0.47,33.3,8.9,"A,1",1,308.80294,6.12701
80,HD 199255,5027,60,3.74,0.57,3.29,0.05,-0.05,0.05,0.97,0.21,10.02,0.28,8.5,7.3,"A,2",1,313.94606,7.66625
81,HD 199381,4844,60,4.61,0.62,3.19,0.05,0.17,0.05,1.21,0.18,9.78,0.21,13.6,6.9,"A,1",1,314.19771,1.71518
82,HD 200964,4983,60,4.05,0.59,3.22,0.05,-0.07,0.05,0.96,0.2,10.03,0.27,13.9,6.5,"A,1",1,316.66601,3.80312
83,HD 201924,5401,60,0.89,0.07,4.47,0.05,0.05,0.05,0.9,0.04,9.84,0.45,31.9,7.8,"A,1",1,317.79523,45.45591
84,HD 202575,4730,60,0.73,0.03,4.5,0.05,-0.02,0.05,0.75,0.03,9.96,0.47,61.8,7.9,"A,1",1,319.13528,9.39383
85,HD 203471,5425,60,2.34,0.31,3.72,0.05,-0.02,0.05,1.02,0.18,9.94,0.22,7.7,8.3,"A,1",1,320.3933,28.56468
86,HD 203473,5781,60,1.52,0.2,4.11,0.05,0.19,0.05,1.1,0.11,9.86,0.14,13.2,8.2,"A,1",1,320.57864,5.02359
87,HD 20367,6094,60,1.1,0.07,4.46,0.05,0.17,0.05,1.14,0.04,9.18,0.22,37.8,6.4,"A,1",1,49.41686,31.12704
88,HD 206635,4944,60,2.41,0.24,3.65,0.05,-0.18,0.05,0.87,0.06,10.16,0.04,11.0,8.3,"A,1",1,325.85558,1.80091
89,HD 207077,5068,60,3.65,0.39,3.27,0.05,-0.31,0.05,0.92,0.07,10.05,0.11,5.9,8.3,"A,2",1,326.68353,-8.00718
90,HD 208313,5016,60,0.78,0.04,4.51,0.05,0.02,0.05,0.81,0.04,9.87,0.49,48.8,7.8,"A,1",1,328.68766,32.32857
91,HD 209393,5651,60,0.86,0.04,4.57,0.05,-0.14,0.05,0.93,0.04,9.31,0.34,29.4,7.9,"A,1",1,330.52246,44.34317
92,HD 210373,4876,60,5.06,0.6,3.15,0.05,0.21,0.05,1.34,0.16,9.64,0.17,7.2,7.5,"A,1",1,332.41456,22.2422
93,HD 211681,5710,60,1.59,0.2,4.1,0.05,0.35,0.05,1.18,0.11,9.77,0.13,14.2,8.1,"A,1",1,331.70452,85.40937
94,HD 215049,5109,60,2.65,0.35,3.63,0.05,0.06,0.05,1.12,0.16,9.89,0.23,9.3,8.3,"A,1",1,340.71769,-27.88689
95,HD 216834,5058,60,3.17,0.35,3.4,0.05,-0.23,0.05,0.91,0.06,10.09,0.09,7.7,8.1,"A,1",1,344.08518,-6.54584
96,HD 217681,4954,60,3.36,0.42,3.45,0.05,0.24,0.05,1.2,0.16,9.81,0.19,10.7,7.8,"A,1",1,345.63289,-11.26569
97,HD 21774,5692,60,1.23,0.13,4.25,0.05,0.2,0.05,1.02,0.06,9.93,0.13,18.7,8.2,"A,1",1,52.81426,20.76808
98,HD 220339,4954,60,0.71,0.04,4.56,0.05,-0.24,0.05,0.75,0.04,9.79,0.52,52.4,7.8,"A,1",1,350.7704,-10.76424
99,HD 221504,5334,60,2.36,0.28,3.76,0.05,0.29,0.05,1.23,0.12,9.76,0.14,11.8,8.1,"A,1",1,353.21108,-21.68769
100,HD 221822,5420,60,0.76,0.04,4.57,0.05,-0.37,0.05,0.81,0.04,9.59,0.48,25.8,8.4,"A,2",1,353.84642,2.22533
101,HD 222038,5629,60,1.22,0.13,4.25,0.05,0.22,0.05,1.0,0.06,9.98,0.12,16.3,8.4,"A,2",1,354.32251,-1.51988
102,HD 222986,5859,60,1.04,0.07,4.47,0.05,0.26,0.05,1.09,0.05,9.26,0.29,14.7,8.8,"A,1",1,356.39592,40.4435
103,HD 224619,5454,60,0.84,0.06,4.49,0.05,-0.17,0.05,0.86,0.05,9.78,0.46,28.7,7.5,"A,1",1,359.86847,-20.03471
104,HD 22657,4792,60,4.91,0.68,3.11,0.05,0.07,0.05,1.14,0.2,9.86,0.26,7.8,7.8,"A,1",1,54.58527,-11.20146
105,HD 234314,5566,60,1.47,0.18,4.09,0.05,0.14,0.05,1.0,0.06,10.03,0.1,14.2,9.3,"A,1",1,248.13215,50.18425
106,HD 23825,5588,60,2.48,0.3,3.74,0.05,0.14,0.05,1.33,0.13,9.62,0.13,9.1,7.9,"A,1",1,57.0914,10.79306
107,HD 238433,4936,60,4.91,0.73,3.13,0.05,0.0,0.05,1.24,0.26,9.7,0.29,5.1,8.4,"A,1",1,228.40824,57.19163
108,HD 24238,4951,60,0.67,0.03,4.54,0.05,-0.45,0.05,0.69,0.03,9.96,0.48,47.8,7.8,"A,1",1,58.76601,61.16681
109,HD 24892,5341,60,1.63,0.17,3.96,0.05,-0.3,0.05,0.89,0.05,10.08,0.09,24.6,6.9,"A,1",1,59.11945,-25.18134
110,HD 26007,4778,60,6.5,0.97,2.81,0.05,-0.13,0.05,0.98,0.21,10.0,0.27,3.9,8.4,"A,1",1,61.54759,-23.27981
111,HD 26161,6033,60,1.47,0.16,4.15,0.05,-0.01,0.05,1.14,0.06,9.72,0.1,24.7,6.9,"A,1",1,62.4119,31.65213
112,HD 26634,4902,60,4.99,0.64,3.03,0.05,-0.14,0.05,0.96,0.16,10.02,0.22,5.9,8.0,"A,1",1,63.04665,-13.63718
113,HD 27496,5561,60,1.49,0.19,4.1,0.05,0.33,0.05,1.06,0.09,9.95,0.13,11.2,8.9,"A,1",1,65.18336,8.40899
114,HD 27859,6013,60,1.07,0.06,4.47,0.05,0.21,0.05,1.12,0.04,9.19,0.23,22.1,7.8,"A,1",1,66.11803,16.88617
115,HD 28005,5747,60,1.29,0.15,4.24,0.05,0.28,0.05,1.08,0.08,9.82,0.14,33.4,6.7,"A,1",1,66.85293,46.85315
116,HD 30708,5707,60,1.22,0.13,4.26,0.05,0.15,0.05,1.01,0.05,9.94,0.11,33.3,6.8,"A,1",1,72.87268,35.81514
117,HD 31253,6027,60,1.72,0.22,4.06,0.05,0.21,0.05,1.28,0.11,9.6,0.11,17.2,7.1,"A,1",1,73.68189,12.35219
118,HD 31423,6603,60,2.18,0.27,3.94,0.05,0.11,0.05,1.57,0.1,9.28,0.06,15.8,6.4,"A,1",1,74.03739,7.90469
119,HD 31451,4921,60,3.8,0.55,3.34,0.05,0.0,0.05,1.15,0.22,9.84,0.27,8.8,8.1,"A,1",1,74.46084,39.63238
120,HD 31560,4702,60,0.74,0.03,4.48,0.05,0.13,0.05,0.76,0.03,10.0,0.45,38.9,8.1,"A,2",1,73.92463,-28.56391
121,HD 33636,5960,60,0.99,0.06,4.49,0.05,-0.06,0.05,1.04,0.04,9.27,0.29,34.0,7.1,"A,1",1,77.94354,4.40354
122,HD 3404,5339,60,2.17,0.26,3.81,0.05,0.2,0.05,1.15,0.12,9.84,0.16,12.2,7.9,"A,1",1,9.19506,-24.50094
123,HD 3458,5101,60,6.88,0.85,2.95,0.05,0.12,0.05,1.58,0.16,9.39,0.15,1.8,8.2,"A,1",1,9.34562,-19.56503
124,HD 35112,4895,60,0.76,0.04,4.46,0.05,-0.08,0.05,0.76,0.03,10.07,0.37,50.2,7.7,"A,2",1,80.65621,2.60319
125,HD 3684,6163,60,2.28,0.28,3.9,0.05,0.33,0.05,1.55,0.1,9.38,0.09,,7.3,"A,3",1,9.92737,8.12279
126,HD 37008,4980,60,0.69,0.03,4.53,0.05,-0.42,0.05,0.7,0.03,9.99,0.44,48.7,7.7,"A,2",1,84.54942,51.44574
127,HD 37124,5604,60,0.76,0.04,4.6,0.05,-0.45,0.05,0.82,0.04,9.41,0.42,30.1,7.7,"A,2",1,84.26036,20.73079
128,HD 37213,5447,60,1.59,0.17,3.98,0.05,-0.4,0.05,0.87,0.06,10.09,0.1,12.7,8.2,"A,1",1,83.92118,-27.62083
129,HD 37394,5249,60,0.85,0.05,4.5,0.05,0.15,0.05,0.89,0.04,9.73,0.49,81.7,6.2,"A,2",1,85.33473,53.48106
130,HD 37605,5329,60,1.0,0.09,4.36,0.05,0.27,0.05,0.91,0.04,10.08,0.16,21.6,8.7,"A,1",1,85.0072,6.06058
131,HD 3795,5380,60,1.47,0.12,4.11,0.05,-0.54,0.05,0.83,0.02,10.16,0.03,39.9,6.1,"A,1",1,10.13674,-23.80487
132,HD 38467,5753,60,1.43,0.17,4.15,0.05,0.24,0.05,1.09,0.1,9.86,0.14,13.9,8.2,"A,1",1,86.164,-29.91667
133,HD 3861,6219,60,1.28,0.13,4.29,0.05,0.17,0.05,1.21,0.05,9.4,0.22,30.1,6.5,"A,1",1,10.29948,9.35506
134,HD 39094,5432,60,1.83,0.24,3.94,0.05,0.23,0.05,1.1,0.11,9.92,0.15,15.8,7.9,"A,1",1,87.99874,37.83246
135,HD 40537,4962,60,3.07,0.4,3.45,0.05,-0.09,0.05,0.91,0.17,10.12,0.22,13.6,7.3,"A,1",1,89.64767,-21.54389
136,HD 4203,5582,60,1.56,0.2,4.08,0.05,0.35,0.05,1.09,0.11,9.91,0.15,12.7,8.7,"A,1",1,11.17167,20.44893
137,HD 42807,5730,60,0.93,0.05,4.52,0.05,0.01,0.05,0.99,0.04,9.33,0.34,55.2,6.4,"A,2",1,93.30209,10.62714
138,HD 4313,4943,60,4.53,0.58,3.24,0.05,0.19,0.05,1.32,0.17,9.66,0.19,7.6,7.8,"A,1",1,11.41816,7.84502
139,HD 43162,5617,60,0.89,0.04,4.55,0.05,0.01,0.05,0.97,0.04,9.33,0.36,16.3,6.4,"A,2",1,93.43873,-23.86194
140,HD 4395,5495,60,2.69,0.3,3.61,0.05,-0.15,0.05,1.07,0.07,9.85,0.1,11.0,7.7,"A,1",1,11.55728,-11.45238
141,HD 44985,5984,60,1.09,0.1,4.36,0.05,-0.02,0.05,1.06,0.05,9.57,0.29,30.3,7.0,"A,1",1,96.33435,11.23325
142,HD 45067,5940,60,2.01,0.24,3.92,0.05,-0.01,0.05,1.22,0.11,9.68,0.12,30.2,5.9,"A,2",1,96.31894,-0.94588
143,HD 48345,4992,60,4.11,0.5,3.32,0.05,0.2,0.05,1.32,0.16,9.66,0.17,8.5,7.5,"A,2",1,100.94654,18.6559
144,HD 5133,4921,60,0.75,0.03,4.55,0.05,-0.06,0.05,0.78,0.04,9.75,0.52,71.7,7.2,"A,1",1,13.25473,-30.35691
145,HD 53927,4899,60,0.7,0.03,4.56,0.05,-0.29,0.05,0.72,0.04,9.85,0.51,43.4,8.3,"A,1",1,107.01766,29.8345
146,HD 56274,5788,60,0.79,0.05,4.56,0.05,-0.51,0.05,0.84,0.04,9.48,0.42,30.3,7.8,"A,1",1,108.96165,-13.04948
147,HD 57204,5097,60,3.15,0.41,3.52,0.05,0.21,0.05,1.23,0.15,9.76,0.17,12.0,8.0,"A,2",1,110.49956,39.96
148,HD 6030,4926,60,4.3,0.58,3.26,0.05,0.07,0.05,1.26,0.2,9.71,0.25,5.8,7.9,"A,1",1,15.4287,9.74603
149,HD 61606,4918,60,0.77,0.03,4.53,0.05,0.09,0.05,0.81,0.04,9.81,0.51,71.1,7.2,"A,1",1,114.9972,-3.59751
150,HD 61995,4989,60,3.9,0.58,3.26,0.05,-0.04,0.05,0.99,0.22,10.0,0.28,10.9,7.2,"A,1",1,115.94674,43.79465
151,HD 63754,6033,60,1.95,0.24,3.99,0.05,0.24,0.05,1.38,0.1,9.54,0.08,20.1,6.5,"A,1",1,117.4386,-20.20762
152,HD 64413,4906,60,7.8,1.11,2.69,0.05,-0.15,0.05,1.1,0.19,9.81,0.22,3.0,8.2,"A,1",1,118.46577,0.33146
153,HD 66428,5670,60,1.18,0.12,4.29,0.05,0.23,0.05,1.02,0.06,9.91,0.15,18.7,8.3,"A,1",1,120.86945,-1.16271
154,HD 68988,5866,60,1.23,0.14,4.29,0.05,0.31,0.05,1.13,0.06,9.63,0.21,16.7,8.2,"A,1",1,124.59239,61.46072
155,HD 69960,5600,60,1.58,0.2,4.06,0.05,0.28,0.05,1.08,0.1,9.93,0.14,16.0,8.0,"A,1",1,125.56709,56.83646
156,HD 72440,5599,60,2.3,0.3,3.75,0.05,-0.01,0.05,1.09,0.16,9.84,0.18,7.0,8.3,"A,1",1,128.75451,50.472
157,HD 72490,4935,60,4.03,0.54,3.21,0.05,-0.11,0.05,0.93,0.18,10.07,0.24,8.1,7.8,"A,1",1,128.40272,13.55079
158,HD 72687,5795,60,0.95,0.05,4.53,0.05,0.03,0.05,1.02,0.04,9.26,0.31,22.6,8.3,"A,1",1,128.31408,-29.95659
159,HD 72760,5293,60,0.84,0.05,4.52,0.05,0.09,0.05,0.89,0.04,9.67,0.47,47.6,7.3,"A,1",1,128.63187,-0.72607
160,HD 74390,4874,60,4.5,0.57,3.23,0.05,0.19,0.05,1.26,0.17,9.74,0.2,7.2,8.2,"A,1",1,131.3392,42.40384
161,HD 77818,4777,60,4.34,0.62,3.19,0.05,-0.01,0.05,1.07,0.19,9.95,0.26,8.5,7.6,"A,1",1,136.85892,58.87505
162,HD 80367,5073,60,0.83,0.04,4.43,0.05,0.04,0.05,0.81,0.03,10.08,0.27,35.2,8.2,"A,1",1,139.86797,0.89706
163,HD 80606,5525,60,1.13,0.11,4.31,0.05,0.29,0.05,0.98,0.05,9.98,0.15,15.3,9.0,"A,1",1,140.65657,50.60373
164,HD 8407,4923,60,4.92,0.67,3.05,0.05,-0.12,0.05,0.97,0.17,10.01,0.23,6.3,7.8,"A,1",1,20.76089,-16.56031
165,HD 84737,5872,60,1.55,0.19,4.1,0.05,0.14,0.05,1.13,0.09,9.8,0.12,54.3,5.1,"A,2",1,147.14738,46.02101
166,HD 8553,5054,60,0.8,0.04,4.48,0.05,-0.01,0.05,0.81,0.04,10.01,0.41,32.1,8.5,"A,1",1,21.22477,18.49993
167,HD 8594,4800,60,5.4,0.73,3.07,0.05,0.14,0.05,1.26,0.2,9.73,0.24,10.7,7.2,"A,2",1,21.42318,44.78654
168,HD 86081,5939,60,1.52,0.18,4.14,0.05,0.23,0.05,1.19,0.09,9.69,0.11,9.7,8.7,"A,1",1,149.02466,-3.80842
169,HD 87424,5017,60,0.76,0.03,4.56,0.05,-0.05,0.05,0.81,0.04,9.66,0.51,43.2,8.1,"A,1",1,151.15691,-11.7297
170,HD 87883,4942,60,0.78,0.04,4.5,0.05,0.13,0.05,0.81,0.04,9.92,0.48,55.3,7.5,"A,1",1,152.17975,34.24226
171,HD 88133,5392,60,2.02,0.24,3.88,0.05,0.33,0.05,1.18,0.1,9.82,0.12,13.5,8.1,"A,1",1,152.53199,18.18687
172,HD 88654,5197,60,2.94,0.37,3.59,0.05,0.19,0.05,1.24,0.15,9.73,0.16,9.9,7.7,"A,1",1,153.31845,-8.44555
173,HD 93396,5327,60,2.46,0.31,3.74,0.05,0.31,0.05,1.25,0.14,9.74,0.14,8.9,8.0,"A,2",1,161.70725,-9.39902
174,HD 95088,5103,60,2.67,0.31,3.65,0.05,0.28,0.05,1.19,0.12,9.81,0.15,9.0,8.4,"A,1",1,164.82475,43.87339
175,HD 95526,4832,60,4.25,0.65,3.2,0.05,-0.06,0.05,1.05,0.22,9.96,0.27,6.2,8.3,"A,1",1,165.53575,43.72111
176,HD 9625,4946,60,7.26,0.83,2.89,0.05,0.16,0.05,1.53,0.14,9.46,0.14,6.3,8.4,"A,1",1,23.5681,-6.27259
177,HD 96612,4862,60,0.73,0.03,4.53,0.05,-0.11,0.05,0.75,0.04,9.9,0.5,43.9,8.3,"A,1",1,167.05839,38.42663
178,KOI-1925,5410,60,0.9,0.05,4.48,0.03,0.11,0.06,0.91,0.04,9.81,0.34,14.4,9.6,"B,1",2,293.67917,46.85276
179,KOI-975,6190,60,1.84,0.14,4.0,0.03,-0.16,0.06,1.26,0.09,9.53,0.1,9.0,8.2,"B,1",1,287.36181,38.71402
180,KOI-1612,6060,60,1.19,0.08,4.29,0.03,-0.2,0.06,1.02,0.06,9.75,0.11,11.0,8.8,"B,1",2,284.78618,48.42322
181,KIC 10018963,6020,60,1.83,0.15,3.95,0.03,-0.35,0.06,1.1,0.1,9.72,0.12,7.0,8.8,"B,1",2,294.7528,46.90194
182,KIC 10068307,6114,60,2.02,0.16,3.93,0.03,-0.22,0.06,1.3,0.09,9.49,0.11,8.6,8.2,"B,1",2,288.97786,47.06118
183,KIC 10162436,6200,60,2.03,0.15,3.95,0.03,-0.08,0.06,1.36,0.09,9.48,0.09,7.2,8.7,"B,1",1,298.72575,47.14526
184,KIC 10355856,6350,60,1.64,0.12,4.08,0.03,-0.19,0.06,1.21,0.09,9.58,0.1,5.6,9.2,"B,1",1,297.55947,47.47365
185,KIC 10454113,6120,60,1.2,0.08,4.31,0.03,-0.06,0.06,1.1,0.06,9.6,0.15,8.9,8.7,"B,1",2,284.15268,47.65641
186,KIC 10516096,5940,60,1.39,0.1,4.18,0.03,-0.06,0.06,1.08,0.05,9.78,0.08,7.3,9.5,"B,1",2,282.39025,47.711
187,KIC 10644253,6030,60,1.1,0.06,4.4,0.03,0.12,0.06,1.12,0.04,9.34,0.26,10.1,9.3,"B,1",1,280.92676,47.93778
188,KIC 10709834,6508,60,1.72,0.13,4.09,0.03,-0.08,0.06,1.34,0.08,9.42,0.07,4.3,9.8,"B,1",1,281.44793,48.0825
189,KIC 11026764,5682,60,2.06,0.19,3.88,0.03,0.05,0.06,1.2,0.14,9.74,0.16,,9.7,"B,3",2,290.35262,48.51482
190,KIC 11137075,5590,60,1.63,0.12,4.01,0.03,-0.06,0.06,1.0,0.06,9.98,0.1,3.8,10.9,"B,1",1,291.62109,48.71209
191,KIC 11244118,5745,60,1.62,0.14,4.09,0.03,0.35,0.06,1.2,0.1,9.74,0.13,6.3,9.8,"B,1",1,291.83537,48.95334
192,KIC 11414712,5635,60,2.18,0.18,3.8,0.03,-0.05,0.06,1.08,0.13,9.85,0.15,7.8,8.7,"B,1",2,297.09337,49.23663
193,KIC 11717120,5150,60,2.23,0.14,3.68,0.03,-0.3,0.06,0.86,0.04,10.13,0.06,6.8,9.5,"B,1",1,294.07853,49.82415
194,KIC 12009504,6065,60,1.35,0.11,4.21,0.03,-0.09,0.06,1.1,0.07,9.71,0.09,7.0,9.3,"B,1",1,289.44083,50.48008
195,KIC 12258514,5990,60,1.55,0.11,4.11,0.03,0.04,0.06,1.14,0.07,9.75,0.1,12.1,8.2,"B,1",2,291.59204,50.98731
196,KIC 1435467,6264,60,1.69,0.13,4.09,0.03,-0.01,0.06,1.3,0.08,9.51,0.09,5.6,9.0,"B,1",1,292.08265,37.05982
197,KIC 3427720,6040,60,1.1,0.07,4.38,0.03,-0.03,0.06,1.08,0.05,9.5,0.25,10.5,9.2,"B,1",1,286.43859,38.52293
198,KIC 3656476,5710,60,1.32,0.1,4.23,0.03,0.34,0.06,1.1,0.08,9.81,0.14,8.6,9.6,"B,1",1,294.20339,38.71577
199,KIC 4914923,5905,60,1.37,0.1,4.21,0.03,0.17,0.06,1.12,0.07,9.76,0.11,7.3,9.5,"B,1",2,289.14543,40.04732
200,KIC 5021689,6168,60,1.81,0.14,4.02,0.03,-0.08,0.06,1.28,0.09,9.54,0.1,,,"B,3",2,294.71969,40.15378
201,KIC 5184732,5840,60,1.31,0.1,4.26,0.03,0.38,0.06,1.16,0.06,9.65,0.13,14.2,8.3,"B,1",2,291.12645,40.32324
202,KIC 5596656,5094,60,3.32,0.27,3.35,0.03,-0.46,0.06,0.9,0.08,10.07,0.14,3.0,9.8,"B,1",1,282.82013,40.85394
203,KIC 5773345,6130,60,1.94,0.15,4.0,0.03,0.21,0.06,1.39,0.09,9.51,0.08,5.2,9.3,"B,1",1,285.4377,41.08058
204,KIC 5955122,5837,60,2.09,0.15,3.87,0.03,-0.17,0.06,1.18,0.08,9.65,0.12,5.2,9.4,"B,1",1,290.12227,41.29125
205,KIC 6106415,5990,60,1.17,0.08,4.31,0.03,-0.09,0.06,1.04,0.06,9.73,0.11,24.1,7.2,"B,1",2,285.41533,41.49009
206,KIC 6116048,5935,60,1.17,0.08,4.28,0.03,-0.24,0.06,0.96,0.05,9.87,0.09,13.3,8.5,"B,1",2,289.44315,41.41023
207,KIC 6225718,6230,60,1.19,0.07,4.32,0.03,-0.17,0.06,1.09,0.06,9.56,0.16,19.1,7.5,"B,1",3,297.32558,41.58246
208,KIC 6442183,5760,60,1.65,0.11,4.03,0.03,-0.11,0.06,1.07,0.05,9.81,0.1,10.9,8.6,"B,1",1,291.58045,41.8702
209,KIC 6603624,5625,60,1.15,0.08,4.32,0.03,0.28,0.06,1.01,0.06,9.9,0.14,12.0,9.2,"B,1",1,291.04664,42.0527
210,KIC 6933899,5860,60,1.55,0.11,4.09,0.03,0.02,0.06,1.09,0.06,9.85,0.09,7.0,9.8,"B,1",1,286.74305,42.43561
211,KIC 7206837,6304,60,1.54,0.11,4.17,0.03,0.14,0.06,1.29,0.05,9.48,0.07,4.8,9.8,"B,1",1,293.76557,42.73798
212,KIC 7680114,5855,60,1.39,0.1,4.18,0.03,0.11,0.06,1.08,0.07,9.85,0.11,5.9,10.2,"B,1",1,290.98505,43.31459
213,KIC 7747078,5840,60,1.99,0.15,3.91,0.03,-0.26,0.06,1.17,0.1,9.63,0.12,5.4,9.5,"B,1",1,289.72556,43.4963
214,KIC 7799349,5115,60,2.67,0.21,3.67,0.03,0.41,0.06,1.22,0.12,9.78,0.14,5.3,9.7,"B,1",1,281.05338,43.53399
215,KIC 7871531,5400,60,0.84,0.05,4.49,0.03,-0.24,0.06,0.82,0.05,9.96,0.22,15.2,9.4,"B,1",1,282.915,43.63602
216,KIC 7940546,6264,60,1.85,0.15,3.99,0.03,-0.19,0.06,1.24,0.1,9.55,0.1,11.1,7.4,"B,1",1,283.06875,43.70991
217,KIC 7970740,5290,60,0.72,0.03,4.58,0.03,-0.49,0.06,0.74,0.04,9.83,0.48,36.6,8.0,"B,1",2,295.44019,43.7477
218,KIC 7976303,6053,60,1.95,0.16,3.87,0.03,-0.53,0.06,1.03,0.09,9.81,0.13,6.4,9.2,"B,1",1,297.05955,43.74693
219,KIC 8006161,5390,60,0.92,0.04,4.49,0.03,0.34,0.06,0.97,0.04,9.56,0.39,36.8,7.5,"B,1",2,281.14633,43.83327
220,KIC 8179536,6344,60,1.33,0.09,4.27,0.03,0.01,0.06,1.22,0.05,9.41,0.14,7.1,9.5,"B,1",2,296.34985,44.07663
221,KIC 8228742,6042,60,1.77,0.13,4.02,0.03,-0.14,0.06,1.19,0.07,9.63,0.1,5.6,9.5,"B,1",1,290.19975,44.15521
222,KIC 8394589,6114,60,1.12,0.07,4.32,0.03,-0.36,0.06,0.97,0.05,9.79,0.11,7.8,9.6,"B,1",1,300.46427,44.35393
223,KIC 8524425,5634,60,1.8,0.16,3.98,0.03,0.14,0.06,1.13,0.11,9.85,0.14,5.6,9.9,"B,1",2,300.63884,44.53305
224,KIC 8561221,5245,60,2.56,0.27,3.61,0.03,-0.06,0.06,0.96,0.18,10.04,0.24,3.5,10.1,"B,1",1,292.28517,44.64124
225,KIC 8694723,6120,60,1.42,0.1,4.1,0.03,-0.59,0.06,0.93,0.04,9.93,0.06,8.2,8.9,"B,1",1,293.96072,44.88056
226,KIC 8702606,5540,60,2.24,0.18,3.76,0.03,-0.09,0.06,1.05,0.12,9.9,0.14,5.4,9.5,"B,1",1,296.57436,44.82767
227,KIC 8751420,5264,60,2.27,0.16,3.7,0.03,-0.15,0.06,0.94,0.06,10.07,0.1,17.2,7.0,"B,1",2,291.01408,44.93354
228,KIC 8938364,5630,60,1.33,0.1,4.16,0.03,-0.2,0.06,0.94,0.06,9.97,0.1,6.2,10.2,"B,1",1,285.54124,45.2776
229,KIC 9098294,5840,60,1.14,0.08,4.3,0.03,-0.13,0.06,0.98,0.05,9.87,0.09,8.0,9.9,"B,1",2,295.08838,45.48916
230,KIC 9139151,6125,60,1.14,0.06,4.38,0.03,0.11,0.06,1.15,0.04,9.29,0.24,9.6,9.3,"B,1",1,284.0886,45.51479
231,KIC 9139163,6400,60,1.53,0.11,4.18,0.03,0.15,0.06,1.32,0.05,9.41,0.08,9.6,8.3,"B,1",2,284.09219,45.50704
232,KIC 9206432,6608,60,1.49,0.09,4.23,0.03,0.23,0.06,1.39,0.06,9.16,0.13,6.6,9.1,"B,1",1,285.93806,45.60839
