recno,HIP,B-V,Vmag,SMW,e_SMW,log(R'HK),vsini,RV,e_RV,Uvel,e_Uvel,Vvel,e_Vvel,Wvel,e_Wvel,_RA,_DE
553,59380,0.57,7.52,0.179,0.004,-4.86,2.6,13.4,1.7,11.4,0.7,0.9,1.5,34.5,1.1,183.0,-46.0
555,59419,0.884,9.32,0.267,0.006,-4.77,2.1,-5.4,1.6,-44.7,2.4,-19.1,1.9,-11.7,0.7,183.0,-45.0
552,59341,0.739,8.96,0.16,0.004,-5.02,4.9,31.9,1.7,-37.6,6.7,-54.6,3.9,0.6,1.4,183.0,-44.0
569,61391,0.898,8.82,0.401,0.008,-4.58,2.8,-4.2,1.7,-34.8,1.4,-11.8,1.4,5.8,0.6,189.0,-41.0
586,62410,0.637,8.82,0.166,0.004,-4.95,2.4,-18.3,1.7,-34.3,2.7,-19.5,3.7,-42.4,3.7,192.0,-39.0
567,61052,0.597,8.98,0.152,0.004,-5.03,2.0,17.1,1.7,34.1,2.7,-26.3,1.8,-37.1,4.4,188.0,-35.0
582,62118,0.819,9.47,0.171,0.004,-5.0,1.8,41.5,1.6,17.4,0.7,-58.1,2.0,-17.4,2.4,191.0,-32.0
577,61984,0.6,8.72,0.302,0.006,-4.48,12.3,-4.2,2.1,-21.1,1.8,-18.1,2.3,-16.2,1.6,191.0,-32.0
581,62093,0.73,9.13,0.158,0.004,-5.03,2.9,-8.3,1.7,-65.9,5.8,-39.9,4.4,-16.5,1.4,191.0,-31.0
623,66123,0.67,9.09,0.153,0.004,-5.05,2.9,17.4,1.7,52.1,5.0,-13.6,1.2,-59.8,8.0,203.0,-39.0
616,65346,0.749,9.28,0.298,0.006,-4.59,1.8,8.6,1.6,6.0,1.0,-17.3,1.4,-16.5,1.7,201.0,-38.0
629,67035,0.739,9.09,0.151,0.004,-5.08,2.8,-29.7,1.7,-46.4,3.5,-17.4,4.4,-23.8,1.4,206.0,-33.0
635,67415,0.675,8.86,0.152,0.004,-5.05,3.0,30.3,1.7,16.6,1.1,-59.5,4.1,-30.7,4.5,207.0,-31.0
636,67502,0.664,9.02,0.15,0.004,-5.07,2.1,-43.4,1.6,-89.4,6.3,-50.1,7.5,-28.1,1.0,207.0,-28.0
597,63792,0.59,8.97,0.297,0.006,-4.49,8.4,-3.7,1.9,-17.8,1.5,-5.2,1.5,3.6,1.0,196.0,-34.0
589,62841,0.574,8.37,0.15,0.004,-5.04,2.8,-1.7,1.7,6.8,0.9,-8.4,1.3,-18.9,1.5,193.0,-29.0
599,63851,0.854,7.71,0.148,0.004,-5.11,2.7,11.6,1.6,-54.3,5.3,-53.4,4.1,5.1,0.9,196.0,-29.0
596,63778,0.595,8.56,0.166,0.004,-4.94,2.8,12.5,1.7,-17.7,1.9,-37.5,2.3,-5.6,1.3,196.0,-27.0
622,66108,0.634,9.34,0.148,0.004,-5.08,2.5,25.3,1.7,-34.3,5.9,-50.3,4.3,27.0,1.8,203.0,-28.0
612,64966,0.652,8.96,0.145,0.004,-5.1,2.1,17.2,1.6,-28.9,4.0,-76.9,6.9,-23.3,3.6,200.0,-25.0
620,66014,0.623,8.93,0.187,0.004,-4.84,2.7,-10.3,1.7,-36.3,2.3,-25.5,2.4,-6.9,1.0,203.0,-23.0
670,74544,0.558,9.26,0.167,0.004,-4.92,3.5,-20.2,1.7,-28.5,1.8,-19.8,3.0,-16.5,1.2,228.0,-37.0
664,72456,0.602,8.65,0.159,0.004,-4.99,2.3,-2.2,1.7,-14.8,1.8,-9.4,1.2,12.0,1.5,222.0,-30.0
655,71481,0.685,8.29,0.208,0.005,-4.79,2.4,39.5,1.6,30.8,1.2,-28.7,0.7,8.8,0.9,219.0,-26.0
671,74568,0.616,8.5,0.161,0.004,-4.98,2.6,-30.6,1.7,-50.6,2.5,1.6,0.6,19.0,3.0,229.0,-18.0
644,69971,0.559,8.73,0.168,0.004,-4.92,7.8,-2.3,1.9,-13.1,1.9,-24.9,3.3,-9.1,1.4,215.0,-27.0
638,68688,0.853,9.28,0.144,0.004,-5.13,2.7,-43.9,1.6,-87.9,4.5,-51.1,5.5,-22.1,0.9,211.0,-27.0
665,72562,0.721,8.94,0.155,0.004,-5.05,2.9,-23.8,1.7,-16.2,1.3,-38.1,4.7,-43.7,3.2,223.0,-22.0
646,70608,0.84,8.86,0.405,0.008,-4.51,2.8,-19.9,1.7,-40.5,2.1,-18.5,1.8,2.0,1.4,217.0,-19.0
640,68914,0.587,8.75,0.305,0.006,-4.47,10.8,-14.6,2.0,-31.6,2.5,-11.2,1.9,1.1,1.7,212.0,-20.0
630,67055,0.876,9.21,0.395,0.007,-4.56,3.3,-10.6,1.7,-30.6,1.7,-9.2,1.1,3.1,1.3,206.0,-17.0
639,68696,0.586,9.38,0.172,0.004,-4.9,2.7,10.0,1.7,12.8,1.5,-12.4,1.5,-2.8,1.9,211.0,-13.0
666,73061,0.783,8.37,0.171,0.004,-4.98,3.9,17.8,1.7,31.7,2.2,-1.1,0.7,-11.6,2.4,224.0,-18.0
668,74267,0.596,8.34,0.156,0.004,-5.01,5.3,-44.1,1.7,-49.9,2.0,-8.8,1.2,-12.1,2.0,228.0,-8.0
662,72053,0.6,8.39,0.363,0.007,-4.37,10.8,-12.8,2.0,-20.2,1.7,-16.3,1.6,-3.4,1.4,221.0,-12.0
667,73132,0.625,9.03,0.306,0.006,-4.49,18.2,38.3,2.6,11.9,2.5,-4.0,0.6,43.2,2.5,224.0,-10.0
657,71720,0.833,9.24,0.174,0.004,-4.99,1.9,31.9,1.6,-13.3,2.4,-8.1,0.4,54.0,2.3,220.0,-8.0
660,72020,0.509,8.73,0.162,0.004,-4.94,6.6,0.5,1.8,11.8,2.0,-2.3,0.7,-10.6,2.0,221.0,-7.0
669,74464,0.699,8.01,0.138,0.004,-5.16,3.4,-26.0,1.7,-30.9,1.7,-38.3,3.8,-7.8,1.5,228.0,-4.0
804,107239,0.66,8.88,0.172,0.004,-4.93,2.5,0.0,1.6,-9.0,1.0,-24.2,1.7,22.6,1.5,326.0,-84.0
756,100359,0.643,8.65,0.142,0.003,-5.12,1.1,12.5,1.6,-48.1,3.3,-46.8,2.4,-20.4,1.1,305.0,-82.0
838,113807,0.898,7.77,0.117,0.003,-5.29,2.5,-22.5,1.6,-100.2,3.5,-38.8,2.3,-3.2,1.1,346.0,-83.0
823,110248,0.59,8.42,0.233,0.005,-4.65,5.3,2.7,1.7,-30.5,1.9,-17.6,1.3,-15.2,1.3,335.0,-76.0
765,103962,0.638,8.98,0.152,0.004,-5.04,2.6,-63.8,1.7,-105.3,6.1,-11.7,4.3,7.7,2.8,316.0,-74.0
784,105177,0.53,8.8,0.16,0.004,-4.95,3.0,-11.9,1.7,-25.3,1.7,-3.4,1.1,-3.4,1.3,320.0,-72.0
766,103978,0.526,8.83,0.154,0.004,-5.0,3.0,55.7,1.7,43.6,1.2,-37.2,1.1,-16.3,1.6,316.0,-70.0
764,103917,0.53,8.31,0.148,0.004,-5.05,4.9,-10.7,1.7,-26.2,1.9,-14.6,1.7,0.4,1.1,316.0,-69.0
847,114402,0.625,9.44,0.157,0.004,-5.01,2.0,44.0,1.6,-0.6,2.2,-21.2,1.0,-49.4,2.2,348.0,-75.0
856,115151,0.62,8.77,0.18,0.004,-4.87,1.6,6.3,1.6,-32.8,2.3,-28.4,1.7,-11.0,1.2,350.0,-70.0
844,114226,0.613,8.58,0.145,0.004,-5.1,3.5,16.7,1.7,38.2,2.6,-7.7,0.9,9.0,2.1,347.0,-70.0
827,111151,0.524,8.53,0.162,0.004,-4.94,7.3,19.3,1.8,-19.8,2.4,-37.9,2.2,-16.5,1.2,338.0,-71.0
884,117499,0.618,8.85,0.166,0.004,-4.95,1.2,-0.6,1.6,-67.1,4.2,-54.0,3.4,-2.8,1.2,357.0,-68.0
833,112826,0.747,7.58,0.153,0.004,-5.06,4.2,4.4,1.7,8.8,1.0,-0.1,0.7,0.3,1.3,343.0,-63.0
812,108256,0.665,8.86,0.213,0.005,-4.76,3.1,-35.3,1.7,-42.8,1.6,8.5,0.9,9.1,1.3,329.0,-71.0
788,105742,0.586,8.76,0.157,0.004,-4.99,2.3,14.4,1.7,12.2,1.1,-19.9,1.5,3.2,1.6,321.0,-68.0
771,104083,0.622,9.22,0.132,0.004,-5.22,2.8,11.3,1.7,-19.4,3.4,-34.3,3.6,-15.6,1.5,316.0,-67.0
770,104065,0.649,9.12,0.155,0.004,-5.03,2.6,60.3,1.7,53.3,1.7,-30.3,0.9,-19.5,2.1,316.0,-66.0
809,107922,0.595,9.1,0.146,0.004,-5.08,4.3,31.9,1.7,30.9,1.6,-2.6,1.3,-17.5,1.3,328.0,-65.0
828,111286,0.672,9.05,0.148,0.004,-5.09,2.2,96.0,1.6,83.0,3.0,-119.9,7.8,0.4,6.9,338.0,-65.0
826,110939,0.562,8.76,0.159,0.004,-4.97,2.9,12.3,1.7,28.6,2.1,-19.5,1.4,16.0,2.4,337.0,-65.0
821,109491,0.663,7.76,0.143,0.004,-5.12,3.4,39.4,1.7,-15.8,2.9,-26.2,1.0,-54.4,2.2,333.0,-63.0
738,93584,0.553,8.43,0.233,,-4.64,,,,,,,,,,286.0,-72.0
737,93281,0.751,8.01,0.402,,-4.43,2.6,4.3,1.7,-33.8,2.6,-50.8,3.1,-7.5,0.8,285.0,-70.0
753,99174,0.708,8.93,0.245,0.005,-4.69,3.0,18.8,1.6,11.2,1.2,-10.6,0.8,-11.1,0.9,302.0,-68.0
761,101399,0.738,8.66,0.16,0.004,-5.02,1.9,-13.2,1.6,-27.6,2.0,-43.2,4.4,14.9,1.2,308.0,-62.0
777,104445,0.634,8.93,0.168,0.004,-4.94,3.2,-12.2,1.7,-28.3,2.5,-10.1,1.6,-6.3,1.9,317.0,-61.0
781,105007,0.727,9.23,0.138,0.004,-5.16,2.6,38.2,1.6,40.2,2.0,-45.0,3.9,3.8,3.5,319.0,-59.0
797,106577,0.599,8.97,0.205,0.005,-4.75,2.9,-20.4,1.7,-33.2,2.1,-9.0,1.3,0.4,1.8,324.0,-55.0
798,106700,0.66,9.0,0.158,0.004,-5.01,1.5,-44.7,1.6,-55.1,2.4,-31.5,3.5,21.0,1.5,324.0,-54.0
778,104470,0.67,9.47,0.162,0.004,-4.99,2.2,2.2,1.6,2.7,1.3,-46.1,6.7,13.1,2.5,317.0,-53.0
792,106100,0.693,9.46,0.217,0.005,-4.76,0.9,32.5,1.6,25.0,1.2,-29.5,2.5,-15.8,1.4,322.0,-50.0
760,100942,0.637,8.99,0.158,0.004,-5.01,2.5,-10.4,1.7,24.0,3.8,-6.4,1.0,52.5,5.2,307.0,-52.0
763,103898,0.894,7.88,0.125,0.003,-5.24,2.7,48.9,1.6,57.0,2.4,-35.3,2.5,-0.6,3.3,316.0,-53.0
779,104768,0.714,8.19,0.146,0.004,-5.1,2.9,17.9,1.6,23.6,1.6,6.6,0.9,-2.7,1.4,318.0,-50.0
783,105109,0.534,8.61,0.153,0.004,-5.0,5.9,-6.4,1.8,-9.1,1.4,-44.8,4.9,5.9,1.3,319.0,-47.0
772,104199,0.604,8.8,0.156,0.004,-5.01,2.5,-77.3,1.7,-66.5,1.6,-84.1,9.5,52.2,1.1,317.0,-46.0
768,104024,0.68,9.33,0.237,0.005,-4.69,3.3,-7.9,1.7,-22.4,2.5,-17.9,2.3,-11.8,2.5,316.0,-44.0
769,104024,0.68,9.33,0.272,0.006,-4.6,3.3,-7.9,1.7,-22.4,2.5,-17.9,2.3,-11.8,2.5,316.0,-44.0
767,103986,0.509,8.94,0.155,0.004,-4.98,3.7,7.2,1.7,19.7,2.2,-13.4,1.7,11.5,2.4,316.0,-43.0
886,117702,0.794,9.43,0.154,0.003,-5.07,0.7,-28.1,1.6,0.0,0.9,-156.1,9.7,113.9,5.4,358.0,-61.0
890,118228,0.581,8.06,0.158,0.004,-4.99,4.4,-11.3,1.7,-29.1,1.7,-15.0,1.4,7.2,1.4,360.0,-62.0
851,114638,0.727,8.9,0.149,0.004,-5.08,1.9,17.5,1.6,19.7,1.3,-14.0,0.9,-3.6,1.6,348.0,-60.0
843,114188,0.5,8.66,0.29,0.006,-4.47,3.6,7.6,1.7,-3.1,2.5,-1.0,1.5,-10.7,4.2,347.0,-56.0
867,116122,0.657,8.37,0.24,0.005,-4.67,2.2,19.9,1.6,-11.2,1.3,-26.8,1.2,-19.9,1.4,353.0,-54.0
854,114982,0.527,8.44,0.219,0.005,-4.67,7.5,21.2,1.9,0.3,1.3,-36.8,3.3,-12.6,1.7,349.0,-55.0
840,114032,0.624,8.89,0.15,0.004,-5.06,1.8,41.8,1.6,36.8,2.0,-74.4,7.0,-5.2,3.5,346.0,-54.0
860,115418,0.571,8.97,0.156,0.004,-5.0,6.0,23.3,1.8,-6.2,2.3,-37.3,4.0,-18.9,1.5,351.0,-53.0
866,115929,0.632,8.97,0.172,0.004,-4.92,2.0,11.3,1.6,3.2,0.7,8.3,1.0,-13.7,1.5,352.0,-52.0
850,114590,0.667,9.08,0.149,0.004,-5.07,3.2,4.5,1.7,10.4,1.4,-33.6,4.5,9.2,2.3,348.0,-52.0
849,114477,0.88,9.25,0.173,0.004,-5.02,1.5,16.2,1.6,24.7,1.6,-74.2,5.7,13.0,2.6,348.0,-51.0
835,113142,0.649,9.37,0.165,0.004,-4.97,2.2,10.1,1.7,3.3,0.9,7.5,0.9,-10.9,1.5,344.0,-46.0
881,117144,0.765,9.24,0.14,0.004,-5.15,2.5,17.6,1.6,46.6,6.5,-24.7,3.4,4.2,3.6,356.0,-47.0
873,116554,0.809,9.22,0.164,0.004,-5.02,1.1,-14.3,1.6,-11.1,0.8,-57.3,4.9,21.0,1.6,354.0,-45.0
859,115386,0.72,9.31,0.153,0.004,-5.06,1.4,7.0,1.6,-18.1,1.8,-37.8,2.8,-9.5,1.5,351.0,-47.0
869,116298,0.619,8.68,0.15,0.004,-5.06,3.3,25.6,1.7,-5.9,1.7,-17.8,1.4,-27.5,1.6,353.0,-46.0
852,114967,0.759,9.08,0.147,0.004,-5.1,2.2,7.6,1.6,-9.4,1.2,-67.5,5.3,-2.6,1.5,349.0,-46.0
853,114967,0.759,9.08,0.156,0.004,-5.05,2.2,7.6,1.6,-9.4,1.2,-67.5,5.3,-2.6,1.5,349.0,-46.0
871,116517,0.75,8.72,0.146,0.004,-5.11,2.9,37.7,1.6,10.0,0.8,-27.8,2.8,-33.6,1.5,354.0,-42.0
857,115337,0.597,8.48,0.146,0.004,-5.08,4.2,1.8,1.7,-28.6,2.5,-11.1,0.9,-13.2,1.8,350.0,-41.0
863,115582,0.574,9.01,0.154,0.004,-5.01,2.0,0.5,1.7,-8.0,1.1,-96.7,10.0,2.4,1.6,351.0,-40.0
848,114422,0.619,9.24,0.231,0.005,-4.67,2.1,-18.8,1.6,-39.9,3.4,-29.3,3.2,4.5,2.0,348.0,-42.0
846,114328,0.676,8.73,0.158,0.004,-5.02,1.8,-19.5,1.6,-40.4,2.4,-11.1,0.9,3.3,1.8,347.0,-41.0
834,113010,0.875,9.36,0.18,0.004,-4.99,,5.2,1.6,-16.4,2.0,-21.7,2.2,-14.7,1.7,343.0,-38.0
865,115861,0.74,8.75,0.151,0.004,-5.08,1.8,33.7,1.6,-11.5,1.6,-21.5,1.4,-39.7,1.6,352.0,-38.0
837,113670,0.695,9.3,0.164,0.004,-4.99,1.2,30.7,1.6,-33.5,4.2,-79.2,7.2,-53.9,2.7,345.0,-35.0
806,107397,0.657,8.32,0.153,0.004,-5.04,2.7,28.0,1.7,27.7,1.3,-26.4,1.6,-7.7,1.5,326.0,-50.0
822,109782,0.617,8.71,0.168,0.004,-4.94,2.6,29.0,1.7,19.6,1.0,-31.0,2.1,-19.0,1.4,334.0,-45.0
786,105408,0.627,8.89,0.236,0.005,-4.66,4.4,-16.8,1.7,-29.9,2.0,-12.7,1.3,-4.5,1.9,320.0,-47.0
794,106288,0.649,9.02,0.162,0.004,-4.98,1.8,8.8,1.6,-69.4,6.4,-0.4,0.2,-77.4,6.1,323.0,-46.0
785,105198,0.532,8.34,0.159,0.004,-4.96,2.1,-28.7,1.7,-31.2,1.5,-49.8,4.1,6.3,1.7,320.0,-39.0
807,107453,0.731,8.89,0.137,0.003,-5.17,2.7,-10.8,1.6,-30.4,7.3,-31.8,9.8,-11.7,6.3,326.0,-41.0
813,108290,0.563,7.99,0.15,0.004,-5.04,6.4,20.8,1.8,21.5,1.3,-22.8,1.6,-11.9,1.5,329.0,-37.0
796,106369,0.578,8.48,0.159,0.004,-4.97,4.0,-25.9,1.7,-50.1,2.7,-17.7,1.1,-13.3,2.7,323.0,-34.0
805,107370,0.672,8.68,0.169,0.004,-4.95,2.2,-29.9,1.6,-36.1,1.8,-19.8,1.3,5.4,1.9,326.0,-33.0
824,110262,0.506,7.98,0.22,0.005,-4.66,13.0,9.4,2.2,4.3,1.2,-1.4,0.4,-8.6,1.9,335.0,-34.0
832,112688,0.524,8.91,0.155,0.004,-4.99,3.3,17.1,1.7,-11.9,2.2,11.3,1.0,-23.7,1.7,342.0,-33.0
829,111697,0.558,8.26,0.158,0.004,-4.98,3.4,-20.4,1.7,-36.8,3.3,-19.8,1.6,-0.9,2.5,339.0,-22.0
745,97213,0.697,8.64,0.149,0.004,-5.08,1.8,-30.7,1.6,-40.2,2.0,-82.5,9.2,24.7,1.3,296.0,-51.0
749,98274,0.614,8.35,0.313,0.006,-4.47,4.2,-21.2,1.7,-22.7,1.5,8.6,0.5,1.5,1.1,300.0,-48.0
754,99661,0.668,8.26,0.142,0.003,-5.13,2.9,-30.4,1.6,-29.1,1.4,-21.9,2.1,15.0,1.0,303.0,-46.0
759,100649,0.716,8.51,0.146,0.004,-5.1,2.8,10.3,1.6,19.1,1.8,-66.8,7.1,-3.1,1.0,306.0,-35.0
752,99115,0.743,7.78,0.138,0.004,-5.16,2.4,-40.7,1.6,-32.7,1.4,-56.8,3.1,15.3,0.9,302.0,-36.0
735,92915,0.622,8.47,0.326,0.006,-4.45,4.8,-7.3,1.7,-7.1,1.6,4.7,0.3,0.7,0.6,284.0,-42.0
734,92639,0.631,8.59,0.151,0.004,-5.05,2.2,-65.4,1.6,-66.9,1.6,-32.9,3.8,4.6,1.7,283.0,-37.0
731,90896,0.789,9.48,0.147,0.004,-5.1,2.3,12.1,1.6,8.0,1.8,-12.3,2.5,-17.4,3.2,278.0,-37.0
743,96881,0.686,8.72,0.163,0.004,-4.99,1.8,-11.0,1.6,-26.5,2.1,-73.8,6.6,-41.5,4.3,295.0,-36.0
748,98049,0.657,8.46,0.237,0.005,-4.68,2.8,33.4,1.7,38.3,1.6,-1.7,0.6,0.0,1.2,299.0,-29.0
744,97125,0.79,9.26,0.141,0.004,-5.14,2.4,14.0,1.6,9.8,1.5,-46.2,6.1,-38.4,4.2,296.0,-27.0
733,92304,0.737,8.82,0.375,0.007,-4.45,11.5,-38.3,2.1,-34.1,2.0,-68.6,8.7,-4.8,1.9,282.0,-30.0
741,94244,0.866,9.16,0.273,0.006,-4.74,1.3,-53.8,1.6,-46.3,1.6,-46.7,2.5,4.4,0.8,288.0,-26.0
742,96635,0.872,9.11,0.861,0.013,-4.18,5.3,-29.6,1.7,-32.0,1.6,-39.3,1.6,-22.2,1.7,295.0,-26.0
775,104246,0.555,8.46,0.145,0.004,-5.07,3.7,-21.2,1.7,-9.7,1.4,0.8,0.3,20.9,1.4,317.0,-39.0
774,104226,0.851,9.38,0.151,0.004,-5.1,2.2,18.5,1.6,-13.1,3.2,7.8,0.6,-40.1,3.3,317.0,-28.0
793,106102,0.59,9.08,0.177,0.004,-4.87,0.7,6.7,1.6,-24.3,2.3,42.8,3.0,-16.9,1.4,322.0,-27.0
790,105845,0.576,9.21,0.15,0.004,-5.04,2.5,-46.0,1.7,-22.6,1.5,-43.4,3.5,28.6,1.3,322.0,-27.0
762,102418,0.576,8.62,0.16,0.004,-4.97,2.6,10.7,1.7,-6.0,1.9,-16.0,1.7,-30.7,2.6,311.0,-31.0
773,104200,0.642,9.41,0.167,0.004,-4.95,1.5,-32.1,1.6,-60.4,5.0,11.0,2.5,-12.9,4.5,317.0,-27.0
808,107817,0.549,8.3,0.155,0.004,-5.0,2.3,46.3,1.7,80.1,4.7,-15.6,2.3,-2.9,3.1,328.0,-27.0
811,107985,0.691,8.78,0.218,0.005,-4.76,2.4,-17.0,1.6,-27.0,1.5,-44.3,2.6,-13.4,2.1,328.0,-26.0
817,108985,0.565,8.67,0.151,0.004,-5.03,2.7,23.5,1.7,36.5,2.4,-20.7,2.5,-11.6,1.5,331.0,-25.0
801,106997,0.581,8.72,0.154,0.004,-5.01,3.0,8.4,1.7,11.2,1.2,15.7,1.4,4.0,1.6,325.0,-25.0
818,108996,0.63,8.88,0.281,0.006,-4.55,3.7,11.8,1.7,15.0,1.1,7.1,0.6,-2.1,1.5,331.0,-24.0
820,109133,0.654,8.95,0.147,0.004,-5.08,1.6,-53.7,1.6,-83.4,6.2,-18.7,0.6,5.1,4.4,332.0,-23.0
815,108708,0.661,8.94,0.339,0.007,-4.45,3.2,-21.4,1.7,-35.4,2.1,-16.9,0.9,-4.2,2.1,330.0,-19.0
789,105789,0.556,8.5,0.154,0.004,-5.01,3.7,41.7,1.7,76.3,4.4,-44.0,5.0,-7.9,2.2,321.0,-24.0
795,106353,0.878,8.45,0.195,0.005,-4.94,2.2,32.1,1.6,50.4,1.4,-1.5,0.7,-1.8,1.3,323.0,-21.0
800,106868,0.641,8.39,0.164,0.004,-4.97,0.9,7.0,1.6,29.3,1.8,-52.1,3.3,-13.9,1.3,325.0,-19.0
757,100474,0.79,9.37,0.203,0.005,-4.86,2.3,-1.6,1.6,-9.4,1.5,-8.4,0.9,-16.1,1.8,306.0,-26.0
750,98599,0.556,8.11,0.142,0.004,-5.1,8.0,-15.3,1.9,-9.0,1.6,-18.8,1.1,4.3,0.8,300.0,-22.0
751,99034,0.629,8.12,0.152,0.004,-5.05,1.5,-15.9,1.6,1.7,1.6,-37.7,2.0,3.3,0.7,302.0,-15.0
755,99971,0.723,8.64,0.166,0.004,-4.99,0.8,59.8,1.6,85.2,2.5,-31.1,3.4,-23.4,0.7,304.0,-11.0
802,107001,0.576,7.61,0.143,0.004,-5.1,3.4,-6.9,1.7,0.1,0.9,-40.9,2.4,-21.5,1.9,325.0,-10.0
758,100492,0.888,9.24,0.254,0.006,-4.8,2.0,-49.7,1.6,-54.3,1.5,-29.7,0.8,-14.5,2.1,306.0,-10.0
780,104946,0.625,8.56,0.15,0.004,-5.05,2.8,-28.8,1.7,-38.3,2.1,-21.8,1.1,-10.9,2.5,319.0,-5.0
776,104435,0.625,7.62,0.298,0.006,-4.5,4.3,7.1,1.7,6.4,4.7,11.7,5.0,7.0,4.4,317.0,-4.0
