recno,HIP,B-V,Vmag,SMW,e_SMW,log(R'HK),vsini,RV,e_RV,Uvel,e_Uvel,Vvel,e_Vvel,Wvel,e_Wvel,_RA,_DE
278,31895,0.747,8.05,0.131,0.003,-5.22,4.0,22.9,1.7,-14.2,0.7,-24.0,1.5,4.5,1.0,100.0,-49.0
264,30106,0.585,9.02,0.159,0.004,-4.98,2.6,19.1,1.7,-57.1,3.5,-5.2,1.7,-2.8,0.8,95.0,-47.0
267,30377,0.741,8.41,0.145,0.004,-5.11,2.7,24.3,1.6,10.2,0.8,-38.3,1.6,17.4,1.4,96.0,-47.0
304,35151,0.657,9.08,0.17,0.004,-4.94,1.9,16.2,1.6,-81.8,3.8,18.2,2.2,-40.6,1.8,109.0,-41.0
305,35279,0.701,7.57,0.138,0.004,-5.17,3.6,54.1,1.7,-42.0,1.1,-48.6,1.5,15.8,1.1,109.0,-41.0
295,33736,0.899,8.47,0.229,0.005,-4.87,2.5,60.3,1.6,-47.0,0.8,-50.9,1.5,1.3,0.6,105.0,-41.0
290,33144,0.618,8.94,0.185,0.004,-4.85,7.0,12.9,1.8,14.0,1.6,-16.2,1.7,-7.9,0.7,104.0,-42.0
263,30045,0.837,8.68,0.179,0.004,-4.98,1.5,17.3,1.6,-7.1,0.6,2.1,1.5,-43.5,1.3,95.0,-37.0
281,32241,0.547,8.96,0.167,0.004,-4.92,1.8,-2.1,1.7,46.1,2.8,-6.6,1.6,-20.8,1.4,101.0,-41.0
289,33033,0.616,9.02,0.149,0.004,-5.06,2.5,64.6,1.7,-62.3,3.6,-55.4,1.5,23.3,3.7,103.0,-39.0
288,33025,0.619,9.34,0.177,0.004,-4.89,2.5,-15.8,1.7,27.9,2.0,10.5,1.5,-11.9,1.5,103.0,-39.0
287,32994,0.691,8.65,0.152,0.004,-5.06,2.8,70.9,1.6,-31.4,0.7,-62.8,1.5,-13.0,0.6,103.0,-38.0
291,33228,0.695,9.35,0.333,0.006,-4.49,3.9,17.6,1.7,-14.7,1.0,-6.9,1.6,-21.8,1.5,104.0,-33.0
308,35739,0.875,8.83,0.205,0.005,-4.91,1.6,6.7,1.6,-3.4,0.5,-0.3,1.5,-27.4,0.9,111.0,-39.0
310,35985,0.888,9.48,0.325,0.007,-4.67,2.0,-17.6,1.6,29.5,1.5,10.6,1.6,-9.6,0.8,111.0,-38.0
307,35711,0.54,9.31,0.162,0.004,-4.95,3.1,-11.0,1.7,-17.2,1.7,18.9,1.7,-4.1,0.6,111.0,-38.0
325,37567,0.716,8.97,0.149,0.004,-5.08,3.0,24.2,1.7,14.4,2.1,-28.1,1.6,-38.9,3.1,116.0,-34.0
299,34747,0.722,9.42,0.15,0.004,-5.08,3.2,14.0,1.7,39.8,5.6,-23.7,2.0,-38.2,4.4,108.0,-36.0
306,35691,0.561,8.41,0.154,0.004,-5.01,6.7,33.1,1.8,-27.9,1.4,-23.6,1.7,-6.1,0.4,110.0,-35.0
312,36160,0.634,8.17,0.166,0.004,-4.96,1.9,64.3,1.6,-60.7,8.2,-37.0,5.1,-51.2,9.4,112.0,-34.0
321,37183,0.51,8.51,0.285,0.006,-4.48,9.7,28.3,2.0,-10.5,0.8,-25.4,1.8,-9.4,0.5,115.0,-33.0
349,39457,0.689,8.72,0.143,0.004,-5.12,3.1,25.8,1.7,-66.9,5.8,-1.8,2.7,6.1,0.7,121.0,-32.0
344,39327,0.651,8.56,0.152,0.004,-5.05,2.0,8.2,1.7,41.9,4.3,-26.0,2.3,11.6,1.1,121.0,-30.0
353,40138,0.6,8.69,0.157,0.004,-5.0,2.7,19.7,1.7,-49.5,3.3,-3.3,1.9,-40.0,3.1,123.0,-30.0
341,39186,0.638,8.5,0.152,0.004,-5.04,3.0,17.8,1.7,-3.5,0.8,-17.6,1.5,11.7,0.7,120.0,-27.0
331,38072,0.628,9.2,0.296,0.006,-4.51,3.1,58.2,1.7,-47.6,2.1,-41.0,1.8,-17.7,1.5,117.0,-28.0
302,35058,0.76,8.78,0.149,0.004,-5.09,3.0,0.2,1.6,-15.2,2.0,10.0,1.9,-16.2,2.0,109.0,-33.0
317,36731,0.671,8.32,0.175,0.004,-4.92,2.1,48.9,1.6,16.5,2.5,-68.1,2.0,-17.7,0.9,113.0,-22.0
390,44279,0.77,9.01,0.188,0.004,-4.91,2.6,43.6,1.6,-57.0,3.3,-36.2,1.7,-10.2,0.9,135.0,-38.0
395,44668,0.682,8.59,0.15,0.004,-5.07,2.6,0.1,1.7,6.2,0.5,-2.2,1.6,-8.8,0.6,137.0,-37.0
377,43190,0.673,8.51,0.157,0.004,-5.02,2.4,11.7,1.6,20.4,1.2,-14.9,1.6,19.3,0.9,132.0,-36.0
374,42751,0.622,9.38,0.166,0.004,-4.95,2.8,16.7,1.7,13.3,1.8,-20.1,1.7,5.5,0.5,131.0,-35.0
401,45957,0.801,8.85,0.364,0.007,-4.53,2.6,35.0,1.6,-120.0,4.5,-22.5,1.6,-35.6,1.7,141.0,-32.0
