recno,Name,B-V,Nobs,S,logRHK,Prot,logA,sRV1,sRV2,OCat,SimbadName,_RA,_DE
73,15590,0.652,4,0.131,-5.23,,10.07,2.0,2.6,0,"HD 15590  ",37.29991,-42.07542
54,11264,0.664,3,0.14,-5.15,,9.97,2.1,2.2,0,"HD 11264  ",27.39808,-46.76867
4,23,0.577,8,0.173,-4.89,15,9.67,2.8,3.6,0,"HD 23     ",1.28123,-52.15174
16,3359,0.78,5,0.144,-5.12,,9.93,2.1,2.1,0,"HD 3359   ",9.01837,-49.12813
35,8049,0.876,8,0.678,-4.3,3,8.14,4.5,16.2,1,"HD 8049   ",19.81192,-43.62984
29,6910,0.651,6,0.126,-5.29,,10.14,1.9,4.3,0,"HD 6910   ",17.26011,-42.40182
36,8076,0.622,14,0.22,-4.71,14,9.32,3.6,6.9,1,"HD 8076   ",19.88913,-39.3626
26,6434,0.613,8,0.144,-5.1,,9.9,2.2,2.5,0,"HD 6434   ",16.16729,-39.48822
27,6790,0.561,5,0.154,-5.0,,9.82,2.5,2.7,0,"HD 6790   ",16.99007,-37.89816
17,4113,0.716,9,0.149,-5.08,,9.91,2.1,2.1,1,"HD 4113   ",10.80249,-37.98263
49,10370,0.714,5,0.164,-5.0,35,9.81,2.2,2.1,1,"HD 10370  ",25.15173,-36.48362
40,8581,0.569,7,0.133,-5.2,,10.04,2.1,2.7,0,"HD 8581   ",21.05127,-31.81196
55,11231,0.463,7,0.127,-5.26,,10.1,1.9,3.0,0,"HD 11231  ",27.40787,-34.45913
63,13386,0.88,5,0.174,-5.02,,9.84,2.1,2.1,0,"HD 13386  ",32.53348,-31.06987
62,13350,0.766,4,0.137,-5.17,,9.99,2.0,2.6,0,"HD 13350  ",32.43527,-30.74625
60,12585,0.662,11,0.157,-5.02,,9.85,2.4,2.3,0,"HD 12585  ",30.68099,-29.81418
44,9905,0.761,8,0.172,-4.97,38,9.78,2.2,2.1,0,"HD 9905   ",24.04204,-29.39235
28,6880,0.764,4,0.234,-4.75,27,9.41,2.5,4.1,0,"HD 6880   ",17.24146,-30.92928
34,7786,0.494,6,0.171,-4.88,7,9.64,2.8,5.0,0,"HD 7786   ",19.26388,-30.91772
41,9175,0.656,7,0.145,-5.1,,9.9,2.2,2.3,0,"HD 9175   ",22.49956,-22.52423
84,18708,0.651,5,0.134,-5.2,,10.03,2.0,2.3,0,"HD 18708  ",44.78393,-40.72349
91,19603,0.603,6,0.142,-5.12,,9.92,2.2,2.5,0,"HD 19603  ",47.00218,-39.30524
95,20299,0.428,4,0.161,-4.94,4,9.74,2.3,3.0,0,"HD 20299  ",48.70664,-33.42925
101,21411,0.716,7,0.232,-4.73,22,9.36,2.5,5.0,1,"HD 21411  ",51.54632,-30.61781
107,22582,0.73,5,0.148,-5.09,,9.92,2.1,2.1,0,"HD 22582  ",54.2421,-28.13146
94,20155,0.622,6,0.139,-5.15,,9.97,2.1,2.6,1,"HD 20155  ",48.35019,-28.9747
98,20584,0.584,9,0.123,-5.33,,10.19,1.9,3.8,0,"HD 20584  ",49.46166,-26.35241
70,14758,0.644,5,0.158,-5.01,,9.83,2.5,2.3,0,"HD 14758  ",35.49659,-29.35209
85,18819,0.597,5,0.12,-5.37,,10.23,1.8,3.0,0,"HD 18819  ",45.18135,-27.64183
99,20657,0.8,5,0.136,-5.18,,10.0,2.0,3.8,0,"HD 20657  ",49.6832,-25.4289
79,17134,0.634,5,0.143,-5.12,,9.92,2.2,2.4,0,"HD 17134  ",41.0609,-25.49539
103,21841,0.666,8,0.235,-4.69,17,9.27,3.8,6.6,0,"HD 21841  ",52.6669,-19.43558
52,10611,0.853,7,0.477,-4.44,12,8.61,3.6,10.0,1,"HD 10611  ",25.8097,-21.61977
50,10519,0.617,4,0.138,-5.16,,9.98,2.1,2.5,0,"HD 10519  ",25.56213,-17.88881
97,20339,0.614,6,0.143,-5.11,,9.91,2.2,2.5,0,"HD 20339  ",48.97253,-14.79912
86,18894,0.598,5,0.179,-4.87,16,9.62,2.9,3.9,0,"HD 18894  ",45.53865,-6.49454
272,94009,0.77,1,0.134,-5.19,,10.02,2.0,4.3,0,"HD 94009  ",159.58347,-86.89713
287,96417,0.563,1,0.135,-5.17,,10.0,2.1,2.7,0,"HD 96417  ",165.75956,-81.62173
269,91682,0.696,1,0.145,-5.11,,9.91,2.2,2.3,0,"HD 91682  ",157.7668,-78.16499
266,90926,0.748,2,0.158,-5.03,,9.86,2.1,2.1,0,"HD 90926  ",156.53522,-76.45202
260,89591,0.642,5,0.165,-4.96,25,9.77,2.6,2.6,0,"HD 89591  ",154.21735,-74.42683
224,73744,0.607,5,0.157,-5.0,21,9.82,2.5,2.5,1,"HD 73744  ",128.06484,-76.9288
295,98640,0.765,1,0.338,-4.53,15,8.88,3.0,2.6,0,"HD 98640  ",169.87462,-74.00556
299,100508,0.828,9,0.158,-5.06,,9.88,2.1,2.1,1,"HD 100508 ",173.30455,-67.05458
263,89942,0.7,1,0.144,-5.11,,9.92,2.2,2.1,0,"HD 89942  ",155.21034,-63.44812
218,67200,0.595,1,0.131,-5.22,,10.06,2.0,2.6,0,"HD 67200  ",120.38559,-70.02388
208,61475,0.853,7,0.34,-4.61,23,9.1,2.9,5.4,0,"HD 61475  ",113.68495,-66.64351
179,45987,0.655,10,0.146,-5.1,,9.92,2.2,2.3,0,"HD 45987  ",96.21562,-68.80313
185,47855,0.465,7,0.189,-4.79,5,9.48,3.0,8.2,0,"HD 47855  ",98.97819,-64.88101
200,56413,0.754,2,0.184,-4.92,35,9.7,2.3,2.1,0,"HD 56413  ",108.2414,-61.61318
239,79985,0.659,3,0.126,-5.28,,10.13,1.9,2.6,0,"HD 79985  ",138.54393,-63.69302
246,85249,0.492,1,0.132,-5.19,,10.03,2.1,3.0,0,"HD 85249  ",147.2167,-53.58531
240,81238,0.509,1,0.157,-4.97,10,9.78,2.5,2.9,0,"HD 81238  ",140.61825,-53.73679
230,75351,0.625,3,0.142,-5.13,,9.93,2.2,2.6,0,"HD 75351  ",131.81225,-51.92137
223,72579,0.79,8,0.157,-5.05,,9.88,2.1,2.1,0,"HD 72579  ",127.7876,-54.08828
235,78747,0.575,22,0.146,-5.07,,9.9,2.3,2.6,1,"HD 78747  ",136.98573,-50.48245
285,95338,0.878,8,0.195,-4.94,44,9.75,2.2,2.1,1,"HD 95338  ",164.8596,-56.62304
308,102804,0.413,1,0.202,-4.73,2,9.37,2.9,10.2,0,"HD 102804 ",177.4923,-56.27197
301,101117,0.638,1,0.251,-4.63,13,9.13,4.1,9.1,0,"HD 101117 ",174.44972,-52.89119
292,98179,0.5,1,0.14,-5.11,,9.91,2.2,3.0,0,"HD 98179  ",169.26989,-52.65727
262,89839,0.523,3,0.13,-5.22,,10.06,2.1,2.9,0,"HD 89839  ",155.16892,-53.66409
256,87966,0.415,1,0.168,-4.9,3,9.68,2.3,3.0,0,"HD 87966  ",151.78782,-52.53424
286,95521,0.637,16,0.163,-4.97,24,9.79,2.5,2.4,1,"HD 95521  ",165.20943,-49.01984
264,89988,0.681,2,0.141,-5.14,,9.95,2.1,2.6,0,"HD 89988  ",155.53255,-46.56656
267,90520,0.643,1,0.141,-5.14,,9.95,2.2,2.6,0,"HD 90520  ",156.54437,-45.56254
303,101171,0.771,4,0.193,-4.89,35,9.66,2.3,2.1,0,"HD 101171 ",174.54609,-51.57543
310,103220,0.74,2,0.151,-5.07,,9.9,2.1,2.6,0,"HD 103220 ",178.26989,-45.48367
300,100850,0.661,3,0.135,-5.2,,10.03,2.0,2.3,0,"HD 100850 ",174.0471,-37.06461
284,95136,0.66,6,0.151,-5.06,,9.89,2.3,2.3,0,"HD 95136  ",164.63782,-39.92932
294,98459,0.623,1,0.13,-5.24,,10.09,2.0,2.4,0,"HD 98459  ",169.81502,-40.2823
247,85390,0.855,10,0.21,-4.89,40,9.66,2.3,2.1,1,"HD 85390  ",147.5104,-49.79027
251,86006,0.708,2,0.14,-5.15,,9.97,2.0,2.6,0,"HD 86006  ",148.62987,-45.73098
258,87931,0.76,3,0.161,-5.02,,9.85,2.1,2.1,0,"HD 87931  ",151.86754,-37.50389
254,86397,0.725,7,0.175,-4.94,33,9.74,2.2,2.1,0,"HD 86397  ",149.33192,-35.53614
270,91320,0.588,1,0.137,-5.16,,9.98,2.1,2.6,0,"HD 91320  ",158.03504,-31.84048
283,95090,0.639,1,0.141,-5.13,,9.94,2.2,2.4,0,"HD 95090  ",164.57025,-32.59954
255,86652,0.63,2,0.153,-5.04,,9.86,2.4,2.4,0,"HD 86652  ",149.78331,-33.51712
265,90028,0.656,12,0.154,-5.04,,9.86,2.4,2.3,1,"HD 90028  ",155.71429,-28.0135
192,49035,0.755,2,0.228,-4.76,27,9.44,2.5,4.0,0,"HD 49035  ",100.59686,-61.22497
197,53466,0.551,1,0.133,-5.2,,10.03,2.1,2.8,0,"HD 53466  ",105.44528,-56.62142
195,51608,0.771,1,0.159,-5.03,,9.86,2.1,2.1,1,"HD 51608  ",103.71393,-55.25933
203,57553,0.506,1,0.172,-4.88,8,9.64,2.8,2.8,0,"HD 57553  ",109.74497,-52.53976
212,hip37727,0.7,15,0.296,-4.56,14,8.95,4.8,9.7,1,"hip37727  ",116.06865,-50.46661
182,46894,0.778,5,0.136,-5.17,,10.0,2.0,4.3,0,"HD 46894  ",98.14297,-55.6486
181,46435,0.702,2,0.224,-4.74,22,9.39,2.4,4.9,0,"HD 46435  ",97.58006,-52.87128
201,56662,0.604,18,0.148,-5.07,,9.9,2.3,2.5,1,"HD 56662  ",108.8713,-48.23001
220,68607,0.862,1,0.277,-4.73,30,9.37,2.6,3.6,0,"HD 68607  ",122.79035,-46.29739
219,68475,0.887,6,0.305,-4.71,29,9.31,2.7,3.8,1,"HD 68475  ",122.71914,-42.81141
217,66039,0.582,2,0.199,-4.77,13,9.45,3.2,6.1,0,"HD 66039  ",119.99489,-41.70409
222,70081,0.66,2,0.14,-5.14,,9.96,2.1,2.3,0,"HD 70081  ",124.60646,-40.35855
171,42538,0.593,5,0.126,-5.29,,10.14,1.9,2.6,0,"HD 42538  ",92.05675,-53.28278
172,42719,0.657,5,0.128,-5.27,,10.11,1.9,2.6,0,"HD 42719  ",92.36546,-51.38944
189,48265,0.747,16,0.132,-5.21,,10.04,2.0,4.3,0,"HD 48265  ",100.00719,-48.54195
180,45738,0.46,11,0.163,-4.93,6,9.72,2.5,3.6,0,"HD 45738  ",96.74663,-44.12276
169,41155,0.559,5,0.121,-5.36,,10.22,1.9,2.6,0,"HD 41155  ",90.27324,-43.90311
176,44310,0.837,2,0.156,-5.07,,9.9,2.1,2.1,1,"HD 44310  ",94.82854,-37.4629
183,47017,0.609,6,0.129,-5.25,,10.09,2.0,2.5,0,"HD 47017  ",98.72496,-34.8362
210,61051,0.766,3,0.158,-5.04,,9.86,2.1,2.1,0,"HD 61051  ",113.98402,-32.84142
196,52217,0.823,8,0.229,-4.81,33,9.52,2.4,2.1,0,"HD 52217  ",104.80664,-27.12784
232,77417,0.77,16,0.177,-4.95,38,9.75,2.2,2.1,0,"HD 77417  ",135.2728,-37.77161
231,75288,0.673,2,0.149,-5.08,,9.9,2.3,2.2,0,"HD 75288  ",131.99208,-35.72755
241,81110,0.724,15,0.193,-4.87,29,9.62,2.3,2.1,1,"HD 81110  ",140.74864,-27.17223
225,73267,0.806,3,0.154,-5.07,,9.9,2.1,2.1,0,"HD 73267  ",129.07406,-34.45998
253,86226,0.647,15,0.168,-4.95,25,9.75,2.6,2.3,0,"HD 86226  ",149.12435,-24.09939
259,87998,0.622,21,0.147,-5.08,,9.91,2.3,2.4,1,"HD 87998  ",152.08908,-19.75522
242,81659,0.67,18,0.251,-4.64,15,9.17,4.1,7.7,1,"HD 81659  ",141.67847,-14.49075
236,78558,0.617,17,0.151,-5.05,,9.88,2.4,2.5,1,"HD 78558  ",137.10516,-15.14479
237,78612,0.61,22,0.142,-5.11,,9.92,2.2,2.5,0,"HD 78612  ",137.20744,-10.75751
451,142022,0.79,6,0.192,-4.9,37,9.68,2.3,2.1,1,"HD 142022 ",242.56263,-84.23161
461,144167,0.651,4,0.191,-4.84,21,9.57,3.0,2.3,0,"HD 144167 ",246.1179,-84.45566
477,150761,0.564,1,0.145,-5.08,,9.9,2.3,2.7,0,"HD 150761 ",252.794,-75.63427
428,137388,0.891,6,0.265,-4.78,35,9.47,2.6,2.1,1,"HD 137388 ",233.91638,-80.20459
363,115674,0.667,13,0.186,-4.86,24,9.62,2.9,2.2,1,"HD 115674 ",200.75029,-81.31012
415,133639,0.678,5,0.163,-4.99,30,9.81,2.5,2.2,0,"HD 133639 ",227.75161,-73.8698
407,131664,0.667,8,0.179,-4.9,25,9.67,2.8,2.2,0,"HD 131664 ",225.02531,-73.53534
400,129445,0.756,12,0.161,-5.02,,9.84,2.1,2.1,0,"HD 129445 ",221.51277,-68.76275
479,152138,0.49,10,0.202,-4.73,5,9.36,3.3,10.5,0,"HD 152138 ",254.04185,-65.3105
472,149079,0.576,10,0.142,-5.11,,9.9,2.3,2.6,0,"HD 149079 ",249.2142,-65.58672
463,147619,0.604,1,0.125,-5.31,,10.16,1.9,2.5,0,"HD 147619 ",246.87263,-66.33817
431,140643,0.898,2,0.293,-4.74,32,9.38,2.7,2.1,1,"HD 140643 ",237.14891,-65.2334
468,148587,0.573,10,0.139,-5.13,,9.95,2.2,2.7,0,"HD 148587 ",248.27332,-63.84225
473,149194,0.559,6,0.151,-5.03,,9.86,2.4,2.7,0,"HD 149194 ",249.26689,-62.24029
467,148628,0.538,3,0.139,-5.13,,9.94,2.2,2.8,0,"HD 148628 ",248.25894,-60.90281
460,147018,0.763,9,0.219,-4.8,29,9.5,2.4,3.6,0,"HD 147018 ",245.75061,-61.68876
438,142137,0.629,3,0.142,-5.12,,9.92,2.2,4.2,0,"HD 142137 ",238.98127,-58.68372
336,109067,0.405,1,0.164,-4.93,3,9.72,2.2,3.0,0,"HD 109067 ",188.20928,-75.43468
348,111232,0.701,18,0.16,-5.02,,9.84,2.1,2.1,1,"HD 111232 ",192.21564,-68.42515
321,106275,0.892,7,0.202,-4.94,44,9.73,2.3,2.1,1,"HD 106275 ",183.46606,-69.06045
376,120329,0.739,5,0.143,-5.13,,9.94,2.1,2.6,0,"HD 120329 ",207.56795,-57.26198
371,119782,0.856,9,0.305,-4.67,27,9.24,2.8,4.4,1,"HD 119782 ",206.67513,-56.85008
378,121504,0.593,20,0.175,-4.89,17,9.66,2.8,3.6,0,"HD 121504 ",209.32183,-56.04004
394,128214,0.72,2,0.173,-4.95,33,9.76,2.2,2.6,0,"HD 128214 ",219.43608,-57.45762
402,130102,0.544,1,0.178,-4.86,11,9.61,2.9,4.8,0,"HD 130102 ",222.10469,-56.43625
388,126525,0.682,9,0.157,-5.03,,9.85,2.4,2.2,1,"HD 126525 ",216.88738,-51.93309
409,132648,0.721,9,0.191,-4.87,29,9.63,2.3,2.1,1,"HD 132648 ",225.47195,-47.00747
497,160859,0.617,11,0.17,-4.92,20,9.72,2.7,2.5,1,"HD 160859 ",266.64971,-62.75184
493,158630,0.6,9,0.157,-5.0,,9.82,2.5,2.5,1,"HD 158630 ",263.52195,-59.77578
485,154672,0.713,14,0.156,-5.04,,9.87,2.1,2.1,0,"HD 154672 ",257.52047,-56.44927
489,156643,0.627,5,0.161,-4.98,23,9.79,2.5,2.4,1,"HD 156643 ",260.33079,-51.12284
454,145666,0.603,11,0.193,-4.8,15,9.51,3.1,4.9,0,"HD 145666 ",243.76733,-56.37454
456,146124,0.76,6,0.293,-4.61,19,9.09,2.8,6.8,1,"HD 146124 ",244.22124,-49.85675
478,152079,0.711,11,0.164,-4.99,34,9.81,2.2,2.1,0,"HD 152079 ",253.3739,-46.33296
469,149189,0.653,1,0.136,-5.18,,10.01,2.1,2.3,0,"HD 149189 ",248.85556,-48.69832
464,148156,0.56,2,0.151,-5.03,,9.85,2.4,2.7,0,"HD 148156 ",247.07202,-46.31763
466,148290,0.502,1,0.148,-5.03,,9.86,2.4,3.0,0,"HD 148290 ",247.23291,-43.45839
494,159902,0.682,1,0.149,-5.08,,9.9,2.3,2.2,0,"HD 159902 ",264.8661,-45.88639
492,158469,0.556,6,0.133,-5.19,,10.02,2.1,2.7,0,"HD 158469 ",262.83232,-39.16531
490,157830,0.685,7,0.195,-4.84,24,9.57,3.1,3.6,1,"HD 157830 ",261.84148,-38.06145
484,154682,0.617,7,0.143,-5.11,,9.91,2.2,2.5,0,"HD 154682 ",257.13654,-36.64303
487,156152,0.644,6,0.143,-5.12,,9.92,2.2,2.3,0,"HD 156152 ",259.32998,-32.06588
452,144899,0.66,4,0.15,-5.07,,9.89,2.3,2.3,0,"HD 144899 ",242.57272,-47.91429
442,143137,0.518,2,0.129,-5.23,,10.07,2.1,2.9,0,"HD 143137 ",240.14337,-45.92852
441,143120,0.78,3,0.131,-5.21,,10.04,2.0,4.3,0,"HD 143120 ",240.09585,-45.45275
433,141366,0.683,2,0.142,-5.13,,9.94,2.2,4.3,0,"HD 141366 ",237.64275,-44.5651
443,143361,0.773,13,0.167,-5.0,41,9.82,2.2,2.1,0,"HD 143361 ",240.45978,-44.43453
458,146817,0.666,10,0.149,-5.07,,9.9,2.3,2.2,0,"HD 146817 ",244.9983,-40.81824
445,143846,0.6,3,0.165,-4.94,19,9.75,2.6,2.5,1,"HD 143846 ",241.0397,-37.30741
423,135625,0.617,3,0.146,-5.09,,9.91,2.3,2.5,0,"HD 135625 ",229.4517,-45.92241
420,135309,0.64,3,0.17,-4.94,23,9.73,2.7,2.4,0,"HD 135309 ",229.02817,-45.4813
426,137214,0.593,2,0.149,-5.06,,9.88,2.3,2.6,0,"HD 137214 ",231.5636,-42.86229
417,134928,0.759,2,0.212,-4.82,30,9.54,2.4,2.1,0,"HD 134928 ",228.49495,-41.46299
418,134929,0.81,1,0.193,-4.91,39,9.69,2.3,2.1,0,"HD 134929 ",228.4957,-41.45833
422,135562,0.652,1,0.129,-5.25,,10.09,1.9,2.6,0,"HD 135562 ",229.26603,-37.72482
437,141885,0.652,2,0.122,-5.34,,10.19,1.8,4.3,1,"HD 141885 ",238.21701,-37.39859
435,141815,0.542,2,0.129,-5.24,,10.08,2.1,2.8,0,"HD 141815 ",238.05802,-34.12182
471,149396,0.704,6,0.257,-4.65,18,9.19,2.6,6.8,0,"HD 149396 ",248.98184,-37.36306
450,144848,0.648,2,0.152,-5.05,,9.87,2.4,2.3,0,"HD 144848 ",242.32096,-35.49867
462,147873,0.575,4,0.128,-5.26,,10.1,2.0,2.6,0,"HD 147873 ",246.43814,-33.56712
444,143673,0.802,4,0.163,-5.02,,9.85,2.1,2.2,0,"HD 143673 ",240.73735,-32.16197
448,144550,0.682,4,0.159,-5.01,,9.84,2.4,2.2,0,"HD 144550 ",241.89335,-31.55244
457,146835,0.585,3,0.199,-4.77,13,9.45,3.2,6.0,1,"HD 146835 ",244.88141,-30.90185
434,141599,0.757,5,0.209,-4.82,30,9.55,2.4,2.1,0,"HD 141599 ",237.7718,-30.08643
455,146070,0.614,2,0.212,-4.73,14,9.37,3.4,6.3,1,"HD 146070 ",243.82956,-27.21026
335,108953,0.8,11,0.179,-4.96,41,9.76,2.2,2.1,0,"HD 108953 ",187.89792,-59.20797
332,107820,0.863,1,0.14,-5.16,,9.97,2.0,4.3,0,"HD 107820 ",185.895,-59.54184
374,120056,0.724,3,0.135,-5.19,,10.02,2.0,4.3,0,"HD 120056 ",207.13184,-55.61488
370,119329,0.735,1,0.147,-5.1,,9.9,2.1,2.5,0,"HD 119329 ",205.93564,-51.62658
343,110273,0.538,2,0.142,-5.1,,9.9,2.3,2.8,0,"HD 110273 ",190.37136,-56.30457
322,106290,0.623,1,0.17,-4.93,21,9.72,2.7,2.4,0,"HD 106290 ",183.46989,-55.2074
328,107077,0.435,7,0.165,-4.92,4,9.7,2.4,3.0,0,"HD 107077 ",184.73817,-53.87243
341,109908,0.583,11,0.268,-4.55,7,8.93,4.4,15.3,0,"HD 109908 ",189.70456,-51.2156
351,112456,0.569,4,0.16,-4.97,16,9.78,2.6,2.7,0,"HD 112456 ",194.34006,-48.63599
350,112121,0.728,4,0.149,-5.09,,9.91,2.1,2.1,0,"HD 112121 ",193.66606,-48.06183
395,128760,0.568,4,0.158,-4.98,16,9.79,2.5,2.7,0,"HD 128760 ",220.05286,-45.54596
392,127423,0.569,13,0.225,-4.67,9,9.23,3.7,9.8,0,"HD 127423 ",218.10238,-37.81736
369,119119,0.589,2,0.126,-5.29,,10.14,1.9,2.6,0,"HD 119119 ",205.58989,-47.25013
383,124595,0.61,5,0.149,-5.06,,9.89,2.3,2.5,0,"HD 124595 ",213.85289,-37.95916
389,126653,0.574,2,0.164,-4.94,16,9.74,2.6,2.6,0,"HD 126653 ",216.93856,-35.25393
380,124227,0.529,1,0.172,-4.88,10,9.64,2.8,4.6,0,"HD 124227 ",213.2528,-31.23917
334,108446,0.872,11,0.302,-4.7,28,9.29,2.7,4.0,1,"HD 108446 ",186.95199,-50.3366
325,106869,0.574,8,0.14,-5.12,,9.93,2.2,2.7,0,"HD 106869 ",184.3828,-48.92559
319,105837,0.57,13,0.159,-4.97,16,9.79,2.5,2.7,1,"HD 105837 ",182.74139,-46.32198
327,107008,0.841,7,0.257,-4.76,31,9.42,2.6,2.1,0,"HD 107008 ",184.6236,-42.42747
337,109591,0.666,12,0.148,-5.09,,9.91,2.3,2.2,0,"HD 109591 ",189.02744,-42.8523
316,104760,0.645,4,0.157,-5.01,,9.83,2.4,2.3,0,"HD 104760 ",180.94289,-44.12281
345,110619,0.664,14,0.169,-4.95,27,9.75,2.6,2.2,1,"HD 110619 ",190.92802,-37.70814
344,110605,0.73,8,0.171,-4.96,35,9.77,2.2,2.1,0,"HD 110605 ",190.88355,-31.38588
379,122245,0.485,1,0.164,-4.92,7,9.71,2.6,4.1,0,"HD 122245 ",210.35737,-31.6207
375,120250,0.461,5,0.126,-5.27,,10.12,1.9,3.0,0,"HD 120250 ",207.22147,-29.66117
352,113027,0.569,13,0.187,-4.82,12,9.53,3.0,5.2,0,"HD 113027 ",195.27828,-33.48013
357,114432,0.756,9,0.357,-4.5,13,8.77,3.1,10.5,1,"HD 114432 ",197.6942,-24.17924
361,116220,0.667,1,0.138,-5.16,,9.99,2.1,2.2,1,"HD 116220 ",200.64197,-22.95191
411,132996,0.613,15,0.154,-5.02,,9.84,2.4,2.5,0,"HD 132996 ",225.82563,-36.92461
401,129946,0.71,1,0.28,-4.6,16,9.06,2.7,8.0,0,"HD 129946 ",221.59369,-33.76616
424,136762,0.624,3,0.236,-4.66,13,9.21,3.8,2.5,0,"HD 136762 ",230.88652,-34.74558
416,134664,0.662,9,0.172,-4.93,26,9.73,2.7,2.3,1,"HD 134664 ",228.04315,-30.88629
419,135446,0.649,7,0.124,-5.31,,10.16,1.9,2.6,1,"HD 135446 ",229.01382,-30.73042
425,136894,0.721,8,0.173,-4.95,33,9.75,2.2,2.1,1,"HD 136894 ",231.01012,-27.30522
412,133131A,0.622,13,0.16,-4.99,23,9.8,2.5,2.4,0,ADS 9488 A,225.89769,-27.84255
413,133131B,0.622,2,0.164,-4.96,22,9.77,2.6,2.4,0,ADS 9488 B,225.8992,-27.84099
405,131900,0.747,1,0.17,-4.97,37,9.79,2.2,2.1,0,"HD 131900 ",224.20274,-20.48998
453,145518,0.616,6,0.209,-4.75,15,9.4,3.4,6.0,1,"HD 145518 ",243.01023,-18.23262
449,144766,0.562,12,0.157,-4.98,15,9.8,2.5,2.7,1,"HD 144766 ",242.02968,-18.24313
429,139061,0.412,1,0.148,-5.04,,9.87,2.0,3.0,0,"HD 139061 ",234.14956,-17.01519
432,141514,0.588,10,0.152,-5.03,,9.86,2.4,2.6,0,"HD 141514 ",237.50254,-14.05115
391,127321,0.615,1,0.13,-5.24,,10.09,2.0,2.5,0,"HD 127321 ",217.80143,-19.97779
396,128987,0.71,13,0.36,-4.45,9,8.64,3.1,14.2,2,"HD 128987 ",220.12961,-16.20929
414,134048,0.727,3,0.139,-5.16,,9.98,2.0,2.6,1,"HD 134048 ",227.02671,-12.05142
421,135725,0.748,6,0.166,-4.99,38,9.81,2.2,2.1,0,"HD 135725 ",229.22089,-8.28556
397,129679,0.6,1,0.315,-4.46,6,8.66,5.2,21.1,0,"HD 129679 ",221.07009,-11.61735
399,129903,0.576,1,0.386,-4.32,2,8.22,6.5,43.3,0,"HD 129903 ",221.33443,-6.73448
596,198477,0.9,6,0.227,-4.88,41,9.64,2.4,2.1,0,"HD 198477 ",320.79105,-87.05228
569,189310,0.896,3,0.381,-4.6,23,9.06,3.1,5.3,1,"HD 189310 ",303.31848,-82.02814
663,222669,0.608,3,0.166,-4.94,20,9.75,2.6,2.5,1,"HD 222669 ",355.98901,-82.5085
628,213401,0.669,2,0.151,-5.06,,9.89,2.3,2.5,0,"HD 213401 ",338.81498,-78.61408
530,175169,0.721,4,0.159,-5.02,,9.85,2.1,2.1,0,"HD 175169 ",286.78529,-80.55246
513,169506,0.608,3,0.13,-5.24,,10.09,2.0,3.0,0,"HD 169506 ",279.26094,-79.6291
517,171990,0.593,13,0.139,-5.14,,9.95,2.2,2.6,0,"HD 171990 ",281.95471,-77.86825
652,220718,0.651,5,0.132,-5.22,,10.05,2.0,2.6,0,"HD 220718 ",351.78069,-72.88162
632,214691,0.735,5,0.149,-5.08,,9.91,2.1,2.1,0,"HD 214691 ",340.64711,-73.24234
524,175167,0.751,9,0.152,-5.07,,9.9,2.1,2.6,0,"HD 175167 ",285.00348,-69.94424
533,177409,0.6,7,0.166,-4.94,19,9.74,2.6,2.5,1,"HD 177409 ",287.47731,-68.29969
568,190125,0.708,10,0.278,-4.6,16,9.07,2.7,8.0,0,"HD 190125 ",302.0133,-67.74705
577,195145,0.738,6,0.178,-4.94,34,9.73,2.2,2.1,0,"HD 195145 ",308.25144,-62.49636
561,187101,0.584,5,0.141,-5.12,,9.93,2.2,2.6,0,"HD 187101 ",297.84856,-58.50987
580,197069,0.579,5,0.168,-4.92,16,9.72,2.7,2.6,0,"HD 197069 ",311.14952,-63.13614
594,202457,0.689,6,0.146,-5.1,,9.9,2.2,2.1,1,"HD 202457 ",319.68459,-61.35281
585,199065,0.658,4,0.246,-4.65,15,9.18,4.0,7.8,0,"HD 199065 ",314.34348,-59.07596
605,205158,0.596,13,0.13,-5.24,,10.09,2.0,2.6,0,"HD 205158 ",323.91883,-59.6932
591,201757,0.714,6,0.14,-5.14,,9.96,2.1,2.6,0,"HD 201757 ",318.36538,-49.79461
662,222743,0.559,4,0.153,-5.02,,9.84,2.5,2.7,0,"HD 222743 ",355.91591,-63.96098
672,224538,0.581,4,0.153,-5.02,,9.84,2.4,2.6,0,"HD 224538 ",359.71568,-61.58677
665,224010,0.628,6,0.146,-5.09,,9.91,2.3,2.4,0,"HD 224010 ",358.65278,-60.34935
640,219011,0.727,6,0.149,-5.09,,9.91,2.1,2.1,0,"HD 219011 ",348.34308,-60.44568
669,224376,0.486,3,0.186,-4.8,6,9.5,3.0,7.5,0,"HD 224376 ",359.36612,-58.96448
671,224464,0.465,2,0.158,-4.96,6,9.77,2.5,3.0,0,"HD 224464 ",359.55482,-57.19679
642,219533,0.684,3,0.138,-5.16,,9.98,2.1,2.4,0,"HD 219533 ",349.24333,-51.31938
629,213941,0.67,4,0.178,-4.91,26,9.69,2.8,2.2,1,"HD 213941 ",339.0321,-54.61062
626,213241,0.463,5,0.149,-5.03,,9.85,2.3,3.0,0,"HD 213241 ",337.76795,-50.39634
633,215456,0.636,7,0.133,-5.2,,10.04,2.0,2.4,1,"HD 215456 ",341.53348,-48.97882
627,213717,0.817,9,0.189,-4.93,40,9.72,2.3,2.1,0,"HD 213717 ",338.54498,-43.06773
