recno,Name,B-V,Nobs,S,logRHK,Prot,logA,sRV1,sRV2,OCat,SimbadName,_RA,_DE
592,202041,0.578,3,0.151,-5.03,,9.86,2.4,2.6,0,"HD 202041 ",318.59751,-32.5389
603,205067,0.656,4,0.158,-5.01,,9.83,2.4,2.3,0,"HD 205067 ",323.3791,-27.89026
588,200869,0.851,6,0.157,-5.07,,9.9,2.1,2.1,0,"HD 200869 ",316.73824,-28.44877
581,197499,0.576,5,0.148,-5.05,,9.88,2.4,2.6,0,"HD 197499 ",311.30844,-30.95564
600,204313,0.697,8,0.161,-5.0,,9.82,2.5,2.1,0,"HD 204313 ",322.05086,-21.72626
602,204941,0.878,4,0.218,-4.88,40,9.65,2.3,2.1,1,"HD 204941 ",323.09796,-20.95742
593,202206,0.714,10,0.214,-4.78,25,9.47,2.4,4.1,0,"HD 202206 ",318.7407,-20.78921
617,208704,0.64,3,0.152,-5.05,,9.88,2.3,2.4,1,"HD 208704 ",329.60135,-12.66466
582,197818,0.62,8,0.159,-4.99,23,9.81,2.5,2.4,1,"HD 197818 ",311.64278,-17.1629
558,186803,0.689,9,0.254,-4.65,17,9.18,4.1,7.2,1,"HD 186803 ",296.82542,-18.74666
566,190613,0.629,5,0.145,-5.1,,9.9,2.2,2.4,0,"HD 190613 ",301.59955,-14.91213
589,201796A,0.654,7,0.313,-4.49,9,8.77,5.1,14.7,0,HD 201796A,318.09402,-15.00001
590,201796B,0.654,7,0.317,-4.49,9,8.74,5.2,15.2,0,HD 201796B,318.09326,-14.99933
579,197210,0.711,6,0.183,-4.9,30,9.68,2.2,2.1,0,"HD 197210 ",310.62253,-5.30124
