recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
313,54872,HD 97603," ",A5 IV(n)," ",8037,3.72," ",2.0,f,0.0," ",*,,,"  ",," ",62,HIP 54872,168.5271,20.5237
314,54906,HD 97658," ",K1 V," ",,," ",," ",," "," ",0.158,-5.06,"I ",3.6," ",,HIP 54906,168.6382,25.7104
321,57274,BD+31 2290," ",K4 V," ",,," ",," ",," "," ",0.286,-5.02,"I ",3.6," ",,HIP 57274,176.1707,30.9593
320,56997,HD 101501," ",G8 V," ",5463,4.51,f,1.0,f,-0.12," "," ",0.282,-4.612,"A ",1.8," ",,HIP 56997,175.2626,34.2016
324,57939,HD 103095," ",K1 V Fe-1.5," ",5157,4.76,f,1.0,f,-1.08," "," ",0.136,-5.179,VI,1.8," ",,HIP 57939,178.2449,37.7187
502,87464,HD 162598," ",K6 V," ",,," ",," ",," "," ",0.405,-4.928,"I ",3.6," ",,HIP 87464,268.0692,-7.5604
508,88175,HD 164259," ",F2 V," ",6771,4.01," ",1.9," ",-0.06," "," ",,,"  ",," ",,HIP 88175,270.1209,-3.6903
548,97650,HD 187532," ",F2 V," ",6782,4.07," ",1.5," ",-0.12," "," ",,,"  ",," ",,HIP 97650,297.6949,-10.7635
551,98416,HD 189340," ",F9 V," ",5947,4.3," ",1.5," ",-0.14," "," ",0.163,-4.951,"I ",1.8," ",,HIP 98416,299.9473,-9.9582
565,99764,BD-07 5223," ",M0 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 99764,303.6175,-7.282
566,99916," "," ",M0.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 99916,304.0917,-2.069
564,99711,HD 192263," ",K2.5 V," ",4814,4.54,f,1.0,f,-0.6," "," ",0.365,-4.676,"A ",3.6," ",,HIP 99711,303.4994,-0.8669
576,102301," "," ",M1 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 102301,310.9222,-0.1782
554,98698,HD 190007," ",K4 V," ",,," ",," ",," "," ",0.644,-4.692,"A ",3.6," ",,HIP 98698,300.696,3.3262
528,93805,HD 177756," ",B9 IVp,*,11501,4.02," ",2.0,f,0.0,f,*,,,"  ",," ",103,HIP 93805,286.5622,-4.8826
518,89962,HD 168723," ",K0 III-IV," ",4888,2.39," ",1.0,f,-0.13," ",K,,,"  ",," ",,HIP 89962,275.3275,-2.8988
509,88324,HD 164651," ",G8 V," ",5446,4.39," ",1.0,f,-0.15," "," ",0.15,-5.08,"I ",1.8," ",,HIP 88324,270.5745,0.1042
519,90035,BD+01 3657," ",K6 V ke,*,,," ",," ",," "," ",4.538,-4.055,VA,3.6," ",99,HIP 90035,275.5718,1.7071
539,96285,HD 184489," ",K8 V," ",,," ",," ",," "," ",1.514,-4.735,"A ",3.6," ",,HIP 96285,293.666,4.5825
549,98036,HD 188512," ",G8 IV-V," ",5100,3.78," ",1.0,f,-0.29," "," ",0.126,-5.235,VI,1.8," ",,HIP 98036,298.8283,6.4068
547,97649,HD 187642," ",A7 Vn," ",7800,3.76," ",2.0,f,0.02," ",*,,,"  ",," ",105,HIP 97649,297.6958,8.8683
532,94650,HD 180263," ",K2 IV-V," ",,," ",," ",," "," ",0.244,-4.847,"I ",3.6," ",,HIP 94650,288.8961,11.5547
527,93747,HD 177724," ",A0 IV-Vnn," ",9190,3.74," ",2.0,f,-0.68," ",*,,,"  ",," ",102,HIP 93747,286.3525,13.8635
464,79672,HD 146233," ",G2 V," ",5744,4.44," ",1.0,f,0.0," "," ",0.159,-5.0,"I ",1.8," ",,HIP 79672,243.9053,-8.3694
