recno,HIP,BD/HD,Rem,SpType,n_SpType,Teff,log(g),f_log(g),xi,f_xi,[M/H],f_[M/H],n_[M/H],SMW,logR'HK,AC,Res,n_AC,n_HIP,SimbadName,_RA,_DE
113,17666,HD 23439B," ",K3 Vp Fe-1.0,*,,," ",," ",," "," ",0.129,-5.216,VI,3.6," ",,HIP 17666,56.7588,41.4273
107,16209," "," ",K7 Vb," ",,," ",," ",," "," ",0.632,-4.992,"I ",3.6," ",15,HIP 16209,52.2214,37.3824
97,14576,HD 19356," ",B8 V,*,,," ",," ",," "," ",,,"  ",," ",14,HIP 14576,47.0422,40.9556
105,15797,BD+43 699," ",K3 V," ",4701,4.71,f,1.0,f,-0.71," "," ",0.288,-4.84,"I ",3.6," ",,HIP 15797,50.8895,43.9573
111,17491,HD 23140," ",K0 V," ",5066,4.41,f,1.0,f,-0.41," "," ",0.252,-4.783,"I ",3.6," ",,HIP 17491,56.2035,46.0358
168,26779,HD 37394," ",K0 V," ",5264,4.48,f,1.0,f,0.0," "," ",0.373,-4.553,"A ",3.6," ",,HIP 26779,85.3347,53.4811
149,23783,HD 32537," ",F2 V," ",7018,4.05," ",2.1," ",-0.12," "," ",,,"  ",," ",,HIP 23783,76.6693,51.5977
142,21553,HD 232979," ",M0 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 21553,69.4205,52.8936
45,6917,HD 8997," ",K2.5 V," ",4793,4.41,f,1.0,f,-0.56," "," ",0.509,-4.557,"A ",3.6," ",,HIP 6917,22.2704,21.7232
42,5957," "," ",M0 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 5957,19.164,25.3315
63,8796,HD 11443," ",F6 IV," ",6273,3.57," ",2.1," ",-0.24," ",*,,,"  ",," ",9,HIP 8796,28.2704,29.5788
55,8043,BD+27 273," ",M1 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 8043,25.8166,27.8421
62,8543,HD 11130," ",G9 V," ",5270,4.65," ",1.0,f,-0.57," "," ",0.138,-5.165,VI,3.6," ",,HIP 8543,27.5328,29.4646
66,9269,HD 12051," ",G9 V," ",5446,4.36," ",1.0,f,0.0," "," ",0.142,-5.134,VI,1.8," ",,HIP 9269,29.7776,33.2097
69,10064,HD 13161," ",A5 IV," ",8186,3.7," ",2.0,f,0.2," ",*,,,"  ",," ",10,HIP 10064,32.3859,34.9873
71,10339,HD 13531," ",G7 V," ",5517,4.48," ",1.0,f,-0.08," "," ",0.329,-4.497,"A ",3.6," ",,HIP 10339,33.3056,40.5076
70,10321,HD 13507," ",G5 V," ",5569,4.35," ",1.0,f,-0.19," "," ",0.292,-4.548,"A ",1.8," ",,HIP 10321,33.2292,40.6683
81,12623,HD 16739," ",F9 IV-V," ",5973,3.9," ",1.8," ",-0.03," "," ",0.153,-5.012,"I ",1.8," ",,HIP 12623,40.5621,40.1939
85,12886," "," ",M1+ V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 12886,41.4153,44.9488
53,7918,HD 10307,*,G1 V," ",5874,4.35," ",1.0,f,0.1," "," ",0.155,-5.017,"I ",1.8," ",,HIP 7918,25.4464,42.6134
50,7734,HD 10086," ",G5 V," ",5659,4.61," ",1.0,f,-0.02," "," ",0.228,-4.723,"A ",1.8," ",,HIP 7734,24.9001,45.8778
19,3418,BD+33 99," ",K5- V," ",,," ",," ",," "," ",0.452,-4.848,"I ",3.6," ",,HIP 3418,10.8869,33.8446
18,3206,HD 3765," ",K2.5 V," ",4892,4.36,f,1.0,f,-0.11," "," ",0.161,-5.101,VI,3.6," ",,HIP 3206,10.2053,40.1872
39,5521,HD 6963," ",G7 V," ",,," ",," ",," "," ",0.222,-4.768,"I ",3.6," ",,HIP 5521,17.6746,42.9318
41,5944,HD 7590," ",G0- V (k)," ",6013,4.62," ",1.9," ",-0.16," "," ",0.294,-4.487,"A ",1.8," ",,HIP 5944,19.1219,42.9394
10,1598,HD 1562," ",G1 V," ",5756,4.43," ",1.0,f,-0.22," "," ",0.162,-4.979,"I ",1.8," ",,HIP 1598,5.0017,38.2274
38,5336,HD 6582," ",K1 V Fe-2," ",5526,4.49,f,1.0,f,-0.77," "," ",0.157,-5.031,"I ",3.6," ",,HIP 5336,17.0683,54.9203
6,746,HD 432," ",F2 III," ",6915,3.49," ",3.1," ",-0.02," "," ",,,"  ",," ",,HIP 746,2.2945,59.1498
3,518,HD 123," ",G4 V,*,5718,4.5," ",1.0,f,0.06," "," ",0.257,-4.644,"A ",1.8," ",1,HIP 518,1.5659,58.4367
99,14632,HD 19373,*,F9.5 V," ",5899,4.17," ",1.4," ",-0.09," "," ",0.16,-4.962,"I ",1.8," ",,HIP 14632,47.2667,49.6133
104,15673,HD 232781," ",K3.5 V," ",,," ",," ",," "," ",0.404,-4.691,"A ",3.6," ",,HIP 15673,50.4781,52.3315
96,14286,HD 18757," ",G1.5 V," ",5629,4.28," ",1.0,f,-0.27," "," ",0.16,-4.987,"I ",1.8," ",,HIP 14286,46.0402,61.7058
93,13665,HD 17948," ",F5 V," ",6500,4.07," ",1.5," ",-0.29," "," ",0.2,-4.676,"A ",1.8," ",,HIP 13665,43.9872,61.5211
137,21088," "," ",M4.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 21088,67.798,58.9771
141,21492," "," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 21492,69.2435,59.3666
122,18413,HD 24409," ",G3 V," ",5584,4.2," ",1.0,f,-0.17," "," ",0.176,-4.927,"I ",1.8," ",,HIP 18413,59.048,59.6419
121,18324,HD 24238," ",K2 V," ",,," ",," ",," "," ",0.139,-5.153,VI,3.6," ",,HIP 18324,58.766,61.1668
116,17749,HD 23189," ",K2 V,*,,," ",," ",," "," ",0.559,-5.045,"I ",3.6," ",19,HIP 17749,57.0043,68.6729
117,17750,HD 23189B," ",M2 V,*,,," ",," ",," "," ",,,"  ",," ",,HIP 17750,57.006,68.678
118,17750,HD GL153C," ",K6 V,*,,," ",," ",," "," ",1.157,,"  ",3.6," ",,HIP 17750,57.006,68.678
130,19422,HD 25665," ",K2.5 V," ",4843,4.57,f,1.0,f,-0.3," "," ",0.264,-4.847,"I ",3.6," ",,HIP 19422,62.396,69.5414
56,8070,HD 10436," ",K5.5 V," ",,," ",," ",," "," ",0.905,-4.657,"A ",3.6," ",,HIP 8070,25.9197,63.8234
59,,BD+63 241," ",K5 Ib,*,,," ",," ",," "," ",,,"  ",," ",8,BD+63 241,26.9421,63.8394
58,8362,HD 10780," ",G9 V," ",5312,4.38," ",1.0,f,0.07," "," ",0.186,-4.933,"I ",3.6," ",,HIP 8362,26.9368,63.8525
64,8867,HD 11373," ",K3 V k," ",4666,4.63,f,1.0,f,-0.45," "," ",0.63,-4.516,"A ",3.6," ",,HIP 8867,28.5255,66.1762
32,4872,BD+61 195," ",M2+ V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 4872,15.6619,62.345
36,5247,BD+63 137," ",K7 V," ",,," ",," ",," "," ",0.912,-4.801,"I ",3.6," ",,HIP 5247,16.7842,63.9413
46,7339,HD 9407," ",G6.5 V," ",,," ",," ",," "," ",0.158,-5.021,"I ",3.6," ",,HIP 7339,23.6386,68.9481
29,4454,HD 5351," ",K4 V," ",,," ",," ",," "," ",0.222,-5.015,"I ",3.6," ",,HIP 4454,14.2684,69.0435
33,4907,HD 5996," ",G9 V (k)," ",5497,4.5," ",1.0,f,-0.14," "," ",0.382,-4.454,"A ",1.8," ",,HIP 4907,15.7384,69.2271
24,3876,HD 4635," ",K2.5 V+," ",,," ",," ",," "," ",0.292,-4.742,"A ",3.6," ",,HIP 3876,12.4437,70.4495
13,1860," "," ",M2.5 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 1860,5.8701,77.1893
159,25110,HD 33564," ",F7 V," ",6394,4.15," ",1.4," ",0.15," "," ",0.155,-4.949,"I ",1.8," ",,HIP 25110,80.6397,79.2311
260,44109,BD+02 2116," ",K6 V (k)," ",,," ",," ",," "," ",1.48,-5.0,"I ",3.6," ",,HIP 44109,134.7593,1.8647
267,45383,HD 79555," ",K3+ V," ",4489,4.57,f,1.0,f,-0.8," "," ",0.708,-4.493,"A ",3.6," ",,HIP 45383,138.7236,4.4429
252,42172,HD 72945," ",F8 IV-V," ",6269,4.35," ",1.7," ",0.02," "," ",0.152,-4.981,"I ",1.8," ",,HIP 42172,128.9624,6.6202
253,42173,HD 72946," ",G8- V," ",5564,4.69," ",1.0,f,-0.03," "," ",0.253,-4.666,"A ",1.8," ",,HIP 42173,128.9636,6.6228
257,43557,HD 75767," ",G1.5 V," ",5741,4.42," ",1.0,f,-0.08," "," ",0.247,-4.638,"A ",1.8," ",,HIP 43557,133.0683,8.0629
255,42499,HD 73667," ",K2 V," ",5131,4.58,f,1.0,f,-0.15," "," ",0.144,-5.127,VI,3.6," ",,HIP 42499,129.9616,11.5227
265,45170,HD 79096," ",G9 V," ",5270,4.29,f,1.0,f,-0.36," "," ",0.197,-4.846,"I ",3.6," ",,HIP 45170,138.0731,14.996
290,50564,HD 89449," ",F6 IV-V," ",6476,4.08," ",1.8," ",0.04," "," ",0.182,-4.749,"A ",1.8," ",,HIP 50564,154.934,19.4709
280,49018,HD 86590," ",K0 V k,*,,," ",," ",," ",*,1.417,-3.953,VA,3.6," ",56,HIP 49018,150.0071,24.5527
273,46843,HD 82443," ",G9 V  (k),*,5372,4.54," ",1.0,f,-0.18," "," ",0.582,-4.264,"A ",3.6," ",53,HIP 46843,143.1823,26.9885
245,40375,HD 68834," ",K5 V," ",,," ",," ",," "," ",1.102,-4.555,"A ",3.6," ",48,HIP 40375,123.6496,13.0228
248,40977,HD 70276," ",Se," ",,," ",," ",," "," ",,,"  ",," ",,HIP 40977,125.4286,17.2852
242,40167,HD 68255/7," ",F8 V," ",,," ",," ",," "," ",0.16,,"  ",1.8," ",,HIP 40167,123.053,17.6478
243,40167,HD 68256," ",G0 IV-V," ",,," ",," ",," "," ",0.169,,"  ",1.8," ",,HIP 40167,123.053,17.6478
235,38657,HD 64468," ",K2.5 V," ",,," ",," ",," "," ",0.151,-5.146,VI,3.6," ",,HIP 38657,118.7253,19.2363
237,39064,HD 65430," ",K0 V," ",5192,4.51,f,1.0,f,-0.2," "," ",0.147,-5.11,VI,3.6," ",,HIP 39064,119.8914,20.8439
240,39780,HD 67228," ",G2 IV," ",5788,4.0," ",1.1," ",0.12," "," ",0.136,-5.181,VI,1.8," ",,HIP 39780,121.9411,21.5818
247,40843,HD 69897," ",F6 V," ",6297,4.06," ",1.4," ",-0.25," "," ",0.176,-4.809,"I ",1.8," ",,HIP 40843,125.0161,27.2177
268,45617,HD 79969," ",K3 V," ",4612,4.39,f,1.0,f,-0.6," "," ",0.367,-4.736,"A ",3.6," ",,HIP 45617,139.4727,28.5605
258,43587,HD 75732," ",K0 IV-V," ",4999,4.37,f,1.0,f,-0.09," "," ",0.152,-5.099,"I ",3.6," ",,HIP 43587,133.1492,28.3308
246,40671,BD+31 1781," ",K4.5 V," ",,," ",," ",," "," ",0.484,-4.834,"I ",3.6," ",,HIP 40671,124.5449,30.6008
263,44897,HD 78366," ",G0 IV-V," ",5926,4.36," ",1.0,f,0.0," "," ",0.263,-4.555,"A ",1.8," ",,HIP 44897,137.2128,33.8822
259,43852,HD 76218," ",G9- V (k)," ",5356,4.49," ",1.0,f,-0.12," "," ",0.361,-4.503,"A ",1.8," ",,HIP 43852,133.982,36.1962
288,50384,HD 89125," ",F6 V," ",6193,4.06," ",1.3," ",-0.3," "," ",0.173,-4.832,"I ",1.8," ",,HIP 50384,154.3106,23.1062
310,,HD 97101B," ",M2+ V," ",,," ",," ",," "," ",,,"  ",," ",,HD 97101B,167.7603,30.4449
309,54646,HD 97101," ",K7 V," ",,," ",," ",," "," ",1.303,-4.581,"A ",3.6," ",,HIP 54646,167.7716,30.446
302,54028,HD 95724," ",K2.5 V k," ",,," ",," ",," "," ",0.488,-4.536,"A ",3.6," ",,HIP 54028,165.8103,30.592
281,49081,HD 86728,*,G4 V," ",5720,4.29," ",1.0,f,0.1," "," ",0.146,-5.101,VI,1.8," ",,HIP 49081,150.2527,31.9237
284,49699,HD 87883," ",K2.5 V," ",,," ",," ",," "," ",0.2,-4.999,"I ",3.6," ",,HIP 49699,152.1797,34.2423
282,49593,HD 87696," ",A7 V(n)," ",7839,4.07," ",2.0,f,-0.01," ",*,,,"  ",," ",57,HIP 49593,151.8573,35.2447
312,54745,HD 97334," ",G1 V," ",5947,4.74," ",1.0,f,0.07," "," ",0.362,-4.368,"A ",1.8," ",,HIP 54745,168.1348,35.8141
306,54426,HD 96612," ",K3- V," ",,," ",," ",," "," ",0.264,-4.836,"I ",3.6," ",,HIP 54426,167.0584,38.4266
319,56809,HD 101177," ",F9.5 V," ",5932,4.31," ",1.3," ",-0.18," "," ",0.159,-4.956,"I ",1.8," ",,HIP 56809,174.6871,45.1084
325,58001,HD 103287," ",A1 IV(n)," ",9272,3.64," ",2.0,f,-0.19," ",*,,,"  ",," ",65,HIP 58001,178.4577,53.6948
276,47080,HD 82885," ",G8+ V,*,5370,4.4," ",1.0,f,0.06," "," ",0.283,-4.64,"A ",1.8," ",55,HIP 47080,143.9146,35.8101
292,50786,HD 89744," ",F8 IV," ",6202,3.99," ",2.0," ",0.05," "," ",0.137,-5.106,VI,1.8," ",,HIP 50786,155.544,41.2295
289,50505,HD 89269," ",G4 V," ",5639,4.54," ",1.0,f,-0.2," "," ",0.159,-5.0,"I ",1.8," ",,HIP 50505,154.7165,44.0483
270,45963,HD 80715," ",K2.5 V ke,*,4627,4.35,f,1.0,f,-0.58," "," ",1.5,-4.099,VA,3.6," ",52,HIP 45963,140.6081,40.2011
262,44248,HD 76943," ",F5 IV-V," ",6538,3.98," ",2.2," ",0.01," "," ",0.233,-4.548,"A ",1.8," ",,HIP 44248,135.1599,41.7829
271,46199,HD 81105," ",K4 V," ",,," ",," ",," "," ",0.565,-4.702,"A ",3.6," ",,HIP 46199,141.295,46.0982
277,47690,HD 84035," ",K4 V," ",,," ",," ",," "," ",0.506,-4.798,"I ",3.6," ",,HIP 47690,145.8569,42.6916
278,48113,HD 84737," ",G0 IV-V," ",5859,4.04," ",1.3," ",0.01," "," ",0.14,-5.131,VI,1.8," ",,HIP 48113,147.1474,46.021
286,49908,HD 88230," ",K8 V," ",,," ",," ",," "," ",1.727,-4.617,"A ",3.6," ",,HIP 49908,152.8423,49.4542
297,51525,BD+46 1635," ",K7 V," ",,," ",," ",," "," ",1.713,-4.59,"A ",3.6," ",,HIP 51525,157.8509,45.5261
299,52470,HD 92786," ",G9 V," ",5389,4.64," ",1.0,f,-0.29," "," ",0.157,-5.044,"I ",1.8," ",,HIP 52470,160.8909,48.2141
293,51248,HD 90508," ",G0 V," ",5779,4.24," ",1.0,f,-0.23," "," ",0.155,-5.005,"I ",1.8," ",,HIP 51248,157.0162,48.7849
287,50125,HD 233719," ",K6 V," ",,," ",," ",," "," ",0.462,-4.807,"I ",3.6," ",,HIP 50125,153.4891,52.5067
295,51459,HD 90839," ",F8 V," ",6165,4.37," ",1.5," ",-0.11," "," ",0.189,-4.768,"I ",1.8," ",,HIP 51459,157.6566,55.9805
298,51814,HD 91480," ",F2 V," ",6972,4.22," ",2.1," ",-0.05," "," ",,,"  ",," ",,HIP 51814,158.7904,57.0826
301,53910,HD 95418," ",A1 IVps (Sr II),*,9342,3.7," ",2.0," ",0.06," ",*,,,"  ",," ",60,HIP 53910,165.4603,56.3824
303,54061,HD 95689," ",G8 III," ",4742,2.31," ",1.0,f,-0.14," ",K,,,"  ",," ",,HIP 54061,165.932,61.751
316,56035,HD 99747," ",F5 V kF0mA9,*,6648,4.06," ",1.8," ",-0.46," "," ",0.313,-4.324,"A ",1.8," ",63,HIP 56035,172.269,61.7784
217,35550,HD 56986," ",F2 V kF0mF0,*,6906,3.68," ",2.6," ",-0.27," ",*,,,"  ",," ",45,HIP 35550,110.0307,21.9823
213,34950,HD 55458," ",K1 V," ",5131,4.65,f,1.0,f,-0.48," "," ",0.14,-5.148,VI,3.6," ",,HIP 34950,108.4713,25.0114
232,38228,HD 63433," ",G5 V," ",5691,4.6," ",1.0,f,-0.03," "," ",0.363,-4.424,"A ",1.8," ",,HIP 38228,117.4794,27.3632
230,37826,HD 62509," ",K0 III," ",4850,2.52," ",1.0,f,0.08," ",K,,,"  ",," ",,HIP 37826,116.329,28.0262
238,39157,HD 65583," ",K0 V Fe-1.3," ",5400,4.55,f,1.0,f,-0.74," "," ",0.146,-5.105,VI,1.8," ",,HIP 39157,120.1339,29.2124
233,38541,HD 64090," ",K0: V Fe-3...," ",5516,4.6,f,1.0,f,-1.52," "," ",0.188,-4.825,"I ",3.6," ",47,HIP 38541,118.388,30.6051
212,34567,HD 54371," ",G6 V," ",5528,4.34," ",1.0,f,-0.01," "," ",0.349,-4.462,"A ",3.6," ",,HIP 34567,107.3975,25.7286
211,34414,HD 53927," ",K2.5 V," ",4968,4.64,f,1.0,f,-0.38," "," ",0.19,-4.984,"I ",3.6," ",,HIP 34414,107.0177,29.8345
210,34017,HD 52711," ",G0 V," ",5847,4.32," ",1.0,f,-0.12," "," ",0.157,-4.987,"I ",1.8," ",,HIP 34017,105.8769,29.3371
222,36366,HD 58946," ",F1 V," ",7035,4.06," ",1.9," ",-0.21," "," ",,,"  ",," ",,HIP 36366,112.278,31.7846
221,36357,BD+32 1561," ",K2.5 V," ",4855,4.62,f,1.0,f,-0.61," "," ",0.473,-4.526,"A ",3.6," ",,HIP 36357,112.2574,31.9938
225,36850,HD 60178," ",A1.5 IV+," ",,," ",," ",," "," ",,,"  ",," ",,HIP 36850,113.6494,31.8883
223,36704,HD 59747," ",K1 V (k)," ",5043,4.58,f,1.0,f,-0.35," "," ",0.468,-4.46,"A ",1.8," ",,HIP 36704,113.2524,37.0298
241,40118,HD 68017," ",G3 V," ",5600,4.36," ",1.0,f,-0.32," "," ",0.167,-4.966,"I ",1.8," ",,HIP 40118,122.911,32.4571
256,42940,HD 74377," ",K3 V," ",,," ",," ",," "," ",0.141,-5.178,VI,3.6," ",,HIP 42940,131.2933,41.6718
250,41484,HD 71148,*,G1 V," ",5788,4.37," ",1.0,f,0.01," "," ",0.172,-4.913,"I ",3.6," ",,HIP 41484,126.9033,45.653
244,40170," "," ",K7- V," ",,," ",," ",," "," ",1.29,-4.697,"A ",3.6," ",,HIP 40170,123.0601,51.9071
199,32423,HD 263175," ",K3 V," ",4770,4.67,f,1.0,f,-0.59," "," ",0.241,-4.903,"I ",3.6," ",,HIP 32423,101.521,32.5557
201,32723,BD+35 1493," ",K6 V," ",,," ",," ",," "," ",1.377,-4.685,"A ",3.6," ",,HIP 32723,102.3994,35.1406
191,30862,HD 45391," ",G1 V," ",5715,4.53," ",1.0,f,-0.38," "," ",0.17,-4.923,"I ",1.8," ",,HIP 30862,97.1918,36.48
206,33373,BD+40 1758," ",K4.5 V," ",,," ",," ",," "," ",0.296,-5.021,"I ",3.6," ",,HIP 33373,104.1172,40.0743
198,,HD 48682B," ",K7 III," ",,," ",," ",," "," ",,,"  ",," ",44,HD 48682B,101.6921,43.5842
197,32480,HD 48682," ",F9 V," ",6087,4.38," ",1.6," ",0.0," "," ",0.158,-4.962,"I ",1.8," ",,HIP 32480,101.6847,43.5774
202,32919,HD 49601," ",K6 V," ",,," ",," ",," "," ",0.838,-4.74,"A ",3.6," ",,HIP 32919,102.885,47.3678
219,35643,HD 56963," ",F2 V kF1mF0,*,,," ",," ",," "," ",,,"  ",," ",46,HIP 35643,110.3229,45.2282
214,35136,HD 55575," ",F9 V," ",5866,4.23," ",1.0,f,-0.29," "," ",0.165,-4.927,"I ",1.8," ",,HIP 35136,108.9589,47.24
208,33852,HD 51866," ",K3 V," ",,," ",," ",," "," ",0.266,-4.889,"I ",3.6," ",,HIP 33852,105.4108,48.3787
229,37494,BD+49 1658," ",K5 V," ",,," ",," ",," "," ",1.267,-4.495,"A ",3.6," ",,HIP 37494,115.438,49.2222
231,38117,HD 233453," ",K3.5 V," ",,," ",," ",," "," ",0.299,-4.942,"I ",3.6," ",,HIP 38117,117.1648,53.6486
205,33322,BD+55 1142," ",K7 V," ",,," ",," ",," "," ",1.631,-4.642,"A ",3.6," ",,HIP 33322,103.9672,55.6387
261,44127,HD 76644," ",A7 V(n)," ",7769,3.91," ",2.0,f,0.0," ",*,,,"  ",," ",50,HIP 44127,134.8019,48.0418
274,46853,HD 82328," ",F5.5 IV-V," ",6334,3.8," ",1.6," ",-0.11," "," ",0.148,-4.957,"I ",1.8," ",,HIP 46853,143.2143,51.6773
266,45333,HD 79028," ",G0 IV-V," ",5871,3.98," ",1.5," ",-0.13," "," ",0.146,-5.073,"I ",1.8," ",,HIP 45333,138.5856,61.4233
264,45075,HD 78362," ",kA5hF0mF5 II,*,,," ",," ",," "," ",,,"  ",," ",51,HIP 45075,137.7294,63.5136
275,46977,HD 82210," ",G9 V Fe-0.7,*,5300,4.5,f,1.0,f,-0.76," "," ",0.301,-4.606,"A ",1.8," ",54,HIP 46977,143.6202,69.8303
177,29067," "," ",K6 V," ",,," ",," ",," "," ",1.735,-4.456,"A ",3.6," ",,HIP 29067,91.9802,67.9768
181,29761,HD 42250," ",G9 V," ",5367,4.35," ",1.0,f,0.1," "," ",0.147,-5.103,VI,3.6," ",,HIP 29761,94.0112,70.7816
218,35628,HD 56168," ",K2.5 V," ",,," ",," ",," "," ",0.416,-4.552,"A ",3.6," ",,HIP 35628,110.278,67.6618
200,32439,HD 46588," ",F8 V," ",6197,4.3," ",1.7," ",-0.08," "," ",0.167,-4.885,"I ",1.8," ",,HIP 32439,101.559,79.5648
296,51502,HD 90089," ",F4 V kF2mF2," ",6762,4.32," ",1.6," ",-0.14," "," ",,,"  ",," ",59,HIP 51502,157.7694,82.5586
416,73786,BD+06 2986," ",K8 V," ",,," ",," ",," "," ",1.124,-4.726,"A ",3.6," ",,HIP 73786,226.223,5.6381
408,72312,HD 130307," ",K2.5 V," ",4981,4.56,f,1.0,f,-0.41," "," ",0.329,-4.67,"A ",3.6," ",,HIP 72312,221.8171,2.7032
434,76051,BD+10 2868C,*,G2 V CH-0.3,*,,," ",," ",," "," ",0.277,-4.669,"A ",3.6," ",84,HIP 76051,232.9752,9.6575
412,72981," "," ",M2 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 72981,223.7228,9.9435
404,71395,HD 128311," ",K3- V," ",4720,4.53,f,1.0,f,-0.57," "," ",0.59,-4.489,"A ",3.6," ",,HIP 71395,219.0023,9.7465
406,72146,HD 130004," ",K2.5 V," ",,," ",," ",," "," ",0.221,-4.919,"I ",3.6," ",,HIP 72146,221.3508,13.8463
414,73512,HD 132950," ",K3+ V," ",,," ",," ",," "," ",0.676,-4.529,"A ",3.6," ",,HIP 73512,225.3749,15.8689
448,77718,HD 142093," ",G1 V," ",5859,4.55," ",1.0,f,-0.15," "," ",0.18,-4.863,"I ",3.6," ",,HIP 77718,238.0023,15.2359
427,75277,HD 136923," ",G9 V," ",,," ",," ",," "," ",0.194,-4.902,"I ",3.6," ",,HIP 75277,230.6951,18.919
418,74432,HD 135101," ",G5 V Fe-0.9," ",5550,4.05," ",1.0,f,-0.02," "," ",0.143,-5.122,VI,3.6," ",,HIP 74432,228.1812,19.286
419,74434,BD+19 2939B," ",G7 V,*,,," ",," ",," "," ",0.163,-5.006,"I ",3.6," ",82,HIP 74434,228.1824,19.2924
455,78709,HD 144287," ",G8+ V," ",5250,4.32," ",1.0,f,-0.25," "," ",0.155,-5.054,"I ",3.6," ",,HIP 78709,241.0155,25.2548
437,76267,HD 139006," ",A1 IV," ",9584,3.71," ",2.0,f,0.0," ",*,,,"  ",," ",86,HIP 76267,233.672,26.7147
396,69989,HD 125451," ",F3 V," ",6686,4.11," ",1.8," ",-0.07," "," ",,,"  ",," ",,HIP 69989,214.8178,13.0043
386,68634,HD 122676," ",G7 V," ",5435,4.31," ",1.0,f,-0.15," "," ",0.172,-4.962,"I ",1.8," ",,HIP 68634,210.7369,14.9753
393,69673,HD 124897," ",K0 III,*,4336,1.94," ",1.0,f,-0.57," ",K,,,"  ",," ",78,HIP 69673,213.9153,19.1824
410,72848,HD 131511," ",K0 V,*,5250,4.45,f,1.0,f,0.05," "," ",0.405,-4.51,"A ",3.6," ",81,HIP 72848,223.349,19.1528
409,72659,HD 131156," ",G7 V," ",5380,4.59," ",1.0,f,-0.33," "," ",0.382,-4.472,"A ",1.8," ",,HIP 72659,222.8474,19.1005
376,67090,BD+18 2776," ",M1- V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 67090,206.2712,17.7854
383,67904,HD 121320," ",G5 V," ",5526,4.5," ",1.0,f,-0.31," "," ",0.195,-4.837,"I ",3.6," ",,HIP 67904,208.6175,20.6418
384,68337,HD 122120," ",K5 V," ",,," ",," ",," "," ",0.659,-4.731,"A ",3.6," ",,HIP 68337,209.8308,22.8698
417,73996,HD 134083," ",F5 V," ",6540,4.11," ",1.6," ",-0.08," "," ",,,"  ",," ",,HIP 73996,226.8253,24.8692
411,72896," "," ",M3 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 72896,223.4645,23.5558
424,74893,HD 136176," ",G0 V Fe-0.7," ",5932,4.38," ",1.0,f,-0.25," "," ",0.179,-4.846,"I ",3.6," ",,HIP 74893,229.5844,26.8404
430,75695,HD 137909," ",A8 V: SrCrEu," ",7624,3.99," ",2.0," ",0.5," ",*,,,"  ",," ",83,HIP 75695,231.9572,29.1057
422,74666,HD 135722," ",G8 IV," ",4820,2.72," ",1.0,f,-0.5," ",K,0.148,-5.157,VI,1.8," ",,HIP 74666,228.8757,33.3148
407,72200,HD 130215," ",K1 V," ",,," ",," ",," "," ",0.349,-4.618,"A ",3.6," ",,HIP 72200,221.5128,27.5123
397,70218,BD+30 2512," ",K6 V," ",,," ",," ",," "," ",1.631,-4.516,"A ",3.6," ",,HIP 70218,215.4884,29.6296
403,71311,BD+34 2541," ",K6 V," ",,," ",," ",," "," ",1.169,-4.677,"A ",3.6," ",,HIP 71311,218.7409,33.7467
474,81348,HD 149957," ",K5 V," ",,," ",," ",," "," ",0.756,-4.736,"A ",3.6," ",,HIP 81348,249.2045,31.0968
477,82003,HD 151288," ",K7 V," ",,," ",," ",," "," ",1.396,-4.647,"A ",3.6," ",,HIP 82003,251.2765,33.5092
452,78241,HD 143291," ",G9 V," ",5356,4.61,f,1.0,f,-0.36," "," ",0.151,-5.08,"I ",3.6," ",,HIP 78241,239.6334,27.74
467,79837,HD 146946," ",F9 V," ",5854,4.21," ",1.0,f,-0.21," "," ",0.171,-4.905,"I ",1.8," ",,HIP 79837,244.4415,31.8044
454,78459,HD 143761," ",G0 V," ",5775,4.11," ",1.0,f,-0.22," "," ",0.146,-5.079,"I ",1.8," ",,HIP 78459,240.2611,33.3035
462,79607,HD 146361," ",G1 IV-V (k),*,,," ",," ",," "," ",0.924,-3.827,VA,1.8," ",89,HIP 79607,243.6702,33.8586
463,79607,HD 146362," ",G1 V,*,,," ",," ",," "," ",0.241,-4.655,"A ",1.8," ",89,HIP 79607,243.6702,33.8586
468,79862,HD 147044,*,G0 V," ",5849,4.29," ",1.0,f,-0.03," "," ",0.158,-4.999,"I ",1.8," ",,HIP 79862,244.5245,34.4828
496,85810,HD 159222,*,G1 V," ",5788,4.25," ",1.0,f,0.12," "," ",0.165,-4.962,"I ",1.8," ",,HIP 85810,263.0041,34.2711
495,85653,HD 159062," ",G9 V Fe-0.8," ",5364,4.46,f,1.0,f,-0.52," "," ",0.164,-5.001,"I ",1.8," ",,HIP 85653,262.5684,47.4022
486,84140,HD 155876," ",M3 V," ",,," ",," ",," "," ",,,"  ",," ",,HIP 84140,258.0329,45.666
