main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode,j,j_err,j_bibcode
HD  29697,70.3285639326502,20.9015133196549,HD  29697,GJ   174,HIP  21818,,K4V,1986AJ.....92..139S,75.5395,0.057,2018yCat.1345....0G,7.985,0.068,2012AcA....62...67K,7.5259,0.0012,2018yCat.1345....0G,6.666,0.023,2012AcA....62...67K,7.313,,2010MNRAS.403.1949K,5.854,0.019,2003yCat.2246....0C
*  58 Eri,71.9012156698201,-16.934456090932,HD  30495,GJ   177,HIP  22263,,G2.5IV-V,1989ApJS...71..245K,75.5213,0.0795,2018yCat.1345....0G,5.5,,,5.293,0.0015,2018yCat.1345....0G,,,,,,,4.47,0.25,2003yCat.2246....0C
HD 128165,218.3702833736367,52.9087908184112,HD 128165,GJ   556,HIP  71181,,K3,1985ApJS...59..197B,75.5094,0.0242,2018yCat.1345....0G,7.23,,,6.9062,2.0E-4,2018yCat.1345....0G,6.2,,2003AJ....125..984M,6.7,,2003AJ....125..984M,5.436,0.037,2003yCat.2246....0C
NLTT 35712,208.4116460513179,77.6189307244311,,,,,M4.0V,2013AJ....145..102L,75.4702,0.0477,2018yCat.1345....0G,12.859,0.04,2012yCat.1322....0Z,11.549,8.0E-4,2018yCat.1345....0G,10.2,,2003AJ....125..984M,12.525,0.05,2012yCat.1322....0Z,8.635,0.019,2003yCat.2246....0C
G  44-42,163.0176813371742,13.99758470349861,,GJ   403,,,M4V,2014AJ....147...20N,75.4576,0.0579,2018yCat.1345....0G,12.737,0.05,2012yCat.1322....0Z,11.4748,7.0E-4,2018yCat.1345....0G,9.95,,2007A&A...464..787S,12.336,0.05,2012yCat.1322....0Z,8.607,0.023,2003yCat.2246....0C
LP  912-33,209.3044350365923,-29.3738698946203,,,,,M3,2014MNRAS.443.2561G,75.4118,0.0705,2018yCat.1345....0G,12.527,0.02,2012yCat.1322....0Z,11.3797,8.0E-4,2018yCat.1345....0G,,,,12.268,0.06,2012yCat.1322....0Z,8.633,0.032,2003yCat.2246....0C
LP  255-11,105.8465369306274,34.6976089937514,,GJ  3423,,,M4.0V,2013AJ....145..102L,75.398,0.0706,2018yCat.1345....0G,13.086,0.12,2012yCat.1322....0Z,11.7702,9.0E-4,2018yCat.1345....0G,10.2,,2003AJ....125..984M,12.82,0.09,2012yCat.1322....0Z,8.773,0.02,2003yCat.2246....0C
G  23-24,300.9624862646945,5.9956218708113,,GJ  1248,,,M2.5Ve,2013AJ....145..102L,75.3873,0.0597,2018yCat.1345....0G,12.173,0.01,2012yCat.1322....0Z,11.1184,0.0012,2018yCat.1345....0G,10.9,,2003AJ....125..984M,11.646,0.03,2012yCat.1322....0Z,8.632,0.023,2003yCat.2246....0C
HD 214749,340.1807684661431,-29.674479914138,HD 214749,GJ   868,HIP 111960,,K4.5Vk,2006AJ....132..161G,75.26,0.0511,2018yCat.1345....0G,7.841,,2010MNRAS.403.1949K,7.414,7.0E-4,2018yCat.1345....0G,6.58,,2010MNRAS.403.1949K,7.156,,2010MNRAS.403.1949K,5.773,0.019,2003yCat.2246....0C
BD-07  4156,239.9724231767822,-8.2532060250746,,GJ   606,HIP  78353,,M1V,1986AJ.....92..139S,75.2306,0.0513,2018yCat.1345....0G,10.487,,2010MNRAS.403.1949K,9.5936,7.0E-4,2018yCat.1345....0G,8.365,,2010MNRAS.403.1949K,9.497,,2010MNRAS.403.1949K,7.185,0.03,2003yCat.2246....0C
V* CW UMa,167.9655869781093,33.5364532415119,,GJ  3647,,,M3.5V,2009ApJ...699..649S,74.8614,0.0676,2018yCat.1345....0G,12.314,0.01,2012yCat.1322....0Z,11.1441,0.0015,2018yCat.1345....0G,9.7,,2003AJ....125..984M,12.203,0.08,2012yCat.1322....0Z,8.297,0.029,2003yCat.2246....0C
G  31-53,7.164435765341251,-6.663661465345834,,GJ  1012,,,M4.18,2015ApJ...802L..10T,74.7749,0.0995,2018yCat.1345....0G,12.23,,,10.8947,7.0E-4,2018yCat.1345....0G,,,,11.885,0.04,2012yCat.1322....0Z,8.038,0.02,2003yCat.2246....0C
G 113-46,128.6078575059343,-1.1443206278377,,GJ  2070,,,M3,2004AJ....128..463R,74.6362,0.0672,2018yCat.1345....0G,12.711,0.03,2012yCat.1322....0Z,11.5077,0.0014,2018yCat.1345....0G,,,,12.416,0.06,2012yCat.1322....0Z,8.81,0.02,2003yCat.2246....0C
G 124-27,215.313021135701,-1.1221705432622,,GJ  3843,,,M4,2014MNRAS.443.2561G,74.5644,0.0808,2018yCat.1345....0G,12.95,,,11.8366,0.0011,2018yCat.1345....0G,,,,13.02,0.15,2009yCat.1315....0Z,8.95,0.03,2003yCat.2246....0C
G 125-34,297.1700441907338,35.9214559619814,,,,,M3.5Ve,2013AJ....145..102L,74.4282,0.0391,2018yCat.1345....0G,13.099,0.01,2012yCat.1322....0Z,11.8095,5.0E-4,2018yCat.1345....0G,10.1,,2003AJ....125..984M,12.62,0.06,2012yCat.1322....0Z,8.909,0.027,2003yCat.2246....0C
LP  672-42,172.6742727661248,-8.0952740381023,,,HIP  56157,,M3.0V,2015A&A...577A.128A,74.3878,0.0705,2018yCat.1345....0G,12.01,,2010MNRAS.403.1949K,10.8095,6.0E-4,2018yCat.1345....0G,9.45,,2010MNRAS.403.1949K,10.893,,2010MNRAS.403.1949K,8.033,0.019,2003yCat.2246....0C
L  749-34,139.0860190159372,-18.625805991747,,GJ  3543,,,M2V,1986AJ.....92..139S,74.3573,0.0398,2018yCat.1345....0G,10.739,0.01,2012yCat.1322....0Z,9.7953,7.0E-4,2018yCat.1345....0G,,,,10.326,0.02,2012yCat.1322....0Z,7.351,0.021,2003yCat.2246....0C
MCC 573,154.191452548156,-11.9617786147842,,GJ   386,HIP  50341,,M3,2010MNRAS.403.1949K,74.2338,0.0657,2018yCat.1345....0G,10.998,,2010MNRAS.403.1949K,9.9227,0.0012,2018yCat.1345....0G,8.624,,2010MNRAS.403.1949K,9.953,,2010MNRAS.403.1949K,7.323,0.019,2003yCat.2246....0C
L  266-69,248.3319768967572,-52.1322927267491,,,,,M4e,2014MNRAS.443.2561G,74.072,0.0808,2018yCat.1345....0G,,,,11.1099,0.0015,2018yCat.1345....0G,,,,12.031,0.19,2012yCat.1322....0Z,8.309,0.024,2003yCat.2246....0C
G 129-47,359.4339475905774,23.3046132714098,,GJ  1292,,,M3V,1986AJ.....92..139S,74.0641,1.0281,2018yCat.1345....0G,11.72,,,10.5503,5.0E-4,2018yCat.1345....0G,9.2,,2003AJ....125..984M,10.8,,2003AJ....125..984M,7.8,0.03,2003yCat.2246....0C
BD+62   780,86.4511504789031,62.2367739070248,,GJ   215,HIP  27188,,K7V,1986AJ.....92..139S,73.998,0.0416,2018yCat.1345....0G,9.209,,2012yCat.1322....0Z,8.3801,5.0E-4,2018yCat.1345....0G,7.4,,2003AJ....125..984M,8.2,,2003AJ....125..984M,6.353,0.029,2003yCat.2246....0C
HD  10436,25.9196823939791,63.8233980740082,HD  10436,GJ    69,HIP   8070,,K5Vbe,1989ApJS...71..245K,73.9913,0.0353,2018yCat.1345....0G,8.41,,,7.9254,3.0E-4,2018yCat.1345....0G,7.1,,2003AJ....125..984M,7.7,,2003AJ....125..984M,6.122,0.027,2003yCat.2246....0C
G 137-84,242.3177708552186,9.3520957922624,,,,,M3.0V,2013AJ....145..102L,73.8594,0.0581,2018yCat.1345....0G,11.729,0.01,2012yCat.1322....0Z,10.6534,6.0E-4,2018yCat.1345....0G,8.7,,2003AJ....125..984M,11.398,0.05,2012yCat.1322....0Z,7.969,0.023,2003yCat.2246....0C
BD+09  2636,187.8158383539613,8.8106082938987,,GJ   471,HIP  61094,,M0V,1986AJ.....92..139S,73.764,0.4146,2018yCat.1345....0G,9.664,,2010MNRAS.403.1949K,8.9508,6.0E-4,2018yCat.1345....0G,7.822,,2010MNRAS.403.1949K,8.748,,2010MNRAS.403.1949K,6.782,0.034,2003yCat.2246....0C
BD+36  1970,142.9847203474774,36.3202294003036,,GJ   353,HIP  46769,,M1V,1986AJ.....92..139S,73.6683,0.0483,2018yCat.1345....0G,10.139,0.01,2012yCat.1322....0Z,9.4095,5.0E-4,2018yCat.1345....0G,8.4,,2003AJ....125..984M,9.799,0.02,2012yCat.1322....0Z,7.121,0.023,2003yCat.2246....0C
G 205-28,277.9932295218721,40.686390834132,,GJ  4062,,,M3.5Ve,2013AJ....145..102L,73.649,0.0382,2018yCat.1345....0G,12.046,0.08,2012yCat.1322....0Z,10.8043,7.0E-4,2018yCat.1345....0G,,,,11.562,0.03,2012yCat.1322....0Z,8.065,0.018,2003yCat.2246....0C
G 165-58,213.9849002595008,36.2770453544976,,,,,M3.5Ve,2013AJ....145..102L,73.5536,0.045,2018yCat.1345....0G,12.833,0.01,2012yCat.1322....0Z,11.6987,6.0E-4,2018yCat.1345....0G,10.0,,2003AJ....125..984M,12.476,0.08,2012yCat.1322....0Z,8.94,0.018,2003yCat.2246....0C
HD  22496,53.7539159412185,-48.4191407642097,HD  22496,GJ   146,HIP  16711,,K5/M0V,1978MSS...C02....0H,73.5244,0.0387,2018yCat.1345....0G,8.57,,,8.0195,5.0E-4,2018yCat.1345....0G,,,,,,,6.122,0.02,2003yCat.2246....0C
HD 145417,243.4523269658986,-57.5705121968851,HD 145417,GJ   615,HIP  79537,,K3VFe-1.7,2006AJ....132..161G,73.4265,0.0374,2018yCat.1345....0G,7.54,,2010MNRAS.403.1949K,7.2546,2.0E-4,2018yCat.1345....0G,6.588,,2010MNRAS.403.1949K,7.054,,2010MNRAS.403.1949K,5.888,0.02,2003yCat.2246....0C
L  473-1,200.0160681447326,-35.4121998747963,,GJ  3777,,,M4,2014MNRAS.443.2561G,73.3055,0.0743,2018yCat.1345....0G,13.0,,,11.6326,8.0E-4,2018yCat.1345....0G,,,,12.72,0.09,2009yCat.1315....0Z,8.831,0.029,2003yCat.2246....0C
L  714-88,324.75386239999995,-24.158141199999996,,GJ   836,,,M3.5,1985ApJS...59..197B,73.3,12.0,1995GCTP..C......0V,13.4,0.01,2012yCat.1322....0Z,12.0919,8.0E-4,2018yCat.1345....0G,,,,13.09,0.13,2012yCat.1322....0Z,9.185,0.021,2003yCat.2246....0C
Ross 1020,200.7364494252646,24.4676673624151,,GJ  3779,,,M4V,2014AJ....147...20N,72.7352,0.0611,2018yCat.1345....0G,13.01,0.01,2012yCat.1322....0Z,11.6266,8.0E-4,2018yCat.1345....0G,9.9,,2003AJ....125..984M,12.577,0.06,2012yCat.1322....0Z,8.728,0.021,2003yCat.2246....0C
HD 154577,257.5431289900873,-60.728771769936,HD 154577,GJ   656,HIP  83990,,K2.5Vk:,2006AJ....132..161G,72.7317,0.0467,2018yCat.1345....0G,7.41,,,7.1022,2.0E-4,2018yCat.1345....0G,,,,,,,5.694,0.023,2003yCat.2246....0C
G  18-49,336.761692334539,6.825730409,,GJ  4279,,,M3.5,,72.7232,0.08,2018yCat.1345....0G,13.337,0.04,2012yCat.1322....0Z,11.9312,6.0E-4,2018yCat.1345....0G,10.2,,2003AJ....125..984M,12.836,0.14,2012yCat.1322....0Z,9.02,0.027,2003yCat.2246....0C
*  47 UMa,164.86655776870498,40.430256219143885,HD  95128,GJ   407,HIP  53721,,G1-VFe-0.5,1989ApJS...71..245K,72.4528,0.1507,2018yCat.1345....0G,5.04,0.05,2009ApJ...694.1085V,4.8306,0.0028,2018yCat.1345....0G,4.4,,2003AJ....125..984M,4.7,,2003AJ....125..984M,3.96,0.296,2003yCat.2246....0C
Ross  848,215.030710733511,-9.6203865684074,,GJ   545,,,M4,2014MNRAS.443.2561G,72.435,0.0724,2018yCat.1345....0G,12.87,,,11.5984,6.0E-4,2018yCat.1345....0G,10.25,,2007A&A...464..787S,,,,8.74,0.035,2003yCat.2246....0C
L  106-15,211.0340670846204,-66.243910843757,,,,,M3,2014MNRAS.443.2561G,72.2618,0.5094,2018yCat.1345....0G,,,,10.4897,4.0E-4,2018yCat.1345....0G,,,,11.26,0.02,2012yCat.1322....0Z,7.783,0.024,2003yCat.2246....0C
BD+52   911,75.8495892084684,53.1284688448053,,GJ   184,HIP  23518,WDS J05034+5308A,M0.5Ve,2013AJ....145..102L,72.1506,0.0357,2018yCat.1345....0G,10.059,,2012yCat.1322....0Z,9.2141,5.0E-4,2018yCat.1345....0G,8.11,,2004AJ....128..463R,9.08,,2004AJ....128..463R,7.001,0.023,2003yCat.2246....0C
LSPM J0617+8353,94.2723642,83.8931609,,,,,M3.5Ve,2013AJ....145..102L,72.0,4.5,2014ApJ...784..156D,13.07,0.03,2012yCat.1322....0Z,11.9619,0.0044,2018yCat.1345....0G,10.2,,2003AJ....125..984M,12.738,0.07,2012yCat.1322....0Z,8.961,0.021,2003yCat.2246....0C
UCAC3 223-23449,70.732759138252,21.4730431638482,,,,,M3.5Ve,2013AJ....145..102L,71.9352,0.0674,2018yCat.1345....0G,11.93,0.05,2012yCat.1322....0Z,10.7172,6.0E-4,2018yCat.1345....0G,,,,11.545,0.05,2012yCat.1322....0Z,7.958,0.023,2003yCat.2246....0C
HD 281621,62.1558290007145,33.6370368353611,HD 281621,GJ   162,HIP  19337,,K7V,1986AJ.....92..139S,71.813,0.0431,2018yCat.1345....0G,10.213,0.05,2012yCat.1322....0Z,9.365,5.0E-4,2018yCat.1345....0G,8.19,,2004AJ....128..463R,9.734,0.03,2012yCat.1322....0Z,7.016,0.02,2003yCat.2246....0C
G 245-71,50.340747522134,79.9672652323826,,GJ   133,HIP  15638,,M2.0Ve,2013AJ....145..102L,71.7575,0.04,2018yCat.1345....0G,11.2,0.07,2000A&A...355L..27H,10.2358,5.0E-4,2018yCat.1345....0G,9.1,,2003AJ....125..984M,10.2,,2003AJ....125..984M,7.704,0.027,2003yCat.2246....0C
L  174-28,39.4699531265859,-58.753072744797,,,HIP  12261,,M3V,2006AJ....132..161G,71.7064,0.0401,2018yCat.1345....0G,12.459,,2010MNRAS.403.1949K,11.1643,0.0019,2018yCat.1345....0G,9.805,,2010MNRAS.403.1949K,11.286,,2010MNRAS.403.1949K,8.361,0.026,2003yCat.2246....0C
HD  23356,55.98059557661,-19.1108981395438,HD  23356,,HIP  17420,,K2V,1988MSS...C04....0H,71.6588,0.0364,2018yCat.1345....0G,7.081,,2010MNRAS.403.1949K,6.8047,2.0E-4,2018yCat.1345....0G,6.098,,2010MNRAS.403.1949K,6.555,,2010MNRAS.403.1949K,5.457,0.018,2003yCat.2246....0C
Ross  802,234.24426986970292,-14.13382088487861,,GJ   592,,,M4,2014MNRAS.443.2561G,71.655,0.0804,2018yCat.1345....0G,12.726,0.05,2012yCat.1322....0Z,11.3527,0.0017,2018yCat.1345....0G,9.96,,2008MNRAS.389..585C,12.396,0.08,2012yCat.1322....0Z,8.432,0.021,2003yCat.2246....0C
*  10 Tau,54.217270009390006,0.3995935882605555,HD  22484,GJ   147,HIP  16852,,F9IV-V,1989ApJS...71..245K,71.62,0.54,2007A&A...474..653V,4.3,0.05,2009ApJ...694.1085V,4.075,3.0E-4,2018yCat.1345....0G,3.77,,2002yCat.2237....0D,4.09,,2002yCat.2237....0D,3.26,,2002yCat.2237....0D
HD   5133,13.2547298273308,-30.3569148492065,HD   5133,GJ    42,HIP   4148,,K2.5Vk:,2006AJ....132..161G,71.5472,0.0573,2018yCat.1345....0G,7.171,,2010MNRAS.403.1949K,6.8708,2.0E-4,2018yCat.1345....0G,6.179,,2010MNRAS.403.1949K,6.639,,2010MNRAS.403.1949K,5.537,0.029,2003yCat.2246....0C
Ross  987,109.5340867279726,39.274808666448,,GJ  3438,HIP  35353,,M0V,1986AJ.....92..139S,71.4947,0.0675,2018yCat.1345....0G,10.342,0.04,2012yCat.1322....0Z,9.5081,0.0019,2018yCat.1345....0G,8.7,,2003AJ....125..984M,9.854,0.02,2012yCat.1322....0Z,7.209,0.023,2003yCat.2246....0C
G 204-39,269.4623592672962,46.5886459355361,,GJ  4040,HIP  87938,,M2.5V,2015A&A...577A.128A,71.4754,0.0354,2018yCat.1345....0G,11.64,0.15,2000A&A...355L..27H,10.5633,6.0E-4,2018yCat.1345....0G,,,,11.3,,2003AJ....125..984M,7.847,0.02,2003yCat.2246....0C
Wolf 1039,353.5138930412085,0.179409989519,,GJ   899,HIP 116317,,M2/3V,1986AJ.....92..139S,71.3741,0.0496,2018yCat.1345....0G,11.16,,2010MNRAS.403.1949K,10.1648,9.0E-4,2018yCat.1345....0G,8.881,,2010MNRAS.403.1949K,10.141,,2010MNRAS.403.1949K,7.664,0.024,2003yCat.2246....0C
UCAC4 538-050967,153.9747484518572,17.4908528643113,,,,,M3.5Ve,2013AJ....145..102L,71.348,0.0841,2018yCat.1345....0G,12.904,0.02,2012yCat.1322....0Z,11.6049,9.0E-4,2018yCat.1345....0G,10.0,,2003AJ....125..984M,12.6,0.07,2012yCat.1322....0Z,8.696,0.02,2003yCat.2246....0C
G 215-50,337.4541066099008,41.480164845345,,GJ  1270,,,M4V,2014AJ....147...20N,71.2764,0.1177,2018yCat.1345....0G,13.25,,,11.8656,5.0E-4,2018yCat.1345....0G,10.3,,2003AJ....125..984M,12.1,,2003AJ....125..984M,8.849,0.02,2003yCat.2246....0C
LP  837-53,88.9300595305835,-26.8565029439043,,,HIP  28035,,M2.5V,2006AJ....132..161G,71.229,0.0324,2018yCat.1345....0G,10.816,,2010MNRAS.403.1949K,9.7796,6.0E-4,2018yCat.1345....0G,8.473,,2010MNRAS.403.1949K,9.776,,2010MNRAS.403.1949K,7.175,0.029,2003yCat.2246....0C
Ross  863,256.7812078886146,21.5540192113353,,GJ   655,HIP  83762,,M3V,1995AJ....110.1838R,71.1625,0.0442,2018yCat.1345....0G,11.677,,2010MNRAS.403.1949K,10.5549,5.0E-4,2018yCat.1345....0G,9.239,,2010MNRAS.403.1949K,10.579,,2010MNRAS.403.1949K,7.875,0.02,2003yCat.2246....0C
BD+19   381,38.9721119985001,20.2198842608431,,GJ   104,HIP  12097,,M3V,1986AJ.....92..139S,71.1607,0.0684,2018yCat.1345....0G,10.628,,2010MNRAS.403.1949K,9.7061,7.0E-4,2018yCat.1345....0G,8.403,,2010MNRAS.403.1949K,9.611,,2010MNRAS.403.1949K,7.208,0.02,2003yCat.2246....0C
HD 120467,207.4366933249343,-22.1110927323432,HD 120467,GJ   529,HIP  67487,,K6Va,1989ApJS...71..245K,71.1199,0.0843,2018yCat.1345....0G,8.166,,2010MNRAS.403.1949K,7.6831,5.0E-4,2018yCat.1345....0G,6.777,,2010MNRAS.403.1949K,7.394,,2010MNRAS.403.1949K,5.919,0.019,2003yCat.2246....0C
L  611-67,169.1568025809057,-27.9553446167842,,GJ  3654,,,M4,1985ApJS...59..197B,71.1005,0.054,2018yCat.1345....0G,13.1,,,12.3007,4.0E-4,2018yCat.1345....0G,,,,,,,9.364,0.022,2003yCat.2246....0C
BD-02  2198,114.0294993657403,-3.1107753767804,,GJ   282 C,HIP  36985,,M1.0V,2015A&A...577A.128A,71.0791,0.1367,2018yCat.1345....0G,9.871,,2010MNRAS.403.1949K,9.1183,0.001,2018yCat.1345....0G,7.891,0.014,2012AcA....62...67K,8.925,,2010MNRAS.403.1949K,6.791,0.034,2003yCat.2246....0C
G 270-1,7.897551126296248,-5.870299990535278,,GJ  1013,,,M3.68,2015ApJ...802L..10T,70.9713,0.053,2018yCat.1345....0G,12.75,,,11.5577,0.0011,2018yCat.1345....0G,,,,12.407,0.1,2012yCat.1322....0Z,8.762,0.027,2003yCat.2246....0C
G 184-24,281.3456178428427,18.8662598165797,,,,,M4.0V,2015A&A...577A.128A,70.9655,0.044,2018yCat.1345....0G,13.736,0.01,2012yCat.1322....0Z,12.2906,3.0E-4,2018yCat.1345....0G,10.8,,2003AJ....125..984M,13.378,0.08,2012yCat.1322....0Z,9.273,0.037,2003yCat.2246....0C
HD 110315,190.277019039061,15.3766675273692,HD 110315,GJ   481,HIP  61901,,K4.5V,2010MNRAS.403.1949K,70.8894,0.1099,2018yCat.1345....0G,7.9,0.02,1997JApA...18..161Y,7.4994,4.0E-4,2018yCat.1345....0G,6.63,,2010MNRAS.403.1949K,7.205,,2010MNRAS.403.1949K,5.834,0.021,2003yCat.2246....0C
L  617-35,200.90845862592641,-25.9125398058897,,GJ  3780,,,M3.5,2006AJ....132..866R,70.8096,0.0707,2018yCat.1345....0G,12.89,0.06,2014AJ....147...85R,11.5738,8.0E-4,2018yCat.1345....0G,10.11,0.03,2005yCat.2263....0T,11.68,0.03,2014AJ....147...85R,8.664,0.026,2003yCat.2246....0C
UCAC4 423-005428,61.52864558906,-5.5790598342646,,,,,M3.5V,2015A&A...577A.128A,70.7629,0.0591,2018yCat.1345....0G,13.313,0.06,2012yCat.1322....0Z,12.003,5.0E-4,2018yCat.1345....0G,,,,13.009,0.1,2012yCat.1322....0Z,9.128,0.023,2003yCat.2246....0C
UCAC3 281-106425,116.8077839087292,50.3440277823488,,,,,M4.0V,2013AJ....145..102L,70.7032,0.0688,2018yCat.1345....0G,13.09,0.05,2012yCat.1322....0Z,11.7962,6.0E-4,2018yCat.1345....0G,,,,12.752,0.09,2012yCat.1322....0Z,8.855,0.023,2003yCat.2246....0C
CD-48 12818,284.781077507636,-48.2744624672461,,GJ   739,HIP  93206,,M4V,1974PhDT........10S,70.6533,0.0792,2018yCat.1345....0G,11.142,,2010MNRAS.403.1949K,10.0861,0.0014,2018yCat.1345....0G,8.8,,2010MNRAS.403.1949K,10.104,,2010MNRAS.403.1949K,7.52,0.023,2003yCat.2246....0C
HD 150689,251.0625653216823,-38.9436357956149,HD 150689,,HIP  81935,,K3V,2006A&A...460..695T,70.3716,0.0468,2018yCat.1345....0G,7.514,,2010MNRAS.403.1949K,7.1783,2.0E-4,2018yCat.1345....0G,6.431,,2010MNRAS.403.1949K,6.929,,2010MNRAS.403.1949K,5.68,0.018,2003yCat.2246....0C
Wolf  433,189.718504046134,11.6961516024479,,GJ   480,HIP  61706,,M3.5Ve,2013AJ....145..102L,70.2164,0.0743,2018yCat.1345....0G,11.502,,2010MNRAS.403.1949K,10.3249,7.0E-4,2018yCat.1345....0G,8.963,,2010MNRAS.403.1949K,10.394,,2010MNRAS.403.1949K,7.581,0.019,2003yCat.2246....0C
HD 234078,208.0000229116778,49.9509097673892,HD 234078,GJ   532,HIP  67691,,K7V,2003AJ....126.2048G,70.1809,0.0353,2018yCat.1345....0G,9.094,0.08,2012yCat.1322....0Z,8.2512,6.0E-4,2018yCat.1345....0G,7.3,,2003AJ....125..984M,8.847,0.05,2012yCat.1322....0Z,6.279,0.02,2003yCat.2246....0C
BD+16  2658,217.373738895634,15.5326385317486,,GJ   552,HIP  70865,,M2/3V,1986AJ.....92..139S,70.1774,0.0505,2018yCat.1345....0G,10.676,,2010MNRAS.403.1949K,9.7233,0.001,2018yCat.1345....0G,8.467,,2010MNRAS.403.1949K,9.674,,2010MNRAS.403.1949K,7.229,0.021,2003yCat.2246....0C
HD 173818,281.8635439465056,-3.6398334230301,HD 173818,GJ   726,HIP  92200,,K5V,1999MSS...C05....0H,70.1428,0.0609,2018yCat.1345....0G,8.766,,2010MNRAS.403.1949K,8.2594,0.0012,2018yCat.1345....0G,7.277,,2010MNRAS.403.1949K,7.958,,2010MNRAS.403.1949K,6.384,0.026,2003yCat.2246....0C
LP  831-1,43.6646428116527,-22.2662543249499,,,,,M3,2014MNRAS.443.2561G,69.9548,0.0562,2018yCat.1345....0G,12.972,0.03,2012yCat.1322....0Z,11.7545,5.0E-4,2018yCat.1345....0G,,,,12.653,0.09,2012yCat.1322....0Z,8.975,0.023,2003yCat.2246....0C
G 123-55,190.7078529613312,41.8964281525108,,,,,M4.0V,2013AJ....145..102L,69.8957,0.0689,2018yCat.1345....0G,12.417,0.02,2012yCat.1322....0Z,11.0509,0.0017,2018yCat.1345....0G,9.5,,2003AJ....125..984M,11.985,0.04,2012yCat.1322....0Z,8.118,0.02,2003yCat.2246....0C
CD-28 16676,306.9235702295308,-27.7477068471306,,GJ   791,HIP 100923,,M3,2010MNRAS.403.1949K,69.8796,0.0685,2018yCat.1345....0G,11.433,,2010MNRAS.403.1949K,10.3381,8.0E-4,2018yCat.1345....0G,9.32,0.04,2005yCat.2263....0T,10.374,,2010MNRAS.403.1949K,7.706,0.02,2003yCat.2246....0C
G 173-37,31.7660655641431,49.6454073324965,,,,,M3.5V,2013AJ....145..102L,69.8608,0.0668,2018yCat.1345....0G,12.225,0.06,2012yCat.1322....0Z,11.0648,0.0016,2018yCat.1345....0G,9.7,,2003AJ....125..984M,11.892,0.06,2012yCat.1322....0Z,8.366,0.029,2003yCat.2246....0C
L  374-6,66.234146090705,-40.0465531655108,,GJ  3286,,,M3,2004AJ....128..463R,69.8147,0.0469,2018yCat.1345....0G,14.058,0.02,2012yCat.1322....0Z,12.568,4.0E-4,2018yCat.1345....0G,11.07,,2004AJ....128..463R,12.77,,2004AJ....128..463R,9.53,0.026,2003yCat.2246....0C
L   37-56,161.9111891666063,-79.462787092761,,GJ  3625,,,M3,,69.7947,0.0379,2018yCat.1345....0G,13.45,,,12.0552,5.0E-4,2018yCat.1345....0G,,,,,,,9.052,0.029,2003yCat.2246....0C
Ross   93,145.9817229257353,26.9690024622545,,GJ  3564,HIP  47741,,M3.5Ve,2013AJ....145..102L,69.4962,0.0922,2018yCat.1345....0G,13.962,0.01,2000A&A...355L..27H,10.8381,0.0012,2018yCat.1345....0G,,,,11.63,0.07,2012yCat.1322....0Z,8.035,0.026,2003yCat.2246....0C
CD-38  1058,48.12405092440375,-38.08893532412472,,GJ   130,,,M3,1985ApJS...59..197B,69.4776,0.0696,2018yCat.1345....0G,11.51,,,10.5086,6.0E-4,2018yCat.1345....0G,9.36,0.03,2005yCat.2263....0T,11.045,0.01,2012yCat.1322....0Z,8.028,0.029,2003yCat.2246....0C
TYC 3135-52-1,293.8716782734388,37.7689263348953,,,,,M3.0V,2009ApJ...699..649S,69.4654,0.0591,2018yCat.1345....0G,11.59,0.13,2000A&A...355L..27H,10.3814,7.0E-4,2018yCat.1345....0G,9.9,,2003AJ....125..984M,11.16,0.03,2012yCat.1322....0Z,7.562,0.018,2003yCat.2246....0C
HD  23453,56.5839163110976,26.2155060816761,HD  23453,GJ   154,HIP  17609,,M1V,2003AJ....126.2048G,69.4494,0.0627,2018yCat.1345....0G,9.58,0.01,2012yCat.1322....0Z,8.8701,0.0012,2018yCat.1345....0G,7.9,,2003AJ....125..984M,9.237,0.02,2012yCat.1322....0Z,6.689,0.021,2003yCat.2246....0C
HD 184489,293.6660006672354,4.5825135227371,HD 184489,GJ   763,HIP  96285,,M0V,1991ApJS...77..417K,69.3122,0.0389,2018yCat.1345....0G,9.326,,2010MNRAS.403.1949K,8.7113,4.0E-4,2018yCat.1345....0G,7.7,,2010MNRAS.403.1949K,8.475,,2010MNRAS.403.1949K,6.714,0.019,2003yCat.2246....0C
Wolf 1373,314.3556485750504,22.3627244190927,,GJ   813,HIP 103441,,M3V,2014AJ....147...20N,69.3112,0.0676,2018yCat.1345....0G,12.013,,2010MNRAS.403.1949K,11.0028,9.0E-4,2018yCat.1345....0G,9.695,,2010MNRAS.403.1949K,10.955,,2010MNRAS.403.1949K,8.41,0.03,2003yCat.2246....0C
LP  844-28,133.83433941828707,-23.87073517396472,,GJ  3518,,,M4,,69.2108,0.4575,2018yCat.1345....0G,13.823,0.03,2012yCat.1322....0Z,12.3283,7.0E-4,2018yCat.1345....0G,,,,13.722,0.12,2012yCat.1322....0Z,9.107,0.023,2003yCat.2246....0C
