main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode,j,j_err,j_bibcode
LP  656-38,75.48927543738124,-6.9462144097502785,,GJ  3323,,,M4.0Ve,2015AJ....149..106D,186.0231,0.059,2018yCat.1345....0G,12.196,0.078,2012AcA....62...67K,10.6467,6.0E-4,2018yCat.1345....0G,9.175,0.025,2012AcA....62...67K,11.791,0.05,2012yCat.1322....0Z,7.617,0.032,2003yCat.2246....0C
HD 119850,206.432397720273,14.8915203320756,HD 119850,GJ   526,HIP  67155,,M2V,1989ApJS...71..245K,183.9836,0.0509,2018yCat.1345....0G,8.5,0.05,2009ApJ...694.1085V,7.6068,6.0E-4,2018yCat.1345....0G,6.363,,2010MNRAS.403.1949K,7.465,,2010MNRAS.403.1949K,5.18,0.04,2003yCat.2246....0C
HD 265866,103.7039904794401,33.2681773806413,HD 265866,GJ   251,HIP  33226,,M3V,1991ApJS...77..417K,179.1642,0.0632,2018yCat.1345....0G,10.11,0.04,2000A&A...355L..27H,8.8552,0.0011,2018yCat.1345....0G,8.4,,2003AJ....125..984M,9.65,0.02,2012yCat.1322....0Z,6.104,0.024,2003yCat.2246....0C
LP  816-60,313.1375696373591,-16.9747243787847,,,HIP 103039,,M4V,2006AJ....132..161G,178.1243,0.0849,2018yCat.1345....0G,11.458,,2010MNRAS.403.1949K,10.0716,8.0E-4,2018yCat.1345....0G,8.658,,2010MNRAS.403.1949K,10.251,,2010MNRAS.403.1949K,7.09,0.023,2003yCat.2246....0C
HD  42581,92.64423021257124,-21.864627228106944,HD  42581,GJ   229,HIP  29295,WDS J06106-2152A,M1V,1991ApJS...77..417K,173.6955,0.0457,2018yCat.1345....0G,8.125,,2010MNRAS.403.1949K,7.3072,6.0E-4,2018yCat.1345....0G,6.121,,2010MNRAS.403.1949K,7.164,,2010MNRAS.403.1949K,5.104,0.037,2003yCat.2246....0C
Ross   47,85.53861373557834,12.489336593388332,,GJ   213,HIP  26857,,M4V,1991ApJS...77..417K,172.7068,0.0788,2018yCat.1345....0G,11.509,0.001,1992AJ....104..340L,10.0991,0.0015,2018yCat.1345....0G,8.709,0.004,1992AJ....104..340L,10.298,0.003,1992AJ....104..340L,7.124,0.021,2003yCat.2246....0C
L  205-128,266.6426397888602,-57.319044461777096,,GJ   693,HIP  86990,,M3.5V,1983SAAOC...7..106W,169.8613,0.1184,2018yCat.1345....0G,10.783,,2010MNRAS.403.1949K,9.5811,0.001,2018yCat.1345....0G,8.243,,2010MNRAS.403.1949K,9.648,,2010MNRAS.403.1949K,6.855,0.021,2003yCat.2246....0C
V* BR Psc,357.3021880796959,2.4012230680252,,GJ   908,HIP 117473,,M1VFe-1,1989ApJS...71..245K,169.3585,0.0595,2018yCat.1345....0G,8.993,0.0012,2009AJ....137.4186L,8.1496,7.0E-4,2018yCat.1345....0G,6.946,0.0011,2009AJ....137.4186L,8.029,0.0012,2009AJ....137.4186L,5.827,0.023,2003yCat.2246....0C
CD-40  9712,233.0538859447236,-41.2755921052263,,GJ   588,HIP  76074,,M2.5V,1983SAAOC...7..106W,169.0074,0.058,2018yCat.1345....0G,9.311,,2010MNRAS.403.1949K,8.2705,7.0E-4,2018yCat.1345....0G,6.947,,2010MNRAS.403.1949K,8.265,,2010MNRAS.403.1949K,5.647,0.021,2003yCat.2246....0C
V* YZ CMi,116.1673859524798,3.5524660639781,,GJ   285,HIP  37766,,M4.0Ve,2015AJ....149..106D,167.0186,0.0592,2018yCat.1345....0G,11.225,,2010MNRAS.403.1949K,9.6807,0.001,2018yCat.1345....0G,8.263,,2010MNRAS.403.1949K,9.958,,2010MNRAS.403.1949K,6.581,0.024,2003yCat.2246....0C
