recno,Name,HIP,n_HIP,HD/DM,SpType,n_SpType,Teff,log(g),VTurb,[M/H],Note,Fit,SMW,logR,AC,n_AC,Obs,t5,SimbadName,_RA,_DE
213,HIP  13388,13388," ",17970,K2 V," ",5036,4.49,1.0,-0.41," "," ",0.145,-5.122,VI," ",SO," ",HIP  13388,43.08204,-33.45064
261,HIP  15725,15725," ",21021,K4 V," ",,,,," "," ",0.265,-4.982,"I "," ",CTIO," ",HIP  15725,50.64734,-30.18857
267,HIP  16012,16012," ",21411,G8 V," ",5452,4.52,1.0,-0.2," "," ",0.192,-4.865,"I "," ",CTIO," ",HIP  16012,51.54632,-30.61781
242,HIP  14879,14879," ",20010,F6 V," ",6258,3.81,2.0,-0.19," "," ",0.162,-4.901,"I "," ",SO," ",HIP  14879,48.01886,-28.98762
258,HIP  15527,15527," ",20782,G1.5 V," ",5750,4.36,1.0,-0.11," "," ",0.167,-4.948,"I "," ",SO," ",HIP  15527,50.01491,-28.85407
257,HIP  15526,15526," ",20781,G9.5 V," ",5204,4.51,1.0,-0.2," "," ",0.155,-5.069,"I "," ",SO," ",HIP  15526,50.01226,-28.78383
200,HIP  12186,12186," ",16417,G1 V," ",5745,4.11,1.0,0.0," "," ",0.146,-5.093,"I "," ",SO," ",HIP  12186,39.2442,-34.57798
212,HIP  13363,13363," ",17926,F6 V," ",6351,4.3,2.0,-0.16," "," ",0.175,-4.807,"I "," ",SO," ",HIP  13363,42.98436,-30.81452
202,HIP  12288,12288," ",16538,F6 V Fe-0.7 CH-0.4," ",6253,3.47,2.0,-0.41," "," ",0.175,-4.807,"I "," ",SO," ",HIP  12288,39.57776,-30.19406
180,HIP  10977,10977," ",14680,K2+ V," ",4883,4.54,1.0,-0.26," "," ",0.287,-4.771,"I "," ",SO," ",HIP  10977,35.34998,-30.93364
197,HIP  12119,12119," ",16297,G9 V," ",5446,4.48,1.0,0.11," "," ",0.223,-4.788,"I "," ",SO," ",HIP  12119,39.03264,-28.2186
194,HIP  12109,12109," ",16280,K3.5 V (k)," ",4582,4.7,1.0,-0.25," "," ",0.432,-4.761,"I "," ",SO," ",HIP  12109,39.00326,-27.17837
227,HIP  14086,14086," ",18907,K2 V Fe-1.3 CH-0.8," ",5056,3.67,1.0,-0.72," "," ",0.128,-5.23,VI," ",SO," ",HIP  14086,45.40679,-28.09149
221,HIP  13790,13790," "," ",K5+ V (k)," ",,,,," "," ",1.155,-4.601,"A "," ",SO," ",HIP  13790,44.38851,-26.26827
244,HIP  15095,15095," ",20280,K5.5 V (k)," ",,,,," "," ",1.216,-4.594,"A "," ",CTIO/SO," ",HIP  15095,48.68593,-26.44625
239,HIP  14623,14623," ",19632,G5 V," ",5644,4.41,1.0,0.07," "," ",0.328,-4.484,"A "," ",SO," ",HIP  14623,47.21852,-24.88765
235,HIP  14568,14568," "," ",K9: V ke comp," ",,,,," "," ",4.826,-4.14,VA," ",SO," ",HIP  14568,47.02776,-24.75965
219,HIP  13769,13769," ",18445,K3- V (k)," ",4755,4.33,1.0,-0.09," "," ",0.337,-4.738,"A "," ",SO," ",HIP  13769,44.305,-24.97508
220,HIP  13772,13772," ",18455,K2 V," ",5030,4.33,1.0,-0.15," "," ",0.23,-4.834,"I "," ",SO," ",HIP  13772,44.3113,-24.96951
211,HIP  13008,13008," ",17438,F5 V Fe-1.2 CH-0.8," ",6721,4.25,2.0,-0.34," "," ",0.428,-4.161,VA," ",SO," ",HIP  13008,41.79628,-22.48574
293,HIP  17544,17544," ",23588,K3+ V (k)," ",4607,4.5,1.0,-0.42," "," ",0.523,-4.6,"A "," ",SO," ",HIP  17544,56.35055,-27.86248
302,HIP  18432,18432," ",24892,K0 V Fe-1.2 CH-0.9," ",5323,3.91,1.0,-0.42," "," ",0.141,-5.143,VI," ",SO," ",HIP  18432,59.11945,-25.18134
297,HIP  17956,17956," "," ",K5- V (k)," ",,,,," "," ",0.736,-4.78,"I "," ",SO," ",HIP  17956,57.58155,-23.82916
286,HIP  17346,17346," "," ",K4.5 V," ",,,,," "," ",0.593,-4.729,"A "," ",SO," ",HIP  17346,55.68615,-24.46632
273,HIP  16247,16247," ",21703,K3 V k Fe+0.4," ",,,,," "," ",1.776,-4.071,VA,*,SO," ",HIP  16247,52.34531,-24.10086
294,HIP  17651,17651," ",23754,F5 IV-V," ",6631,4.06,2.0,0.0," "," ",0.192,-4.684,"A "," ",SO," ",HIP  17651,56.71203,-23.24972
328,HIP  20342,20342," ",27701,K2.5 V," ",4794,4.4,1.0,-0.27," "," ",0.204,-4.971,"I "," ",SO," ",HIP  20342,65.36999,-20.91509
327,HIP  20338,20338," "," ",K9 V (k)," ",,,,," "," ",1.537,-3.916,VA,*,SO," ",HIP  20338,65.36005,-20.90149
312,HIP  19510,19510," "," ",K6 V (k)," ",,,,," "," ",1.125,-4.725,"A "," ",SO," ",HIP  19510,62.69535,-19.18484
304,HIP  18527,18527," ",25015,K2 V (k) Fe-0.5," ",,,,," "," ",0.531,-4.446,"A "," ",SO," ",HIP  18527,59.433,-20.26779
249,HIP  15286,15286," ",20492,K3.5 V," ",,,,," "," ",0.356,-4.877,"I "," ",SO," ",HIP  15286,49.31195,-20.68578
271,HIP  16134,16134," ",21531,K6 V k," ",,,,," "," ",1.864,-4.569,"A "," ",SO," ",HIP  16134,51.96836,-19.80448
290,HIP  17420,17420," ",23356,K2.5 V," ",,,,," "," ",0.274,-4.807,"I "," ",SO," ",HIP  17420,55.9806,-19.1109
