recno,Name,HIP,n_HIP,HD/DM,SpType,n_SpType,Teff,log(g),VTurb,[M/H],Note,Fit,SMW,logR,AC,n_AC,Obs,t5,SimbadName,_RA,_DE
819,HIP  57443,57443," ",102365,G2 V," ",5688,4.51,1.0,-0.28," "," ",0.168,-4.957,"I "," ",CTIO," ",HIP  57443,176.62947,-40.50036
768,HIP  54287,54287," ",96423,G5 V," ",5747,4.35,1.0,0.12," "," ",0.149,-5.08,"I "," ",CTIO,S,HIP  54287,166.58227,-44.37332
780,HIP  55013,55013," ",97998,G1 V," ",5754,4.58,1.0,-0.4," "," ",0.181,-4.875,"I "," ",CTIO," ",HIP  55013,168.95424,-39.3235
801,HIP  56326,56326," ",100395,G0 V," ",6110,4.19,1.0,0.16," "," ",0.158,-4.974,"I "," ",CTIO," ",HIP  56326,173.21416,-36.2092
794,HIP  56128,56128," "," ",K4.5 V (k)," ",,,,," "," ",0.463,-4.342,"A "," ",CTIO," ",HIP  56128,172.5777,-34.50038
769,HIP  54288,54288," "," ",K6+ V (k)," ",,,,," "," ",0.973,-4.74,"A "," ",CTIO," ",HIP  54288,166.5955,-35.74838
697,HIP  48235,48235," ",85390,K1.5 V," ",5069,4.48,1.0,-0.11," "," ",0.158,-5.063,"I "," ",CTIO," ",HIP  48235,147.5104,-49.79027
687,HIP  47225,47225," ",83529,G0- V," ",5889,4.33,1.0,-0.3," "," ",0.161,-4.949,"I "," ",CTIO," ",HIP  47225,144.36941,-49.99093
680,HIP  46677,46677," ",82516,K2 V," ",4995,4.43,1.0,-0.02," "," ",0.171,-5.058,"I "," ",CTIO," ",HIP  46677,142.747,-47.38418
698,HIP  48331,48331," ",85512,K6 V (k)," ",,,,," "," ",0.503,-4.849,"I "," ",CTIO," ",HIP  48331,147.77938,-43.50278
702,HIP  48718,48718," ",86249,K2.5 V," ",4904,4.56,1.0,0.06," "," ",0.277,-4.813,"I "," ",CTIO," ",HIP  48718,149.05211,-40.78696
707,HIP  49359,49359," ",87521,K3- V (k)," ",,,,," "," ",0.481,-4.639,"A "," ",CTIO," ",HIP  49359,151.14156,-39.31687
677,HIP  46535,46535," ",82241,F8 V Fe-0.4," ",6323,4.15,2.5,-0.18," "," ",0.328,-4.368,"A "," ",CTIO," ",HIP  46535,142.36906,-44.53235
682,HIP  46933,46933," "," ",K5 V (k)," ",,,,," "," ",1.259,-4.497,"A "," ",CTIO," ",HIP  46933,143.48387,-39.59443
653,HIP  44713,44713," ",78429,G2 V," ",5749,4.31,1.0,-0.01,*," ",0.175,-4.916,"I "," ",CTIO,S,HIP  44713,136.6618,-43.49198
694,HIP  48072,48072," ",84991,G0- V," ",5959,4.37,1.0,-0.23," "," ",0.182,-4.839,"I "," ",CTIO," ",HIP  48072,147.0008,-38.36428
688,HIP  47333,47333," "," ",K6 V (k)," ",,,,," "," ",0.466,-4.866,"I "," ",CTIO," ",HIP  47333,144.68287,-39.3874
713,HIP  49769,49769," ",88218,G0 V," ",5944,4.13,1.0,0.08," "," ",0.166,-4.938,"I "," ",CTIO," ",HIP  49769,152.38237,-35.85678
741,HIP  51568,51568," "," ",K6.5 V," ",,,,," "," ",0.954,-4.86,"I "," ",CTIO," ",HIP  51568,157.9976,-34.27676
732,HIP  51228,51228," ",90712,G0 V CH-0.3," ",5953,4.41,1.0,-0.02," "," ",0.288,-4.494,"A "," ",CTIO," ",HIP  51228,156.94907,-34.39948
751,HIP  52521,52521," ",93083,K2 IV-V," ",,,,," "," ",0.166,-5.082,"I "," ",CTIO," ",HIP  52521,161.08715,-33.57702
766,HIP  53818,53818," ",95456,F8 V," ",6269,4.2,1.0,0.12," "," ",0.151,-4.988,"I "," ",CTIO," ",HIP  53818,165.16993,-31.83937
772,HIP  54400,54400," ",96700,G0 V," ",5879,4.36,1.0,-0.14," "," ",0.166,-4.938,"I "," ",CTIO," ",HIP  54400,166.97678,-30.17457
750,HIP  52462,52462," ",92945,K1.5 V (k)," ",5015,4.52,1.0,-0.08," "," ",0.549,-4.393,"A "," ",CTIO," ",HIP  52462,160.8678,-29.06429
718,HIP  50075,50075," ",88742,G0 V," ",5992,4.42,1.0,0.0," "," ",0.19,-4.806,"I "," ",SO,S,HIP  50075,153.35304,-33.03172
727,HIP  50921,50921," ",90156,G5 V," ",5578,4.52,1.0,-0.26," "," ",0.167,-4.96,"I "," ",SO," ",HIP  50921,155.98031,-29.64553
714,HIP  49806,49806," "," ",K6.5 V (k)," ",,,,," "," ",1.455,-4.645,"A "," ",CTIO," ",HIP  49806,152.50002,-25.97584
737,HIP  51297,51297," ",90812,K0.5 V," ",5195,4.64,1.0,-0.24," "," ",0.153,-5.078,"I "," ",CTIO," ",HIP  51297,157.17868,-27.36604
754,HIP  52708,52708," ",93380,K5 V (k)," ",,,,," "," ",0.806,-4.659,"A "," ",SO," ",HIP  52708,161.65376,-24.58548
733,HIP  51263,51263," "," ",K5 V," ",,,,," "," ",0.212,-5.246,VI," ",CTIO," ",HIP  51263,157.07169,-24.26565
738,HIP  51443,51443," "," ",K5 V (k)," ",,,,," "," ",0.915,-4.587,"A "," ",CTIO," ",HIP  51443,157.59152,-21.23678
477,HIP  30480,30480," ",45701,G1 V," ",5750,4.17,1.0,0.0," "," ",0.158,-5.01,"I "," ",CTIO," ",HIP  30480,96.11084,-63.42901
519,HIP  33690,33690," ",53143,K0 IV-V (k)," ",5326,4.4,1.0,0.13," "," ",0.344,-4.547,"A "," ",CTIO," ",HIP  33690,104.99856,-61.33618
498,HIP  31711,31711," ",48189,G1 V CH-0.5," ",5821,4.35,1.0,-0.11,*," ",0.444,-4.268,"A "," ",CTIO," ",HIP  31711,99.50152,-61.53339
508,HIP  32775,32775," ",50571,F5 V Fe+0.4," ",6534,4.18,2.1,-0.05," "," ",0.239,-4.551,"A "," ",CTIO," ",HIP  32775,102.50423,-60.24914
457,HIP  28964,28964," ",42505,K4 V (k)," ",,,,," "," ",0.788,-4.571,"A "," ",CTIO," ",HIP  28964,91.68265,-62.68261
474,HIP  30314,30314," ",45270,G0 Vp CH-0.3," ",5897,4.44,1.0,-0.07,*," ",0.361,-4.378,"A "," ",CTIO," ",HIP  30314,95.62892,-60.21865
465,HIP  29788,29788," ",44120,F9.5 V," ",5996,4.15,1.0,0.0," "," ",0.149,-5.044,"I "," ",CTIO," ",HIP  29788,94.07828,-59.2135
515,HIP  33324,33324," ",51929,G2 V Fe-1.4 CH-0.7," ",5915,4.35,1.0,-0.65," "," ",0.179,-4.852,"I "," ",CTIO," ",HIP  33324,103.97175,-56.9424
513,HIP  33229,33229," ",51608,K0 IV-V," ",5375,4.41,1.0,0.01," "," ",0.141,-5.144,VI," ",CTIO," ",HIP  33229,103.71392,-55.25933
535,HIP  35246,35246," "," ",K5.5 V (k)," ",,,,," "," ",1.062,-4.313,"A "," ",CTIO," ",HIP  35246,109.24639,-59.12272
551,HIP  36352,36352," "," ",K6.5 V (k)," ",,,,," "," ",1.54,-4.62,"A "," ",CTIO," ",HIP  36352,112.22421,-58.26338
572,HIP  38041,38041," ",63765,G9 V," ",5434,4.48,1.0,-0.1," "," ",0.182,-4.915,"I "," ",CTIO," ",HIP  38041,116.95717,-54.26414
537,HIP  35564,35564," ",57852,F5 V," ",6603,4.05,1.9,-0.15," "," ",0.354,-4.313,"A "," ",CTIO," ",HIP  35564,110.08927,-52.31152
560,HIP  36832,36832," ",61033,G8 V (k)," ",5471,4.42,1.0,-0.11," "," ",0.409,-4.391,"A "," ",CTIO," ",HIP  36832,113.61681,-52.96816
561,HIP  36927,36927," ",61214,K3.5 V (k)," ",,,,," "," ",0.842,-4.447,"A "," ",CTIO," ",HIP  36927,113.86182,-52.44253
566,HIP  37635,37635," ",62848,F9 V," ",6106,4.37,1.0,-0.01," "," ",0.285,-4.483,"A "," ",CTIO," ",HIP  37635,115.83949,-52.16403
568,HIP  37727,37727," ",63008B,G5 V," ",,,,," "," ",0.277,-4.602,"A "," ",CTIO," ",HIP  37727,116.06865,-50.46662
567,HIP  37718,37718," ",63008,F9 V Fe-0.5," ",6220,4.39,1.0,-0.17," "," ",0.291,-4.458,"A "," ",CTIO," ",HIP  37718,116.05213,-50.45673
549,HIP  36210,36210," ",59468,G6.5 V," ",5517,4.42,1.0,-0.17," "," ",0.171,-4.946,"I "," ",CTIO," ",HIP  36210,111.8561,-51.4026
455,HIP  28898,28898," ",42286,K1 V," ",5029,4.61,1.0,-0.39," "," ",0.166,-5.025,"I "," ",CTIO," ",HIP  28898,91.51469,-59.54321
484,HIP  31079,31079," ",46569,F8 V Fe-0.4," ",6251,3.69,2.6,-0.13," "," ",0.146,-5.027,"I "," ",CTIO," ",HIP  31079,97.82638,-51.82596
517,HIP  33495,33495," ",52298,F8 V Fe-1 CH-0.5," ",6323,4.28,2.0,-0.38," "," ",0.214,-4.641,"A "," ",CTIO," ",HIP  33495,104.43934,-52.64847
528,HIP  34739,34739," ",55720,G8 V," ",5496,4.49,1.0,-0.36," "," ",0.175,-4.932,"I "," ",CTIO," ",HIP  34739,107.88195,-49.4242
533,HIP  35096,35096," ",56662,G0 V," ",5887,4.45,1.0,-0.26," "," ",0.179,-4.864,"I "," ",CTIO," ",HIP  35096,108.8713,-48.23001
536,HIP  35296,35296," ",57095,K2.5 V (k)," ",,,,," "," ",0.53,-4.538,"A "," ",CTIO," ",HIP  35296,109.37317,-46.97924
609,HIP  41261,41261," ",71386,G9 V (k)," ",5268,4.26,1.0,-0.11," "," ",0.409,-4.445,"A "," ",CTIO," ",HIP  41261,126.2675,-49.15998
576,HIP  38324,38324," "," ",K6 V," ",,,,," "," ",0.622,-4.805,"I "," ",CTIO," ",HIP  38324,117.76394,-50.305
589,HIP  39330,39330," ",66653,G2 V," ",5748,4.41,1.0,0.0," "," ",0.192,-4.835,"I "," ",CTIO,S,HIP  39330,120.61245,-46.33631
596,HIP  40051,40051," ",68475,K2 V," ",4959,4.52,1.0,-0.1," "," ",0.219,-4.888,"I "," ",CTIO," ",HIP  40051,122.71913,-42.81141
637,HIP  42922,42922," ",74868,F9+ V," ",6134,4.2,1.0,0.08," "," ",0.166,-4.913,"I "," ",CTIO," ",HIP  42922,131.21152,-44.5426
631,HIP  42697,42697," ",74385,K2+ V," ",4901,4.58,1.0,-0.19," "," ",0.217,-4.902,"I "," ",CTIO," ",HIP  42697,130.53132,-42.92944
636,HIP  42916,42916," ",74842,G8 V," ",5423,4.35,1.0,-0.09," "," ",0.241,-4.718,"A "," ",CTIO," ",HIP  42916,131.18751,-42.63446
638,HIP  43177,43177," ",75289,F9 V Fe+0.3," ",6132,4.29,1.0,0.16," "," ",0.153,-5.008,"I "," ",CTIO," ",HIP  43177,131.91829,-41.73679
639,HIP  43290,43290," ",75519,G2 V," ",5746,4.51,1.0,-0.02,*," ",0.381,-4.376,"A "," ",CTIO," ",HIP  43290,132.27371,-39.95439
624,HIP  42196,42196," "," ",K7- V k," ",,,,," "," ",2.131,-4.587,"A "," ",CTIO," ",HIP  42196,129.05928,-41.55722
623,HIP  42123,42123," ",73121,F9.5 V," ",6001,4.16,1.0,-0.06," "," ",0.157,-4.978,"I "," ",CTIO," ",HIP  42123,128.80224,-39.97045
627,HIP  42291,42291," ",73524,G0 Vp,*,5987,4.33,1.0,0.04," "," ",0.166,-4.931,"I "," ",CTIO,S,HIP  42291,129.3333,-40.14767
632,HIP  42808,42808," ",74576,K2.5 V (k)," ",4925,4.57,1.0,0.02," "," ",0.615,-4.402,"A "," ",SO," ",HIP  42808,130.82513,-38.88238
565,HIP  37606,37606," ",62644,G8 IV-V,*,5343,3.74,1.0,-0.08," "," ",0.132,-5.207,VI," ",CTIO," ",HIP  37606,115.73789,-45.17312
581,HIP  38596,38596," "," ",K4- V (k)," ",,,,," "," ",0.803,-4.483,"A "," ",CTIO," ",HIP  38596,118.5475,-37.48831
606,HIP  40952,40952," ",70642,G6 V CN+0.5," ",5559,4.37,1.0,-0.03," "," ",0.184,-4.886,"I "," ",SO," ",HIP  40952,125.36724,-39.70541
614,HIP  41529,41529," ",71835,G9 V+," ",5415,4.42,1.0,0.03," "," ",0.171,-4.976,"I "," ",CTIO," ",HIP  41529,127.04992,-36.72299
587,HIP  38980,38980," ",65721,G9 V," ",5379,4.51,1.0,-0.34," "," ",0.194,-4.867,"I "," ",CTIO," ",HIP  38980,119.65369,-34.94475
597,HIP  40283,40283," ",68978,G0.5 V," ",5921,4.4,1.0,-0.04," "," ",0.167,-4.942,"I "," ",SO,S,HIP  40283,123.39374,-31.73538
495,HIP  31634,31634," "," ",K8 V (k)," ",,,,," "," ",2.08,-4.696,"A "," ",CTIO," ",HIP  31634,99.29677,-50.03826
471,HIP  30104,30104," ",44594,G1.5 V," ",5777,4.39,1.0,0.02," "," ",0.157,-5.019,"I "," ",CTIO,S,HIP  30104,95.02556,-48.74109
454,HIP  28796,28796," ",41824,G7 Vp k CH-1," ",5440,4.12,1.0,-0.16," "," ",0.634,-4.153,VA,*,CTIO," ",HIP  28796,91.19451,-48.4583
482,HIP  30888,30888," "," ",K7- V (k)," ",,,,," "," ",1.17,-4.771,"I "," ",CTIO," ",HIP  30888,97.25586,-45.36641
507,HIP  32765,32765," ",50223,F5.5 V," ",6482,4.01,2.0,-0.17," "," ",0.205,-4.661,"A "," ",CTIO," ",HIP  32765,102.47757,-46.61456
526,HIP  34069,34069," ",53706,K0.5 V," ",5272,4.55,1.0,-0.25," "," ",0.157,-5.049,"I "," ",CTIO," ",HIP  34069,105.99551,-43.61135
525,HIP  34065,34065," ",53705,G0 V," ",5775,4.28,1.0,-0.38," "," ",0.163,-4.981,"I "," ",CTIO," ",HIP  34065,105.98881,-43.60803
524,HIP  34052,34052," ",53680,K6 V," ",,,,," "," ",0.455,-4.925,"I "," ",CTIO," ",HIP  34052,105.95922,-43.5615
522,HIP  33736,33736," ",52756,K2 IV," ",5002,4.43,1.0,0.15," "," ",0.171,-5.037,"I "," ",CTIO," ",HIP  33736,105.12332,-41.37981
451,HIP  28764,28764," ",41700,F9 V Fe-0.4," ",6241,4.4,1.0,-0.05," "," ",0.351,-4.339,"A "," ",CTIO," ",HIP  28764,91.1185,-45.0366
476,HIP  30476,30476," ",45289,G2 V,*,5747,4.31,1.0,0.06," "," ",0.154,-5.041,"I "," ",CTIO,S,HIP  30476,96.10146,-42.84752
492,HIP  31555,31555," "," ",K8 V k," ",,,,," "," ",1.918,-4.731,"A "," ",CTIO," ",HIP  31555,99.07617,-40.00656
466,HIP  29804,29804," ",43848,K2 IV,*,,,,," "," ",0.165,-5.081,"I "," ",CTIO," ",HIP  29804,94.13065,-40.53188
462,HIP  29374,29374," ",42931,K2.5 V (k)," ",4851,4.57,1.0,-0.22," "," ",0.312,-4.752,"I "," ",CTIO," ",HIP  29374,92.8756,-41.5786
470,HIP  30045,30045," ",44310,K1 IV-V," ",5219,4.42,1.0,0.13," "," ",0.149,-5.105,VI," ",CTIO," ",HIP  30045,94.82854,-37.4629
505,HIP  32544,32544," "," ",K6.5 V (k)," ",,,,," "," ",1.0,-4.792,"I "," ",CTIO," ",HIP  32544,101.8665,-40.51587
500,HIP  32043,32043," "," ",K4+ V (k)," ",,,,," "," ",0.897,-4.313,"A "," ",CTIO/SO," ",HIP  32043,100.41537,-35.5537
491,HIP  31547,31547," ",47283,G1 V," ",5770,4.28,1.0,-0.19," "," ",0.214,-4.727,"A "," ",SO," ",HIP  31547,99.05237,-36.13845
494,HIP  31623,31623," ",47391,G7 V," ",5497,4.38,1.0,-0.48," "," ",0.182,-4.899,"I "," ",SO," ",HIP  31623,99.26659,-32.22519
503,HIP  32366,32366," ",49095,F6.5 V," ",6322,4.36,2.0,-0.2," "," ",0.19,-4.745,"A "," ",SO," ",HIP  32366,101.34559,-31.79365
543,HIP  35902,35902," ",58489,K3.5 V," ",4578,4.56,1.0,-0.11," "," ",0.197,-5.135,VI," ",CTIO," ",HIP  35902,111.0192,-40.04607
540,HIP  35739,35739," ",58111,K2 V," ",4999,4.46,1.0,-0.11," "," ",0.175,-5.012,"I "," ",CTIO," ",HIP  35739,110.57858,-39.25333
555,HIP  36515,36515," ",59967,G2 V," ",5768,4.49,1.0,-0.14," "," ",0.378,-4.372,"A "," ",SO," ",HIP  36515,112.67713,-37.33936
569,HIP  37853,37853," ",63077,F9 V," ",6002,4.87,1.0,-0.57," "," ",0.186,-4.823,"I "," ",SO," ",HIP  37853,116.3955,-34.17258
547,HIP  36160,36160," ",59100,G1.5 V," ",5761,4.6,1.0,-0.27," "," ",0.162,-4.977,"I "," ",CTIO/SO," ",HIP  36160,111.74014,-34.31552
548,HIP  36165,36165," ",59099,F6 V," ",6367,3.97,1.5,-0.16," "," ",0.2,-4.701,"A "," ",CTIO/SO," ",HIP  36165,111.74444,-34.31212
562,HIP  36948,36948," ",61005,G8 V k comp?," ",5408,4.4,1.0,-0.06," "," ",0.459,-4.337,"A "," ",CTIO," ",HIP  36948,113.94776,-32.2039
579,HIP  38423,38423," ",64379,F5 V Fe-0.5," ",6554,4.05,2.0,-0.14," "," ",0.322,-4.363,"A "," ",SO," ",HIP  38423,118.06526,-34.70544
585,HIP  38910,38910," "," ",K4.5 V (k)," ",,,,," "," ",0.722,-4.658,"A "," ",CTIO," ",HIP  38910,119.45216,-33.95201
593,HIP  39710,39710," ",67458,G0 V," ",5939,4.47,1.0,-0.19," "," ",0.167,-4.929,"I "," ",SO," ",HIP  39710,121.75218,-29.40294
520,HIP  33691,33691," ",52491,G9 V," ",5434,4.46,1.0,-0.06," "," ",0.217,-4.79,"I "," ",CTIO," ",HIP  33691,105.01145,-31.22808
521,HIP  33705,33705," ",52516,F5.5 V Fe-0.7 CH-0.4," ",6503,4.33,2.0,-0.21," "," ",0.214,-4.614,"A "," ",SO," ",HIP  33705,105.04072,-31.14169
511,HIP  33094,33094," ",50806,G5 V," ",5604,4.11,1.0,0.06," "," ",0.146,-5.103,VI," ",SO," ",HIP  33094,103.39143,-28.53979
530,HIP  34879,34879," ",55693,G1.5 V," ",5753,4.28,1.0,0.06," "," ",0.168,-4.951,"I "," ",SO,S,HIP  34879,108.26114,-24.22557
558,HIP  36817,36817," ",60584,F5 V," ",,,,," "," ",0.268,-4.478,"A "," ",SO," ",HIP  36817,113.57757,-23.47366
557,HIP  36795,36795," ",60532,F6 IV-V," ",6262,3.83,2.0,-0.05," "," ",0.168,-4.864,"I "," ",SO," ",HIP  36795,113.51325,-22.29607
645,HIP  43880,43880," ",76668,G0 V," ",5914,4.18,1.0,0.01," "," ",0.168,-4.934,"I "," ",CTIO," ",HIP  43880,134.08266,-37.12247
659,HIP  44899,44899," "," ",K7 V (k)," ",,,,," "," ",1.2,-4.729,"A "," ",CTIO/SO," ",HIP  44899,137.21711,-34.8427
654,HIP  44719,44719," ",78351,G9 V (k)," ",5275,4.46,1.0,-0.08," "," ",0.277,-4.655,"A "," ",CTIO," ",HIP  44719,136.68256,-33.56848
673,HIP  45995,45995," ",81133,F8.5 V," ",6100,4.44,1.0,-0.1," "," ",0.195,-4.762,"I "," ",SO," ",HIP  45995,140.7067,-35.52321
678,HIP  46626,46626," ",82342,K3.5 V," ",,,,," "," ",0.161,-5.131,VI," ",CTIO," ",HIP  46626,142.61703,-32.1034
671,HIP  45957,45957," ",81044,K0 V (k)," ",5145,4.62,1.0,-0.42," "," ",0.246,-4.747,"A "," ",CTIO," ",HIP  45957,140.58544,-32.14848
662,HIP  45251,45251," "," ",K6 V (k)," ",,,,," "," ",1.089,-4.643,"A "," ",CTIO," ",HIP  45251,138.34227,-31.12535
663,HIP  45301,45301," "," ",K3.5 V," ",,,,," "," ",0.338,-4.843,"I "," ",CTIO," ",HIP  45301,138.49844,-27.52011
620,HIP  41926,41926," ",72673,G9 V," ",5272,4.61,1.0,-0.3," "," ",0.17,-4.986,"I "," ",SO," ",HIP  41926,128.21457,-31.50085
640,HIP  43310,43310," "," ",K4.5 V (k)," ",,,,," "," ",0.398,-4.842,"I "," ",CTIO," ",HIP  43310,132.34486,-32.38482
646,HIP  43947,43947," ",76740,F6- V," ",6400,4.11,2.0,-0.23," "," ",0.353,-4.32,"A "," ",SO," ",HIP  43947,134.26696,-29.84601
625,HIP  42214,42214," ",73256,G8 IV-V Fe+0.5," ",5312,4.43,1.0,0.11," "," ",0.271,-4.675,"A "," ",CTIO," ",HIP  42214,129.0959,-30.03762
612,HIP  41317,41317," ",71334,G2.5 V," ",5743,4.45,1.0,-0.06," "," ",0.164,-4.971,"I "," ",SO,S,HIP  41317,126.45632,-29.93059
655,HIP  44785,44785," "," ",K5 V," ",,,,," "," ",0.942,-4.624,"A "," ",SO," ",HIP  44785,136.91441,-25.26175
643,HIP  43771,43771," ",76378,K2 V CN+1," ",,,,," "," ",0.204,-5.056,"I "," ",SO," ",HIP  43771,133.73851,-24.39429
690,HIP  47592,47592," ",84117,F8 V," ",6205,4.24,1.0,-0.09," "," ",0.173,-4.862,"I "," ",SO," ",HIP  47592,145.56007,-23.91557
692,HIP  47645,47645," "," ",K2.5 V (k)," ",,,,," "," ",0.513,-4.298,"A "," ",SO," ",HIP  47645,145.70704,-22.96458
710,HIP  49668,49668," ",87998,G0 V," ",5773,4.34,1.0,-0.19," "," ",0.158,-4.997,"I "," ",SO," ",HIP  49668,152.08908,-19.75522
701,HIP  48680,48680," ",86065,K2.5 V," ",,,,," "," ",0.266,-4.844,"I "," ",SO," ",HIP  48680,148.92714,-18.10741
712,HIP  49728,49728," ",88084,G2 V," ",5729,4.43,1.0,-0.06," "," ",0.165,-4.965,"I "," ",SO," ",HIP  49728,152.28436,-15.4945
667,HIP  45801,45801," "," ",K5+ V (k)," ",,,,," "," ",0.815,-4.703,"A "," ",CTIO," ",HIP  45801,140.08561,-20.70483
668,HIP  45876,45876," "," ",K2.5 V (k)," ",,,,," "," ",0.331,-4.747,"A "," ",CTIO," ",HIP  45876,140.31539,-17.00559
706,HIP  49127,49127," ",86972,K3+ V (k)," ",,,,," "," ",0.703,-4.482,"A "," ",SO," ",HIP  49127,150.40539,-15.42478
703,HIP  48762,48762," ",-11 2763,K2.5 V (k)," ",,,,," "," ",0.372,-4.704,"A "," ",SO," ",HIP  48762,149.19163,-12.27037
674,HIP  46324,46324," ",81659,G6 V," ",5554,4.4,1.0,0.06," "," ",0.24,-4.695,"A "," ",SO," ",HIP  46324,141.67847,-14.49075
683,HIP  47007,47007," ",82943,F9 V Fe+0.5," ",5910,4.31,1.0,0.17," "," ",0.165,-4.951,"I "," ",SO," ",HIP  47007,143.7114,-12.12955
607,HIP  41134,41134," ",70889,F9.5 V," ",6004,4.44,1.0,-0.03," "," ",0.188,-4.821,"I "," ",SO," ",HIP  41134,125.88255,-27.82235
586,HIP  38939,38939," ",65486,K4- V (k)," ",,,,," "," ",0.648,-4.548,"A "," ",SO," ",HIP  38939,119.51821,-25.62663
621,HIP  42011,42011," ",72769,G8 IV-V," ",5549,4.28,1.0,0.18," "," ",0.159,-5.027,"I "," ",SO," ",HIP  42011,128.44044,-23.35555
629,HIP  42430,42430," ",73752,G5 IV," ",5499,3.97,1.0,0.08," "," ",0.158,-5.031,"I "," ",SO," ",HIP  42430,129.78292,-22.66189
633,HIP  42910,42910," ",-20 2665,K5- V k," ",,,,," "," ",1.17,-4.595,"A "," ",SO," ",HIP  42910,131.1708,-21.43
647,HIP  43969,43969," "," ",K9 V (k)," ",,,,," "," ",1.581,-4.802,"I "," ",SO," ",HIP  43969,134.30915,-19.58441
610,HIP  41282,41282," ",71196,F5 V Fe-0.7 CH-0.5," ",6703,4.14,2.0,-0.2," "," ",0.35,-4.274,"A "," ",SO," ",HIP  41282,126.32917,-21.04596
613,HIP  41503,41503," "," ",K8 V k," ",,,,," "," ",1.544,-4.77,"I "," ",SO," ",HIP  41503,126.97113,-18.68429
626,HIP  42281,42281," ",73322,K0.5 V (k)," ",5022,4.45,1.0,-0.06," "," ",0.452,-4.535,"A "," ",SO," ",HIP  42281,129.31474,-17.49465
622,HIP  42108,42108," ",72928,K6 V (k)," ",,,,," "," ",0.439,-5.038,"I "," ",SO," ",HIP  42108,128.75216,-16.08622
582,HIP  38702,38702," "," ",M0 V," ",,,,," "," ",1.195,-5.122,VI," ",SO," ",HIP  38702,118.84967,-15.49811
615,HIP  41609,41609," ",71811,K2 V," ",,,,," "," ",0.167,-5.074,"I "," ",SO," ",HIP  41609,127.23603,-15.87048
595,HIP  40035,40035," ",68146,F6.5 V," ",6370,4.19,2.0,-0.1," "," ",0.177,-4.805,"I "," ",SO," ",HIP  40035,122.66594,-13.79921
588,HIP  38998,38998," ",65562,K2+ V," ",,,,," "," ",0.162,-5.055,"I "," ",SO," ",HIP  38998,119.71741,-13.31522
600,HIP  40693,40693," ",69830,G8+ V," ",5447,4.5,1.0,0.06," "," ",0.167,-4.991,"I "," ",SO," ",HIP  40693,124.59978,-12.63217
650,HIP  44162,44162," ",77084,F5 V," ",6543,4.09,2.0,-0.01," "," ",0.223,-4.597,"A "," ",SO," ",HIP  44162,134.9163,-19.20805
648,HIP  44075,44075," ",76932,G2 V Fe-1.8 CH-1," ",6003,4.25,1.0,-0.77," "," ",0.186,-4.781,"I "," ",SO," ",HIP  44075,134.68305,-16.13272
652,HIP  44526,44526," ",77825,K3 V (k)," ",,,,," "," ",0.681,-4.409,"A "," ",SO," ",HIP  44526,136.08623,-15.91425
658,HIP  44860,44860," ",78558,G0.5 V," ",5750,4.33,1.0,-0.43," "," ",0.156,-5.007,"I "," ",SO," ",HIP  44860,137.10516,-15.14479
675,HIP  46404,46404," ",81809,G5 V Fe-1 CH-0.8," ",5653,3.85,1.0,-0.32," "," ",0.16,-4.993,"I "," ",CTIO," ",HIP  46404,141.94492,-6.07119
628,HIP  42401,42401," ",73583,K4+ V (k)," ",,,,," "," ",0.901,-4.512,"A "," ",SO," ",HIP  42401,129.68858,-13.25669
641,HIP  43363,43363," ",-09 2670,K3+ V (k)," ",,,,," "," ",0.637,-4.602,"A "," ",SO," ",HIP  43363,132.49105,-9.7964
642,HIP  43726,43726," ",76151,G3 V," ",5748,4.43,1.0,0.08," "," ",0.188,-4.853,"I "," ",CTIO," ",HIP  43726,133.57478,-5.43446
930,HIP  64690,64690," ",113283,G5 V," ",5679,4.49,1.0,0.05," "," ",0.234,-4.72,"A "," ",CTIO," ",HIP  64690,198.86015,-87.56068
915,HIP  64109,64109," ",112540,G7 V," ",5502,4.48,1.0,-0.03," "," ",0.168,-4.975,"I "," ",CTIO," ",HIP  64109,197.08594,-87.21931
1120,HIP  79242,79242," ",142022,G9 IV-V," ",5506,4.18,1.0,0.27," "," ",0.126,-5.247,VI," ",CTIO," ",HIP  79242,242.56261,-84.23161
1005,HIP  70610,70610," ",125271,K3+ V (k)," ",4618,4.67,1.0,-0.29," "," ",0.236,-4.984,"I "," ",CTIO," ",HIP  70610,216.64857,-81.45331
1242,HIP  87091,87091," ",158866,K2.5 V (k)," ",4740,4.59,1.0,-0.07," "," ",0.591,-4.502,"A "," ",CTIO," ",HIP  87091,266.92785,-82.21644
1076,HIP  76351,76351," ",137388,K2 IV,*,5111,4.39,1.0,0.15," "," ",0.163,-5.062,"I "," ",CTIO," ",HIP  76351,233.91634,-80.20459
939,HIP  65302,65302," ",115674,G5 V Fe-0.7," ",5590,4.52,1.0,-0.27," "," ",0.173,-4.929,"I "," ",CTIO," ",HIP  65302,200.7503,-81.31011
1006,HIP  70656,70656," "," ",K5 V," ",,,,," "," ",0.331,-4.955,"I "," ",CTIO," ",HIP  70656,216.76941,-77.18333
885,HIP  61792,61792," ",109952,K5.5 V (k)," ",,,,," "," ",0.691,-4.693,"A "," ",CTIO," ",HIP  61792,189.9629,-77.84325
952,HIP  66125,66125," "," ",K2.5 V (k)," ",,,,," "," ",0.341,-4.674,"A "," ",CTIO," ",HIP  66125,203.3278,-77.57356
