main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode
LP   35-347,126.470183356233,69.0336576979968,,GJ  3497,,,M7V,2014AJ....147...20N,75.5531,0.5836,2018yCat.1345....0G,,,,13.6626,0.0015,2018yCat.1345....0G
LHS  2919,217.0173159671098,13.9370334730105,,,,,M7V,2014AJ....147...20N,75.4469,0.1329,2018yCat.1345....0G,17.65,,2009AJ....137.4109L,14.9224,8.0E-4,2018yCat.1345....0G
SSSPM J0306-3648,46.5483304981508,-36.7980146180076,,,,,M8.7V,2014ApJ...794..143B,75.4426,0.0966,2018yCat.1345....0G,19.2,,,16.0152,9.0E-4,2018yCat.1345....0G
GSC 08894-00426,96.483719071103,-60.0575107754467,,,,,M5Ve,1997AJ....114..244C,74.369,0.0393,2018yCat.1345....0G,12.319,0.092,2012AcA....62...67K,11.0259,0.0017,2018yCat.1345....0G
LP  639-1,329.2301950573054,-1.9025935657955555,,GJ  4239,,,M5,,74.1413,0.098,2018yCat.1345....0G,14.64,,1995GCTP..C......0V,13.0378,9.0E-4,2018yCat.1345....0G
2MASS J06422703-6707193,100.6131168375339,-67.1221573520297,,,,,M5.0,2007AJ....133.2825R,74.1265,0.0663,2018yCat.1345....0G,16.01,,2011AJ....141...21W,14.0038,4.0E-4,2018yCat.1345....0G
UCAC4 672-033085,76.27466566107958,44.23436961398972,,,,,M5.0V,2015A&A...577A.128A,74.0291,0.106,2018yCat.1345....0G,,,,13.0466,0.0012,2018yCat.1345....0G
APMPM J2330-4737,352.5673691182619,-47.612523380564,,,,,M6e,2005A&A...440.1061L,73.7865,0.1557,2018yCat.1345....0G,18.081,0.02,2006AJ....132.1234C,15.2486,8.0E-4,2018yCat.1345....0G
G  96-6,73.14420297215543,40.706708796508615,,GJ  1073,,,M5V,2014AJ....147...20N,73.7864,0.1844,2018yCat.1345....0G,13.4,,,12.0483,5.0E-4,2018yCat.1345....0G
V* AZ Cnc,130.12366532532042,18.402424058440833,,"GJ  9272,GJ   316.1",,,M6.0V,2009ApJ...699..649S,73.7602,0.1377,2018yCat.1345....0G,17.59,,2004AJ....128..463R,15.0191,0.0014,2018yCat.1345....0G
G   8-41,68.3915143263759,20.746067229402,,GJ  3296,,,M5V,2014AJ....147...20N,73.5425,0.0975,2018yCat.1345....0G,14.53,0.01,2012yCat.1322....0Z,12.9125,6.0E-4,2018yCat.1345....0G
2MASS J03140344+1603056,48.5143415852182,16.0515210458658,,,,,M9.4V,2014ApJ...794..143B,73.4296,0.2757,2018yCat.1345....0G,,,,17.2319,0.002,2018yCat.1345....0G
LP  911-56,206.6918622392474,-31.823758093857,,,,,M6,2006A&A...446..515P,73.2289,0.1551,2018yCat.1345....0G,,,,14.8544,0.001,2018yCat.1345....0G
APMPM J2331-2750,352.8406003961854,-27.8304463739305,,,,,M7.0V,2012AJ....144...99D,73.2134,0.1575,2018yCat.1345....0G,19.072,0.012,2006AJ....132.1234C,15.8841,0.0015,2018yCat.1345....0G
WISEA J105515.71-735611.3,163.81380775044167,-73.9358375710075,,,,,M7,2016ApJS..224...36K,72.9677,0.569,2018yCat.1345....0G,,,,14.7381,0.0011,2018yCat.1345....0G
LP  463-23,354.3999357994655,16.3675800594184,,,,,M5.5V,2015A&A...577A.128A,72.9284,0.11,2018yCat.1345....0G,,,,14.0219,6.0E-4,2018yCat.1345....0G
LP  788-1,142.8430025039787,-17.2950901635326,,,,,M6.5,2013A&A...556A..15R,72.1829,0.2656,2018yCat.1345....0G,,,,14.9988,8.0E-4,2018yCat.1345....0G
WT 887,333.4602711938243,-63.7027804860246,,,,,M5,,72.0956,0.0818,2018yCat.1345....0G,,,,14.6573,7.0E-4,2018yCat.1345....0G
G  45-27,165.331938,3.0047603,,GJ  3637,,,M5V,2014AJ....147...20N,71.9,3.1,1991NSC3..C......0G,14.11,0.05,2012yCat.1322....0Z,12.6535,0.0019,2018yCat.1345....0G
G  44-43,163.0593730149895,5.9193984038744,,GJ  3631,,,M5.40,2015ApJ...802L..10T,71.783,0.0903,2018yCat.1345....0G,,,,13.0984,0.0018,2018yCat.1345....0G
LP  411-6,41.64464209933667,16.419502886554444,,GJ  3181,,,M6.0V,,71.4554,0.1192,2018yCat.1345....0G,,,,14.5789,7.0E-4,2018yCat.1345....0G
LP  885-35,33.7835105379278,-30.6670546257851,,,,,M8,2007AJ....133.2258S,71.111,0.1502,2018yCat.1345....0G,,,,15.8645,0.0012,2018yCat.1345....0G
LP  322-628,196.70960539787708,30.848325876443887,,GJ  3762,,,M6V,2014AJ....147...20N,70.8972,0.0596,2018yCat.1345....0G,15.42,,1976AJ.....81..350S,13.6314,5.0E-4,2018yCat.1345....0G
2MASS J03571999+4107426,59.3332451703664,41.1285104917147,,,,,M7V,2014AJ....147...20N,70.8564,0.1264,2018yCat.1345....0G,,,,14.6645,7.0E-4,2018yCat.1345....0G
UCAC4 872-007094,289.1036944664016,84.2280276653684,,,,,M5.0V,2015A&A...577A.128A,70.187,0.0391,2018yCat.1345....0G,,,,13.2911,5.0E-4,2018yCat.1345....0G
2MASS J05565722+1144333,89.2384709921703,11.7425453008142,,,,,M5.5V,2003AJ....125.1598L,70.1613,0.116,2018yCat.1345....0G,,,,13.8269,6.0E-4,2018yCat.1345....0G
2MASS J05011802+2237015,75.3250735482879,22.6169208827506,,,,,M5V,2014AJ....147...20N,69.8453,0.1048,2018yCat.1345....0G,,,,13.5972,8.0E-4,2018yCat.1345....0G
G  32-35,8.9813362007953,10.4765316335995,,GJ  1014,,,M5V,2014AJ....147...20N,69.4698,0.0731,2018yCat.1345....0G,,,,13.5836,5.0E-4,2018yCat.1345....0G
LP  229-30,280.842189716355,40.6725941606477,,GJ  4073,,,M7.5Ve,2003AJ....126.3007R,69.4569,0.0906,2018yCat.1345....0G,,,,15.4312,9.0E-4,2018yCat.1345....0G
G 252-25,134.9841778300653,72.9600767108355,,GJ  3520,,,M5V,2015ApJ...812....3W,69.3053,0.0543,2018yCat.1345....0G,,,,12.812,5.0E-4,2018yCat.1345....0G
G 240-23,250.0859424668731,67.6013146463626,,GJ  3971,,,M7V,2014AJ....147...20N,69.2781,0.2681,2018yCat.1345....0G,,,,13.5557,8.0E-4,2018yCat.1345....0G
LP  731-76,164.6166185575893,-10.7751388043262,,,,WDS J10585-1046B,M5.0V,2015A&A...577A.128A,69.1542,0.085,2018yCat.1345....0G,14.5,,,12.7677,6.0E-4,2018yCat.1345....0G
G 265-8,19.9673910162428,84.1591108813268,,GJ  1035,,,M5,,69.0676,0.0623,2018yCat.1345....0G,,,,13.1254,8.0E-4,2018yCat.1345....0G
GAT 1383,321.1346531341741,40.0665814303532,,,,,M5.5V,2015A&A...577A.128A,68.8433,0.0711,2018yCat.1345....0G,,,,13.9215,5.0E-4,2018yCat.1345....0G
Ross  188,307.85685882393955,38.562311630281386,,GJ   792,,,M5V,2014AJ....147...20N,68.7044,0.394,2018yCat.1345....0G,13.48,,2004AJ....128..463R,12.1475,3.0E-4,2018yCat.1345....0G
LP  624-54,243.6049920469952,-2.8502103905191998,,,,,M5.0V,2012AJ....144...99D,68.7005,0.1283,2018yCat.1345....0G,,,,15.2494,7.0E-4,2018yCat.1345....0G
G   7-34,64.3272221133245,8.8227818991376,,GJ  3270,,,M5V,2014AJ....147...20N,68.5538,0.0751,2018yCat.1345....0G,13.84,0.02,2014AJ....147...85R,12.2491,7.0E-4,2018yCat.1345....0G
