recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
1220,"HD 85472  ",48537,0.798,0.16,4.304,-5.034,2.72,,7.23,K,HD 85472,148.49148,57.6837
1294,"HD 91275  ",51721,0.698,0.178,3.09,-4.914,0.0,29,5.02,K,HD 91275,158.52109,65.00563
1385,"HD 97854  ",55076,0.611,0.15,2.608,-5.046,0.86,,7.47,K,HD 97854,169.13693,69.21795
1026,"HD 65626  ",39348,0.649,0.32,4.887,-4.475,3.34,8,0.51,L,HD 65626,120.6491,57.27363
962,"HD 57813  ",36129,0.845,0.172,2.288,-5.003,0.3,,6.66,K,HD 57813,111.62985,60.54548
1055,"HD 68988  ",40687,0.62,0.159,2.761,-4.987,0.23,22,6.35,K,HD 68988,124.59239,61.46072
1094,"HD 72905  ",42438,0.58,0.407,7.066,-4.294,-0.5,2,0.13,K,HD 72905,129.79877,65.02091
992,"HD 61994  ",38018,0.667,0.277,4.796,-4.577,0.08,13,0.99,K,HD 61994,116.87743,70.20667
1039,"HD 66751  ",40015,0.567,0.2,3.489,-4.757,0.04,11,2.64,K,HD 66751,122.58529,69.72508
823,"HD 43296  ",30152,0.595,0.158,2.743,-4.988,0.5,19,6.38,K,HD 43296,95.17287,66.62911
797,"HD 40647  ",28902,0.76,0.414,3.488,-4.418,-0.3,9,0.34,K,HD 40647,91.52383,69.47613
812,"HD 42250  ",29761,0.77,0.158,2.237,-5.036,0.12,,7.27,K,HD 42250,94.01116,70.78157
676,"HIP 31546 ",31546,0.771,0.324,3.047,-4.563,0.06,17,0.91,K,HIP 31546,99.05014,74.93688
907,"HD 51067A ",,0.594,0.204,3.538,-4.755,1.11,13,2.61,K,WDS J07041+7514A,106.01638,75.22753
908,"HD 51067B ",,0.75,0.338,3.114,-4.521,,14,0.69,K,HD 51067B,106.02357,75.23052
838,"HD 45161  ",31473,0.687,0.271,4.702,-4.603,0.02,15,1.16,K,HD 45161,98.88981,76.86636
1030,"HD 66171  ",39822,0.62,0.166,2.87,-4.948,-0.2,21,5.63,K,HD 66171,122.04393,71.92443
1142,"HD 76974  ",44610,0.727,0.331,3.079,-4.513,0.13,13,0.66,K,HD 76974,136.34013,74.69674
1072,"HD 71067  ",41892,0.61,0.279,4.829,-4.538,0.0,8,0.78,K,HD 71067,128.13584,75.73885
1137,"HD 76539  ",44463,0.69,0.157,2.722,-5.024,0.81,,7.06,K,HD 76539,135.87497,76.39768
997,"HD 62613  ",38784,0.73,0.182,2.347,-4.91,-0.1,32,4.95,K,HD 62613,119.07178,80.26554
948,"HD 56322  ",38225,0.601,0.312,5.414,-4.461,0.0,6,0.46,K,HD 56322,117.47264,86.36528
1774,"HD 133233 ",73652,0.661,0.196,4.405,-4.819,4.16,21,3.47,K,HD 133233,225.8352,4.83413
1769,"HD 132425 ",73314,0.834,0.291,2.877,-4.678,0.35,26,1.78,K,HD 132425,224.73061,6.60485
