recno,Name,HIP,B-V,SHK,Jitter,logRHK,dMag,Prot,Age,Obs,SimbadName,_RA,_DE
2243,"HD 190067 ",98677,0.71,0.174,2.305,-4.938,-0.5,31,5.46,K,HD 190067,300.64232,15.59207
2261,"HD 191785 ",99452,0.84,0.162,2.243,-5.04,0.1,,7.36,K,HD 191785,302.77531,16.188
2628,"HD 355183 ",99702,0.556,0.158,2.772,-4.97,0.0,14,6.04,K,HD 355183,303.47799,16.9249
2307,"HD 197076 ",102040,0.63,0.181,3.126,-4.872,-0.1,20,4.3,K,HD 197076,310.18808,19.93554
2289,"HD 195019 ",100970,0.64,0.16,2.772,-4.988,0.68,25,6.38,K,HD 195019,307.07765,18.76949
2287,"HD 194913 ",100906,0.705,0.167,4.303,-4.973,2.01,32,6.09,K,HD 194913,306.89172,19.61819
2279,"HD 194035 ",100500,0.69,0.154,2.675,-5.041,1.33,,7.38,L,HD 194035,305.68756,19.85
2291,"HD 195034 ",100963,0.6,0.227,3.938,-4.675,-0.3,12,1.74,K,HD 195034,307.04923,22.12899
2215,"HD 186932 ",97317,0.608,0.153,2.659,-5.024,1.21,,7.06,K,HD 186932,296.65759,17.80293
2248,"HD 190406 ",98819,0.61,0.183,3.171,-4.852,0.0,17,3.99,K,HD 190406,301.02593,17.07017
2230,"HD 188345 ",97918,0.628,0.162,2.813,-4.97,0.95,23,6.04,K,HD 188345,298.49877,20.0096
2247,"HD 190404 ",98792,0.82,0.163,2.253,-5.03,-0.5,,7.17,K,HD 190404,300.9672,23.34068
2277,"HD 193795 ",100363,0.64,0.157,2.719,-5.008,0.49,,6.74,K,HD 193795,305.31346,28.10684
2319,"HD 198483 ",102815,0.602,0.235,4.071,-4.651,0.37,11,1.53,K,HD 198483,312.44358,25.77091
2333,"HD 199598 ",103455,0.62,0.211,3.663,-4.738,0.27,15,2.4,L,HD 199598,314.41532,26.40508
2365,"HD 203030 ",105232,0.759,0.515,3.984,-4.304,0.07,3,0.14,K,HD 203030,319.74258,26.23054
2367,"HD 203471 ",105455,0.74,0.328,4.942,-4.529,2.9,14,0.73,K,HD 203471,320.3933,28.56468
2355,"HD 202108 ",104733,0.617,0.216,3.743,-4.72,-0.5,15,2.2,L,HD 202108,318.24015,30.80951
2366,"HD 203358 ",105390,0.802,0.176,4.368,-4.964,3.55,40,5.94,L,HD 203358,320.20856,32.45222
2627,"HD 335129 ",102556,0.724,0.166,2.27,-4.981,1.07,35,6.25,K,HD 335129,311.75337,30.92191
2472,"HD 215274 ",112219,0.703,0.298,2.913,-4.557,0.39,14,0.87,K,HD 215274,340.91861,30.09251
2466,"HD 214823 ",111928,0.631,0.149,4.212,-5.065,1.55,,7.81,K,HD 214823,340.08279,31.78759
1589,HIP 113207,113207,0.743,0.17,2.29,-4.97,1.43,36,6.05,K,HIP 113207,343.87882,31.55422
1522,HIP 108388,108388,0.685,0.253,4.375,-4.649,0.3,17,1.51,K,HIP 108388,329.37824,28.93706
2434,"HD 210667 ",109527,0.82,0.338,3.113,-4.583,0.3,21,1.03,L,HD 210667,332.79964,36.25633
2445,"HD 212585 ",110626,0.678,0.352,6.098,-4.439,0.23,8,0.4,K,HD 212585,336.15775,39.43075
2527,"HD 219538 ",114886,0.88,0.242,2.6,-4.822,0.0,37,3.53,K,HD 219538,349.07566,30.67021
2504,"HD 217618 ",113695,0.68,0.151,2.623,-5.057,0.76,,7.67,L,HD 217618,345.40373,36.98533
2516,"HD 218354 ",114133,0.704,0.176,2.314,-4.926,1.07,30,5.24,K,HD 218354,346.72372,38.24356
2569,"HD 222986 ",117184,0.684,0.354,6.123,-4.441,0.48,8,0.4,K,HD 222986,356.39592,40.4435
2587,"HD 224601 ",118263,0.541,0.156,2.729,-4.984,0.51,13,6.29,K,HD 224601,359.81011,43.8635
2482,"HD 216191 ",112768,0.859,0.197,2.401,-4.925,0.22,42,5.22,K,HD 216191,342.55943,36.70411
2520,"HD 218868 ",114456,0.75,0.203,2.452,-4.84,0.26,30,3.79,K,HD 218868,347.70866,45.51227
2537,"HD 220182 ",115331,0.801,0.602,4.409,-4.269,0.01,5,0.1,K,HD 220182,350.40214,44.09788
2562,"HD 222143 ",116613,0.66,0.3,5.197,-4.521,0.09,11,0.7,L,HD 222143,354.4937,46.19943
1600,HIP 114587,114587,0.732,0.159,2.237,-5.021,0.49,,7.0,K,HIP 114587,348.20469,47.44886
1518,HIP 108056,108056,0.58,0.271,4.709,-4.541,0.29,7,0.79,K,HIP 108056,328.39496,35.84844
2375,"HD 205351 ",106473,0.644,0.168,2.906,-4.943,0.58,24,5.55,K,HD 205351,323.47638,32.86919
2428,"HD 210323 ",109310,0.634,0.247,4.282,-4.631,-0.1,13,1.37,K,HD 210323,332.19072,39.42472
2400,"HD 207992 ",107958,0.72,0.154,2.211,-5.047,0.0,,7.49,K,HD 207992,328.08193,39.80173
2398,"HD 207966 ",107920,0.798,0.189,2.385,-4.916,0.15,38,5.06,K,HD 207966,327.97054,42.34388
2415,"HD 209393 ",108774,0.66,0.383,6.629,-4.378,-0.4,5,0.25,K,HD 209393,330.52246,44.34317
1495,HIP 105904,105904,0.663,0.162,2.806,-4.984,1.47,28,6.3,K,HIP 105904,321.73509,39.65876
2356,"HD 202403 ",104844,0.796,0.27,4.732,-4.687,4.98,26,1.86,L,HD 202403,318.57862,41.14678
2372,"HD 204814 ",106122,0.759,0.174,2.311,-4.958,-0.1,37,5.82,K,HD 204814,322.44507,45.89449
2431,"HD 210404 ",109338,0.804,0.343,5.018,-4.56,3.52,19,0.9,L,HD 210404,332.25594,48.51881
2395,"HD 207839 ",107822,0.777,0.223,2.553,-4.792,0.4,30,3.09,K,HD 207839,327.65456,49.43779
2411,"HD 209203 ",108602,0.553,0.235,4.093,-4.629,0.0,7,1.35,K,HD 209203,330.0094,54.10756
2456,"HD 213519 ",111148,0.6,0.153,2.665,-5.021,0.0,,6.99,K,HD 213519,337.77385,45.1451
2492,"HD 216783 ",113177,0.612,0.17,2.949,-4.919,1.18,20,5.12,K,HD 216783,343.76662,49.47331
2481,"HD 216175 ",112745,0.586,0.215,3.734,-4.709,0.26,11,2.09,K,HD 216175,342.48789,50.01669
2478,"HD 215704 ",112426,0.803,0.233,2.603,-4.781,0.18,31,2.95,K,HD 215704,341.5849,50.20997
2484,"HD 216275 ",112812,0.6,0.199,3.458,-4.775,-0.1,14,2.87,K,HD 216275,342.6931,52.06144
2525,"HD 219428 ",114796,0.609,0.3,5.198,-4.491,0.18,7,0.57,K,HD 219428,348.80574,52.35193
2530,"HD 219623 ",114924,0.556,0.155,2.716,-4.993,0.13,15,6.47,K,HD 219623,349.17626,53.21347
2544,"HD 220908 ",115761,0.566,0.185,3.234,-4.822,1.0,12,3.52,K,HD 220908,351.79181,54.86625
2485,"HD 216320 ",112829,0.817,0.283,2.843,-4.679,0.31,26,1.78,K,HD 216320,342.74594,54.14235
2422,"HD 210144 ",109162,0.788,0.18,2.345,-4.943,0.28,39,5.54,K,HD 210144,331.67417,53.13065
2548,"HD 221354 ",116085,0.83,0.155,2.215,-5.066,0.22,,7.84,K,HD 221354,352.84253,59.16552
2507,"HD 217850 ",113789,0.791,0.157,2.231,-5.048,1.03,,7.5,K,HD 217850,345.65276,58.87593
2200,"HD 184385 ",96183,0.7,0.328,3.056,-4.498,-0.2,11,0.6,L,HD 184385,293.35647,21.84033
2187,"HD 182619 ",95428,0.718,0.156,2.22,-5.035,0.01,,7.25,K,HD 182619,291.17447,22.20153
2219,"HD 187237 ",97420,0.63,0.208,3.601,-4.756,-0.1,16,2.62,K,HD 187237,297.00367,27.86953
2226,"HD 188015 ",97769,0.7,0.168,2.91,-4.967,0.48,32,5.98,K,HD 188015,298.01893,28.10038
2245,"HD 190228 ",98714,0.757,0.17,4.331,-4.974,2.09,38,6.12,K,HD 190228,300.75322,28.30686
2237,"HD 189087 ",98192,0.797,0.329,3.071,-4.577,-0.2,19,1.0,K,HD 189087,299.30591,29.82401
2203,"HD 185269 ",96507,0.606,0.146,2.539,-5.077,1.21,,8.03,K,HD 185269,294.29892,28.49986
2220,"HD 187460 ",97501,0.895,0.868,7.089,-4.209,4.14,5,0.06,K,HD 187460,297.26244,29.88285
2148,"HD 176377 ",93185,0.59,0.18,3.126,-4.859,-0.5,15,4.09,K,HD 176377,284.71251,30.18064
2162,HD 178911B,94075,0.73,0.184,2.359,-4.9,0.64,32,4.78,K,HD 178911B,287.26291,34.59986
2195,"HD 183650 ",95821,0.71,0.15,2.187,-5.074,1.0,,7.98,K,HD 183650,292.33935,31.60865
2185,"HD 182488 ",95319,0.787,0.164,2.262,-5.015,0.18,,6.89,K,HD 182488,290.89172,33.22196
2208,"HD 185501 ",96576,0.719,0.239,2.625,-4.708,0.24,22,2.07,K,HD 185501,294.49676,33.89327
2218,"HD 187123 ",97336,0.61,0.157,2.723,-4.999,0.07,22,6.59,K,HD 187123,296.74214,34.41952
2263,"HD 192020 ",98589,0.85,0.486,3.823,-4.429,0.63,11,0.37,K,HD 192020,302.85465,38.40014
2252,"HD 190771 ",98921,0.65,0.345,5.97,-4.431,0.0,7,0.37,L,HD 190771,301.29076,38.47846
2305,"HD 196850 ",101875,0.59,0.161,2.802,-4.965,-0.2,18,5.95,K,HD 196850,309.66746,38.63509
1452,HIP 103269,103269,0.62,0.173,2.999,-4.906,-1.4,20,4.88,K,HIP 103269,313.81982,42.30019
2296,"HD 195987 ",101382,0.796,0.174,2.313,-4.973,0.3,41,6.09,K,HD 195987,308.21518,41.89848
2258,"HD 191394 ",99170,0.7,0.168,4.307,-4.965,4.47,30,5.94,L,HD 191394,302.00483,42.38501
1363,"HIP 96561 ",96561,0.845,0.3,2.916,-4.672,0.13,26,1.71,K,HIP 96561,294.46555,43.62544
1409,HIP 100040,100040,0.78,0.151,4.263,-5.077,1.86,,8.04,K,HIP 100040,304.43926,46.43612
2255,"HD 191022 ",98978,0.61,0.147,2.552,-5.071,0.58,,7.93,L,HD 191022,301.41847,48.56681
2135,"HD 174622 ",92395,0.602,0.177,3.076,-4.877,1.38,17,4.39,K,HD 174622,282.43183,36.67641
2104,"HD 170003 ",90325,0.859,0.297,4.851,-4.691,3.77,28,1.9,K,HD 170003,276.44707,35.34274
2141,"HD 175425 ",92720,0.669,0.185,3.202,-4.869,0.62,24,4.25,K,HD 175425,283.4088,37.98525
2138,"HD 174912 ",92532,0.54,0.176,3.073,-4.861,-0.6,11,4.13,L,HD 174912,282.85491,38.62657
2137,"HD 174809 ",92468,0.708,0.194,4.412,-4.848,4.73,27,3.93,K,HD 174809,282.66683,39.34017
2152,"HD 176845 ",93318,0.528,0.208,4.415,-4.712,1.76,7,2.12,K,HD 176845,285.10633,39.33771
2182,"HD 181878 ",95056,0.799,0.37,5.121,-4.515,5.53,16,0.67,L,HD 181878,290.11294,39.9262
1317,"HIP 92922 ",92922,0.791,0.167,2.277,-5.003,1.48,,6.65,K,HIP 92922,283.9784,41.52181
2155,"HD 177153 ",93427,0.51,0.158,2.749,-4.962,-0.2,9,5.9,L,HD 177153,285.41532,41.49009
2112,"HD 170778 ",90586,0.57,0.323,5.614,-4.425,-0.3,4,0.36,L,HD 170778,277.26638,43.93929
2090,"HD 167389 ",89282,0.57,0.262,4.564,-4.558,-0.4,7,0.88,K,HD 167389,273.28011,41.47536
2092,"HD 168009 ",89474,0.604,0.156,2.714,-5.001,0.0,,6.63,K,HD 168009,273.88527,45.20932
2129,"HD 173701 ",91949,0.85,0.19,2.373,-4.941,0.58,43,5.51,K,HD 173701,281.14633,43.83328
2194,"HD 183473 ",95703,0.724,0.173,4.331,-4.951,2.28,34,5.68,K,HD 183473,291.9885,42.77664
2169,"HD 179957 ",94336,0.65,0.175,3.025,-4.909,0.02,24,4.94,K,HD 179957,288.0195,49.85389
2170,"HD 179958 ",88194,0.635,0.172,2.974,-4.919,0.0,22,5.11,K,HD 179958,288.02096,49.85576
2212,"HD 186408 ",96895,0.64,0.15,2.593,-5.058,0.41,,7.68,K,HD 186408,295.45397,50.52506
2213,"HD 186427 ",96901,0.66,0.152,2.634,-5.046,0.25,,7.47,K,HD 186427,295.46655,50.51752
2192,"HD 183298 ",95568,0.593,0.158,2.746,-4.987,0.9,19,6.35,K,HD 183298,291.59205,50.98731
2207,"HD 185414 ",96395,0.636,0.181,3.139,-4.871,-0.1,21,4.28,K,HD 185414,293.98172,56.9839
2172,"HD 180161 ",94346,0.804,0.398,3.41,-4.481,0.15,14,0.53,K,HD 180161,288.04732,57.67198
2139,"HD 175225 ",92549,0.843,0.173,4.363,-4.999,2.46,44,6.59,L,HD 175225,282.89558,52.97512
2085,"HD 166494 ",88790,0.73,0.209,4.476,-4.806,2.93,27,3.29,K,HD 166494,271.8726,56.8019
2156,"HD 177274 ",93297,0.589,0.152,2.643,-5.028,0.78,,7.14,K,HD 177274,285.05188,61.42331
2142,"HD 175441 ",92555,0.595,0.157,2.73,-4.993,0.88,20,6.48,K,HD 175441,282.90877,60.43411
2326,"HD 199178 ",103144,0.785,0.935,7.321,-4.04,3.21,2,0.01,K,HD 199178,313.47355,44.38641
2336,"HD 200019 ",103579,0.83,0.246,4.648,-4.769,5.11,32,2.79,L,HD 200019,314.79932,44.79049
2353,"HD 201924 ",104587,0.78,0.175,2.316,-4.963,0.16,40,5.91,K,HD 201924,317.79523,45.45591
2373,"HD 205113 ",106230,0.681,0.305,4.837,-4.526,1.59,12,0.72,L,HD 205113,322.75564,59.41817
2360,"HD 202582 ",104788,0.625,0.167,2.891,-4.942,1.33,21,5.53,L,HD 202582,318.42701,64.40395
2418,"HD 209706 ",108921,0.568,0.182,3.178,-4.838,0.65,13,3.77,K,HD 209706,330.95048,55.84922
2414,"HD 209340 ",108689,0.626,0.178,3.077,-4.884,0.98,20,4.51,K,HD 209340,330.26459,55.99869
2437,"HD 210855 ",109572,0.55,0.159,4.23,-4.965,1.74,13,5.96,L,HD 210855,332.9532,56.83936
2442,"HD 211810 ",110094,0.732,0.15,2.189,-5.079,0.63,,8.07,K,HD 211810,334.52725,61.13444
1506,HIP 106924,106924,0.63,0.184,3.181,-4.857,-1.5,20,4.06,K,HIP 106924,324.81729,60.28383
2421,"HD 210011 ",109029,0.826,0.272,4.748,-4.708,5.14,28,2.07,K,HD 210011,331.30786,63.57842
2486,"HD 216380 ",112864,0.775,0.278,4.756,-4.654,4.14,23,1.56,L,HD 216380,342.84429,61.69674
2487,"HD 216425 ",112876,0.759,0.274,4.737,-4.65,3.38,22,1.52,L,HD 216425,342.87278,62.97218
2491,"HD 216772 ",113114,0.579,0.181,3.159,-4.847,0.53,14,3.9,K,HD 216772,343.5974,64.11512
2473,"HD 215500 ",112245,0.719,0.189,2.379,-4.876,-0.2,30,4.37,K,HD 215500,341.02428,64.57067
2513,"HD 218209 ",113989,0.65,0.185,3.202,-4.86,-0.3,22,4.1,K,HD 218209,346.27538,68.41706
2392,"HD 207485 ",107457,0.727,0.363,3.236,-4.46,0.15,10,0.46,K,HD 207485,326.46932,70.34806
2502,"HD 217523 ",113517,0.554,0.178,3.114,-4.853,0.17,12,4.0,K,HD 217523,344.85568,72.71209
2512,"HD 218168 ",113905,0.58,0.309,5.376,-4.456,-0.3,5,0.45,K,HD 218168,346.00915,74.47742
2214,"HD 186760 ",97033,0.59,0.166,2.881,-4.937,1.38,17,5.43,L,HD 186760,295.81008,58.01662
2222,"HD 187748 ",97438,0.592,0.289,5.014,-4.505,0.04,7,0.63,K,HD 187748,297.06437,59.4229
2159,"HD 178156 ",93571,0.657,0.286,4.754,-4.551,2.98,12,0.84,L,HD 178156,285.86996,62.09448
2083,"HD 166379 ",88583,0.709,0.235,4.569,-4.714,5.02,22,2.13,L,HD 166379,271.29662,66.94553
2202,"HD 185144 ",96100,0.77,0.21,2.491,-4.826,-0.3,31,3.58,K,HD 185144,293.08996,69.66118
2183,"HD 182189 ",94802,0.729,0.149,2.187,-5.081,1.15,,8.1,K,HD 182189,289.34296,71.34702
2351,"HD 201651 ",104225,0.766,0.174,2.313,-4.959,-0.1,38,5.85,K,HD 201651,316.73495,69.67459
2323,"HD 199019 ",102791,0.74,0.514,3.978,-4.286,-0.1,5,0.12,K,HD 199019,312.37225,71.77479
2331,"HD 199476 ",102970,0.71,0.175,2.309,-4.935,-0.2,31,5.4,K,HD 199476,312.93727,74.78033
2524,"HD 219396 ",114546,0.699,0.181,3.135,-4.903,1.17,29,4.83,K,HD 219396,348.03978,82.39461
2489,"HD 216520 ",112527,0.86,0.197,2.403,-4.923,0.0,42,5.19,K,HD 216520,341.88285,83.69703
2397,"HD 207897 ",107038,0.868,0.224,2.524,-4.856,0.0,38,4.05,K,HD 207897,325.18661,84.33349
2441,"HD 211681 ",109169,0.7,0.189,3.287,-4.865,1.25,27,4.19,K,HD 211681,331.70444,85.40937
2563,"HD 222335 ",116763,0.802,0.216,2.52,-4.828,-0.1,33,3.6,K,HD 222335,354.96377,-32.74341
2593,"HD 225118 ",296,0.76,0.459,3.707,-4.364,0.18,6,0.22,K,HD 225118,0.92285,-28.39619
22,"HD 283    ",616,0.8,0.194,2.41,-4.898,-0.4,37,4.75,K,HD 283,1.88559,-23.81872
2590,"HD 224693 ",118319,0.639,0.147,2.538,-5.082,1.35,,8.12,K,HD 224693,359.9743,-22.42811
2588,"HD 224619 ",118278,0.74,0.163,2.257,-5.003,0.0,,6.65,K,HD 224619,359.86847,-20.03471
141,"HD 4208   ",3479,0.67,0.189,3.275,-4.851,-0.2,24,3.96,K,HD 4208,11.11105,-26.51568
120,"HD 3404   ",2902,0.824,0.158,4.303,-5.051,2.16,,7.55,K,HD 3404,9.19505,-24.50094
133,"HD 3795   ",3185,0.7,0.177,2.317,-4.921,1.23,30,5.15,K,HD 3795,10.1367,-23.80488
155,"HD 4747   ",3850,0.77,0.246,2.664,-4.725,-0.2,26,2.26,K,HD 4747,12.36152,-23.21248
189,"HD 6628   ",5227,0.856,1.184,8.312,-4.016,3.79,2,0.0,K,HD 6628,16.70428,-22.8559
78,"HD 1205   ",1306,0.64,0.149,2.576,-5.065,1.12,,7.82,K,HD 1205,4.09774,-22.58802
93,"HD 1666   ",1666,0.523,0.15,2.634,-5.018,1.01,,6.94,K,HD 1666,5.21808,-19.93122
109,"HD 2946   ",2567,0.749,0.279,4.754,-4.631,3.19,20,1.37,K,HD 2946,8.14629,-18.10912
143,"HD 4307   ",3559,0.61,0.146,2.533,-5.08,0.9,,8.09,K,HD 4307,11.36953,-12.88081
146,"HD 4395   ",3610,0.73,0.168,4.316,-4.974,2.78,35,6.11,K,HD 4395,11.55729,-11.45238
2550,"HD 221504 ",116217,0.859,0.217,4.543,-4.865,3.19,39,4.19,K,HD 221504,353.21108,-21.68769
2476,"HD 215625 ",112462,0.534,0.153,2.678,-5.003,-0.2,,6.66,K,HD 215625,341.70938,-20.79056
2517,"HD 218445 ",114244,0.706,0.168,2.273,-4.969,1.14,32,6.02,K,HD 218445,347.06622,-17.05938
2534,HD 219834B,115126,0.88,0.176,2.278,-5.007,0.13,,6.74,K,HD 219834B,349.77656,-13.455
2574,"HD 223315 ",117427,0.75,0.222,2.544,-4.778,0.24,27,2.91,K,HD 223315,357.15386,-15.21063
86,"HD 1388   ",1444,0.59,0.161,2.803,-4.965,0.0,18,5.94,K,HD 1388,4.49529,-13.45564
98,"HD 1835   ",544,0.67,0.319,5.523,-4.491,0.07,10,0.57,K,HD 1835,5.71579,-12.20944
88,"HD 1461   ",1499,0.68,0.159,2.755,-5.008,0.36,,6.76,K,HD 1461,4.67445,-8.053
2585,"HD 224383 ",118115,0.63,0.156,2.707,-5.009,0.17,,6.78,K,HD 224383,359.38967,-9.64752
2540,"HD 220339 ",115445,0.889,0.227,2.517,-4.865,-0.2,40,4.2,K,HD 220339,350.7704,-10.76424
2547,"HD 221149 ",115958,0.673,0.162,4.277,-4.987,1.83,29,6.36,K,HD 221149,352.40144,-6.83575
2551,"HD 221561 ",116242,0.536,0.15,2.629,-5.025,0.78,,7.08,K,HD 221561,353.30022,-6.40059
2567,"HD 222582 ",116906,0.6,0.169,2.93,-4.922,-0.1,18,5.17,K,HD 222582,355.46471,-5.98576
2586,"HD 224449 ",118156,0.723,0.229,2.578,-4.738,0.24,23,2.41,K,HD 224449,359.51179,-1.98003
2589,"HD 224679 ",118312,0.724,0.285,4.769,-4.6,2.6,17,1.14,K,HD 224679,359.95463,-2.11261
295,"HD 10700  ",8102,0.72,0.167,2.273,-4.976,-0.4,34,6.15,K,HD 10700,26.01701,-15.93748
264,"HD 9782   ",7404,0.6,0.18,3.13,-4.861,0.11,17,4.12,K,HD 9782,23.85962,-13.38103
226,"HD 8446   ",6497,0.62,0.156,2.705,-5.008,0.79,,6.75,K,HD 8446,20.85829,-14.20692
224,"HD 8389   ",6456,0.9,0.175,2.246,-5.024,0.72,,7.05,K,HD 8389,20.76099,-12.96607
318,"HD 11731  ",8923,0.638,0.162,2.803,-4.976,0.78,24,6.16,K,HD 11731,28.72517,-11.51133
307,"HD 11131  ",8486,0.654,0.299,5.171,-4.521,0.0,10,0.69,K,HD 11131,27.34732,-10.70357
310,"HD 11226  ",8548,0.6,0.148,2.569,-5.062,0.56,,7.77,L,HD 11226,27.56437,-6.70409
177,"HIP 5938  ",5938,0.73,0.545,4.126,-4.247,-0.1,4,0.08,K,HIP 5938,19.10082,-12.097
184,"HIP 6276  ",6276,0.75,0.526,4.038,-4.284,-0.3,5,0.12,K,HIP 6276,20.13445,-11.46771
157,"HD 4813   ",3909,0.514,0.174,3.029,-4.865,-0.3,9,4.19,K,HD 4813,12.53162,-10.64433
260,"HD 9562   ",7276,0.603,0.149,2.593,-5.052,1.08,,7.58,K,HD 9562,23.42848,-7.02534
261,"HD 9562   ",7276,0.603,0.149,2.593,-5.052,1.08,,7.58,K,HD 9562,23.42848,-7.02534
271,"HD 10008  ",7576,0.797,0.436,3.595,-4.427,-0.1,10,0.36,K,HD 10008,24.39778,-6.76043
285,"HD 10353  ",7852,0.699,0.358,6.208,-4.446,0.17,9,0.41,K,HD 10353,25.24487,-5.40363
300,"HD 10823  ",8227,0.863,0.279,4.783,-4.729,3.38,30,2.3,K,HD 10823,26.49044,-4.22867
234,"HD 8765   ",6712,0.69,0.189,3.271,-4.863,1.26,26,4.16,K,HD 8765,21.58003,-4.67411
367,"HD 13999  ",10561,0.614,0.15,2.595,-5.052,0.72,,7.58,K,HD 13999,33.9896,-4.09513
369,"HD 14223  ",,0.51,0.144,2.52,-5.065,,,7.81,K,HD 14223,34.4778,-2.78425
359,"HD 13612B ",10305,0.68,0.166,2.874,-4.969,0.55,29,6.02,K,HD 13612B,33.19438,-2.39635
290,"HIP 10449 ",10449,0.57,0.18,3.138,-4.85,-0.8,13,3.96,K,HIP 10449,33.66791,-1.20142
394,"HD 16141  ",12048,0.71,0.151,2.194,-5.064,1.15,,7.8,K,HD 16141,38.83303,-3.56061
370,"HD 14374  ",10818,0.75,0.272,2.791,-4.648,-0.1,21,1.5,K,HD 14374,34.81682,-0.77984
315,"HD 11505  ",8798,0.63,0.161,2.785,-4.98,0.11,22,6.23,L,HD 11505,28.27583,-1.32694
341,"HD 13043  ",9911,0.62,0.159,2.757,-4.988,0.57,23,6.38,K,HD 13043,31.8928,-0.61742
329,"HD 12165  ",9299,0.645,0.173,3.0,-4.915,0.71,23,5.03,K,HD 12165,29.86602,-0.25303
330,"HD 12235  ",3979,0.6,0.156,2.711,-5.002,1.04,,6.64,K,HD 12235,30.03816,3.09701
372,"HD 14651  ",11028,0.72,0.169,2.281,-4.968,0.0,34,6.0,K,HD 14651,35.50355,4.74676
333,"HD 12484  ",9519,0.649,0.417,7.218,-4.322,0.0,3,0.16,K,HD 12484,30.61137,2.81586
344,"HD 13345  ",,0.51,0.147,2.559,-5.045,,,7.45,K,HD 13345,32.63499,6.09882
349,"HD 13421  ",10212,0.569,0.142,4.171,-5.098,1.77,,8.41,L,HD 13421,32.83783,8.5698
132,"HD 3770   ",3169,0.51,0.165,2.882,-4.912,0.28,9,4.99,L,HD 3770,10.10173,-7.65666
134,"HD 3821   ",3203,0.61,0.27,4.677,-4.559,-0.4,9,0.89,L,HD 3821,10.19784,-7.2326
160,"HD 4915   ",3979,0.64,0.189,3.267,-4.838,-0.5,20,3.77,K,HD 4915,12.7952,-5.03928
115,"HD 3125   ",2713,0.732,0.229,4.555,-4.744,3.27,25,2.47,L,HD 3125,8.62418,-4.54653
207,"HD 7727   ",5985,0.56,0.166,2.895,-4.926,0.05,14,5.23,L,HD 7727,19.24586,-2.27916
188,"HD 6558   ",5189,0.55,0.163,2.846,-4.941,0.27,13,5.5,K,HD 6558,16.60717,-0.74945
214,"HD 8036   ",6226,0.635,0.245,4.591,-4.638,4.23,13,1.42,L,HD 8036,19.95123,-0.50903
236,"HD 8828   ",6762,0.74,0.166,2.268,-4.991,-0.2,37,6.43,K,HD 8828,21.75644,-0.15759
79,"HD 1293   ",1365,0.787,0.161,4.302,-5.029,2.89,,7.15,K,HD 1293,4.27312,-1.65301
152,"HD 4628   ",3765,0.88,0.184,2.318,-4.979,-0.3,47,6.22,K,HD 4628,12.09574,5.28061
104,"HD 2331   ",2156,0.611,0.16,2.776,-4.979,0.16,21,6.21,K,HD 2331,6.80793,5.63744
232,"HD 8648   ",6653,0.63,0.158,2.737,-4.998,0.24,24,6.56,K,HD 8648,21.33378,1.46086
311,"HD 11271  ",8587,0.54,0.153,2.684,-5.002,0.27,,6.64,K,HD 11271,27.71702,6.52853
317,"HD 11616  ",8872,0.653,0.171,4.307,-4.929,1.54,25,5.3,K,HD 11616,28.54993,9.95063
283,"HD 10336  ",7863,0.659,0.155,2.686,-5.026,0.51,,7.09,K,HD 10336,25.28991,7.58837
180,"HD 6019   ",4804,0.86,0.156,4.305,-5.073,4.22,,7.96,K,HD 6019,15.41506,7.30529
202,"HD 7047   ",5534,0.57,0.159,2.779,-4.97,0.03,15,6.05,L,HD 7047,17.72618,9.5639
178,"HD 5946   ",4752,0.762,0.173,2.306,-4.964,1.32,38,5.93,K,HD 5946,15.27306,8.76937
187,"HD 6512   ",5176,0.64,0.162,2.805,-4.976,0.0,25,6.16,K,HD 6512,16.55263,13.25275
269,"HD 9986   ",7585,0.612,0.176,3.049,-4.888,-0.1,19,4.58,K,HD 9986,24.42033,12.07838
217,"HD 8110   ",6289,0.84,0.388,5.204,-4.531,3.66,17,0.74,K,HD 8110,20.17126,15.69604
245,"HD 9081   ",6969,0.679,0.164,2.838,-4.98,1.45,30,6.23,K,HD 9081,22.42638,17.09897
2461,"HD 214572 ",111843,0.619,0.147,4.203,-5.073,1.85,,7.96,L,HD 214572,339.81678,-10.0278
2459,"HD 214448 ",111761,0.783,0.253,4.66,-4.718,5.09,27,2.17,L,HD 214448,339.59227,-7.89756
2494,"HD 216834 ",113279,0.854,0.158,4.31,-5.063,3.75,,7.78,K,HD 216834,344.08518,-6.54584
2424,"HD 210277 ",109378,0.71,0.152,2.199,-5.058,0.17,,7.69,K,HD 210277,332.37444,-7.54865
2436,"HD 210752 ",109646,0.52,0.173,3.016,-4.872,-0.6,9,4.3,L,HD 210752,333.18141,-6.46892
2457,"HD 213575 ",111274,0.63,0.145,2.504,-5.096,0.49,,8.37,L,HD 213575,338.14192,-6.46717
2469,"HD 215032 ",112100,0.614,0.225,3.905,-4.687,0.07,13,1.86,K,HD 215032,340.59153,-6.87113
2463,"HD 214722 ",111915,0.719,0.286,4.771,-4.594,3.06,17,1.1,L,HD 214722,340.05188,-6.53447
2453,"HD 213278 ",111102,0.843,0.158,4.307,-5.059,3.7,,7.7,K,HD 213278,337.6161,-4.81657
2430,"HD 210392 ",109428,0.65,0.145,2.504,-5.099,0.83,,8.44,K,HD 210392,332.54992,-4.92878
