main_id,ra,dec,hd,gj,hip,wds,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,v,v_err,v_bibcode,g,g_err,g_bibcode,i,i_err,i_bibcode,r,r_err,r_bibcode
CD-46 11540,262.16643983387496,-46.89519256840083,,GJ   674,HIP  85523,,M3V,2006A&A...460..695T,219.8012,0.0487,2018yCat.1345....0G,9.407,,2010MNRAS.403.1949K,8.3306,0.0012,2018yCat.1345....0G,7.006,,2010MNRAS.403.1949K,8.337,,2010MNRAS.403.1949K
HD 204961,323.3915624719433,-49.00900096443028,HD 204961,GJ   832,HIP 106440,,M2/3V,1978MSS...C02....0H,201.4073,0.0429,2018yCat.1345....0G,8.672,,2010MNRAS.403.1949K,7.7376,7.0E-4,2018yCat.1345....0G,6.479,,2010MNRAS.403.1949K,7.665,,2010MNRAS.403.1949K
CD-44 11909,264.26527384662245,-44.319213597945,,GJ   682,HIP  86214,,M3.5,2010MNRAS.403.1949K,199.7031,0.0832,2018yCat.1345....0G,10.946,,2010MNRAS.403.1949K,9.5702,0.0012,2018yCat.1345....0G,8.145,,2010MNRAS.403.1949K,9.729,,2010MNRAS.403.1949K
G  99-49,90.0145994200541,2.7065546607807,,GJ  3379,,,M3.5Ve,2015AJ....149..106D,192.0675,0.0715,2018yCat.1345....0G,11.31,0.05,2014AJ....147...85R,9.8966,0.001,2018yCat.1345....0G,8.43,0.03,2014AJ....147...85R,10.04,0.04,2014AJ....147...85R
G 254-29,176.9224520994615,78.6911609355406,,GJ   445,HIP  57544,,M4.0Ve,2013AJ....145..102L,190.2625,0.0475,2018yCat.1345....0G,10.84,0.06,2000A&A...355L..27H,9.5402,9.0E-4,2018yCat.1345....0G,9.2,,2003AJ....125..984M,10.0,,2003AJ....125..984M
LP  656-38,75.48927543738124,-6.9462144097502785,,GJ  3323,,,M4.0Ve,2015AJ....149..106D,186.0231,0.059,2018yCat.1345....0G,12.196,0.078,2012AcA....62...67K,10.6467,6.0E-4,2018yCat.1345....0G,9.175,0.025,2012AcA....62...67K,11.791,0.05,2012yCat.1322....0Z
HD 119850,206.432397720273,14.8915203320756,HD 119850,GJ   526,HIP  67155,,M2V,1989ApJS...71..245K,183.9836,0.0509,2018yCat.1345....0G,8.5,0.05,2009ApJ...694.1085V,7.6068,6.0E-4,2018yCat.1345....0G,6.363,,2010MNRAS.403.1949K,7.465,,2010MNRAS.403.1949K
HD 265866,103.7039904794401,33.2681773806413,HD 265866,GJ   251,HIP  33226,,M3V,1991ApJS...77..417K,179.1642,0.0632,2018yCat.1345....0G,10.11,0.04,2000A&A...355L..27H,8.8552,0.0011,2018yCat.1345....0G,8.4,,2003AJ....125..984M,9.65,0.02,2012yCat.1322....0Z
LP  816-60,313.1375696373591,-16.9747243787847,,,HIP 103039,,M4V,2006AJ....132..161G,178.1243,0.0849,2018yCat.1345....0G,11.458,,2010MNRAS.403.1949K,10.0716,8.0E-4,2018yCat.1345....0G,8.658,,2010MNRAS.403.1949K,10.251,,2010MNRAS.403.1949K
HD  42581,92.64423021257124,-21.864627228106944,HD  42581,GJ   229,HIP  29295,WDS J06106-2152A,M1V,1991ApJS...77..417K,173.6955,0.0457,2018yCat.1345....0G,8.125,,2010MNRAS.403.1949K,7.3072,6.0E-4,2018yCat.1345....0G,6.121,,2010MNRAS.403.1949K,7.164,,2010MNRAS.403.1949K
Ross   47,85.53861373557834,12.489336593388332,,GJ   213,HIP  26857,,M4V,1991ApJS...77..417K,172.7068,0.0788,2018yCat.1345....0G,11.509,0.001,1992AJ....104..340L,10.0991,0.0015,2018yCat.1345....0G,8.709,0.004,1992AJ....104..340L,10.298,0.003,1992AJ....104..340L
L  205-128,266.6426397888602,-57.319044461777096,,GJ   693,HIP  86990,,M3.5V,1983SAAOC...7..106W,169.8613,0.1184,2018yCat.1345....0G,10.783,,2010MNRAS.403.1949K,9.5811,0.001,2018yCat.1345....0G,8.243,,2010MNRAS.403.1949K,9.648,,2010MNRAS.403.1949K
V* BR Psc,357.3021880796959,2.4012230680252,,GJ   908,HIP 117473,,M1VFe-1,1989ApJS...71..245K,169.3585,0.0595,2018yCat.1345....0G,8.993,0.0012,2009AJ....137.4186L,8.1496,7.0E-4,2018yCat.1345....0G,6.946,0.0011,2009AJ....137.4186L,8.029,0.0012,2009AJ....137.4186L
CD-40  9712,233.0538859447236,-41.2755921052263,,GJ   588,HIP  76074,,M2.5V,1983SAAOC...7..106W,169.0074,0.058,2018yCat.1345....0G,9.311,,2010MNRAS.403.1949K,8.2705,7.0E-4,2018yCat.1345....0G,6.947,,2010MNRAS.403.1949K,8.265,,2010MNRAS.403.1949K
V* YZ CMi,116.1673859524798,3.5524660639781,,GJ   285,HIP  37766,,M4.0Ve,2015AJ....149..106D,167.0186,0.0592,2018yCat.1345....0G,11.225,,2010MNRAS.403.1949K,9.6807,0.001,2018yCat.1345....0G,8.263,,2010MNRAS.403.1949K,9.958,,2010MNRAS.403.1949K
HD 191849,303.4724849597812,-45.1640204056435,HD 191849,GJ   784,HIP  99701,,M0V,2006A&A...460..695T,162.3212,0.0495,2018yCat.1345....0G,7.966,,2010MNRAS.403.1949K,7.2352,7.0E-4,2018yCat.1345....0G,6.124,,2010MNRAS.403.1949K,7.053,,2010MNRAS.403.1949K
BD-11  3759,218.5700481670775,-12.5195603769259,,GJ   555,HIP  71253,,M3.5V,2015AJ....149..106D,160.1141,0.1135,2018yCat.1345....0G,11.317,,2010MNRAS.403.1949K,9.8788,0.0017,2018yCat.1345....0G,8.473,,2010MNRAS.403.1949K,10.093,,2010MNRAS.403.1949K
BD-07  4003,229.8617797234025,-7.722275266326667,,GJ   581,HIP  74995,,M3V,1986AJ.....92..139S,158.7492,0.0523,2018yCat.1345....0G,10.56,0.02,2012yCat.1322....0Z,9.411,0.0012,2018yCat.1345....0G,8.911,0.03,2005yCat.2263....0T,9.461,,2010MNRAS.403.1949K
G 202-48,246.35259712137585,54.304101597567495,,GJ   625,HIP  80459,,M1.5V,2015A&A...577A.128A,154.471,0.0273,2018yCat.1345....0G,10.17,0.04,2000A&A...355L..27H,9.137,9.0E-4,2018yCat.1345....0G,8.5,,2003AJ....125..984M,9.664,0.03,2012yCat.1322....0Z
L  100-115,145.6930918454209,-68.8850010734061,,GJ  1128,,,M4.0V,2014AJ....148...91L,153.7816,0.0554,2018yCat.1345....0G,12.78,,,11.1329,8.0E-4,2018yCat.1345....0G,9.61,,2008MNRAS.389..585C,11.35,,2008MNRAS.389..585C
L  471-42,189.70457636373334,-38.38157547071195,,GJ  3737,,,M4.0V,2006AJ....132.2360H,149.8423,0.0755,2018yCat.1345....0G,12.74,,,11.226,0.0012,2018yCat.1345....0G,,,,12.473,0.08,2012yCat.1322....0Z
Ross  104,165.0177373749286,22.8329574036433,,GJ   408,HIP  53767,,M4V,1986AJ.....92..139S,148.1283,0.0569,2018yCat.1345....0G,10.02,,2010MNRAS.403.1949K,8.9698,0.0011,2018yCat.1345....0G,7.646,,2010MNRAS.403.1949K,8.952,,2010MNRAS.403.1949K
HD 216899,344.1450197048956,16.5534315908747,HD 216899,GJ   880,HIP 113296,,M1.5Ve,2013AJ....145..102L,145.6107,0.0388,2018yCat.1345....0G,8.638,,2010MNRAS.403.1949K,7.7931,9.0E-4,2018yCat.1345....0G,6.542,,2010MNRAS.403.1949K,7.657,,2010MNRAS.403.1949K
Wolf  358,162.7167968336343,6.8081287728825,,GJ   402,HIP  53020,,M4V,1991ApJS...77..417K,143.4971,0.0626,2018yCat.1345....0G,11.675,0.003,1992AJ....104..340L,10.2785,8.0E-4,2018yCat.1345....0G,8.889,0.0021,2009AJ....137.4186L,10.459,0.003,1992AJ....104..340L
BD+01  2447,157.2314637543045,0.8410005049271,,GJ   393,HIP  51317,,M2.0Ve,2013AJ....145..102L,142.1885,0.0499,2018yCat.1345....0G,9.65,0.0027,2009AJ....137.4186L,8.6737,8.0E-4,2018yCat.1345....0G,7.389,0.0013,2009AJ....137.4186L,8.617,0.0027,2009AJ....137.4186L
HD 156384C,259.74511326836046,-34.99683692619001,HD 156384C,GJ   667 C,,WDS J17190-3459C,M1.5V,2002ApJ...564..466G,138.0171,0.0918,2018yCat.1345....0G,10.22,,1986EgUBV........0M,9.3803,7.0E-4,2018yCat.1345....0G,8.82,0.06,2005yCat.2263....0T,10.05,,2009yCat.1315....0Z
L  499-56,330.62239800000003,-37.08093100000001,,GJ  4248,,,M3.0V,2006AJ....132.2360H,134.29,1.31,2006AJ....132.2360H,,,,10.4563,6.0E-4,2018yCat.1345....0G,,,,11.42,0.05,2012yCat.1322....0Z
BD+11  2576,202.4991070353161,10.3771624506149,,GJ   514,HIP  65859,,M1.0Ve,2013AJ....145..102L,131.2428,0.0543,2018yCat.1345....0G,9.029,,2010MNRAS.403.1949K,8.2062,7.0E-4,2018yCat.1345....0G,7.013,,2010MNRAS.403.1949K,8.07,,2010MNRAS.403.1949K
V* VX Ari,41.064622574499,25.5233658414412,,GJ   109,HIP  12781,,M3V,2002AJ....123.2002H,130.187,0.0605,2018yCat.1345....0G,10.563,,2010MNRAS.403.1949K,9.4605,8.0E-4,2018yCat.1345....0G,8.115,,2010MNRAS.403.1949K,9.49,,2010MNRAS.403.1949K
V* AN Sex,153.0736184829422,-3.7456649564991,,GJ   382,HIP  49986,,M2V,1991ApJS...77..417K,129.7887,0.0838,2018yCat.1345....0G,9.264,0.033,2012AcA....62...67K,8.3313,0.0013,2018yCat.1345....0G,7.066,0.015,2012AcA....62...67K,8.258,,2010MNRAS.403.1949K
G 192-13,90.2960228415567,59.5971905180221,,GJ  3378,,,M4.0Ve,2013AJ....145..102L,129.4589,0.0799,2018yCat.1345....0G,11.71,,1995GCTP..C......0V,10.4084,7.0E-4,2018yCat.1345....0G,9.0,,2003AJ....125..984M,10.7,,2003AJ....125..984M
HD 165222,271.2815781443755,-3.0313203377846,HD 165222,GJ   701,HIP  88574,,M0V,2002AJ....123.2002H,129.3922,0.0613,2018yCat.1345....0G,9.36,,2010MNRAS.403.1949K,8.5167,7.0E-4,2018yCat.1345....0G,7.304,,2010MNRAS.403.1949K,8.385,,2010MNRAS.403.1949K
G 154-44,271.8868239655746,-15.963074116183888,,GJ  1224,,,M4.0Ve,2015AJ....149..106D,125.5872,0.0705,2018yCat.1345....0G,13.48,0.04,2014AJ....147...85R,11.878,8.0E-4,2018yCat.1345....0G,10.31,0.03,2014AJ....147...85R,12.08,0.02,2014AJ....147...85R
LP  399-68,190.1928731016858,-43.5663879864013,,"GJ  9415,GJ   480.1",HIP  61874,,M3V,2002AJ....123.2002H,124.2526,0.1039,2018yCat.1345....0G,12.239,,2010MNRAS.403.1949K,10.9788,0.0014,2018yCat.1345....0G,9.619,,2010MNRAS.403.1949K,11.075,,2010MNRAS.403.1949K
Wolf  437,191.9859372154997,9.7513977564889,,GJ   486,HIP  62452,,M3.5Ve,2013AJ....145..102L,123.8215,0.0623,2018yCat.1345....0G,11.395,,2010MNRAS.403.1949K,10.094,7.0E-4,2018yCat.1345....0G,8.707,,2010MNRAS.403.1949K,10.235,,2010MNRAS.403.1949K
G 262-15,307.6335229410969,65.449558362188,,GJ   793,HIP 101180,,M3V,1986AJ.....92..139S,123.7545,0.0219,2018yCat.1345....0G,10.68,0.06,2000A&A...355L..27H,9.4215,4.0E-4,2018yCat.1345....0G,9.5,,2003AJ....125..984M,10.124,0.01,2012yCat.1322....0Z
L  674-15,123.17036958601665,-21.551939548925,,GJ   300,,,M3.5V,2002AJ....123.2002H,123.2204,0.0667,2018yCat.1345....0G,12.131,0.01,2012yCat.1322....0Z,10.6654,7.0E-4,2018yCat.1345....0G,9.24,,2004AJ....128..463R,11.753,0.05,2012yCat.1322....0Z
BD+18  3421,264.4722780949373,18.5917113164897,,GJ   686,HIP  86287,,M1.5Ve,2013AJ....145..102L,122.5609,0.0346,2018yCat.1345....0G,9.577,,2010MNRAS.403.1949K,8.739,6.0E-4,2018yCat.1345....0G,7.525,,2010MNRAS.403.1949K,8.599,,2010MNRAS.403.1949K
G 227-29,275.61308900000006,62.05054199999999,,GJ  1227,,,M4.0V,2015A&A...577A.128A,121.5,2.2,1995GCTP..C......0V,13.4,,1995GCTP..C......0V,11.8207,8.0E-4,2018yCat.1345....0G,10.1,,2003AJ....125..984M,12.2,,2003AJ....125..984M
Ross  318,15.6343128610111,71.6798150826428,,GJ    48,HIP   4856,,M3.0Ve,2013AJ....145..102L,121.4237,0.0339,2018yCat.1345....0G,10.0,0.03,2000A&A...355L..27H,8.9334,6.0E-4,2018yCat.1345....0G,8.3,,2003AJ....125..984M,9.1,,2003AJ....125..984M
Ross   64,96.1720203706181,23.4330381489175,,GJ   232,,,M4V,1991ApJS...77..417K,117.741,0.0618,2018yCat.1345....0G,13.103,0.06,2012yCat.1322....0Z,11.6739,6.0E-4,2018yCat.1345....0G,10.1,,2003AJ....125..984M,12.691,0.08,2012yCat.1322....0Z
L   49-19,343.9396386928548,-75.4586680629159,,GJ   877,HIP 113229,,M3V,2010MNRAS.403.1949K,116.4127,0.0291,2018yCat.1345....0G,10.377,,2010MNRAS.403.1949K,9.283,6.0E-4,2018yCat.1345....0G,7.958,,2010MNRAS.403.1949K,9.312,,2010MNRAS.403.1949K
G  19-7,254.2739014244785,-4.3489770909285,,GJ  1207,,,M3.5Ve,2015AJ....149..106D,115.0339,0.0823,2018yCat.1345....0G,12.25,0.04,2014AJ....147...85R,10.9064,7.0E-4,2018yCat.1345....0G,9.432,0.021,2012AcA....62...67K,10.99,0.05,2014AJ....147...85R
MCC 135,177.7805689785803,35.2720135639359,,GJ   450,HIP  57802,,M1.5V,2015A&A...577A.128A,114.1376,0.039,2018yCat.1345....0G,9.802,0.01,2012yCat.1322....0Z,8.8485,6.0E-4,2018yCat.1345....0G,7.64,,2004AJ....128..463R,9.42,0.03,2012yCat.1322....0Z
BD-05  5715,332.41810156443626,-4.640736463082778,,GJ   849,HIP 109388,,M3.5V,1974ApJS...28....1J,113.6,0.0463,2018yCat.1345....0G,10.366,,2010MNRAS.403.1949K,9.2245,7.0E-4,2018yCat.1345....0G,7.877,,2010MNRAS.403.1949K,9.279,,2010MNRAS.403.1949K
G 111-47,119.5529244480518,41.3036991255043,,GJ  1105,HIP  38956,,M3.5Ve,2013AJ....145..102L,113.0897,0.0661,2018yCat.1345....0G,13.912,0.009,2000A&A...355L..27H,10.6656,5.0E-4,2018yCat.1345....0G,,,,11.698,0.06,2012yCat.1322....0Z
Ross  695,186.2187608095184,-18.2422916435183,,GJ   465,HIP  60559,,M2,2010MNRAS.403.1949K,112.7372,0.0669,2018yCat.1345....0G,11.272,,2010MNRAS.403.1949K,10.2805,6.0E-4,2018yCat.1345....0G,8.991,,2010MNRAS.403.1949K,10.243,,2010MNRAS.403.1949K
G 113-20,124.0332559923299,1.3025742335032,,GJ  2066,HIP  40501,,M2.0V,2015A&A...577A.128A,111.8419,0.0534,2018yCat.1345....0G,10.091,,2010MNRAS.403.1949K,9.1241,8.0E-4,2018yCat.1345....0G,7.851,,2010MNRAS.403.1949K,9.071,,2010MNRAS.403.1949K
CD-31  9113,173.86228087418166,-32.539967504052214,,GJ   433,HIP  56528,,M2V,2002AJ....123.2002H,110.2908,0.0444,2018yCat.1345....0G,9.813,,2010MNRAS.403.1949K,8.8914,4.0E-4,2018yCat.1345....0G,7.664,,2010MNRAS.403.1949K,8.821,,2010MNRAS.403.1949K
V* V374 Peg,330.3046804608944,28.3069202894049,,GJ  4247,HIP 108706,,M3.5Ve,2015AJ....149..106D,109.8412,0.0593,2018yCat.1345....0G,12.005,0.05,2012yCat.1322....0Z,10.6319,0.0011,2018yCat.1345....0G,9.8,,2003AJ....125..984M,11.602,0.03,2012yCat.1322....0Z
Ross 1015,205.6802884038731,33.2900903064835,,GJ  3801,HIP  66906,,M4V,1995AJ....110.1838R,108.8253,0.0442,2018yCat.1345....0G,13.896,0.006,2000A&A...355L..27H,10.7115,5.0E-4,2018yCat.1345....0G,,,,11.672,0.04,2012yCat.1322....0Z
LP  776-46,75.83368425905874,-17.373534067220557,,GJ  3325,HIP  23512,,M3V,2002AJ....123.2002H,108.3263,0.05,2018yCat.1345....0G,11.735,,2010MNRAS.403.1949K,10.5517,4.0E-4,2018yCat.1345....0G,9.192,,2010MNRAS.403.1949K,10.603,,2010MNRAS.403.1949K
Ross  837,209.5580069531168,12.5788635401529,,GJ  3817,,,M3.5V,2013AJ....145..102L,106.9246,0.0869,2018yCat.1345....0G,12.267,0.04,2012yCat.1322....0Z,11.0573,0.0011,2018yCat.1345....0G,9.5,,2003AJ....125..984M,11.886,0.05,2012yCat.1322....0Z
CD-30   731,31.4523090688608,-30.1766389957867,,GJ  3135,HIP   9786,,M2.5+V,2006AJ....132..161G,106.7094,0.0566,2018yCat.1345....0G,12.167,,2010MNRAS.403.1949K,11.0455,8.0E-4,2018yCat.1345....0G,9.685,,2010MNRAS.403.1949K,11.047,,2010MNRAS.403.1949K
CD-45  5378,146.1243194103085,-45.7765071093029,,GJ   367,HIP  47780,,M1.0,2010MNRAS.403.1949K,106.2112,0.0317,2018yCat.1345....0G,9.979,,2010MNRAS.403.1949K,9.1516,6.0E-4,2018yCat.1345....0G,7.829,,2010MNRAS.403.1949K,9.019,,2010MNRAS.403.1949K
L  678-39,144.006821882578,-21.6607995227503,,GJ   357,HIP  47103,,M2.5V,2006AJ....132..161G,105.883,0.0569,2018yCat.1345....0G,10.906,,2010MNRAS.403.1949K,9.8804,0.0014,2018yCat.1345....0G,8.577,,2010MNRAS.403.1949K,9.858,,2010MNRAS.403.1949K
G 222-11,92.5826931548989,82.1067568489994,,GJ   226,HIP  29277,,M2.5V,1991ApJS...77..417K,105.6941,0.0304,2018yCat.1345....0G,10.577,,2012yCat.1322....0Z,9.4627,6.0E-4,2018yCat.1345....0G,8.7,,2003AJ....125..984M,9.5,,2003AJ....125..984M
HD 285968,70.73239716799915,18.95816509573083,HD 285968,GJ   176,HIP  21932,,M2.5V,2014MNRAS.438.2413V,105.5627,0.07,2018yCat.1345....0G,9.951,,2010MNRAS.403.1949K,8.9996,5.0E-4,2018yCat.1345....0G,7.702,,2010MNRAS.403.1949K,8.931,,2010MNRAS.403.1949K
CD-51  6859,189.4675652258073,-52.0014781838977,,GJ   479,HIP  61629,,M3V(e),2006A&A...460..695T,105.5122,0.0645,2018yCat.1345....0G,10.663,,2010MNRAS.403.1949K,9.5591,4.0E-4,2018yCat.1345....0G,8.233,,2010MNRAS.403.1949K,9.586,,2010MNRAS.403.1949K
BD+43  2796,265.9831796244703,43.3786113050716,,GJ   694,HIP  86776,,M2V,1986AJ.....92..139S,104.9848,0.0296,2018yCat.1345....0G,10.488,0.01,2012yCat.1322....0Z,9.444,5.0E-4,2018yCat.1345....0G,8.8,,2003AJ....125..984M,10.066,0.02,2012yCat.1322....0Z
G  42-24,148.4798858169825,20.946333386675,,GJ  3571,,,M4.0Ve,2015AJ....149..106D,104.5013,0.1153,2018yCat.1345....0G,14.081,0.03,2012yCat.1322....0Z,12.378,8.0E-4,2018yCat.1345....0G,10.7,,2003AJ....125..984M,13.729,0.08,2012yCat.1322....0Z
Wolf 1069,306.5220918451393,58.5729664911943,,GJ  1253,,,M4.95,2015ApJ...802L..10T,104.3181,0.0524,2018yCat.1345....0G,13.993,0.05,2012yCat.1322....0Z,12.3653,4.0E-4,2018yCat.1345....0G,10.4,,2003AJ....125..984M,13.811,0.07,2012yCat.1322....0Z
CD-48 11837,263.8067361170942,-48.6808677874086,,GJ   680,HIP  86057,WDS J17352-4841A,M3V,2006AJ....132..161G,103.35,0.0545,2018yCat.1345....0G,10.127,,2010MNRAS.403.1949K,9.2832,7.0E-4,2018yCat.1345....0G,7.871,,2010MNRAS.403.1949K,9.101,,2010MNRAS.403.1949K
Ross  905,175.54622244764707,26.70657168981583,,GJ   436,HIP  57087,,M3V,1991ApJS...77..417K,102.5015,0.0936,2018yCat.1345....0G,10.613,0.01,2012yCat.1322....0Z,9.5715,9.0E-4,2018yCat.1345....0G,8.24,,2004AJ....128..463R,10.272,0.01,2012yCat.1322....0Z
G  48-20,142.6857710445162,0.3226666886004,,GJ  1125,HIP  46655,,M3.5Ve,2013AJ....145..102L,100.9992,0.0746,2018yCat.1345....0G,11.71,,2010MNRAS.403.1949K,10.4942,0.0012,2018yCat.1345....0G,9.127,,2010MNRAS.403.1949K,10.583,,2010MNRAS.403.1949K
HD 232979,69.4205447608177,52.8936141785169,HD 232979,GJ   172,HIP  21553,,M0.5V,1989ApJS...71..245K,100.7797,0.064,2018yCat.1345....0G,8.863,0.1,2012yCat.1322....0Z,7.9495,6.0E-4,2018yCat.1345....0G,7.0,,2003AJ....125..984M,8.75,0.04,2012yCat.1322....0Z
G 160-28,57.684538337921666,-6.094897203720833,,GJ  1065,,,M3V,1995AJ....110.1838R,100.5599,0.105,2018yCat.1345....0G,12.843,0.02,2012yCat.1322....0Z,11.4561,0.0016,2018yCat.1345....0G,,,,12.498,0.07,2012yCat.1322....0Z
G  36-24,38.40489752591333,24.927136951895555,,GJ   102,,,M3.5Ve,2015AJ....149..106D,100.2835,0.1061,2018yCat.1345....0G,12.978,0.07,2012yCat.1322....0Z,11.54,7.0E-4,2018yCat.1345....0G,10.0,,2003AJ....125..984M,12.73,0.05,2012yCat.1322....0Z
G 137-78,240.7122683257092,20.589175072051,,GJ   609,,,M4V,1995AJ....110.1838R,99.9043,0.0594,2018yCat.1345....0G,12.56,,,11.1562,0.002,2018yCat.1345....0G,,,,11.4,,2005AJ....129.1483L
G 146-58,160.40781607914334,37.61087765385,,GJ  1134,,,M4.0Ve,2013AJ....145..102L,99.4498,0.0717,2018yCat.1345....0G,12.96,,2009ApJ...704..975J,11.5573,0.0014,2018yCat.1345....0G,9.8,,2003AJ....125..984M,12.4,,2003AJ....125..984M
G 195-59,153.1449117879929,57.0636076436488,,,,,M3.5Ve,2013AJ....145..102L,99.4076,0.0978,2018yCat.1345....0G,,,,10.5135,7.0E-4,2018yCat.1345....0G,9.1,,2003AJ....125..984M,10.6,,2003AJ....125..984M
HD 223889,358.4588043324002,-75.6325330766676,HD 223889,,HIP 117828,,M3,2014MNRAS.443.2561G,98.8631,0.0279,2018yCat.1345....0G,10.023,,2010MNRAS.403.1949K,9.003,8.0E-4,2018yCat.1345....0G,7.72,,2010MNRAS.403.1949K,8.994,,2010MNRAS.403.1949K
Ross   41,82.0006308344628,9.643931848719,,GJ   203,HIP  25578,,M3.5Ve,2013AJ....145..102L,97.979,0.0952,2018yCat.1345....0G,12.443,0.0017,2009AJ....137.4186L,11.1808,0.0011,2018yCat.1345....0G,9.788,0.0028,2009AJ....137.4186L,11.272,0.0018,2009AJ....137.4186L
G 142-11,287.46197208605537,17.668446757609168,,GJ  1232,,,M4V,2014AJ....147...20N,97.4518,0.1596,2018yCat.1345....0G,13.55,,,11.956,6.0E-4,2018yCat.1345....0G,10.46,,2004AJ....128..463R,13.194,0.09,2012yCat.1322....0Z
BD+25  3173,254.53687413905624,25.744158644514446,,GJ   649,HIP  83043,,M2V,1986AJ.....92..139S,96.3141,0.0311,2018yCat.1345....0G,9.655,,2010MNRAS.403.1949K,8.8188,4.0E-4,2018yCat.1345....0G,7.602,,2010MNRAS.403.1949K,8.685,,2010MNRAS.403.1949K
HD 122303,210.2632841162,-2.6548652558516666,HD 122303,GJ   536,HIP  68469,,M0V,1986AJ.....92..139S,96.0398,0.0872,2018yCat.1345....0G,9.707,,2010MNRAS.403.1949K,8.8588,0.0014,2018yCat.1345....0G,7.66,,2010MNRAS.403.1949K,8.745,,2010MNRAS.403.1949K
LP  783-1,114.6706681834534,-21.2245772066339,,GJ  3459,HIP  37217,,M3,2004AJ....128..463R,95.8401,0.0413,2018yCat.1345....0G,11.712,,2010MNRAS.403.1949K,10.6037,4.0E-4,2018yCat.1345....0G,9.229,,2010MNRAS.403.1949K,10.616,,2010MNRAS.403.1949K
HD 304636,140.4066724615033,-60.2819530007158,HD 304636,GJ   341,HIP  45908,,M0.0,2010MNRAS.403.1949K,95.6279,0.0284,2018yCat.1345....0G,9.465,,2010MNRAS.403.1949K,8.6754,6.0E-4,2018yCat.1345....0G,7.511,,2010MNRAS.403.1949K,8.517,,2010MNRAS.403.1949K
BD+02   348,33.0874477374277,3.5756196007019,,GJ    87,HIP  10279,,M1V,1986AJ.....92..139S,95.1619,0.0413,2018yCat.1345....0G,10.042,,2010MNRAS.403.1949K,9.2049,7.0E-4,2018yCat.1345....0G,7.988,,2010MNRAS.403.1949K,9.092,,2010MNRAS.403.1949K
Wolf   44,15.3335377608861,61.3657449832503,,GJ    47,,,M2.0Ve,2013AJ....145..102L,95.0899,0.0372,2018yCat.1345....0G,10.87,,2001KFNT...17e.409K,9.8361,7.0E-4,2018yCat.1345....0G,,,,,,
BD+63   869,149.0361300909076,62.7884632335081,,GJ   373,HIP  48714,,M0.5Ve,2013AJ....145..102L,94.9397,0.0388,2018yCat.1345....0G,9.0,,,8.2286,5.0E-4,2018yCat.1345....0G,7.3,,2003AJ....125..984M,8.1,,2003AJ....125..984M
HD 209290,330.5428132207473,1.4002305981129,HD 209290,GJ   846,HIP 108782,,M0.5V,1991ApJS...77..417K,94.7419,0.1406,2018yCat.1345....0G,9.146,,2010MNRAS.403.1949K,8.4023,8.0E-4,2018yCat.1345....0G,7.245,,2010MNRAS.403.1949K,8.213,,2010MNRAS.403.1949K
G  68-8,350.4060349172132,17.2903866866072,,GJ  4333,HIP 115332,,M3.5Ve,2013AJ....145..102L,94.6489,0.0913,2018yCat.1345....0G,11.71,,2010MNRAS.403.1949K,10.3458,0.0013,2018yCat.1345....0G,8.942,,2010MNRAS.403.1949K,10.514,,2010MNRAS.403.1949K
G 185-18,290.411245288514,20.8675750448875,,GJ  1235,,,M4.0Ve,2015AJ....149..106D,94.1985,0.2407,2018yCat.1345....0G,13.42,,,11.9501,0.0011,2018yCat.1345....0G,10.44,,2004AJ....128..463R,13.116,0.07,2012yCat.1322....0Z
G  22-26,290.5086275740546,7.0417539530655,,GJ  1236,,,M4V,2014AJ....147...20N,94.1932,0.0657,2018yCat.1345....0G,12.32,,,11.2592,0.0012,2018yCat.1345....0G,10.3,,2003AJ....125..984M,12.068,0.07,2012yCat.1322....0Z
LP  867-15,280.5462302690298,-23.4829539322504,,,,,M3.5,2013A&A...556A..15R,94.1546,0.0502,2018yCat.1345....0G,12.1,0.02,2012yCat.1322....0Z,10.9673,6.0E-4,2018yCat.1345....0G,9.61,,2004AJ....128..463R,11.751,0.05,2012yCat.1322....0Z
L   98-59,124.5317562903823,-68.3129998745861,,,,,M2,2014MNRAS.443.2561G,94.1385,0.0281,2018yCat.1345....0G,11.685,0.02,2012yCat.1322....0Z,10.5976,8.0E-4,2018yCat.1345....0G,,,,11.294,0.02,2012yCat.1322....0Z
G 107-48,106.9072996782522,48.6870866505499,,GJ  3426,,,M3.5,,94.0023,0.0576,2018yCat.1345....0G,13.413,0.07,2012yCat.1322....0Z,12.0433,4.0E-4,2018yCat.1345....0G,10.2,,2003AJ....125..984M,13.015,0.1,2012yCat.1322....0Z
HD 111631,192.6815283622556,-0.7681297380273,HD 111631,GJ   488,HIP  62687,,M0V,1999MSS...C05....0H,93.882,0.0508,2018yCat.1345....0G,8.47,,2010MNRAS.403.1949K,7.82,5.0E-4,2018yCat.1345....0G,6.752,,2010MNRAS.403.1949K,7.59,,2010MNRAS.403.1949K
L   23-30,311.6544470149229,-81.72045720810195,,GJ  4154,,,M3e,2014MNRAS.443.2561G,93.7195,0.0348,2018yCat.1345....0G,,,,10.3834,7.0E-4,2018yCat.1345....0G,,,,11.193,0.02,2012yCat.1322....0Z
