recno,HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,_RA,_DE
2223,75178,12140,413,4.35,0.14,232,0,174,184,186,168,210,68,112,230,95,10,3.31,3.28,3.21,3.0,3.5,68,2.9,3.8,95,2.82,230.4524,32.93369
2096,71094,7786,265,4.19,0.14,,,367,473,718,270,1034,68,58,1189,95,772,1.62,1.62,1.6,1.6,1.7,68,1.5,1.8,95,1.65,218.08428,26.67729
2139,72552,9591,326,3.87,0.14,204,0,294,359,428,266,501,68,84,562,95,455,2.2,2.19,2.14,2.0,2.3,68,2.0,2.5,95,2.54,222.49333,28.61583
2101,71284,6861,233,4.44,0.14,,,1709,1752,1703,1389,2247,68,895,3584,95,52,1.48,1.47,1.44,1.3,1.6,68,1.2,1.8,95,1.35,218.67007,29.74513
2070,70051,8430,287,4.27,0.14,,,581,672,718,564,857,68,230,972,95,363,1.9,1.89,1.83,1.7,2.0,68,1.7,2.2,95,1.78,215.03611,30.42913
2100,71243,6427,219,3.94,0.14,,,2767,2664,2476,1911,3246,60,1585,5309,95,2649,1.38,1.38,1.38,1.2,1.5,68,1.1,1.7,95,1.42,218.54878,32.53448
2153,73068,8900,303,4.32,0.14,66,0,519,570,587,500,686,68,266,772,95,134,2.09,2.07,2.03,1.9,2.2,68,1.8,2.4,95,1.87,223.99414,32.30006
2190,74422,6701,228,4.21,0.14,,,1232,1510,1857,797,3158,68,183,5309,95,1663,1.29,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.34,228.1436,35.97161
2158,73160,6676,227,4.08,0.14,,,1249,1540,1857,729,3981,68,158,6494,95,2065,1.24,1.24,1.21,1.1,1.3,68,1.0,1.4,95,1.41,224.27856,35.4902
2137,72469,6796,231,4.26,0.14,,,1548,1749,1804,1000,3255,68,299,6131,95,1058,1.33,1.33,1.32,1.2,1.5,68,1.1,1.6,95,1.36,222.27809,37.81118
2146,72682,6337,215,4.27,0.14,,,1769,2198,2943,1186,5603,68,244,7499,95,2899,1.15,1.14,1.13,1.1,1.2,68,1.0,1.3,95,1.18,222.90921,39.10324
2163,73369,7070,240,3.88,0.14,,,1166,1365,1433,1029,2054,68,282,2738,95,1432,1.47,1.46,1.44,1.4,1.6,68,1.3,1.7,95,1.7,224.90395,39.26533
2162,73353,6721,228,4.04,0.14,,,1957,2012,1967,1461,2773,68,841,5309,95,2002,1.39,1.39,1.38,1.3,1.5,68,1.1,1.6,95,1.45,224.85406,39.64489
2437,81729,6723,229,4.38,0.14,,,1948,1981,1911,1522,2570,68,1000,4597,95,36,1.43,1.42,1.41,1.3,1.5,68,1.2,1.7,95,1.32,250.40291,26.91688
2418,81349,6274,213,4.01,0.14,,,3395,3564,3117,2529,5416,68,1496,7499,95,3049,1.21,1.2,1.15,1.1,1.3,68,1.0,1.4,95,1.34,249.20398,26.53218
2493,83274,6676,227,4.35,0.14,,,1675,1950,2144,1059,5012,68,259,7499,95,61,1.24,1.24,1.21,1.1,1.4,68,1.0,1.4,95,1.31,255.29011,27.19653
2463,82510,6372,217,4.09,0.14,,,3019,3209,3117,2187,5630,68,1334,8913,95,2856,1.24,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.32,252.95874,28.66639
2490,83207,10894,370,4.25,0.14,61,0,118,150,221,92,296,68,22,335,95,146,2.54,2.53,2.5,2.4,2.7,68,2.3,2.8,95,2.54,255.07239,30.9264
2434,81704,6529,222,3.95,0.14,,,2180,2476,2548,1540,5309,68,434,7499,95,2287,1.23,1.23,1.18,1.1,1.3,68,1.0,1.4,95,1.46,250.33961,30.27313
2469,82587,7202,245,4.29,0.14,,,1182,1313,1353,1089,1692,68,473,2175,95,202,1.56,1.55,1.49,1.4,1.6,68,1.3,1.8,95,1.47,253.24191,31.70167
2364,79441,6831,232,4.13,0.14,,,1860,1870,1804,1358,2547,68,891,5012,95,1700,1.45,1.44,1.44,1.3,1.6,68,1.2,1.7,95,1.42,243.18946,26.67058
2445,81911,7309,249,4.04,0.14,,,1030,1223,1241,887,1751,68,274,2441,95,1305,1.54,1.53,1.49,1.4,1.6,68,1.3,1.8,95,1.63,250.96537,34.0388
2394,80460,7810,266,3.73,0.14,,,627,786,931,578,1166,68,145,1296,95,854,1.67,1.66,1.6,1.6,1.7,68,1.5,1.9,95,2.11,246.3507,37.39408
2500,83494,8101,275,4.36,0.14,,,427,535,718,336,1017,68,73,1223,95,18,1.71,1.7,1.66,1.6,1.8,68,1.5,1.9,95,1.68,255.97324,34.79022
2533,84606,9702,330,4.03,0.14,139,0,131,156,241,89,387,68,22,460,95,436,2.12,2.12,2.08,2.0,2.2,68,1.9,2.3,95,2.38,259.41773,37.2915
2514,84022,6356,216,3.98,0.14,,,2966,2863,2623,2068,3975,66,1728,5788,95,2862,1.37,1.36,1.24,1.2,1.5,68,1.1,1.7,95,1.37,257.63368,39.85194
2580,86234,5992,204,3.56,0.14,,,3250,4041,5543,2818,7499,68,841,8913,95,2335,1.08,1.07,1.01,1.0,1.1,68,1.0,1.2,95,1.58,264.33705,35.79911
2451,82041,6279,213,3.95,0.14,,,3420,3519,3117,2470,5355,68,1728,7499,95,3058,1.24,1.22,1.18,1.1,1.3,68,1.0,1.5,95,1.37,251.38287,42.4472
2414,81126,9794,333,3.78,0.14,,,404,410,416,372,461,68,315,507,95,397,2.6,2.59,2.53,2.4,2.8,68,2.2,3.1,95,2.75,248.52576,42.43704
2537,84855,6540,222,4.28,0.14,,,2490,2478,2337,1727,3315,64,1259,6131,95,1587,1.34,1.33,1.3,1.2,1.4,68,1.1,1.6,95,1.26,260.14072,48.18879
2608,87212,9785,333,4.22,0.14,122,0,313,368,404,299,482,68,112,531,95,268,2.3,2.29,2.25,2.1,2.4,68,2.0,2.6,95,2.21,267.26785,50.78107
2326,78222,6690,227,4.2,0.14,,,1514,1790,1967,1075,3196,68,290,5464,95,1788,1.31,1.34,1.3,1.2,1.4,68,1.1,1.5,95,1.34,239.6012,37.82748
2317,78012,6969,237,3.94,0.14,,,1088,1372,1518,849,2314,68,178,3255,95,1585,1.41,1.41,1.41,1.3,1.5,68,1.2,1.6,95,1.62,238.94828,37.94696
2365,79480,7146,243,4.11,0.14,,,665,785,1075,345,1995,68,75,3758,95,1366,1.37,1.38,1.38,1.3,1.5,68,1.1,1.6,95,1.53,243.30385,38.07242
2349,78986,5966,203,3.85,0.14,,,3688,4597,5705,3236,7584,68,1259,8913,95,3983,1.09,1.07,1.01,1.0,1.1,68,1.0,1.2,95,1.29,241.84321,39.15591
2385,80008,6730,229,4.37,0.14,,,1506,1769,1911,1223,2738,68,345,4467,95,35,1.35,1.35,1.32,1.3,1.4,68,1.2,1.5,95,1.32,244.97976,39.70858
