recno,HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,_RA,_DE
395,13593,7476,254,4.09,0.14,,,745,972,1106,668,1413,68,163,1679,95,1143,1.58,1.57,1.55,1.5,1.6,68,1.4,1.8,95,1.64,43.78403,3.48687
434,15279,7873,268,4.36,0.14,,,369,464,718,278,1008,68,60,1155,95,20,1.64,1.64,1.6,1.6,1.7,68,1.5,1.8,95,1.62,49.28752,6.79989
456,16083,13263,451,4.39,0.14,178,0,119,130,135,117,153,68,63,163,95,3,3.69,3.66,3.6,3.4,3.9,68,3.2,4.2,95,3.45,51.79229,9.73268
457,16095,10721,365,4.32,0.14,60,0,194,236,286,179,337,68,56,365,95,61,2.57,2.56,2.5,2.4,2.7,68,2.3,2.9,95,2.4,51.82782,12.73529
362,12447,6763,230,4.36,0.14,,,1071,1270,1608,562,3447,68,130,6131,95,34,1.25,1.25,1.24,1.1,1.4,68,1.0,1.4,95,1.34,40.06538,6.11195
332,11484,10652,362,4.11,0.14,55,0,127,156,234,97,322,68,24,365,95,279,2.45,2.44,2.42,2.3,2.6,68,2.2,2.7,95,2.6,37.03976,8.46006
329,11427,6465,220,4.3,0.14,,,1598,1961,2476,1029,4732,68,224,6879,95,1713,1.19,1.19,1.18,1.1,1.3,68,1.0,1.4,95,1.23,36.84746,10.19832
480,16924,8333,283,4.37,0.14,,,364,460,659,302,849,68,67,944,95,17,1.78,1.77,1.75,1.7,1.8,68,1.6,2.0,95,1.73,54.4493,15.43056
514,18170,7085,241,4.27,0.14,,,1321,1437,1433,1179,1857,68,546,2441,95,528,1.53,1.52,1.46,1.4,1.6,68,1.3,1.8,95,1.44,58.29186,17.32708
551,19261,6699,228,4.25,0.14,,,1062,1296,1753,631,3073,68,137,5158,95,1355,1.27,1.27,1.27,1.2,1.4,68,1.1,1.4,95,1.32,61.92493,15.16278
562,19504,6649,226,4.26,0.14,,,1553,1845,2024,1059,3350,68,290,5788,95,1434,1.29,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.3,62.67652,18.42325
598,20350,6586,224,4.29,0.14,,,1165,1454,1967,668,3753,68,141,5957,95,1337,1.22,1.22,1.21,1.1,1.3,68,1.0,1.4,95,1.28,65.38445,18.41758
592,20255,6939,236,4.27,0.14,,,1015,1276,1518,801,2247,68,168,2985,95,722,1.4,1.4,1.38,1.3,1.5,68,1.2,1.6,95,1.4,65.10462,18.74261
611,20614,6899,235,4.19,0.14,,,806,1006,1433,531,2175,68,106,3073,95,1405,1.36,1.36,1.35,1.3,1.4,68,1.2,1.5,95,1.41,66.23803,19.04201
620,20769,5976,203,3.74,0.14,,,3559,4467,5705,3108,7572,68,1122,8913,95,3249,1.09,1.08,1.01,1.0,1.1,68,1.0,1.2,95,1.39,66.75259,19.11765
578,19975,6583,224,4.21,0.14,,,1650,1971,2207,1165,3757,68,299,5957,95,2059,1.27,1.27,1.24,1.2,1.4,68,1.1,1.4,95,1.3,64.2551,19.67568
597,20349,6567,223,4.21,0.14,,,1179,1432,1967,688,3758,68,145,5957,95,2107,1.21,1.21,1.18,1.1,1.3,68,1.1,1.4,95,1.29,65.38187,21.03988
586,20171,12127,412,4.25,0.14,9,0,168,169,186,149,194,68,132,211,95,91,3.9,3.9,3.91,3.6,4.3,68,3.3,4.5,95,2.95,64.85874,21.14231
582,20087,7501,255,4.09,0.14,,,972,1094,1138,930,1373,68,387,1631,95,1132,1.65,1.64,1.58,1.5,1.7,68,1.4,1.9,95,1.65,64.59667,21.57929
588,20186,13682,465,4.43,0.14,42,0,50,63,90,38,126,68,9,145,95,3,3.53,3.52,3.49,3.3,3.7,68,3.1,3.9,95,4.0,64.90294,21.77349
536,18735,7198,245,4.06,0.14,,,489,602,986,324,1479,68,71,1884,95,1377,1.45,1.45,1.46,1.4,1.5,68,1.3,1.6,95,1.58,60.20319,18.194
573,19789,6666,227,4.26,0.14,,,2081,2025,2024,1533,2552,68,1259,4217,95,1391,1.51,1.51,1.46,1.4,1.7,68,1.2,1.8,95,1.31,63.62675,22.45187
538,18833,6315,215,4.06,0.14,,,3241,3393,3117,2367,5357,68,1372,7499,95,3189,1.23,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.3,60.56365,22.42231
558,19436,8002,272,4.23,0.14,,,487,619,806,424,1033,68,97,1155,95,569,1.7,1.69,1.66,1.6,1.8,68,1.6,1.9,95,1.68,62.43201,24.07295
429,15110,9902,337,3.96,0.14,126,0,333,375,392,325,460,68,154,501,95,413,2.39,2.41,2.34,2.2,2.5,68,2.1,2.7,95,2.53,48.72541,21.04445
491,17453,9967,339,4.4,0.14,110,0,379,385,381,349,433,68,295,475,95,9,2.66,2.64,2.59,2.4,2.8,68,2.3,3.1,95,2.27,56.11752,20.92874
527,18471,7019,239,3.97,0.14,,,644,818,1206,405,1907,68,82,2661,95,1555,1.38,1.39,1.38,1.3,1.5,68,1.2,1.5,95,1.6,59.21699,22.47797
501,17832,6826,232,3.74,0.14,,,1142,1343,1608,613,3652,68,145,6494,95,1418,1.27,1.27,1.24,1.1,1.4,68,1.0,1.5,95,1.78,57.23725,23.85713
509,17954,8326,283,4.65,0.14,,,483,598,718,436,908,68,115,1029,95,17,1.81,1.8,1.75,1.7,1.9,68,1.6,2.0,95,2.51,57.57892,25.57937
493,17470,6796,231,4.2,0.14,,,1057,1296,1562,546,3447,68,130,6310,95,1499,1.25,1.28,1.24,1.1,1.4,68,1.0,1.5,95,1.37,56.15493,27.89745
317,11027,6256,213,3.93,0.14,,,2604,3255,3600,2054,6494,68,487,7943,95,3043,1.14,1.14,1.1,1.0,1.2,68,1.0,1.3,95,1.37,35.50216,15.99171
289,10050,6502,221,4.36,0.14,,,1754,2114,2406,1223,4732,68,282,6879,95,504,1.22,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.25,32.34629,17.22419
342,11678,7630,259,4.04,0.14,,,997,1055,1075,917,1259,68,579,1496,95,1096,1.74,1.73,1.69,1.6,1.8,68,1.5,2.0,95,1.72,37.66007,19.8553
238,8448,7358,250,4.21,0.14,,,871,1074,1206,794,1540,68,211,1884,95,885,1.56,1.55,1.52,1.4,1.6,68,1.4,1.8,95,1.53,27.22731,16.37746
236,8387,10913,371,4.47,0.14,33,0,257,273,278,245,315,68,163,355,95,7,2.83,2.81,2.76,2.6,3.0,68,2.4,3.3,95,2.92,27.04557,16.95555
251,8832,11160,379,4.36,0.14,158,0,87,109,165,63,244,68,16,282,95,6,2.6,2.59,2.56,2.5,2.7,68,2.4,2.8,95,2.51,28.38256,19.29386
252,8903,8738,297,4.06,0.14,67,0,235,287,428,163,649,68,38,794,95,638,1.85,1.84,1.83,1.7,1.9,68,1.6,2.1,95,2.04,28.66005,20.80803
269,9492,6351,216,4.03,0.14,,,1639,2019,2859,1029,5623,68,211,7499,95,3538,1.13,1.12,1.07,1.0,1.2,68,1.0,1.3,95,1.28,30.5299,22.1041
296,10306,6408,218,3.94,0.14,,,2971,3073,2623,2113,4467,68,1496,6494,95,2678,1.28,1.27,1.21,1.1,1.4,68,1.1,1.5,95,1.41,33.20036,21.211
301,10468,7047,240,3.9,0.14,,,572,729,1106,365,1728,68,75,2304,95,1470,1.4,1.4,1.41,1.3,1.5,68,1.2,1.5,95,1.68,33.73809,22.62885
311,10795,7054,240,3.77,0.14,,,1309,1496,1475,1175,1931,68,487,2585,95,1302,1.51,1.5,1.46,1.4,1.6,68,1.3,1.8,95,1.81,34.74145,23.16781
294,10201,6582,224,4.31,0.14,,,1704,2016,2207,1223,3733,68,325,5957,95,1035,1.27,1.27,1.27,1.2,1.4,68,1.1,1.5,95,1.27,32.78885,23.21678
355,12189,6734,229,4.33,0.14,,,1893,1871,1804,1496,2304,68,1168,2990,94,252,1.55,1.54,1.49,1.4,1.7,68,1.2,1.9,95,1.33,39.25218,24.64722
341,11670,6665,227,3.92,0.14,,,1633,1898,2024,1207,3190,68,355,5464,95,1968,1.31,1.31,1.3,1.2,1.4,68,1.1,1.5,95,1.54,37.63481,25.23504
266,9452,7184,244,4.21,0.14,,,582,733,1138,410,1585,68,87,1995,95,956,1.45,1.46,1.44,1.4,1.5,68,1.3,1.6,95,1.48,30.38908,23.39545
259,9153,7458,254,3.96,0.14,,,618,818,1075,507,1411,68,109,1679,95,1206,1.55,1.55,1.52,1.5,1.6,68,1.4,1.7,95,1.74,29.48215,23.59606
406,13913,6909,235,4.14,0.14,,,1420,1596,1655,1242,2255,68,410,3162,95,1561,1.44,1.43,1.41,1.3,1.5,68,1.2,1.7,95,1.44,44.79332,19.98984
403,13834,6633,226,4.19,0.14,,,2052,1999,2024,1496,2512,68,1223,3981,95,1972,1.55,1.54,1.52,1.4,1.7,68,1.2,1.9,95,1.32,44.52176,20.66874
377,13035,6476,220,3.98,0.14,,,1815,2191,2548,1259,5012,68,290,7079,95,2437,1.21,1.2,1.18,1.1,1.3,68,1.0,1.4,95,1.42,41.87641,23.63668
382,13209,13316,453,4.11,0.14,198,0,38,45,70,25,115,68,6,137,95,116,3.35,3.34,3.32,3.2,3.5,68,3.1,3.6,95,3.56,42.49597,27.26051
410,14232,7342,250,4.22,0.14,,,807,1014,1172,699,1604,68,163,1995,95,839,1.53,1.53,1.49,1.4,1.6,68,1.3,1.7,95,1.52,45.87565,28.2699
479,16900,6605,225,4.4,0.14,,,1760,2039,2144,1273,3894,68,355,6131,95,39,1.28,1.28,1.27,1.2,1.4,68,1.1,1.5,95,1.28,54.36637,31.12023
477,16757,6800,231,4.17,0.14,,,918,1138,1562,596,2557,68,119,3868,95,1649,1.32,1.32,1.32,1.2,1.4,68,1.1,1.5,95,1.39,53.90782,31.68044
476,16713,6555,223,3.86,0.14,,,1212,1475,2024,708,3868,68,154,6131,95,2026,1.21,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.55,53.755,32.01676
430,15191,6847,233,4.19,0.14,,,1729,1758,1703,1413,2175,68,972,3073,95,1471,1.5,1.49,1.44,1.4,1.6,68,1.3,1.8,95,1.39,48.94642,32.85671
365,12491,6094,207,4.01,0.14,,,3636,3758,3029,2661,5012,68,2068,6278,94,5107,1.3,1.31,1.21,1.1,1.4,68,1.1,1.6,95,1.18,40.17623,26.62231
344,11741,6585,224,4.22,0.14,,,1290,1631,2024,796,3741,68,178,5957,95,1971,1.24,1.24,1.21,1.1,1.3,68,1.1,1.4,95,1.29,37.88336,27.56926
369,12808,7101,241,4.31,0.14,,,779,1000,1277,517,2044,68,103,3073,95,79,1.41,1.41,1.41,1.3,1.5,68,1.2,1.6,95,1.45,41.15351,29.46017
383,13210,6838,232,4.2,0.14,,,1489,1681,1753,1036,2975,68,316,5788,95,1452,1.36,1.36,1.35,1.2,1.5,68,1.1,1.6,95,1.39,42.50141,30.52621
334,11486,7434,253,4.02,0.14,,,849,1036,1138,775,1502,68,205,1830,95,1224,1.58,1.57,1.52,1.5,1.7,68,1.4,1.8,95,1.68,37.04158,29.66933
314,10933,7011,238,4.2,0.14,,,828,1090,1392,635,2001,68,130,2512,95,1186,1.41,1.41,1.41,1.3,1.5,68,1.2,1.6,95,1.44,35.20681,28.7361
400,13775,12585,428,4.05,0.14,20,0,158,168,165,151,181,68,115,194,95,159,3.57,3.54,3.46,3.3,3.8,68,3.1,4.1,95,3.37,44.32201,31.93422
424,14907,6545,223,4.31,0.14,,,1706,2113,2337,1122,5012,68,259,7286,95,1171,1.22,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.26,48.09704,34.99218
375,12990,7019,239,4.28,0.14,,,1049,1334,1475,866,2113,68,200,2818,95,463,1.43,1.43,1.41,1.3,1.5,68,1.3,1.6,95,1.42,41.76489,35.55468
417,14522,7008,238,4.34,0.14,,,829,1090,1392,628,2024,68,130,2585,95,30,1.41,1.41,1.41,1.3,1.5,68,1.2,1.6,95,1.41,46.88369,39.08671
384,13254,7004,238,3.72,0.14,,,1513,1679,1562,899,3247,68,307,6494,95,1260,1.37,1.37,1.38,1.2,1.5,68,1.1,1.6,95,1.86,42.64608,38.31864
405,13879,9298,316,3.53,0.14,174,0,272,339,466,235,566,68,60,631,95,457,2.07,2.06,2.03,1.9,2.2,68,1.9,2.3,95,2.8,44.69029,39.66273
614,20641,7709,262,4.11,0.14,,,499,638,904,409,1178,68,87,1334,95,980,1.62,1.61,1.58,1.5,1.7,68,1.5,1.8,95,1.69,66.35423,22.2
613,20635,8555,291,3.88,0.14,82,0,384,481,640,335,793,68,82,891,95,694,1.86,1.87,1.8,1.7,1.9,68,1.7,2.1,95,2.18,66.34235,22.29387
616,20711,7398,252,3.5,0.14,,,827,1021,1172,725,1569,68,183,1995,95,904,1.55,1.55,1.52,1.4,1.6,68,1.4,1.8,95,2.19,66.57693,22.81358
651,21459,6890,234,4.23,0.14,,,810,1011,1433,546,2239,68,109,3073,95,1152,1.35,1.36,1.35,1.3,1.4,68,1.2,1.5,95,1.39,69.12141,23.34086
602,20430,11981,407,4.15,0.14,263,0,187,195,197,174,224,68,126,251,95,159,3.27,3.24,3.18,3.0,3.5,68,2.8,3.8,95,3.02,65.6456,25.62932
657,21619,7115,242,4.45,0.14,,,1441,1471,1433,1166,1876,68,794,2738,95,32,1.57,1.56,1.52,1.4,1.7,68,1.3,1.9,95,1.44,69.62298,26.93926
663,21783,6420,218,4.26,0.14,,,2904,2819,2476,2014,4098,68,1596,5914,95,2407,1.34,1.33,1.24,1.2,1.5,68,1.1,1.6,95,1.22,70.19501,30.29153
670,22003,7378,251,4.25,0.14,,,1016,1189,1206,841,1728,68,266,2585,95,571,1.55,1.55,1.52,1.4,1.7,68,1.3,1.8,95,1.52,70.95104,32.86549
563,19513,7059,240,3.79,0.14,,,881,1113,1392,681,2027,68,141,2661,95,1328,1.43,1.43,1.41,1.3,1.5,68,1.3,1.6,95,1.79,62.70776,26.48095
549,19205,7088,241,4.36,0.14,,,1435,1471,1433,1223,1830,68,891,2441,95,29,1.59,1.57,1.52,1.4,1.7,68,1.3,1.9,95,1.42,61.7519,29.00131
546,19089,6514,221,3.27,0.14,,,2572,2503,2337,1763,3254,66,1447,5447,95,944,1.37,1.36,1.35,1.2,1.5,68,1.1,1.6,95,2.16,61.40022,34.23916
627,20907,6059,206,3.35,0.14,,,3665,4340,5705,2968,6985,68,1413,8913,95,1408,1.13,1.11,1.07,1.0,1.2,68,1.0,1.3,95,1.88,67.21938,30.36483
609,20591,6629,225,4.32,0.14,,,1811,2113,2144,1319,3376,68,434,5788,95,791,1.31,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.29,66.1561,33.95969
746,24504,7726,263,3.71,0.14,,,609,794,958,537,1230,68,126,1413,95,865,1.64,1.63,1.6,1.5,1.7,68,1.5,1.8,95,2.12,78.85164,32.6876
754,24832,7794,265,4.26,0.14,,,950,975,986,862,1127,68,692,1302,95,489,1.85,1.84,1.8,1.7,2.0,68,1.6,2.2,95,1.62,79.84893,33.98542
774,25580,6295,214,4.11,0.14,,,3242,3174,2778,2284,4612,68,1778,6131,95,3211,1.32,1.3,1.21,1.1,1.4,68,1.1,1.6,95,1.27,82.0039,33.7637
819,27192,7673,261,4.31,0.14,,,776,930,1014,728,1293,68,218,1540,95,95,1.66,1.64,1.6,1.5,1.7,68,1.5,1.9,95,1.58,86.45628,40.50724
760,25143,8101,275,3.75,0.14,,,201,244,360,122,631,68,33,818,95,758,1.68,1.68,1.66,1.6,1.7,68,1.6,1.8,95,2.2,80.70964,41.02926
756,24902,8275,281,3.97,0.14,,,369,464,659,297,883,68,65,1000,95,808,1.76,1.75,1.72,1.7,1.8,68,1.6,1.9,95,1.99,80.06112,41.08621
855,28360,9321,317,3.94,0.14,33,0,483,496,494,441,569,68,355,649,95,514,2.34,2.35,2.28,2.1,2.5,68,2.0,2.7,95,2.35,89.88218,44.94743
837,27809,5991,204,4.38,0.14,,,3986,4217,5705,2977,5880,68,2401,6583,88,4252,1.24,1.22,1.18,1.1,1.3,68,1.0,1.5,95,1.04,88.27667,45.39426
703,23117,7147,243,4.39,0.14,,,628,730,986,307,1995,68,69,3868,95,30,1.35,1.36,1.35,1.2,1.5,68,1.1,1.6,95,1.43,74.61864,37.32903
706,23179,10005,340,4.38,0.14,101,0,317,358,381,306,445,68,141,487,95,9,2.42,2.4,2.36,2.2,2.5,68,2.1,2.8,95,2.2,74.81421,37.89024
711,23261,6603,225,4.14,0.14,,,2205,2145,2024,1633,2681,68,1332,4324,95,2168,1.48,1.47,1.46,1.3,1.6,68,1.2,1.8,95,1.35,75.07641,39.3947
726,23767,16924,575,4.1,0.14,98,0,23,30,44,18,56,68,4,61,95,46,4.96,4.95,4.92,4.7,5.2,68,4.5,5.4,95,5.14,76.62872,41.23448
668,21928,10734,365,4.05,0.14,201,0,198,240,286,183,335,68,58,365,95,293,2.58,2.57,2.53,2.4,2.7,68,2.3,2.9,95,2.7,70.72638,43.36515
698,22915,6608,225,4.42,0.14,,,1783,2058,2207,1262,4184,68,335,6494,95,42,1.27,1.27,1.27,1.2,1.4,68,1.1,1.5,95,1.28,73.96851,43.15557
693,22842,10910,371,4.38,0.14,124,0,105,133,197,79,282,68,19,316,95,6,2.53,2.52,2.48,2.4,2.6,68,2.3,2.8,95,2.5,73.71352,44.06086
715,23355,6934,236,4.14,0.14,,,872,1104,1475,638,2185,68,130,2901,95,1528,1.38,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.45,75.33971,45.88898
737,24109,6380,217,3.45,0.14,,,3019,3101,2778,2189,4755,68,1334,6879,95,1466,1.25,1.24,1.18,1.1,1.3,68,1.0,1.5,95,1.85,77.67884,46.96207
504,17886,9209,313,3.78,0.14,80,0,182,222,330,133,511,68,31,579,95,496,1.99,1.98,1.97,1.9,2.1,68,1.8,2.2,95,2.54,57.38621,33.09138
489,17320,6381,217,3.79,0.14,,,3086,3100,2778,2159,4689,68,1540,6494,95,2890,1.28,1.27,1.21,1.1,1.4,68,1.0,1.5,95,1.45,55.61517,32.93924
530,18547,7997,272,4.38,0.14,,,459,596,783,370,1065,68,82,1259,95,21,1.68,1.68,1.63,1.6,1.8,68,1.5,1.9,95,1.66,59.5131,34.81397
507,17943,7336,249,4.14,0.14,,,635,804,1106,472,1579,68,100,2054,95,1150,1.5,1.5,1.49,1.4,1.6,68,1.3,1.7,95,1.56,57.55528,34.82011
529,18518,6711,228,4.36,0.14,,,1995,2030,1967,1494,2727,68,944,5158,95,35,1.4,1.4,1.38,1.3,1.5,68,1.1,1.7,95,1.32,59.39641,36.49129
492,17460,9044,308,3.87,0.14,37,0,142,166,248,89,434,68,24,546,95,560,1.92,1.92,1.89,1.8,2.0,68,1.8,2.1,95,2.36,56.13097,36.4601
506,17930,7609,259,4.2,0.14,,,1069,1074,1075,891,1296,68,717,1599,95,816,1.85,1.84,1.8,1.6,2.0,68,1.5,2.2,95,1.6,57.51448,37.87388
473,16692,6679,227,4.37,0.14,,,2397,2443,2207,1505,4316,68,891,6879,95,37,1.33,1.33,1.32,1.2,1.5,68,1.0,1.6,95,1.31,53.68729,38.8056
560,19480,6674,227,4.19,0.14,,,1493,1830,1967,972,3868,68,244,6494,95,1859,1.27,1.27,1.27,1.2,1.4,68,1.1,1.5,95,1.34,62.58863,39.22572
584,20155,6269,213,3.58,0.14,,,3346,3571,3208,2512,5788,68,1502,8942,95,1729,1.2,1.19,1.13,1.1,1.3,68,1.0,1.4,95,1.74,64.80454,42.38119
537,18770,6747,229,4.2,0.14,,,861,1090,1562,531,2512,68,109,3868,95,1646,1.29,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.36,60.31949,40.09462
570,19628,6616,225,4.04,0.14,,,1707,2054,2144,1215,3580,68,345,5957,95,2194,1.29,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.42,63.08613,42.90772
468,16591,8724,297,4.43,0.14,,,252,311,466,187,674,68,42,794,95,14,1.86,1.85,1.83,1.8,1.9,68,1.7,2.1,95,1.95,53.39597,39.89948
465,16357,6853,233,4.17,0.14,,,1275,1501,1655,818,2985,68,205,5623,95,1566,1.34,1.34,1.32,1.2,1.5,68,1.1,1.6,95,1.41,52.6879,42.20244
420,14576,13070,444,4.02,0.14,55,0,130,139,143,125,163,68,79,183,95,143,3.65,3.62,3.57,3.3,3.8,68,3.2,4.2,95,3.61,47.04222,40.95565
446,15648,9607,327,4.19,0.14,134,0,139,173,262,97,409,68,24,473,95,337,2.1,2.09,2.05,2.0,2.2,68,1.9,2.3,95,2.18,50.36066,43.32965
503,17846,7382,251,3.9,0.14,,,1155,1167,1172,990,1394,68,794,1631,95,1222,1.84,1.83,1.77,1.6,2.0,68,1.5,2.2,95,1.78,57.28382,43.9631
467,16570,6954,236,3.86,0.14,,,1043,1300,1518,828,2257,68,178,3073,95,1502,1.4,1.4,1.38,1.3,1.5,68,1.2,1.6,95,1.69,53.33739,47.95008
526,18453,6609,225,4.12,0.14,,,2160,2104,2024,1631,2661,68,1334,4217,95,2179,1.5,1.49,1.46,1.3,1.7,68,1.2,1.8,95,1.36,59.15217,50.69538
500,17827,6556,223,4.08,0.14,,,1283,1567,2083,774,3973,68,168,6310,95,2323,1.22,1.22,1.21,1.1,1.3,68,1.1,1.4,95,1.38,57.22583,50.84025
496,17675,7085,241,4.4,0.14,,,808,1059,1353,625,1915,68,130,2441,95,31,1.44,1.44,1.44,1.4,1.5,68,1.3,1.6,95,1.41,56.79433,51.70639
641,21238,8247,280,4.45,0.14,,,358,452,678,290,866,68,65,972,95,17,1.75,1.74,1.72,1.7,1.8,68,1.6,1.9,95,1.84,68.34003,43.03192
642,21242,6615,225,3.87,0.14,,,1614,1917,2144,1122,3640,68,299,5957,95,1943,1.28,1.28,1.27,1.2,1.4,68,1.1,1.5,95,1.57,68.35376,43.0639
664,21823,10258,349,4.13,0.14,86,0,121,146,227,87,335,68,21,387,95,310,2.31,2.3,2.28,2.2,2.4,68,2.1,2.5,95,2.45,70.35054,48.30088
709,23229,6209,211,3.84,0.14,,,3702,3798,3117,2744,5371,65,2054,7499,95,2781,1.22,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.45,74.97399,53.45207
807,26710,6511,221,4.29,0.14,,,1349,1647,2207,814,4322,68,173,6494,95,1634,1.2,1.2,1.18,1.1,1.3,68,1.0,1.4,95,1.25,85.14615,55.09913
842,27949,9152,311,3.88,0.14,62,0,174,209,312,118,507,68,28,613,95,540,1.96,1.95,1.94,1.8,2.1,68,1.8,2.2,95,2.38,88.71159,55.70695
727,23783,7116,242,4.18,0.14,,,1419,1421,1392,1171,1721,68,944,2175,95,1190,1.68,1.66,1.6,1.5,1.8,68,1.4,2.0,95,1.48,76.66929,51.59772
801,26587,6732,229,4.26,0.14,,,1515,1768,1911,1155,2901,68,325,5012,95,1197,1.34,1.34,1.32,1.2,1.4,68,1.1,1.5,95,1.33,84.77252,56.36004
821,27249,8168,278,4.12,0.14,,,345,447,640,266,891,68,58,1029,95,771,1.72,1.71,1.69,1.6,1.8,68,1.6,1.9,95,1.81,86.62662,56.11558
585,20156,7688,261,3.78,0.14,,,844,972,1014,813,1251,68,307,1454,95,949,1.69,1.7,1.6,1.5,1.8,68,1.5,2.0,95,2.02,64.80516,50.04869
661,21730,7099,241,3.91,0.14,,,1382,1462,1433,1148,1951,68,562,2901,95,1439,1.53,1.52,1.46,1.4,1.6,68,1.3,1.8,95,1.68,69.99196,53.47303
681,22300,7314,249,4.32,0.14,,,871,1084,1206,789,1607,68,200,1939,95,25,1.54,1.53,1.49,1.4,1.6,68,1.4,1.7,95,1.5,72.02927,55.60261
577,19949,9825,334,3.77,0.14,228,0,162,205,303,124,423,68,29,473,95,388,2.19,2.18,2.14,2.1,2.3,68,2.0,2.4,95,2.78,64.17953,53.6118
595,20332,6859,233,4.42,0.14,,,1110,1359,1608,772,2661,68,168,4467,95,39,1.35,1.35,1.35,1.3,1.5,68,1.1,1.5,95,1.35,65.33963,53.70083
556,19400,6591,224,4.2,0.14,,,1324,1679,2024,826,3766,68,183,5957,95,2078,1.24,1.24,1.24,1.1,1.3,68,1.1,1.4,95,1.31,62.34264,54.82886
600,20380,8738,297,3.88,0.14,,,272,340,508,211,668,68,49,772,95,640,1.88,1.87,1.83,1.8,1.9,68,1.7,2.1,95,2.24,65.46586,56.50632
750,24658,6440,219,4.09,0.14,,,1921,2322,2699,1372,5309,68,307,7286,95,2645,1.19,1.19,1.15,1.1,1.3,68,1.0,1.4,95,1.33,79.36483,60.18168
717,23380,6680,227,4.31,0.14,,,1645,1894,2024,1189,3255,68,355,5788,95,694,1.31,1.31,1.3,1.2,1.4,68,1.1,1.5,95,1.31,75.40018,61.078
743,24348,7872,268,3.96,0.14,,,504,616,806,347,1252,68,73,1830,95,979,1.61,1.61,1.6,1.5,1.7,68,1.3,1.9,95,1.87,78.38018,62.69113
177,6193,9183,312,3.59,0.14,85,0,461,462,428,385,559,68,322,640,95,484,2.66,2.65,2.5,2.4,2.9,68,2.2,3.2,95,2.71,19.86664,27.26406
122,4893,6716,228,4.32,0.14,,,1064,1311,1753,669,2956,68,141,4732,95,438,1.29,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.32,15.70959,26.29939
121,4868,6573,223,4.3,0.14,,,1420,1738,2144,917,3868,68,205,6131,95,1222,1.24,1.24,1.24,1.1,1.3,68,1.1,1.4,95,1.27,15.64842,27.74795
195,6801,6745,229,4.42,0.14,,,866,1090,1518,508,2679,68,106,4217,95,39,1.28,1.28,1.27,1.2,1.4,68,1.1,1.4,95,1.32,21.8747,30.51168
110,4329,8197,279,4.41,0.14,,,275,337,508,192,802,68,43,944,95,19,1.71,1.71,1.69,1.6,1.8,68,1.6,1.9,95,1.74,13.85509,28.55944
127,5034,6477,220,4.0,0.14,,,2695,2690,2476,1933,3949,66,1334,6131,95,2448,1.31,1.3,1.24,1.2,1.4,68,1.1,1.6,95,1.41,16.11511,29.65881
141,5319,6695,228,4.1,0.14,,,1709,1921,1967,1294,3053,68,434,5464,95,2007,1.34,1.33,1.32,1.2,1.4,68,1.1,1.6,95,1.4,17.0056,32.01213
202,6948,6098,207,3.64,0.14,,,2716,2738,2623,1822,3424,67,1553,5102,95,2571,1.47,1.48,1.46,1.4,1.6,55,1.2,1.8,95,1.53,22.36524,30.89451
231,7943,11468,390,4.37,0.14,53,0,75,90,139,51,219,68,13,266,95,5,2.68,2.67,2.65,2.5,2.8,68,2.4,3.0,95,2.62,25.51454,35.2457
302,10559,10685,363,4.02,0.14,111,0,283,297,303,268,340,68,188,376,95,305,2.77,2.75,2.7,2.5,2.9,68,2.4,3.2,95,2.71,33.98452,33.3589
307,10670,10772,366,4.2,0.14,242,0,188,237,278,174,331,68,53,355,95,205,2.59,2.57,2.53,2.4,2.7,68,2.3,2.9,95,2.55,34.32861,33.84719
274,9636,6648,226,4.03,0.14,,,2231,2148,2024,1540,2818,68,1259,4732,95,2133,1.48,1.47,1.46,1.3,1.6,68,1.1,1.8,95,1.44,30.96103,33.69813
265,9426,6474,220,4.32,0.14,,,2559,2824,2778,1830,5623,68,748,8935,95,1366,1.23,1.25,1.18,1.1,1.3,68,1.0,1.5,95,1.23,30.27133,35.30625
285,9977,8875,302,3.89,0.14,116,0,425,512,587,402,700,68,130,772,95,610,2.0,2.01,1.94,1.8,2.1,68,1.8,2.3,95,2.27,32.12192,37.85908
347,11847,7004,238,4.43,0.14,,,644,818,1206,410,1884,68,87,2661,95,43,1.38,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.4,38.23254,37.33362
