recno,Star,Teff,e_Teff,logg,e_logg,Vt,e_Vt,[Fe/H],e_[Fe/H],Mass,e_Mass,Age,e_Age,_RA,_DE
353,"HD 193193 ",5979,13,4.4,0.03,1.19,0.02,-0.05,0.01,1.033,0.009,5.458,0.53,304.93827,-25.2286
354,"HD 193844 ",4933,41,4.38,0.11,0.48,0.13,-0.34,0.02,0.721,0.015,4.669,4.088,305.67448,-10.30186
355,"HD 195302 ",5039,58,4.42,0.15,0.56,0.16,0.03,0.04,0.808,0.021,4.008,3.892,307.92079,-35.52416
356,"HD 195564 ",5663,13,4.02,0.04,1.13,0.02,0.05,0.01,1.049,0.012,8.386,0.153,308.09873,-9.85338
357,"HD 196050 ",5871,16,4.26,0.04,1.13,0.02,0.23,0.01,1.109,0.013,4.826,0.348,309.46546,-60.63449
358,"HD 196761 ",5414,16,4.46,0.05,0.73,0.03,-0.31,0.01,0.804,0.02,6.973,4.13,310.04898,-23.77387
359,"HD 196800 ",6007,19,4.4,0.09,1.15,0.03,0.18,0.01,1.148,0.015,0.998,0.711,310.09306,-24.11803
360,"HD 197210 ",5563,12,4.42,0.03,0.81,0.02,-0.04,0.01,0.938,0.022,2.416,2.044,310.62253,-5.30124
361,"HD 197823 ",5344,28,4.37,0.07,0.75,0.04,0.1,0.02,0.902,0.025,3.723,3.414,311.81925,-35.15408
362,"HD 198075 ",5842,19,4.55,0.02,0.95,0.04,-0.24,0.01,0.968,0.017,0.945,0.931,312.06329,-12.4543
363,"HD 199190 ",5937,12,4.27,0.04,1.18,0.02,0.15,0.01,1.129,0.014,4.578,0.209,315.02415,-69.57944
364,"HD 199288 ",5776,19,4.51,0.05,1.1,0.06,-0.63,0.01,0.792,0.009,11.684,0.121,314.41695,-44.12937
365,"HD 199933 ",4608,84,4.29,0.23,0.32,0.5,-0.11,0.02,0.706,0.01,4.504,4.047,315.576,-52.29139
366,"HD 199960 ",5928,26,4.42,0.1,1.01,0.04,0.27,0.02,1.122,0.013,3.813,0.463,315.141,-4.73026
367,"HD 200505 ",5035,38,4.45,0.08,0.8,0.08,-0.46,0.02,0.716,0.014,4.345,3.971,316.94134,-67.92031
368,"HD 202206 ",5708,24,4.38,0.05,0.93,0.03,0.28,0.02,1.047,0.016,1.242,1.098,318.7407,-20.78921
369,"HD 202605 ",5637,23,4.47,0.05,0.97,0.03,0.18,0.02,1.009,0.022,2.506,2.2,319.25889,-1.07743
370,"HD 203384 ",5564,36,4.42,0.06,0.82,0.05,0.26,0.02,0.994,0.02,1.63,1.523,320.47367,-4.1743
371,"HD 203413 ",4668,99,4.36,0.26,0.18,0.8,0.08,0.08,0.756,0.018,4.454,4.021,321.06304,-58.69231
372,"HD 203432 ",5591,29,4.29,0.04,0.94,0.04,0.27,0.02,0.985,0.021,5.339,2.639,320.84402,-41.55251
373,"HD 203850 ",4808,62,4.45,0.13,0.13,0.57,-0.71,0.02,0.7,0.0,4.786,4.141,321.74355,-56.12526
374,"HD 204313 ",5732,18,4.33,0.03,0.97,0.02,0.16,0.01,1.033,0.017,2.835,1.833,322.05086,-21.72626
375,"HD 204385 ",6048,17,4.45,0.02,1.14,0.02,0.08,0.01,1.132,0.011,0.636,0.478,322.69971,-62.1676
376,"HD 204941 ",4997,36,4.36,0.1,0.44,0.11,-0.2,0.02,0.759,0.017,4.098,3.765,323.09796,-20.95742
377,"HD 205536 ",5418,17,4.36,0.06,0.79,0.03,-0.07,0.01,0.864,0.022,6.998,4.107,325.12405,-74.07428
378,"HD 206163 ",5506,16,4.42,0.04,0.84,0.03,0.02,0.01,0.944,0.016,1.251,1.153,325.56894,-57.61295
379,"HD 206172 ",5626,13,4.53,0.04,0.82,0.03,-0.23,0.01,0.91,0.021,1.411,1.577,325.11566,-2.01758
380,"HD 207129 ",5946,11,4.48,0.03,1.06,0.02,0.01,0.01,1.082,0.006,0.266,0.195,327.06563,-47.30362
381,"HD 207583 ",5525,21,4.42,0.05,0.93,0.03,0.02,0.02,0.944,0.019,1.586,1.505,327.59626,-16.19653
382,"HD 207700 ",5660,16,4.26,0.07,0.97,0.02,0.04,0.01,0.944,0.007,10.723,0.513,328.68833,-73.43848
383,"HD 207970 ",5524,21,4.36,0.05,0.8,0.03,0.05,0.02,0.907,0.014,9.693,1.996,328.42422,-28.67061
384,"HD 208272 ",5167,48,4.41,0.1,0.78,0.08,-0.07,0.03,0.822,0.022,4.28,3.929,328.92498,-29.70614
385,"HD 208487 ",6172,19,4.54,0.09,1.22,0.03,0.1,0.01,1.183,0.011,0.425,0.304,329.3327,-37.76362
386,"HD 208573 ",4744,79,4.25,0.2,0.28,0.46,0.05,0.05,0.777,0.018,4.554,3.977,329.45524,-29.11635
387,"HD 208704 ",5835,13,4.38,0.02,1.04,0.02,-0.08,0.01,0.971,0.015,6.185,1.695,329.60135,-12.66466
388,"HD 209100 ",4649,74,4.44,0.18,0.28,0.55,-0.13,0.06,0.71,0.011,4.592,4.041,330.84024,-56.78598
389,"HD 209458 ",6182,26,4.58,0.03,1.25,0.04,0.06,0.02,1.168,0.016,0.619,0.48,330.79488,18.88432
390,"HD 209742 ",5054,40,4.37,0.08,0.47,0.1,-0.17,0.02,0.781,0.018,5.571,4.372,331.6929,-45.39244
391,"HD 210277 ",5470,27,4.26,0.05,0.9,0.04,0.15,0.02,0.917,0.013,10.462,1.1,332.37444,-7.54865
392,"HD 210752 ",5970,27,4.52,0.03,1.2,0.07,-0.55,0.02,0.849,0.014,9.96,1.464,333.18141,-6.46892
393,"HD 210918 ",5747,11,4.35,0.03,1.0,0.02,-0.1,0.01,0.918,0.009,10.897,0.399,333.66106,-41.38166
394,"HD 210975 ",4678,64,4.25,0.2,0.36,0.33,-0.45,0.04,0.7,0.0,4.315,3.967,333.64501,-32.30827
395,"HD 211038 ",4974,17,3.67,0.05,0.78,0.03,-0.27,0.01,0.966,0.008,11.556,0.273,333.65925,-15.81853
396,"HD 211369 ",4868,93,4.41,0.24,0.29,0.44,0.07,0.05,0.785,0.018,4.328,4.006,334.41428,-48.65049
397,"HD 211415 ",5864,18,4.42,0.03,1.01,0.03,-0.21,0.01,0.941,0.016,6.443,1.153,334.56506,-53.62707
398,"HD 212301 ",6299,25,4.58,0.05,1.27,0.04,0.2,0.02,1.245,0.007,0.229,0.119,336.87883,-77.71792
399,"HD 212563 ",4954,62,4.45,0.15,0.69,0.15,-0.03,0.03,0.78,0.019,3.984,3.822,336.4185,-24.72881
400,"HD 212580 ",5099,41,4.38,0.1,0.61,0.09,-0.1,0.02,0.801,0.019,4.045,3.808,336.75997,-62.5246
401,"HD 212708 ",5644,28,4.31,0.04,0.94,0.04,0.26,0.02,1.014,0.022,3.2,2.155,336.85286,-49.36595
402,"HD 213042 ",4670,111,4.22,0.31,0.35,0.6,0.14,0.06,0.769,0.016,4.448,4.042,337.31348,-30.01841
403,"HD 213240 ",5967,18,4.28,0.06,1.22,0.03,0.13,0.01,1.15,0.018,4.383,0.31,337.75153,-49.43327
404,"HD 213575 ",5676,13,4.22,0.03,1.05,0.02,-0.15,0.01,0.944,0.001,11.749,0.011,338.14192,-6.46717
405,"HD 213628 ",5517,18,4.4,0.04,0.83,0.03,-0.01,0.01,0.937,0.02,1.687,1.651,338.37785,-35.44455
406,"HD 213941 ",5565,15,4.45,0.03,0.76,0.03,-0.44,0.01,0.786,0.004,11.377,0.493,339.0321,-54.61062
407,"HD 214385 ",5679,23,4.47,0.03,0.87,0.05,-0.33,0.02,0.851,0.025,6.893,4.007,339.54592,-27.44343
408,"HD 214759 ",5397,38,4.27,0.13,0.8,0.06,0.15,0.03,0.919,0.028,5.417,3.926,340.22987,-31.99006
409,"HD 215152 ",4803,52,4.26,0.15,0.28,0.16,-0.08,0.02,0.756,0.016,5.207,4.069,340.83876,-6.40082
410,"HD 215456 ",5798,12,4.14,0.04,1.19,0.02,-0.08,0.01,1.022,0.012,9.028,0.242,341.53348,-48.97882
411,"HD 216435 ",6034,24,4.21,0.08,1.27,0.03,0.27,0.02,1.252,0.018,3.202,0.223,343.40805,-48.59829
412,"HD 216770 ",5351,42,4.31,0.1,0.85,0.06,0.2,0.03,0.922,0.027,3.387,3.186,343.97378,-26.65876
413,"HD 216777 ",5654,12,4.56,0.02,0.88,0.03,-0.37,0.01,0.835,0.023,6.053,4.197,343.95824,-7.82261
414,"HD 218249 ",4956,36,4.41,0.08,0.33,0.13,-0.43,0.02,0.708,0.011,4.114,3.925,346.63523,-0.19614
415,"HD 218511 ",4424,90,4.52,0.26,0.26,0.45,-0.05,0.02,0.7,0.0,4.34,4.069,347.42063,-67.73282
416,"HD 218572 ",4697,55,4.41,0.16,0.33,0.31,-0.58,0.03,0.7,0.0,4.532,4.05,347.58571,-68.8389
417,"HD 219077 ",5338,14,3.92,0.06,0.97,0.02,-0.15,0.01,0.993,0.01,10.67,0.306,348.52744,-62.7
418,"HD 219249 ",5494,13,4.51,0.05,0.79,0.03,-0.39,0.01,0.806,0.02,5.083,3.952,348.79033,-56.72921
419,"HD 220256 ",5090,30,4.32,0.09,0.53,0.07,-0.14,0.02,0.791,0.018,5.338,4.312,350.59909,-0.41486
420,"HD 220339 ",4938,32,4.42,0.08,0.5,0.1,-0.37,0.02,0.718,0.015,5.389,4.175,350.7704,-10.76424
421,"HD 220367 ",6116,28,4.45,0.13,1.44,0.06,-0.23,0.02,1.059,0.025,6.434,0.724,351.07844,-72.16519
422,"HD 220507 ",5676,18,4.3,0.06,0.95,0.02,0.0,0.01,0.934,0.011,10.792,0.643,351.17548,-52.70188
423,"HD 221146 ",5899,19,4.36,0.05,1.07,0.03,0.1,0.01,1.079,0.012,5.728,0.387,352.37633,-1.0359
424,"HD 221287 ",6417,25,4.6,0.1,1.34,0.04,0.06,0.02,1.242,0.01,0.219,0.115,352.83474,-58.20973
425,"HD 221356 ",6100,30,4.51,0.04,1.14,0.06,-0.2,0.02,1.046,0.022,1.932,1.415,352.88126,-4.0874
426,"HD 221420 ",5838,27,3.98,0.05,1.23,0.03,0.34,0.02,1.227,0.049,4.381,0.689,353.33162,-77.38533
427,"HD 222237 ",4722,55,4.34,0.15,0.13,0.59,-0.39,0.06,0.701,0.004,4.692,4.09,354.90579,-72.72215
428,"HD 222335 ",5220,29,4.48,0.05,0.62,0.06,-0.21,0.02,0.799,0.02,5.071,4.315,354.96377,-32.74341
429,"HD 222422 ",5435,17,4.43,0.02,0.77,0.03,-0.15,0.01,0.861,0.026,4.35,3.958,355.15772,-18.98889
430,"HD 222582 ",5781,12,4.37,0.04,1.02,0.02,-0.01,0.01,0.98,0.017,5.358,2.221,355.46471,-5.98576
431,"HD 222595 ",5618,13,4.43,0.03,0.89,0.02,-0.01,0.01,0.974,0.016,1.034,0.986,355.55275,-53.42332
432,"HD 222669 ",5898,17,4.44,0.06,1.01,0.03,0.06,0.01,1.076,0.012,0.426,0.322,355.98901,-82.5085
433,"HD 223121 ",4958,60,4.28,0.16,0.43,0.19,0.06,0.03,0.807,0.02,4.4,4.036,356.73248,-31.98181
434,"HD 223171 ",5830,13,4.16,0.03,1.14,0.02,0.11,0.01,1.068,0.012,6.872,0.22,356.83678,-48.27558
435,"HD 223282 ",5343,16,4.5,0.06,0.63,0.04,-0.41,0.01,0.784,0.018,3.09,3.184,357.08886,-27.89749
436,"HD 224393 ",5792,14,4.54,0.09,0.96,0.04,-0.37,0.01,0.903,0.016,1.254,1.2,359.39769,-65.77556
437,"HD 224619 ",5425,14,4.4,0.06,0.77,0.03,-0.2,0.01,0.846,0.026,4.29,4.09,359.86847,-20.03471
438,"HD 224789 ",5150,43,4.4,0.09,0.93,0.07,-0.04,0.02,0.827,0.022,3.97,3.885,0.168,-69.67596
439,"HD 330075 ",4958,52,4.24,0.13,0.32,0.22,0.05,0.03,0.814,0.02,4.863,4.144,237.40705,-49.96352
440,"HD 11964A ",5285,21,3.81,0.04,0.95,0.03,0.06,0.02,1.026,0.016,9.772,0.521,29.29003,-10.24243
441,HD 142022A,5482,35,4.35,0.05,0.81,0.05,0.18,0.02,0.948,0.028,5.175,3.496,242.56263,-84.23161
442,"HD 21209A ",4612,73,4.28,0.19,0.33,0.38,-0.39,0.02,0.7,0.0,4.462,4.04,50.82158,-49.99193
443,"HD 26965A ",5098,32,4.35,0.1,0.42,0.09,-0.36,0.02,0.75,0.0,11.485,0.054,63.818,-7.65287
444,"HD 59711A ",5741,12,4.44,0.06,0.94,0.02,-0.12,0.01,0.961,0.023,2.9,2.236,112.66672,-15.99459
445,"HD 65907A ",5995,15,4.62,0.03,1.18,0.04,-0.29,0.01,0.953,0.012,5.972,0.653,119.44547,-60.30307
446,"HD 68978A ",5967,13,4.48,0.03,1.07,0.02,0.05,0.01,1.1,0.012,0.423,0.307,123.39374,-31.73538
447,"HD 8389A  ",5182,80,4.33,0.17,0.81,0.14,0.36,0.04,0.895,0.027,5.338,4.376,20.76099,-12.96607
448,"HIP 21539 ",4496,80,4.23,0.24,0.43,0.33,-0.32,0.03,0.7,0.0,4.725,4.052,69.36299,-33.30423
449,"HIP 22059 ",4672,82,4.33,0.25,0.47,0.31,-0.28,0.04,0.7,0.002,4.422,3.968,71.17394,-37.12132
450,"HIP 26542 ",4598,72,4.38,0.21,0.1,1.09,-0.53,0.04,0.7,0.0,4.643,3.99,84.66866,-38.35748
451,"HIP 98764 ",4811,44,4.33,0.13,0.42,0.16,-0.32,0.02,0.702,0.009,4.825,4.043,300.89724,-73.75378
