recno,Star,Teff,e_Teff,logg,e_logg,Vt,e_Vt,[Fe/H],e_[Fe/H],Mass,e_Mass,Age,e_Age,_RA,_DE
46,"HD 12387  ",5704,15,4.42,0.05,0.93,0.03,-0.25,0.01,0.861,0.002,11.58,0.278,30.13386,-40.73125
47,"HD 12617  ",4766,86,4.31,0.24,0.19,0.67,0.14,0.02,0.783,0.018,4.41,3.999,30.68769,-40.95087
48,"HD 13060  ",5189,42,4.31,0.16,0.69,0.08,0.01,0.03,0.844,0.022,4.244,3.896,30.19672,-80.53271
49,"HD 13724  ",5824,19,4.42,0.04,0.96,0.03,0.21,0.01,1.091,0.013,0.613,0.485,33.08616,-46.81639
50,"HD 13789  ",4667,104,4.29,0.26,0.3,0.62,-0.01,0.07,0.737,0.017,4.506,3.993,33.55654,-3.63521
51,"HD 13808  ",5033,38,4.36,0.08,0.63,0.08,-0.21,0.02,0.769,0.017,5.877,4.433,33.17886,-53.74389
52,"HD 14374  ",5375,18,4.42,0.04,0.78,0.03,-0.07,0.01,0.873,0.023,3.443,3.116,34.81682,-0.77984
53,"HD 14635  ",4685,102,4.27,0.27,0.51,0.32,0.0,0.04,0.723,0.014,4.271,3.944,35.43507,-6.87953
54,"HD 14680  ",4913,58,4.33,0.12,0.48,0.16,-0.18,0.03,0.758,0.018,5.047,4.185,35.34997,-30.93364
55,"HD 14744  ",4871,49,4.38,0.13,0.51,0.15,-0.17,0.02,0.746,0.016,4.794,4.116,35.40692,-34.83728
56,"HD 14747  ",5547,15,4.46,0.03,0.79,0.03,-0.37,0.01,0.798,0.012,10.343,1.664,34.89057,-67.69847
57,"HD 15337  ",5088,44,4.36,0.1,0.51,0.11,0.06,0.03,0.829,0.021,3.95,3.841,36.86824,-27.6352
58,"HD 16141  ",5786,15,4.17,0.03,1.1,0.02,0.15,0.01,1.069,0.012,7.017,0.229,38.83303,-3.56061
59,"HD 16270  ",4583,114,4.23,0.34,0.16,1.08,0.14,0.02,0.76,0.015,4.464,4.005,39.00323,-23.52132
60,"HD 16297  ",5379,24,4.44,0.05,0.78,0.04,-0.03,0.02,0.869,0.024,6.698,5.037,39.03264,-28.2186
61,"HD 16417  ",5843,12,4.16,0.03,1.18,0.02,0.14,0.01,1.108,0.014,6.211,0.33,39.2442,-34.57798
62,"HD 16714  ",5541,29,4.45,0.05,0.74,0.05,-0.18,0.02,0.878,0.029,4.116,3.657,39.94842,-33.90005
64,"HD 17970  ",5038,31,4.39,0.06,0.2,0.2,-0.45,0.02,0.723,0.014,6.865,4.081,43.08204,-33.45064
65,"HD 18386  ",5446,30,4.37,0.05,0.89,0.04,0.14,0.02,0.944,0.022,2.019,1.985,44.15789,-22.31009
66,"HD 18719  ",5211,31,4.39,0.06,0.8,0.05,-0.09,0.02,0.826,0.021,4.82,4.333,45.07138,-9.03991
67,"HD 19034  ",5526,18,4.49,0.03,0.71,0.04,-0.45,0.01,0.794,0.018,7.522,4.422,45.91233,-5.6663
68,"HD 19467  ",5718,12,4.29,0.03,1.02,0.02,-0.15,0.01,0.898,0.008,11.649,0.194,46.8274,-13.76178
69,"HD 19994  ",6315,44,4.44,0.1,1.66,0.06,0.27,0.03,1.314,0.015,1.936,0.219,48.19349,-1.1961
70,"HD 20003  ",5465,18,4.37,0.07,0.8,0.03,0.03,0.01,0.903,0.022,6.092,3.983,46.90799,-72.32189
71,"HD 20407  ",5885,19,4.52,0.04,1.17,0.05,-0.43,0.01,0.868,0.015,7.845,1.465,48.77662,-45.66482
72,"HD 20619  ",5716,13,4.51,0.05,0.97,0.02,-0.21,0.01,0.933,0.023,2.281,2.15,49.75789,-2.84319
73,"HD 20781  ",5236,32,4.31,0.12,0.77,0.05,-0.12,0.02,0.824,0.021,4.91,4.321,50.01226,-28.78383
74,"HD 20782  ",5770,12,4.35,0.03,1.01,0.02,-0.06,0.01,0.949,0.012,7.378,1.292,50.01491,-28.85407
76,"HD 20807  ",5875,14,4.5,0.08,1.15,0.03,-0.23,0.01,0.98,0.014,1.404,0.924,49.55341,-62.50636
77,"HD 21019  ",5468,12,3.93,0.02,1.1,0.02,-0.45,0.01,1.023,0.016,7.786,0.451,50.82375,-7.7941
78,"HD 21411  ",5458,22,4.51,0.03,0.81,0.04,-0.27,0.01,0.839,0.023,3.416,3.174,51.54632,-30.61781
79,"HD 21693  ",5418,21,4.38,0.05,0.7,0.03,0.0,0.01,0.908,0.021,2.49,2.368,51.80201,-58.32368
80,"HD 21749  ",4562,120,4.24,0.34,0.28,0.66,0.02,0.07,0.722,0.014,4.475,4.014,51.74676,-63.49911
81,"HD 21938  ",5800,20,4.41,0.04,1.14,0.04,-0.47,0.01,0.826,0.008,11.541,0.319,52.70976,-37.37229
82,"HD 22049  ",5049,48,4.45,0.09,0.83,0.1,-0.15,0.03,0.78,0.019,3.578,3.322,53.23269,-9.45826
83,"HD 22610  ",4981,43,4.41,0.1,0.64,0.1,-0.22,0.02,0.75,0.017,3.985,3.817,53.68871,-62.45684
84,"HD 22879  ",5949,33,4.68,0.05,1.63,0.15,-0.79,0.02,0.804,0.002,11.495,0.334,55.09193,-3.21698
85,"HD 23079  ",6009,14,4.5,0.05,1.2,0.02,-0.11,0.01,1.06,0.016,1.425,0.96,54.92957,-52.91584
86,"HD 23249  ",5027,48,3.66,0.1,0.93,0.06,0.07,0.03,1.095,0.016,7.691,0.372,55.81209,-9.76339
87,"HD 23356  ",4919,66,4.45,0.14,0.52,0.18,-0.15,0.03,0.756,0.017,4.371,4.407,55.9806,-19.1109
88,"HD 23456  ",6190,24,4.61,0.1,1.48,0.06,-0.31,0.02,0.991,0.014,6.123,0.54,55.76983,-50.64308
89,"HD 24331  ",4948,51,4.56,0.12,0.46,0.18,-0.3,0.02,0.73,0.015,4.383,3.931,57.64786,-42.56553
90,"HD 24892  ",5360,14,3.99,0.03,0.94,0.02,-0.33,0.01,0.938,0.012,11.454,0.344,59.11945,-25.18134
91,"HD 25105  ",5306,31,4.42,0.11,0.74,0.05,-0.15,0.02,0.835,0.023,3.25,3.356,59.48121,-36.25991
92,"HD 25120  ",5104,25,4.37,0.12,0.85,0.05,-0.21,0.01,0.779,0.017,3.184,3.387,58.82632,-65.28472
93,"HD 25565  ",5145,67,4.41,0.14,0.73,0.12,0.0,0.04,0.817,0.022,3.666,3.632,60.52545,-36.61693
94,"HD 25673  ",5116,28,4.45,0.08,0.48,0.08,-0.51,0.02,0.721,0.016,4.615,4.083,61.0846,-4.65513
95,"HD 27063  ",5759,15,4.44,0.05,0.92,0.02,0.05,0.01,1.028,0.013,0.73,0.612,64.12601,-0.57281
96,"HD 27894  ",4833,209,4.3,0.48,0.33,0.85,0.26,0.1,0.821,0.021,4.479,4.061,65.19603,-59.41084
97,"HD 28185  ",5621,22,4.36,0.05,0.92,0.03,0.19,0.01,0.989,0.017,5.698,2.465,66.60968,-10.55081
98,"HD 28471  ",5727,16,4.36,0.02,0.97,0.02,-0.07,0.01,0.942,0.02,6.432,2.594,66.28813,-64.08007
99,"HD 28701  ",5718,14,4.47,0.06,0.99,0.03,-0.32,0.01,0.842,0.004,11.541,0.304,66.44104,-69.99369
100,"HD 28821  ",5663,12,4.37,0.02,0.94,0.02,-0.12,0.01,0.889,0.013,9.944,2.016,68.08947,-5.039
101,"HD 30278  ",5374,16,4.37,0.03,0.72,0.03,-0.19,0.01,0.812,0.01,10.933,0.911,70.80702,-54.59343
102,"HD 30306  ",5520,23,4.32,0.07,0.81,0.03,0.18,0.02,0.951,0.02,6.596,2.387,69.99165,-71.50561
103,"HD 31527  ",5917,13,4.47,0.05,1.15,0.02,-0.17,0.01,0.98,0.018,4.792,1.99,73.90993,-23.24188
104,"HD 31560  ",4655,78,4.36,0.23,0.08,1.23,0.0,0.12,0.73,0.019,4.376,4.068,73.92463,-28.56392
105,"HD 31822  ",6061,19,4.61,0.04,1.25,0.04,-0.19,0.01,1.05,0.013,0.733,0.654,74.64902,-9.3343
106,"HD 32724  ",5834,16,4.28,0.03,1.15,0.03,-0.16,0.01,0.948,0.009,10.645,0.397,76.19818,-11.69903
107,"HD 33725  ",5240,28,4.35,0.08,0.63,0.06,-0.19,0.02,0.808,0.02,5.068,4.139,77.97603,-9.11316
108,"HD 34449  ",5861,17,4.45,0.05,0.98,0.03,-0.09,0.01,1.028,0.012,0.417,0.363,72.63854,-85.37517
109,"HD 34688  ",5104,32,4.34,0.08,0.54,0.08,-0.22,0.02,0.775,0.018,4.14,3.886,79.6783,-14.01846
110,"HD 35854  ",4808,56,4.35,0.16,0.16,0.42,-0.14,0.02,0.748,0.015,4.807,4.047,81.56141,-32.50477
111,"HD 36003  ",4568,110,4.34,0.28,0.24,0.6,-0.13,0.02,0.702,0.005,3.793,3.927,82.10873,-3.49956
112,"HD 36108  ",5924,14,4.36,0.06,1.22,0.03,-0.2,0.01,0.969,0.009,9.47,0.32,82.08762,-22.43393
113,"HD 36379  ",6039,15,4.35,0.04,1.39,0.03,-0.18,0.01,1.07,0.029,6.721,0.808,82.74975,-10.08109
114,"HD 37962  ",5732,16,4.47,0.06,0.88,0.03,-0.19,0.01,0.936,0.025,2.896,2.583,85.21653,-31.35111
115,"HD 37986  ",5479,39,4.29,0.09,0.93,0.06,0.24,0.03,0.958,0.028,3.881,3.188,85.47369,-15.63054
116,"HD 38277  ",5882,11,4.35,0.06,1.12,0.02,-0.06,0.01,1.009,0.008,7.786,0.314,86.07332,-10.01673
117,"HD 38382  ",6110,19,4.46,0.05,1.19,0.03,0.04,0.01,1.134,0.005,0.302,0.195,86.11831,-20.12657
118,"HD 38858  ",5719,11,4.49,0.02,0.97,0.02,-0.23,0.01,0.933,0.017,2.01,1.358,87.14558,-4.09464
119,"HD 38973  ",6015,12,4.43,0.04,1.14,0.02,0.05,0.01,1.114,0.012,0.442,0.31,86.61663,-53.21933
120,"HD 39091  ",5991,20,4.4,0.05,1.09,0.03,0.09,0.01,1.115,0.014,0.771,0.491,84.29122,-80.46912
121,"HD 39194  ",5173,18,4.51,0.05,0.39,0.07,-0.63,0.01,0.709,0.012,6.849,3.955,86.13299,-70.14357
122,"HD 40105  ",5064,30,3.69,0.06,0.91,0.04,0.02,0.02,1.073,0.015,8.202,0.376,88.54506,-50.36255
123,"HD 40307  ",4774,77,4.42,0.16,0.1,0.59,-0.36,0.02,0.706,0.008,5.515,3.946,88.51767,-60.02347
124,"HD 40397  ",5498,13,4.35,0.02,0.82,0.02,-0.14,0.01,0.843,0.005,11.245,0.655,89.58973,-4.65067
125,"HD 44120  ",6059,22,4.25,0.04,1.27,0.03,0.14,0.02,1.218,0.009,3.377,0.153,94.07827,-59.2135
126,"HD 44420  ",5772,22,4.3,0.03,0.99,0.03,0.28,0.02,1.069,0.016,1.335,1.096,95.4314,-0.53912
127,"HD 44447  ",6004,14,4.41,0.03,1.32,0.03,-0.22,0.01,0.985,0.012,8.043,0.332,93.77508,-71.70277
128,"HD 44573  ",4990,52,4.42,0.11,0.61,0.12,-0.07,0.03,0.784,0.019,4.2,3.899,95.38803,-22.21475
129,"HD 44594  ",5828,17,4.37,0.03,1.05,0.02,0.15,0.01,1.08,0.011,0.56,0.425,95.02556,-48.74109
130,"HD 45184  ",5869,11,4.47,0.03,1.02,0.02,0.05,0.01,1.061,0.007,0.373,0.242,96.18283,-28.78011
131,"HD 45289  ",5731,18,4.34,0.02,0.96,0.03,0.0,0.01,0.953,0.011,9.441,0.575,96.10146,-42.84752
132,"HD 45364  ",5428,16,4.37,0.05,0.77,0.03,-0.18,0.01,0.858,0.023,3.387,3.143,96.41031,-31.48096
133,"HD 47186  ",5643,22,4.34,0.04,0.9,0.03,0.22,0.02,0.999,0.015,5.59,1.723,99.03662,-27.6223
134,"HD 48611  ",5330,17,4.48,0.06,0.6,0.05,-0.36,0.01,0.781,0.019,5.316,4.378,99.46071,-70.93261
135,"HD 50590  ",4760,103,4.33,0.24,0.09,0.87,-0.21,0.02,0.73,0.016,4.7,4.093,103.2485,-23.1077
136,"HD 50806  ",5598,17,4.1,0.04,1.03,0.02,0.01,0.01,0.98,0.011,11.01,0.273,103.39143,-28.53979
137,"HD 51608  ",5323,23,4.36,0.04,0.68,0.04,-0.08,0.02,0.839,0.018,8.507,4.008,103.71393,-55.25933
138,"HD 52265  ",6167,24,4.44,0.04,1.28,0.03,0.24,0.02,1.212,0.01,0.393,0.254,105.07515,-5.36716
139,"HD 52919  ",4628,100,4.43,0.28,0.26,0.53,-0.09,0.05,0.706,0.01,4.408,4.01,105.67883,-6.79923
140,"HD 55693  ",5908,61,4.38,0.09,0.95,0.08,0.35,0.05,1.103,0.025,1.462,1.248,108.26114,-24.22558
141,"HD 59468  ",5582,16,4.36,0.03,0.86,0.02,0.01,0.01,0.915,0.014,8.418,1.338,111.85611,-51.4026
142,"HD 63454  ",4756,77,4.32,0.22,0.31,0.42,0.13,0.05,0.764,0.017,4.3,4.035,114.84104,-78.27897
143,"HD 63765  ",5445,17,4.41,0.07,0.8,0.03,-0.15,0.01,0.874,0.021,2.726,2.482,116.95716,-54.26415
144,"HD 65216  ",5614,16,4.46,0.06,0.81,0.03,-0.17,0.01,0.917,0.023,2.142,2.137,118.42217,-63.64732
145,"HD 65277  ",4701,57,4.3,0.16,0.3,0.37,-0.3,0.04,0.703,0.006,4.786,4.095,119.49077,-0.81442
146,"HD 65562  ",5018,39,4.35,0.1,0.41,0.13,-0.13,0.02,0.783,0.018,5.835,4.371,119.71741,-13.31523
147,"HD 66221  ",5590,22,4.34,0.04,0.88,0.03,0.16,0.02,0.974,0.023,4.993,3.14,120.52235,-12.80462
148,"HD 66428  ",5671,28,4.3,0.04,0.94,0.04,0.23,0.02,1.014,0.019,4.753,2.822,120.86944,-1.16271
149,"HD 67458  ",5903,13,4.54,0.02,1.09,0.02,-0.15,0.01,1.019,0.013,0.783,0.584,121.75218,-29.40294
150,"HD 68607  ",5155,47,4.38,0.09,0.7,0.09,0.06,0.03,0.849,0.023,4.577,4.095,122.79035,-46.29739
151,"HD 69655  ",5977,14,4.49,0.06,1.2,0.03,-0.18,0.01,0.998,0.014,4.59,0.884,123.85506,-52.0603
152,"HD 69830  ",5370,24,4.38,0.04,0.67,0.04,-0.07,0.02,0.868,0.028,4.264,4.179,124.59978,-12.63217
153,"HD 70642  ",5659,24,4.43,0.06,0.81,0.04,0.17,0.02,1.021,0.015,0.859,0.747,125.36724,-39.70541
154,"HD 70889  ",6069,18,4.55,0.08,1.07,0.03,0.13,0.01,1.138,0.008,0.192,0.087,125.88255,-27.82235
155,"HD 71334  ",5706,11,4.41,0.05,0.94,0.02,-0.08,0.01,0.965,0.022,2.663,2.008,126.45631,-29.93059
156,"HD 71479  ",5991,15,4.38,0.04,1.13,0.02,0.24,0.01,1.146,0.013,1.291,0.776,126.89636,-5.14864
157,"HD 71835  ",5431,16,4.39,0.03,0.76,0.03,-0.04,0.01,0.888,0.025,4.364,3.686,127.04993,-36.72299
158,"HD 72579  ",5419,32,4.28,0.06,0.81,0.05,0.18,0.02,0.918,0.02,8.231,3.106,127.7876,-54.08828
159,"HD 72673  ",5230,20,4.43,0.07,0.67,0.04,-0.43,0.01,0.75,0.015,7.07,3.759,128.21457,-31.50085
160,"HD 72769  ",5587,24,4.3,0.05,0.86,0.03,0.29,0.02,0.975,0.015,6.981,1.423,128.44044,-23.35555
161,"HD 73121  ",6083,20,4.27,0.04,1.33,0.03,0.09,0.02,1.189,0.012,3.549,0.175,128.80224,-39.97045
162,"HD 73256  ",5465,36,4.36,0.05,1.0,0.05,0.21,0.02,0.962,0.023,2.202,2.123,129.0959,-30.03762
163,"HD 73524  ",6004,17,4.42,0.05,1.1,0.02,0.16,0.01,1.136,0.005,0.336,0.215,129.33331,-40.14766
164,"HD 74014  ",5552,25,4.33,0.05,0.86,0.03,0.22,0.02,0.988,0.022,2.884,2.302,130.32733,-4.80893
165,"HD 75289  ",6139,24,4.35,0.05,1.22,0.03,0.3,0.02,1.201,0.014,0.382,0.246,131.91829,-41.73679
166,"HD 76151  ",5781,17,4.44,0.05,0.93,0.03,0.12,0.01,1.054,0.01,0.295,0.211,133.57478,-5.43446
167,"HD 78429  ",5742,15,4.26,0.03,1.01,0.02,0.07,0.01,0.987,0.009,7.691,0.631,136.66179,-43.49198
168,"HD 78538  ",5790,13,4.5,0.03,0.97,0.02,-0.02,0.01,1.021,0.02,1.108,1.063,137.19569,-5.11609
169,"HD 78558  ",5759,19,4.46,0.04,1.08,0.04,-0.42,0.01,0.827,0.008,11.705,0.122,137.10516,-15.14479
170,"HD 78612  ",5838,14,4.3,0.03,1.19,0.03,-0.24,0.01,0.928,0.009,11.578,0.206,137.20744,-10.75751
171,"HD 78747  ",5814,22,4.57,0.05,1.22,0.06,-0.65,0.02,0.802,0.005,11.568,0.301,136.98573,-50.48245
172,"HD 80883  ",5198,24,4.36,0.07,0.65,0.05,-0.27,0.02,0.777,0.016,7.553,4.303,139.93386,-59.47772
173,"HD 81639  ",5516,16,4.39,0.05,0.81,0.03,-0.18,0.01,0.882,0.026,2.839,2.939,140.52529,-73.54335
174,"HD 82342  ",4470,21,4.6,0.05,0.1,0.02,-0.56,0.1,,,8.356,2.055,142.61703,-32.1034
175,"HD 82516  ",5041,57,4.47,0.12,0.5,0.15,0.02,0.03,0.82,0.021,4.609,4.087,142.74701,-47.38418
176,"HD 82943  ",5992,17,4.42,0.05,1.06,0.02,0.28,0.01,1.145,0.013,0.311,0.18,143.7114,-12.12955
177,"HD 83443  ",5442,49,4.32,0.1,0.84,0.07,0.32,0.04,0.947,0.029,3.558,3.26,144.29928,-43.2722
178,"HD 83529  ",5909,16,4.36,0.02,1.16,0.03,-0.22,0.01,0.938,0.01,9.749,0.389,144.36941,-49.99093
179,"HD 85119  ",5413,22,4.5,0.05,0.88,0.04,-0.21,0.02,0.845,0.021,2.903,2.617,147.20872,-37.30965
180,"HD 85390  ",5135,45,4.32,0.12,0.66,0.08,-0.09,0.02,0.808,0.019,4.159,3.652,147.5104,-49.79027
181,"HD 85512  ",4400,45,4.36,0.1,0.02,0.05,-0.26,0.14,0.701,0.003,4.557,4.125,147.77938,-43.50278
182,"HD 86065  ",4863,45,4.27,0.12,0.38,0.16,-0.03,0.02,0.769,0.017,4.435,3.972,148.92715,-18.10741
183,"HD 86140  ",4776,70,4.4,0.18,0.15,0.57,-0.28,0.02,0.71,0.012,4.624,4.089,148.64608,-58.72981
184,"HD 86171  ",5394,16,4.45,0.04,0.76,0.03,-0.25,0.01,0.829,0.022,3.819,3.29,149.16016,-8.83456
185,"HD 87521  ",4770,71,4.31,0.16,0.47,0.23,-0.01,0.03,0.752,0.017,4.334,3.979,151.14156,-39.31687
186,"HD 88084  ",5765,13,4.45,0.07,0.96,0.02,-0.1,0.01,0.976,0.022,2.658,1.895,152.28436,-15.49449
187,"HD 88218  ",5872,17,4.14,0.03,1.23,0.03,-0.14,0.01,1.033,0.007,8.701,0.192,152.38237,-35.85677
188,"HD 88656  ",5099,30,4.35,0.07,0.69,0.06,-0.12,0.02,0.797,0.018,5.248,4.224,153.21991,-28.51338
189,"HD 88742  ",6004,17,4.52,0.09,1.05,0.03,0.0,0.01,1.096,0.013,0.264,0.168,153.35304,-33.03172
190,"HD 89454  ",5708,13,4.45,0.03,0.96,0.02,0.11,0.01,1.031,0.013,0.74,0.628,154.81784,-11.37851
191,"HD 90156  ",5591,11,4.45,0.03,0.86,0.02,-0.25,0.01,0.84,0.015,9.414,2.03,155.98031,-29.64553
192,"HD 90711  ",5396,39,4.33,0.09,0.87,0.06,0.21,0.03,0.936,0.028,3.487,3.15,157.05062,-6.60058
193,"HD 90812  ",5118,24,4.35,0.06,0.5,0.06,-0.38,0.01,0.745,0.016,3.773,3.63,157.17868,-27.36604
194,"HD 92588  ",5105,24,3.6,0.05,0.94,0.03,-0.02,0.02,1.216,0.022,4.999,0.36,160.35077,-1.74149
195,"HD 92719  ",5812,13,4.47,0.07,0.98,0.02,-0.11,0.01,1.008,0.01,0.423,0.374,160.55551,-13.78771
196,"HD 92788  ",5729,24,4.35,0.06,0.91,0.03,0.27,0.02,1.042,0.018,3.133,1.73,160.7022,-2.18376
197,"HD 93083  ",5048,66,4.32,0.16,0.81,0.12,0.08,0.04,0.819,0.021,4.13,3.936,161.08714,-33.57702
198,"HD 93380  ",4512,20,4.61,0.05,0.05,0.01,-0.68,0.12,,,4.544,4.068,161.65376,-24.58548
199,"HD 93385  ",5989,17,4.46,0.03,1.15,0.02,0.03,0.01,1.091,0.015,1.342,1.016,161.56298,-41.46437
200,"HD 94151  ",5581,16,4.4,0.04,0.86,0.03,0.04,0.01,0.961,0.02,2.238,2.056,162.91346,-22.07183
201,"HD 95456  ",6311,19,4.38,0.06,1.41,0.03,0.18,0.01,1.27,0.01,1.362,0.239,165.16993,-31.83937
202,"HD 95521  ",5762,12,4.46,0.05,0.95,0.02,-0.15,0.01,0.977,0.018,1.057,1.077,165.20943,-49.01984
203,"HD 96423  ",5701,17,4.35,0.04,0.93,0.02,0.1,0.01,1.006,0.019,3.013,1.88,166.58227,-44.37332
204,"HD 96700  ",5854,12,4.39,0.05,1.06,0.02,-0.18,0.01,0.924,0.008,9.751,0.547,166.97678,-30.17457
205,"HD 97037  ",5890,18,4.32,0.04,1.13,0.03,-0.07,0.01,0.988,0.008,7.393,0.458,167.5556,-7.3894
206,"HD 97343  ",5385,18,4.31,0.05,0.78,0.03,-0.08,0.01,0.843,0.007,10.77,1.044,168.00496,-26.13667
207,"HD 97998  ",5725,18,4.53,0.06,0.94,0.04,-0.42,0.01,0.849,0.023,5.267,3.296,168.95424,-39.3235
208,"HD 98281  ",5389,19,4.39,0.08,0.77,0.03,-0.27,0.01,0.82,0.023,4.402,3.97,169.59172,-5.0673
209,"HD 98356  ",5274,45,4.35,0.09,0.75,0.07,0.09,0.03,0.881,0.026,4.232,3.885,169.66543,-10.12621
210,"HD 100508 ",5384,66,4.39,0.11,0.88,0.1,0.35,0.04,0.931,0.031,5.07,4.088,173.30455,-67.05458
211,"HD 100777 ",5530,25,4.31,0.05,0.76,0.04,0.25,0.02,0.974,0.024,3.77,3.111,173.96468,-4.75569
212,"HD 101581 ",4615,56,4.4,0.17,0.11,0.85,-0.51,0.09,0.7,0.0,4.477,4.032,175.26029,-44.40519
213,"HD 101930 ",5083,63,4.35,0.13,0.58,0.14,0.16,0.04,0.848,0.022,4.237,3.904,175.87547,-58.00689
214,"HD 102117 ",5620,28,4.28,0.05,0.98,0.04,0.26,0.02,0.988,0.012,8.308,0.887,176.21025,-58.70371
215,"HD 102365 ",5616,41,4.4,0.06,0.86,0.08,-0.28,0.03,0.855,0.024,8.794,3.079,176.62947,-40.50035
216,"HD 102438 ",5562,12,4.43,0.08,0.86,0.02,-0.29,0.01,0.822,0.012,10.021,1.468,176.81587,-30.28651
217,"HD 103949 ",4774,80,4.49,0.21,0.43,0.31,-0.07,0.04,0.74,0.017,4.22,3.977,179.54877,-23.92389
218,"HD 104006 ",5046,32,4.58,0.06,0.28,0.16,-0.78,0.02,0.7,0.0,5.087,4.269,179.61672,-41.92201
219,"HD 104067 ",4888,72,4.35,0.19,0.66,0.17,-0.04,0.04,0.779,0.018,4.524,3.974,179.79171,-20.35378
220,"HD 104263 ",5456,19,4.35,0.04,0.75,0.03,0.01,0.01,0.891,0.022,7.213,4.284,180.1144,-4.54881
221,"HD 104982 ",5682,13,4.42,0.03,0.91,0.02,-0.2,0.01,0.9,0.025,5.526,3.39,181.30587,-28.71723
222,"HD 105671 ",4571,104,4.41,0.27,0.23,0.84,0.09,0.08,0.728,0.014,4.446,4.011,182.47909,-46.20839
223,"HD 105837 ",5932,23,4.6,0.06,1.24,0.06,-0.5,0.02,0.853,0.015,9.712,1.632,182.74139,-46.32198
224,"HD 106116 ",5656,17,4.35,0.03,0.89,0.02,0.13,0.01,0.984,0.014,5.625,1.285,183.12018,-3.08447
225,"HD 106275 ",4978,53,4.33,0.11,0.59,0.13,-0.13,0.03,0.78,0.018,5.388,4.179,183.46606,-69.06045
226,"HD 107148 ",5744,24,4.3,0.03,0.93,0.03,0.28,0.02,1.043,0.016,3.946,1.919,184.80622,-3.31979
227,"HD 108147 ",6318,29,4.53,0.05,1.32,0.04,0.21,0.02,1.244,0.005,0.152,0.052,186.44278,-64.02209
228,"HD 108309 ",5781,12,4.24,0.05,1.08,0.02,0.13,0.01,1.036,0.005,7.178,0.279,186.70059,-48.91319
229,"HD 109200 ",5056,33,4.37,0.08,0.56,0.08,-0.35,0.02,0.744,0.014,7.689,3.632,188.38076,-68.75581
230,"HD 109409 ",5833,24,4.11,0.06,1.19,0.03,0.31,0.02,1.201,0.044,4.601,0.744,188.67664,-44.67302
231,"HD 109423 ",5040,54,4.39,0.11,0.63,0.12,-0.06,0.03,0.784,0.019,3.26,3.299,188.70296,-41.2346
232,"HD 110619 ",5615,12,4.52,0.03,0.91,0.03,-0.41,0.01,0.831,0.021,4.675,3.282,190.92802,-37.70814
233,"HD 111031 ",5749,17,4.3,0.05,0.99,0.02,0.26,0.01,1.039,0.009,4.884,0.732,191.62852,-11.81244
234,"HD 111232 ",5482,13,4.46,0.03,0.73,0.03,-0.43,0.01,0.776,0.009,11.298,0.606,192.21564,-68.42515
235,"HD 112540 ",5523,18,4.48,0.06,0.8,0.03,-0.17,0.01,0.888,0.025,2.533,2.634,197.08589,-87.21931
236,"HD 114386 ",4774,59,4.37,0.14,0.01,0.84,-0.09,0.01,0.752,0.016,5.198,4.199,197.66593,-35.05478
237,"HD 114613 ",5712,20,3.94,0.05,1.17,0.02,0.18,0.02,1.201,0.014,5.057,0.099,198.01327,-37.80302
238,"HD 114729 ",5865,19,4.2,0.05,1.29,0.03,-0.26,0.02,0.946,0.012,11.011,0.318,198.1844,-31.87335
239,"HD 114747 ",5086,85,4.4,0.18,0.87,0.15,0.21,0.04,0.851,0.021,4.185,3.873,198.22626,-30.71175
240,"HD 114783 ",5060,72,4.37,0.16,0.76,0.13,0.03,0.04,0.819,0.021,4.216,3.96,198.18244,-2.26504
241,"HD 114853 ",5698,12,4.43,0.02,0.96,0.02,-0.23,0.01,0.88,0.018,7.864,2.144,198.46761,-45.1858
242,"HD 115585 ",5683,28,4.19,0.05,1.01,0.03,0.36,0.02,1.025,0.012,7.914,0.602,199.96079,-70.85502
243,"HD 115617 ",5537,16,4.38,0.04,0.83,0.03,-0.03,0.01,0.891,0.014,8.986,1.575,199.60131,-18.3112
244,"HD 115674 ",5633,16,4.43,0.07,0.81,0.03,-0.18,0.01,0.918,0.022,2.451,1.93,200.75029,-81.31012
245,"HD 116858 ",4913,54,4.45,0.12,0.54,0.16,-0.22,0.02,0.743,0.017,4.627,4.054,201.66482,-24.29337
246,"HD 116920 ",4928,53,4.37,0.11,0.48,0.15,-0.25,0.03,0.739,0.016,4.706,4.069,201.7621,-24.29044
247,"HD 117105 ",5912,18,4.44,0.03,1.19,0.03,-0.28,0.01,0.909,0.01,10.302,0.518,202.12731,-27.39185
248,"HD 117207 ",5649,25,4.31,0.04,0.95,0.03,0.21,0.02,1.005,0.018,4.847,1.977,202.33797,-35.571
249,"HD 117618 ",6003,12,4.45,0.03,1.16,0.02,0.03,0.01,1.09,0.013,2.077,1.081,203.10648,-47.27136
250,"HD 119638 ",6111,16,4.48,0.04,1.3,0.03,-0.13,0.01,1.073,0.016,2.651,1.258,206.18584,-14.22518
251,"HD 119782 ",5120,37,4.41,0.08,0.6,0.09,-0.07,0.02,0.813,0.02,4.885,4.175,206.67513,-56.85008
252,"HD 121504 ",6022,13,4.52,0.04,1.1,0.02,0.14,0.01,1.143,0.013,0.767,0.588,209.32183,-56.04004
253,"HD 122862 ",6009,15,4.25,0.06,1.34,0.02,-0.1,0.01,1.08,0.024,6.339,0.538,212.11319,-74.85028
